Token,Tag,Lemma
,,Israel
,,Gaza 
,,Hamas
,,War
,,Hostages
,,Iran
,,Palestine
,,Aid
,,Military
Palestinians ,,
Israelis ,,
,,Palestinian
,,Israeli 
,,Humanitarian
,,Ceasefire
,,Rafa
,,Netanyahu
,,Hospital
,,Children
,,Minister
,,Attack
,,Killed
,,Hezbollah
,,Civilians
,,Lebanon
,,Terrorist 
,,terror 
,,Westbank
,,Egypt
,,Support
,,Biden
,,Court
,,Food
,,Water
,,Electricity
,,Health
,,Negotiations
,,Militia
,,Family
,,Hostage
,,Refugee
,,Protest
,,Islamic
,,unra
,,Unrwa
,,Diplomatic
,,Jewish
,,Suffering
,,Casualties
,,Death 
,,Militant
,,Soldiers
,,Human
,,Prisoners
,,Escalation
,,Fuel
,,Supplies
,,Civilian
,,idf
,,Displace
,,UN
,,Israeli Government
,,October 7th
,,United states
,,Evacuate corridor
,,Terror attacks
,,Release hostages
,,United Nations
,,Israeli military 
