video_id,video_title,thumbnail_path,transcript,publish_date,description
NX3VEeL3aW8,Krieg in Nahost: Angst vor Ausweitung auf weitere Länder,data/de_tagesschau\Krieg in Nahost Angst vor Ausweitung auf weitere Länder.jpg,,20231030,"Mehrere Raketen sind nach Angaben der israelischen Armee erneut aus dem Libanon auf Israel abgefeuert worden. Rund zehn Raketen seien in israelisches Gebiet eingedrungen, teilte die Armee am Abend mit. Als Reaktion sei auf den Ort des Raketenstarts geschossen worden, wobei unter anderem Abschussrampen getroffen worden seien. Unklar war, welche Gruppierung im Libanon verantwortlich war. Aus libanesischen Sicherheitskreisen hieß es, dass die libanesische Hisbollah anscheinend ihre Raketenangriffe ausgeweitet habe. Die Miliz selbst bestätigte das bisher nicht.

Israels Armee hat nach eigenen Angaben unterdessen als Reaktion auf Raketenangriffe auch Ziele in Syrien beschossen. Ziel sei der Abschussort der Flugkörper gewesen, teilte das Militär mit. Die Raketen landeten demnach auf offenem Gelände. Welche Gruppierung für den Abschuss aus Syrien verantwortlich war, war zunächst unklar. Die Syrische Beobachtungsstelle für Menschenrechte teilte mit, dass an der Grenze mehrere Stellungen angegriffen wurden. Augenzeugen berichteten von Schüssen und Explosionen.

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
W_16zPz9MRg,Isreal weitet Gegenangriffe auf den Gazastreifen aus,data/de_tagesschau\Isreal weitet Gegenangriffe auf den Gazastreifen aus.jpg,,20231030,"Die israelische Armee hat einem Sprecher zufolge mehr als 600 Ziele binnen 24 Stunden im Gazastreifen getroffen. Am Vortag hatte sie noch von 450 Zielen gesprochen. Die Angriffe zählten zu den heftigsten seit dem Großangriff der radikalislamischen Hamas am 7. Oktober. 

Die Opferzahlen im Gazastreifen stiegen unterdessen im Zuge von Israels heftigen Gegenschlägen weiter. Nach Angaben des von der Terrororganisation Hamas kontrollierten palästinensischen Gesundheitsministeriums wurden seit Kriegsbeginn vor gut drei Wochen mehr als 8.000 Palästinenser:innen getötet.

UN-Generalsekretär António Guterres rief unterdessen erneut zu einem „sofortigen Waffenstillstand“ und der Freilassung der mehr als 230 Geiseln auf. Im Gazastreifen spiele sich „vor unseren Augen eine humanitäre Katastrophe“ ab, so Guterres auf der Plattform X. 

Konfliktparteien als Quelle: Angaben zu Kriegsverlauf, Beschuss und Opfern durch Stellen der palästinensischen und der israelischen Konfliktparteien können in der aktuellen Lage zum Teil nicht unmittelbar von unabhängiger Stelle überprüft werden.

Mehr zum Thema: https://www.tagesschau.de/newsticker/liveblog-israel-montag-102.html

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
eE32NFyT-xE,Israels Bodeneinsatz im Gazastreifen: Netanyahu verkündet zweite Phase des Krieges,data/de_tagesschau\Israels Bodeneinsatz im Gazastreifen Netanyahu verkündet zweite Phase des Krieges.jpg,,20231029,"Der israelische Ministerpräsident Netanyahu hat den Bodeneinsatz der Armee im Gazastreifen ausgeweitet. Er spricht von der zweiten Phase des Krieges. Derweil sollen nach mehr als 24 Stunden ohne Internet und Mobilfunk die Kommunikationsverbindungen für viele Menschen im Gazastreifen wiederhergestellt worden sein.

Mehr Informationen im Liveblog: https://www.tagesschau.de/newsticker/liveblog-israel-sonntag-106.html 

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
jasQxm52eLI,Lage in Nahost: Israelische Bodentruppen offenbar noch in Gaza,data/de_tagesschau\Lage in Nahost Israelische Bodentruppen offenbar noch in Gaza.jpg,,20231028,"Israel hat seine Bodeneinsätze im Gazastreifen in der Nacht ausgeweitet. Bodentruppen sind nach Militärangaben noch vor Ort. Es seien 150 unterirdische Hamas-Ziele aus der Luft angegriffen und mehrere ranghohe Terroristen getötet worden.

Man muss davon ausgehen, dass die israelische Armee nun im Gazastreifen immer weiter vordringen werde, sagt ARD-Korrespondent Oliver Mayer-Rüth. „Das ist aber immer noch nicht die ganz große Bodenoffensive, so mein Eindruck, über die die ganze Zeit gesprochen wurde in den letzten Tagen.“ Es gebe verschiedene Interpretationen zum aktuellen Vorgehen der Armee: Einige vermuteten, dass es sich um Vorbereitungsoperationen handele. Möglicherweise wolle man aber eventuell auch noch Raum geben für Verhandlungen über die von der Hamas festgehaltenen Geiseln, so Mayer-Rüth. „Damit man noch mehr Geiseln herausbekommt, bevor es richtig losgeht.“

Der israelische Verteidigungsminister Yoav Gallant hat den Beginn einer neuen Phase im Krieg gegen die militant-islamistische Hamas bekanntgegeben. „Gestern Abend hat der Boden in Gaza gebebt“, sagte Gallant. „Wir haben oberhalb und unterhalb der Erdoberfläche angegriffen. Die Anweisungen an die Truppen sind klar. Die Kampagne wird bis auf Weiteres weitergehen.“ Gallant deutete an, dass das Militär bald zu einer umfassenden Bodenoffensive im Norden des Gazastreifens übergehen könnte. Israel hat bereits Hunderttausende Soldat:innen im Grenzgebiet stationiert.

Mehr zum Thema: https://www.tagesschau.de/ausland/asien/israel-gaza-angriffe-108.html

Link zum Liveblog: https://www.tagesschau.de/newsticker/liveblog-israel-samstag-104.html

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
6UdGy-kNREs,Lage in Nahost: Israel verstärkt Angriffe – Gaza ohne Internet,data/de_tagesschau\Lage in Nahost Israel verstärkt Angriffe – Gaza ohne Internet.jpg,,20231028,"Israelische Kampfflugzeuge haben bei nächtlichen Angriffen im nördlichen Gazastreifen nach Angaben der israelischen Armee 150 unterirdische Ziele getroffen. Nach Behauptungen des bewaffneten Flügels der radikal-islamistischen Hamas gibt es im Gazastreifen an zwei verschiedenen Orten Kämpfe gegen israelische Soldaten. Das Mobilfunknetz und Internet im Gazastreifen sind komplett zusammengebrochen.

ARD-Korrespondentin Gabriele Dunkel spricht bei dem jüngsten Vorstoß der israelischen Armee von den „schlimmsten Angriffe auf Gaza seit Beginn der Bombardierungen“.

Mehr Informationen im Liveblog: https://www.tagesschau.de/newsticker/liveblog-israel-samstag-104.html 

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
-ekAGXfR6OI,Nahost-Resolutionen scheitern im Sicherheitsrat,data/de_tagesschau\Nahost-Resolutionen scheitern im Sicherheitsrat.jpg,,20231026,"Im UN-Sicherheitsrat sind erneut zwei Resolutionen zum Krieg zwischen Israel und der radikalislamischen Palästinenserorganisation Hamas gescheitert. Russland und China legten ihr Veto gegen einen von den USA vorgelegten Resolutionsentwurf ein – während auch ein von Russland vorgelegter Text abgelehnt wurde.

Unterdessen warnte das Flüchtlingshilfswerk der Vereinten Nationen für die Palästinenser, UNRWA, vor einem nahenden Ende jeglicher humanitärer Hilfe für die unter Durst und Hunger leidenden Menschen in dem dicht besiedelten Küstenstreifen. „Ohne Treibstoff wird Gaza kollabieren“, schrieb die Organisation auf X, vormals Twitter.

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
ZJc9y3TfJvM,EU-Gipfel fordert „humanitäre Pausen“ in Gaza,data/de_tagesschau\EU-Gipfel fordert „humanitäre Pausen“ in Gaza.jpg,,20231027,"Die EU-Staaten fordern humanitäre Pausen und geschützte Korridore für sichere Hilfslieferungen in den Gazastreifen. Die sich verschlechternde humanitäre Lage in Gaza gebe Anlass zu größter Besorgnis, heißt es in der in Brüssel verabschiedeten Gipfelerklärung der Staats- und Regierungschef:innen.

Man rufe im Konflikt zwischen der militant-islamistischen Hamas und Israel zu einem kontinuierlichen, schnellen, sicheren und ungehinderten Zugang für Hilfslieferungen auf. Zu notwendigen Maßnahmen gehörten auch „humanitäre Korridore und Pausen für humanitäre Zwecke“.

Mehr dazu: https://www.tagesschau.de/ausland/europa/eu-gipfel-nahost-102.html

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
5tHwMmVTs54,Angriffe auf den Gazastreifen,data/de_tagesschau\Angriffe auf den Gazastreifen.jpg,,20231027,"Das israelische Militär hat bei einem weiteren begrenzten Vorstoß seiner Bodentruppen Dutzende Ziele im Gazastreifen attackiert. Zudem flog die Armee erneut Luftangriffe, auch Drohnen wurden eingesetzt.

In den vergangenen Tagen hatte Israels Armee bei mehreren begrenzten Vorstößen von Bodentruppen bereits Ziele im Gazastreifen angegriffen. Die Lage der Zivilbevölkerung dort ist weiterhin verheerend.

Mehr Informationen zum Thema: https://www.tagesschau.de/ausland/asien/israel-angriffe-gazastreifen-104.html

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
v17Kl6ogmP4,Verletzte bei Angriff durch antisemitischen Mob in russischer Teilrepublik Dagestan,data/de_tagesschau\Verletzte bei Angriff durch antisemitischen Mob in russischer Teilrepublik Dagestan.jpg,,20231030,"Bei den judenfeindlichen Krawallen im russischen Machatschkala sind offenbar 20 Menschen verletzt worden. Aus den USA und Israel kommt heftige Kritik. Im Nordkaukasus gab es zuletzt mehrere antisemitische Angriffe.

Mehr zu dem Thema: https://www.tagesschau.de/ausland/asien/dagestan-flughafen-102.html

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
hBkpkpwa9MM,Erzfeind Israel: Die Rolle der Hisbollah im Nahost-Konflikt,data/de_tagesschau\Erzfeind Israel Die Rolle der Hisbollah im Nahost-Konflikt.jpg,,20231031,"Während der Kampf zwischen Israel und der Terrormiliz Hamas vor allem im Gazastreifen in vollem Gange ist, blicken viele Beobachter:innen auch besorgt auf die Situation im Libanon, Israels nördlichem Nachbarn. Dort hat es im Grenzgebiet zuletzt ebenfalls Luftangriffe und Beschuss gegeben – im Vergleich zur Lage im Gazastreifen ist es aber noch ruhig. Die Frage lautet: Wie wird sich die vom Iran finanzierte Hisbollah-Miliz in Zukunft verhalten? Die Hamas hatte eigentlich mit mehr Unterstützung von ihren Glaubensbrüdern gerechnet. Bislang fällt diese aber noch zurückhaltend aus.

Alle aktuellen Informationen und tagesschau24 im Livestream: https://www.tagesschau.de/

Alle Sendungen, Livestreams, Dokumentation und Reportagen auch in der ARD-Mediathek: https://www.ardmediathek.de/tagesschau"
