first	RB	first
we	PP	we
have	VHP	have
uh	UH	uh
been	VBN	be
holding	VVG	hold
back	RB	back
and	CC	and
we	PP	we
'	POS	'
re	NN	re
in	IN	in
active	JJ	active
conversations	NNS	conversation
with	IN	with
Israel	NP	Israel
about	IN	about
the	DT	the
provision	NN	provision
of	IN	of
heavy	JJ	heavy
uh	UH	uh
or	CC	or
high	JJ	high
payload	NN	payload
weapons	NNS	weapon
uh	UH	uh
large	JJ	large
bombs	NNS	bomb
because	IN	because
of	IN	of
the	DT	the
concern	NN	concern
that	IN/that	that
we	PP	we
have	VHP	have
about	RB	about
the	DT	the
effect	NN	effect
these	DT	these
weapons	NNS	weapon
can	MD	can
have	VH	have
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
used	VVN	use
in	IN	in
a	DT	a
dense	JJ	dense
Urban	NP	Urban
environment	NN	environment
like	IN	like
Rafa	NP	Rafa
we	PP	we
'	POS	'
re	NN	re
discussing	VVG	discuss
that	IN/that	that
with	IN	with
Israel	NP	Israel
right	RB	right
now	RB	now
second	JJ	second
what	WP	what
the	DT	the
president	NN	president
said	VVD	say
is	VBZ	be
that	IN/that	that
if	IN	if
Israel	NP	Israel
goes	VVZ	go
in	IN	in
with	IN	with
a	DT	a
major	JJ	major
military	JJ	military
operation	NN	operation
Rafa	NP	Rafa
uh	UH	uh
in	IN	in
that	WDT	that
case	NN	case
uh	UH	uh
there	EX	there
are	VBP	be
certain	JJ	certain
systems	NNS	system
that	IN/that	that
we	PP	we
will	MD	will
not	RB	not
provide	VV	provide
to	TO	to
Israel	NP	Israel
uh	UH	uh
that	WDT	that
would	MD	would
aid	VV	aid
aid	NN	aid
that	IN/that	that
that	DT	that
effort	NN	effort
because	IN	because
it	PP	it
'	POS	'
s	JJ	s
something	NN	something
that	IN/that	that
we	PP	we
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
be	VB	be
part	NN	part
of	IN	of
given	VVN	give
the	DT	the
damage	NN	damage
that	IN/that	that
it	PP	it
would	MD	would
do	VV	do
to	TO	to
civilians	NNS	civilian
and	CC	and
again	RB	again
uh	UH	uh
not	RB	not
to	TO	to
achieve	VV	achieve
a	DT	a
durable	JJ	durable
lasting	JJ	lasting
effective	JJ	effective
result	NN	result
for	IN	for
Israel	NP	Israel
and	CC	and
for	IN	for
its	PP$	its
security	NN	security
that	RB	that
'	POS	'
s	VVG	s
what	WP	what
the	DT	the
president	NN	president
said	VVD	say
we	PP	we
'	''	'
ve	NNS	ve
said	VVD	say
that	IN/that	that
in	IN	in
uh	UH	uh
conversations	NNS	conversation
with	IN	with
our	PP$	our
Israeli	JJ	Israeli
Partners	NNS	partner
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Maan	NP	Maan
bashara	NP	Bashara
he	PP	he
joins	VVZ	join
me	PP	me
here	RB	here
in	IN	in
our	PP$	our
Doha	NP	Doha
studio	NN	studio
blinkin	NN	blinkin
in	IN	in
that	DT	that
interview	NN	interview
also	RB	also
mentioned	VVD	mention
the	DT	the
Resurgence	NN	resurgence
of	IN	of
Hamas	NP	Hamas
I	PP	I
was	VBD	be
interested	JJ	interested
to	TO	to
see	VV	see
Maran	NP	Maran
he	PP	he
he	PP	he
talked	VVD	talk
about	RB	about
how	WRB	how
even	RB	even
with	IN	with
a	DT	a
fullscale	NN	fullscale
assault	NN	assault
on	IN	on
Rafa	NP	Rafa
there	EX	there
would	MD	would
still	RB	still
be	VB	be
thousands	NNS	thousand
of	IN	of
armed	JJ	armed
Hamas	JJ	Hamas
Fighters	NNS	fighter
left	VVN	leave
and	CC	and
that	IN/that	that
there	EX	there
was	VBD	be
no	DT	no
plan	NN	plan
for	IN	for
the	DT	the
day	NN	day
after	RB	after
is	VBZ	be
the	DT	the
US	NP	US
increasingly	RB	increasingly
disappointed	VVD	disappoint
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	s
military	NN	military
progress	VV	progress
oh	UH	oh
absolutely	RB	absolutely
absolutely	RB	absolutely
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
disappointed	VVN	disappoint
for	IN	for
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
weeks	NNS	week
if	IN	if
