<video_id>38wxaqW2nks</video_id>	JJ	<video_id>38wxaqW2nks</video_id>
<video_title>13	NN	<video_title>13
people	NNS	people
killed	VVN	kill
in	IN	in
attack	NN	attack
on	IN	on
residential	JJ	residential
building	NN	building
in	IN	in
Khan	NP	Khan
Younis</video_title>	NP	Younis</video_title>
<thumbnail_path>data/en_AJ\13	NN	<thumbnail_path>data/en_AJ\13
people	NNS	people
killed	VVN	kill
in	IN	in
attack	NN	attack
on	IN	on
residential	JJ	residential
building	NN	building
in	IN	in
Khan	NP	Khan
Younis.jpg</thumbnail_path>	NP	Younis.jpg</thumbnail_path>
<publish_date>20231112</publish_date>	NN	<publish_date>20231112</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
13	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
house	NN	house
in	IN	in
Han	NP	Han
Yunis	NP	Yunis
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
Han	NP	Han
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
again	RB	again
um	JJ	um
from	IN	from
Han	NP	Han
Yunis	NP	Yunis
hany	NN	hany
when	WRB	when
we	PP	we
last	RB	last
spoke	VVD	speak
to	TO	to
you	PP	you
you	PP	you
were	VBD	be
just	RB	just
getting	VVG	get
that	DT	that
update	NN	update
that	IN/that	that
13	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
in	IN	in
the	DT	the
interim	JJ	interim
um	JJ	um
period	NN	period
we've	NN	we've
also	RB	also
just	RB	just
started	VVD	start
receiving	VVG	receive
pictures	NNS	picture
recap	VV	recap
for	IN	for
us	PP	us
what	WP	what
has	VHZ	have
happened	VVN	happen
right	RB	right
well	RB	well
within	IN	within
the	DT	the
past	JJ	past
hour	NN	hour
15	CD	@card@
minutes	NNS	minute
a	DT	a
loud	JJ	loud
explosion	NN	explosion
could	MD	could
be	VB	be
heard	VVN	hear
right	RB	right
here	RB	here
from	IN	from
the	DT	the
hospital	NN	hospital
where	WRB	where
we	PP	we
reporting	VVG	report
it	PP	it
from	IN	from
at	IN	at
about	RB	about
10	CD	@card@
minutes	NNS	minute
later	RBR	later
uh	UH	uh
a	DT	a
group	NN	group
of	IN	of
ambulances	NNS	ambulance
started	VVD	start
to	TO	to
move	VV	move
very	RB	very
fast	RB	fast
as	IN	as
they	PP	they
were	VBD	be
getting	VVG	get
CA	MD	ca
from	IN	from
uh	UH	uh
Venezuela	NP	Venezuela
area	NN	area
Eastern	NP	Eastern
of	IN	of
hanun	NP	hanun
that's	NP	that's
Eastern	NP	Eastern
hunis	NNS	hunis
side	VVP	side
where	WRB	where
uh	UH	uh
they	PP	they
were	VBD	be
told	VVN	tell
a	DT	a
residential	JJ	residential
home	NN	home
was	VBD	be
targeted	VVN	target
a	DT	a
four-story	NN	four-story
building	NN	building
building	VVG	build
full	JJ	full
of	IN	of
people	NNS	people
without	IN	without
warning	VVG	warn
whatsoever	RB	whatsoever
the	DT	the
four	CD	four
uh	UH	uh
floors	NNS	floor
of	IN	of
the	DT	the
building	NN	building
were	VBD	be
