<video_id>K8AdlUpU9H8</video_id>	JJ	<video_id>K8AdlUpU9H8</video_id>
<video_title>8	JJ	<video_title>8
Israeli	JJ	Israeli
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
ambush;	NN	ambush;
deadliest	JJS	deadly
day	NN	day
in	IN	in
months</video_title>	JJ	months</video_title>
<thumbnail_path>data/en_AJ\8	JJ	<thumbnail_path>data/en_AJ\8
Israeli	JJ	Israeli
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
ambush;	NN	ambush;
deadliest	JJS	deadly
day	NN	day
in	IN	in
months.jpg</thumbnail_path>	JJ	months.jpg</thumbnail_path>
<publish_date>20240615</publish_date>	JJ	<publish_date>20240615</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
take	VVP	take
you	PP	you
now	RB	now
to	TO	to
Israeli	JJ	Israeli
Army	NP	Army
spokesperson	NN	spokesperson
Daniel	NP	Daniel
hagari	NP	hagari
explosion	NN	explosion
in	IN	in
one	CD	one
of	IN	of
those	DT	those
military	JJ	military
vehicles	NNS	vehicle
due	JJ	due
to	TO	to
an	DT	an
explosive	JJ	explosive
or	CC	or
maybe	RB	maybe
a	DT	a
missile	NN	missile
that	WDT	that
was	VBD	be
launched	VVN	launch
on	IN	on
the	DT	the
military	JJ	military
vehicles	NNS	vehicle
where	WRB	where
eight	CD	eight
soldiers	NNS	soldier
were	VBD	be
killed	VVN	kill
following	VVG	follow
this	DT	this
tragic	JJ	tragic
event	NN	event
several	JJ	several
analyst	NN	analyst
and	CC	and
Specialists	NNS	specialist
from	IN	from
the	DT	the
ministry	NN	ministry
of	IN	of
defense	NN	defense
will	MD	will
try	VV	try
to	TO	to
investigate	VV	investigate
in	IN	in
order	NN	order
to	TO	to
get	VV	get
more	JJR	more
information	NN	information
on	IN	on
what	WP	what
happened	VVD	happen
we	PP	we
have	VHP	have
conveyed	VVN	convey
this	DT	this
uh	UH	uh
tragic	JJ	tragic
news	NN	news
to	TO	to
their	PP$	their
families	NNS	family
and	CC	and
we	PP	we
are	VBP	be
also	RB	also
after	IN	after
informing	VVG	inform
all	PDT	all
the	DT	the
families	NNS	family
we	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
publish	VV	publish
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
other	JJ	other
killed	VVN	kill
soldiers	NNS	soldier
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
are	VBP	be
many	JJ	many
names	NNS	name
are	VBP	be
being	VBG	be
without	IN	without
it	PP	it
is	VBZ	be
permitted	VVN	permit
or	CC	or
before	IN	before
it	PP	it
is	VBZ	be
published	VVN	publish
by	IN	by
the	DT	the
spokesperson	NN	spokesperson
of	IN	of
the	DT	the
ministry	NN	ministry
of	IN	of
Defense	NP	Defense
please	RB	please
do	VVP	do
not	RB	not
publish	VV	publish
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
killed	VVN	kill
soldiers	NNS	soldier
until	IN	until
an	DT	an
official	JJ	official
press	NN	press
release	NN	release
is	VBZ	be
being	VBG	be
published	VVN	publish
please	VVP	please
respect	VV	respect
the	DT	the
feelings	NNS	feeling
of	IN	of
the	DT	the
families	NNS	family
who	WP	who
lost	VVD	lose
their	PP$	their
members	NNS	member
we	PP	we
need	VVP	need
to	TO	to
respect	VV	respect
the	DT	the
soldiers	NNS	soldier
and	CC	and
we	PP	we
need	VVP	need
to	TO	to
always	RB	always
support	VV	support
the	DT	the
families	NNS	family
Ida	NP	Ida
soldiers	NNS	soldier
and	CC	and
the	DT	the
ministry	NN	ministry
of	IN	of
Defense	NP	Defense
are	VBP	be
working	VVG	work
in	IN	in
order	NN	order
to	TO	to
disarm	VV	disarm
all	PDT	all
the	DT	the
fighters	NNS	fighter
and	CC	and
the	DT	the
soldiers	NNS	soldier
of	IN	of
the	DT	the
movement	NN	movement
in	IN	in
order	NN	order
to	TO	to
prevent	VV	prevent
Hamas	NNS	Hamas
from	IN	from
targeting	VVG	target
Israel	NP	Israel
and	CC	and
its	PP$	its
civilians	NNS	civilian
again	RB	again
as	IN	as
it	PP	it
happened	VVD	happen
on	IN	on
October	NP	October
7th	JJ	7th
today	NN	today
we	PP	we
received	VVD	receive
another	DT	another
reminder	NN	reminder
that	WDT	that
reminded	VVD	remind
us	PP	us
of	IN	of
the	DT	the
high	JJ	high
price	NN	price
that	IN/that	that
we	PP	we
are	VBP	be
paying	VVG	pay
because	IN	because
of	IN	of
this	DT	this
war	NN	war
and	CC	and
that	IN/that	that
we	PP	we
have	VHP	have
Heroes	NNS	hero
and	CC	and
soldiers	NNS	soldier
who	WP	who
