<video_id>oNBObxiTQd8</video_id>	JJ	<video_id>oNBObxiTQd8</video_id>
<video_title>A	NN	<video_title>A
ship	NN	ship
with	IN	with
aid	NN	aid
is	VBZ	be
preparing	VVG	prepare
to	TO	to
inaugurate	VV	inaugurate
a	DT	a
sea	NN	sea
route	NN	route
from	IN	from
Cyprus	NP	Cyprus
to	TO	to
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\A	NN	<thumbnail_path>data/en_AJ\A
ship	NN	ship
with	IN	with
aid	NN	aid
is	VBZ	be
preparing	VVG	prepare
to	TO	to
inaugurate	VV	inaugurate
a	DT	a
sea	NN	sea
route	NN	route
from	IN	from
Cyprus	NP	Cyprus
to	TO	to
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240308</publish_date>	JJ	<publish_date>20240308</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
explore	VVP	explore
this	DT	this
more	JJR	more
with	IN	with
rham	NP	rham
Jafari	NP	Jafari
who's	NNS	who's
a	DT	a
Communications	NPS	Communications
and	CC	and
advocacy	NN	advocacy
coordinator	NN	coordinator
for	IN	for
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
at	IN	at
action	NN	action
a	DT	a
joined	VVD	join
us	PP	us
now	RB	now
from	IN	from
Bethlehem	NP	Bethlehem
at	IN	at
reham	NP	reham
this	DT	this
is	VBZ	be
a	DT	a
complicated	JJ	complicated
workaround	NN	workaround
isn't	NN	isn't
it	PP	it
uh	UH	uh
this	DT	this
Maritime	NP	Maritime
plan	NN	plan
and	CC	and
the	DT	the
US	NP	US
Port	NP	Port
concept	NN	concept
what's	NNS	what's
your	PP$	your
reaction	NN	reaction
to	TO	to
it	PP	it
h	NN	h
thanks	NNS	thanks
for	IN	for
having	VHG	have
me	PP	me
uh	UH	uh
and	CC	and
um	VVZ	um
uh	UH	uh
our	PP$	our
reaction	NN	reaction
that	IN/that	that
it	PP	it
is	VBZ	be
uh	UH	uh
having	VHG	have
a	DT	a
sea	NN	sea
port	NN	port
or	CC	or
delivering	VVG	deliver
aid	NN	aid
until	IN	until
the	DT	the
construction	NN	construction
of	IN	of
sea	NN	sea
port	NN	port
is	VBZ	be
not	RB	not
a	DT	a
solution	NN	solution
it	PP	it
is	VBZ	be
um	JJ	um
uh	UH	uh
it	PP	it
is	VBZ	be
a	DT	a
a	DT	a
long	JJ	long
uh	UH	uh
solution	NN	solution
that	WDT	that
needs	VVZ	need
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
needs	VVZ	need
a	DT	a
lot	NN	lot
of	IN	of
logistics	NNS	logistic
the	DT	the
solution	NN	solution
there	EX	there
are	VBP	be
existing	VVG	exist
land	NN	land
Crossing	VVG	cross
Borders	NP	Borders
and	CC	and
uh	UH	uh
they	PP	they
have	VHP	have
their	PP$	their
logistical	JJ	logistical
capacities	NNS	capacity
that	WDT	that
uh	UH	uh
uh	UH	uh
could	MD	could
uh	UH	uh
allow	VV	allow
uh	UH	uh
humanitarian	JJ	humanitarian
Ian	NP	Ian
Aid	NP	Aid
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
the	DT	the
uh	UH	uh
delivery	NN	delivery
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
uh	UH	uh
residents	NNS	resident
of	IN	of
Gaza	NP	Gaza
needs	VVZ	need
a	DT	a
ceas	NNS	ceas
fire	NN	fire
needs	VVZ	need
to	TO	to
ensure	VV	ensure
and	CC	and
to	TO	to
secure	VV	secure
H	NN	H
safety	NN	safety
for	IN	for
people	NNS	people
who	WP	who
are	VBP	be
uh	UH	uh
waiting	VVG	wait
those	DT	those
humanitarian	JJ	humanitarian
aids	NNS	aid
for	IN	for
the	DT	the
safety	NN	safety
of	IN	of
Aid	NN	aid
workers	NNS	worker
and	CC	and
work	NN	work
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
organization	NN	organization
H	NN	H
so	IN	so
this	DT	this
is	VBZ	be
another	DT	another
sign	NN	sign
for	IN	for
the	DT	the
failure	NN	failure
of	IN	of
International	NP	International
Community	NP	Community
