<video_id>eUtE7X481VM</video_id>	JJ	<video_id>eUtE7X481VM</video_id>
<video_title>Activist’s	NNS	<video_title>Activist’s
killing	VVG	kill
likely	RB	likely
to	TO	to
complicate	VV	complicate
ties	NNS	tie
between	IN	between
Turkey	NP	Turkey
and	CC	and
Israel:	NP	Israel:
Political	NP	Political
analyst</video_title>	NN	analyst</video_title>
<thumbnail_path>data/en_AJ\Activist’s	NNS	<thumbnail_path>data/en_AJ\Activist’s
killing	VVG	kill
likely	RB	likely
to	TO	to
complicate	VV	complicate
ties	NNS	tie
between	IN	between
Turkey	NP	Turkey
and	CC	and
Israel	NP	Israel
Political	NP	Political
analyst.jpg</thumbnail_path>	JJ	analyst.jpg</thumbnail_path>
<publish_date>20240914</publish_date>	NN	<publish_date>20240914</publish_date>
<doc>	NN	<doc>
R	NP	R
SAR	NP	SAR
he's	NNS	he's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
DM	NP	DM
in	IN	in
Western	NP	Western
Tura	NP	Tura
where	WRB	where
a	DT	a
has	VHZ	have
been	VBN	be
laid	VVN	lay
to	TO	to
rest	NN	rest
and	CC	and
R	NN	R
it	PP	it
is	VBZ	be
a	DT	a
devastating	JJ	devastating
day	NN	day
for	IN	for
her	PP$	her
family	NN	family
but	CC	but
they	PP	they
have	VHP	have
been	VBN	be
shown	VVN	show
that	DT	that
they're	NN	they're
not	RB	not
alone	RB	alone
indeed	RB	indeed
it	PP	it
was	VBD	be
a	DT	a
devastating	JJ	devastating
day	NN	day
for	IN	for
the	DT	the
family	NN	family
um	NN	um
and	CC	and
we	PP	we
have	VHP	have
just	RB	just
seen	VVN	see
that	IN/that	that
her	PP$	her
mother	NN	mother
has	VHZ	have
just	RB	just
left	VVN	leave
her	PP$	her
grave	NN	grave
where	WRB	where
she	PP	she
was	VBD	be
buried	VVN	bury
her	PP$	her
father	NN	father
as	IN	as
well	RB	well
and	CC	and
they	PP	they
both	CC	both
could	MD	could
just	RB	just
barely	RB	barely
keep	VV	keep
up	RP	up
with	IN	with
the	DT	the
help	NN	help
from	IN	from
some	DT	some
other	JJ	other
people	NNS	people
so	IN	so
they	PP	they
still	RB	still
it's	NNS	it's
difficult	JJ	difficult
for	IN	for
them	PP	them
to	TO	to
accept	VV	accept
that	DT	that
aaur	NN	aaur
is	VBZ	be
no	RB	no
more	RBR	more
but	CC	but
it	PP	it
was	VBD	be
not	RB	not
only	JJ	only
family	NN	family
they	PP	they
had	VHD	have
been	VBN	be
her	PP$	her
friends	NNS	friend
as	IN	as
well	RB	well
several	JJ	several
of	IN	of
her	PP$	her
friends	NNS	friend
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
from	IN	from
across	IN	across
turkey	NN	turkey
they	PP	they
have	VHP	have
been	VBN	be
attending	VVG	attend
her	PP$	her
funeral	NN	funeral
and	CC	and
now	RB	now
today	NN	today
we	PP	we
have	VHP	have
seen	VVN	see
that	IN/that	that
thousands	NNS	thousand
of	IN	of
people	NNS	people
also	RB	also
have	VHP	have
arrived	VVN	arrive
in	IN	in
her	PP$	her
hometown	NN	hometown
did	VVD	do
to	TO	to
attend	VV	attend
her	PP$	her
funeral	NN	funeral
that	IN/that	that
just	RB	just
the	DT	the
prayer	NN	prayer
funeral	NN	funeral
that	IN/that	that
the	DT	the
the	DT	the
funeral	JJ	funeral
prayer	NN	prayer
that	IN/that	that
just	RB	just
taken	VVN	take
have	VHP	have
taken	VVN	take
after	IN	after
the	DT	the
noon	NN	noon
prayer	NN	prayer
and	CC	and
still	RB	still
people	NNS	people
are	VBP	be
coming	VVG	come
and	CC	and
respecting	VVG	respect
paying	VVG	pay
their	PP$	their
respects	NNS	respect
this	DT	this
is	VBZ	be
her	PP$	her
grave	NN	grave
where	WRB	where
she	PP	she
is	VBZ	be
buried	VVN	bury
people	NNS	people
have	VHP	have
planted	VVN	plant
some	DT	some
of	IN	of
the	DT	the
flowers	NNS	flower
here	RB	here
and	CC	and
you	PP	you
can	MD	can
see	VV	see
a	DT	a
Palestinian	JJ	Palestinian
cafia	NN	cafia
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
you	PP	you
will	MD	will
see	VV	see
a	DT	a
Palestinian	JJ	Palestinian
flag	NN	flag
and	CC	and
a	DT	a
Turkish	JJ	Turkish
flag	NN	flag
together	RB	together
and	CC	and
of	IN	of
course	NN	course
alongside	IN	alongside
her	PP$	her
family	NN	family
friends	NNS	friend
and	CC	and
thousands	NNS	thousand
of	IN	of
people	NNS	people
coming	VVG	come
and	CC	and
attending	VVG	attend
her	PP$	her
funeral	NN	funeral
they	PP	they
have	VHP	have
been	VBN	be
several	JJ	several
senior	JJ	senior
politicians	NNS	politician
also	RB	also
were	VBD	be
present	JJ	present
here	RB	here
including	VVG	include
the	DT	the
parliament	NN	parliament
speaker	NN	speaker
the	DT	the
foreign	JJ	foreign
minister	NN	minister
the	DT	the
