<video_id>u8zLaCXJ9RA</video_id>	JJ	<video_id>u8zLaCXJ9RA</video_id>
<video_title>Al	JJ	<video_title>Al
Jazeera	NP	Jazeera
journalist	NN	journalist
and	CC	and
his	PP$	his
cameraman	NN	cameraman
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Al	JJ	<thumbnail_path>data/en_AJ\Al
Jazeera	NP	Jazeera
journalist	NN	journalist
and	CC	and
his	PP$	his
cameraman	NN	cameraman
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240731</publish_date>	JJ	<publish_date>20240731</publish_date>
<doc>	NN	<doc>
okay	NN	okay
we	PP	we
have	VHP	have
some	DT	some
breaking	VVG	break
news	NN	news
with	IN	with
uh	UH	uh
alzer's	NN	alzer's
correspondent	NN	correspondent
isma	NN	isma
Al	NP	Al
Gul	NP	Gul
we	PP	we
understand	VVP	understand
has	VHZ	have
been	VBN	be
killed	VVN	kill
along	RP	along
with	IN	with
his	PP$	his
cameraman	NN	cameraman
in	IN	in
Gaza	NP	Gaza
more	RBR	more
details	NNS	detail
of	IN	of
course	NN	course
on	IN	on
that	DT	that
as	IN	as
we	PP	we
get	VVP	get
it	PP	it
but	CC	but
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
speak	VV	speak
to	TO	to
Maan	NP	Maan
bishara	NN	bishara
who's	NNS	who's
in	IN	in
London	NP	London
obviously	RB	obviously
monitoring	VVG	monitor
all	PDT	all
the	DT	the
developments	NNS	development
Maan	NP	Maan
extremely	RB	extremely
distressing	JJ	distressing
news	NN	news
that	IN/that	that
Ismail	NP	Ismail
Al	NP	Al
Gul	NP	Gul
the	DT	the
AL	NP	al
jaaz	NP	jaaz
Arabic	NP	Arabic
correspondent	NN	correspondent
along	IN	along
with	IN	with
his	PP$	his
caran	NN	caran
Ramy	NP	Ramy
Al	NP	Al
REI	NP	Rei
have	VHP	have
uh	UH	uh
lost	VVD	lose
their	PP$	their
lives	NNS	life
