basm	NN	basm
Nim	NP	Nim
he	PP	he
'	POS	'
s	NNS	s
a	DT	a
member	NN	member
of	IN	of
hamas	NNS	hamas
'	POS	'
s	NNS	s
political	JJ	political
Bureau	NP	Bureau
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
the	DT	the
program	NN	program
what	WP	what
is	VBZ	be
the	DT	the
situation	NN	situation
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
as	IN	as
you	PP	you
understand	VVP	understand
it	PP	it
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	NN	military
they	PP	they
say	VVP	say
they	PP	they
dozens	NNS	dozen
of	IN	of
Hamas	JJ	Hamas
militants	NNS	militant
have	VHP	have
been	VBN	be
killed	VVN	kill
there	RB	there
and	CC	and
taken	VVN	take
for	IN	for
others	NNS	other
have	VHP	have
been	VBN	be
taken	VVN	take
for	IN	for
questioning	JJ	questioning
is	VBZ	be
this	DT	this
true	JJ	true
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
uh	UH	uh
the	DT	the
situation	NN	situation
in	IN	in
shifa	NN	shifa
hospital	NN	hospital
is	VBZ	be
very	RB	very
very	RB	very
serious	JJ	serious
very	RB	very
very	RB	very
dangerous	JJ	dangerous
uh	UH	uh
we	PP	we
are	VBP	be
used	VVN	use
to	TO	to
hear	VV	hear
this	DT	this
Israeli	JJ	Israeli
propaganda	NN	propaganda
uh	UH	uh
by	IN	by
the	DT	the
presence	NN	presence
of	IN	of
Hamas	JJ	Hamas
Fighters	NNS	fighter
or	CC	or
militant	JJ	militant
people	NNS	people
inside	IN	inside
the	DT	the
hospital	NN	hospital
uh	UH	uh
I	PP	I
can	MD	can
reassure	VV	reassure
everyone	NN	everyone
and	CC	and
confirm	VVP	confirm
that	IN/that	that
no	DT	no
militant	JJ	militant
people	NNS	people
inside	IN	inside
the	DT	the
hospital	NN	hospital
are	VBP	be
present	JJ	present
uh	UH	uh
they	PP	they
have	VHP	have
executed	VVN	execute
in	IN	in
the	DT	the
field	NN	field
hundreds	NNS	hundred
of	IN	of
our	PP$	our
people	NNS	people
including	VVG	include
innocent	JJ	innocent
civilians	NNS	civilian
some	DT	some
of	IN	of
our	PP$	our
Fighters	NNS	fighter
killed	VVN	kill
around	IN	around
the	DT	the
hospital	NN	hospital
while	IN	while
they	PP	they
are	VBP	be
facing	VVG	face
the	DT	the
new	JJ	new
Invasion	NN	invasion
to	TO	to
the	DT	the
hospital	NN	hospital
I	PP	I
think	VVP	think
the	DT	the
the	DT	the
most	RBS	most
important	JJ	important
Point	NP	Point
here	RB	here
is	VBZ	be
not	RB	not
is	VBZ	be
not	RB	not
about	RB	about
how	WRB	how
many	JJ	many
they	PP	they
have	VHP	have
killed	VVN	kill
only	RB	only
but	CC	but
that	IN/that	that
they	PP	they
are	VBP	be
repeatedly	RB	repeatedly
invading	VVG	invade
or	CC	or
storming	VVG	storm
uh	UH	uh
Health	NP	Health
Facilities	NP	Facilities
destroying	VVG	destroy
the	DT	the
hospitals	NNS	hospital
destroying	VVG	destroy
the	DT	the
shelters	NNS	shelter
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
during	IN	during
the	DT	the
holy	JJ	holy
month	NN	month
of	IN	of
Ramadan	NN	Ramadan
hundreds	NNS	hundred
of	IN	of
them	PP	them
were	VBD	be
kidnapped	VVN	kidnap
including	VVG	include
elderly	JJ	elderly
uh	UH	uh
miners	NNS	miner
uh	UH	uh
most	JJS	most
of	IN	of
the	DT	the
medical	JJ	medical
stuff	NN	stuff
has	VHZ	have
been	VBN	be
taking	VVG	take
hostages	NNS	hostage
by	IN	by
the	DT	the
Israeli	NP	Israeli
interrogated	VVD	interrogate
some	DT	some
of	IN	of
them	PP	them
executed	VVD	execute
in	IN	in
the	DT	the
field	NN	field
well	RB	well
the	DT	the
Israelis	NPS	Israelis
say	VVP	say
the	DT	the
reason	NN	reason
that	IN/that	that
they	PP	they
are	VBP	be
uh	UH	uh
attacking	NN	attacking
alifa	NN	alifa
is	VBZ	be
because	IN	because
they	PP	they
believe	VVP	believe
that	IN/that	that
they	PP	they
Hamas	VVZ	Hamas
operatives	NNS	operative
within	IN	within
the	DT	the
hospital	NN	hospital
so	IN	so
you	PP	you
are	VBP	be
denying	VVG	deny
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
are	VBP	be
that	IN/that	that
they	PP	they
are	VBP	be
no	RB	no
Hamas	JJ	Hamas
operatives	NNS	operative
inside	IN	inside
the	DT	the
hospital	NN	hospital
or	CC	or
the	DT	the
hospital	NN	hospital
compound	VV	compound
yes	UH	yes
I	PP	I
deny	VVP	deny
this	DT	this
because	IN	because
yesterday	NN	yesterday
they	PP	they
have	VHP	have
talked	VVN	talk
about	IN	about
uh	UH	uh
AB	NP	AB
who	WP	who
was	VBD	be
killed	VVN	kill
inside	IN	inside
the	DT	the
hospital	NN	hospital
he	PP	he
is	VBZ	be
the	DT	the
chief	JJ	chief
commander	NN	commander
of	IN	of
the	DT	the
police	NN	police
civil	JJ	civil
police	NN	police
who	WP	who
was	VBD	be
all	PDT	all
the	DT	the
time	NN	time
coordinating	VVG	coordinate
with	IN	with
the	DT	the
UN	NP	UN
bodies	NNS	body
Ona	NP	Ona
wfpa	NP	wfpa
how	WRB	how
to	TO	to
organize	VV	organize
the	DT	the
income	NN	income
of	IN	of
the	DT	the
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
aid	NN	aid
from	IN	from
the	DT	the
south	NN	south
to	TO	to
the	DT	the
north	NN	north
and	CC	and
this	DT	this
is	VBZ	be
well	RB	well
known	VVN	know
everywhere	RB	everywhere
and	CC	and
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
a	DT	a
civil	JJ	civil
police	NN	police
they	PP	they
have	VHP	have
announced	VVN	announce
that	IN/that	that
they	PP	they
have	VHP	have
killed	VVN	kill
an	DT	an
a	DT	a
commander	NN	commander
of	IN	of
Hamas	NNS	Hamas
if	IN	if
you	PP	you
consider	VVP	consider
an	DT	an
a	DT	a
doctor	NN	doctor
or	CC	or
a	DT	a
nurse	NN	nurse
or	CC	or
a	DT	a
police	NN	police
because	IN	because
he	PP	he
is	VBZ	be
working	VVG	work
in	IN	in
the	DT	the
government	NN	government
led	VVN	lead
by	IN	by
Hamas	NP	Hamas
he	PP	he
is	VBZ	be
uh	UH	uh
this	DT	this
is	VBZ	be
an	DT	an
execuse	NN	execuse
to	TO	to
execute	VV	execute
him	PP	him
or	CC	or
to	TO	to
kill	VV	kill
him	PP	him
this	DT	this
is	VBZ	be
another	DT	another
story	NN	story
but	CC	but
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
people	NNS	people
who	WP	who
are	VBP	be
members	NNS	member
of	IN	of
the	DT	the
government	NN	government
doctors	NNS	doctor
nurses	VVZ	nurse
medical	JJ	medical
staff	NN	staff
police	NN	police
staff	NN	staff
who	WP	who
are	VBP	be
taking	VVG	take
care	NN	care
of	IN	of
the	DT	the
shelters	NNS	shelter
who	WP	who
are	VBP	be
organizing	VVG	organize
the	DT	the
humanitarian	JJ	humanitarian
aid	NN	aid
but	CC	but
some	DT	some
of	IN	of
our	PP$	our
Fighters	NNS	fighter
killed	VVN	kill
outside	IN	outside
the	DT	the
hospital	NN	hospital
again	RB	again
while	IN	while
they	PP	they
were	VBD	be
trying	VVG	try
to	TO	to
resist	VV	resist
the	DT	the
occupation	NN	occupation
or	CC	or
the	DT	the
invasion	NN	invasion
of	IN	of
the	DT	the
hospital	NN	hospital
again	RB	again
okay	JJ	okay
so	RB	so
so	RB	so
just	RB	just
to	TO	to
be	VB	be
clear	JJ	clear
these	DT	these
reports	NNS	report
that	IN/that	that
we	PP	we
have	VHP	have
been	VBN	be
getting	VVG	get
about	IN	about
ongoing	JJ	ongoing
Fierce	JJ	fierce
