<video_id>LtfRnjg1-yQ</video_id>	JJ	<video_id>LtfRnjg1-yQ</video_id>
<video_title>Al	JJ	<video_title>Al
Shifa	NP	Shifa
hospital	NN	hospital
surgeon	NN	surgeon
says	VVZ	say
hospital	NN	hospital
is	VBZ	be
not	RB	not
safe	JJ	safe
but	CC	but
no	RB	no
one	PP	one
is	VBZ	be
able	JJ	able
or	CC	or
has	VHZ	have
the	DT	the
courage	NN	courage
to	TO	to
leave</video_title>	JJ	leave</video_title>
<thumbnail_path>data/en_AJ\Al	JJ	<thumbnail_path>data/en_AJ\Al
Shifa	NP	Shifa
hospital	NN	hospital
surgeon	NN	surgeon
says	VVZ	say
hospital	NN	hospital
is	VBZ	be
not	RB	not
safe	JJ	safe
but	CC	but
no	RB	no
one	PP	one
is	VBZ	be
able	JJ	able
or	CC	or
has	VHZ	have
the	DT	the
courage	NN	courage
to	TO	to
leave.jpg</thumbnail_path>	JJ	leave.jpg</thumbnail_path>
<publish_date>20231112</publish_date>	NN	<publish_date>20231112</publish_date>
<doc>	NN	<doc>
well	RB	well
earlier	RBR	earlier
I	PP	I
spoke	VVD	speak
to	TO	to
Dr	NP	Dr
Ahmed	NP	Ahmed
mahalati	NN	mahalati
a	DT	a
surgeon	NN	surgeon
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
that's	NNS	that's
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
and	CC	and
he	PP	he
says	VVZ	say
that	IN/that	that
hospitals	NNS	hospital
are	VBP	be
becoming	VVG	become
more	RBR	more
and	CC	and
more	RBR	more
unsafe	JJ	unsafe
it's	NNS	it's
totally	RB	totally
a	DT	a
horrible	JJ	horrible
situation	NN	situation
the	DT	the
one	CD	one
we	PP	we
are	VBP	be
facing	VVG	face
now	RB	now
to	TO	to
start	VV	start
with	IN	with
we	PP	we
don't	VVD	don't
know	VV	know
where's	NNS	where's
the	DT	the
end	NN	end
point	NN	point
of	IN	of
this	DT	this
one	CD	one
it's	NNS	it's
getting	VVG	get
Tighter	JJR	tight
and	CC	and
Tighter	RBR	tighter
the	DT	the
situation	NN	situation
and	CC	and
the	DT	the
squeezing	VVG	squeeze
around	RP	around
the	DT	the
chipa	NN	chipa
hospital	NN	hospital
is	VBZ	be
getting	VVG	get
uh	UH	uh
tighter	RBR	tighter
so	RB	so
targeting	VVG	target
the	DT	the
biggest	JJS	big
Hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
which	WDT	which
assumed	VVD	assume
to	TO	to
be	VB	be
the	DT	the
one	CD	one
to	TO	to
treat	VV	treat
the	DT	the
injured	JJ	injured
patients	NNS	patient
now	RB	now
we	PP	we
can	MD	can
hardly	RB	hardly
treat	VV	treat
the	DT	the
patients	NNS	patient
within	IN	within
our	PP$	our
hospital	NN	hospital
and	CC	and
then	RB	then
we	PP	we
every	DT	every
now	RB	now
and	CC	and
then	RB	then
think	VVP	think
that	IN/that	that
it's	NNS	it's
totally	RB	totally
unsafe	JJ	unsafe
so	IN	so
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
War	NP	War
Zone	NP	Zone
it's	NNS	it's
continuing	VVG	continue
with	IN	with
