well	RB	well
the	DT	the
alifa	NN	alifa
hospital	NN	hospital
director	NN	director
Muhammad	NP	Muhammad
Abu	NP	Abu
Salia	NP	Salia
has	VHZ	have
been	VBN	be
arrested	VVN	arrest
by	IN	by
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
in	IN	in
Gaza	NP	Gaza
a	DT	a
number	NN	number
of	IN	of
doctors	NNS	doctor
are	VBP	be
also	RB	also
among	IN	among
those	DT	those
detained	VVN	detain
180	CD	@card@
patients	NNS	patient
remain	VVP	remain
trapped	VVN	trap
inside	IN	inside
the	DT	the
largest	JJS	large
Medical	NP	Medical
Facility	NP	Facility
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
meanwhile	RB	meanwhile
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
ordered	VVD	order
the	DT	the
evacuation	NN	evacuation
of	IN	of
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
within	IN	within
the	DT	the
next	JJ	next
3	CD	@card@
hours	NNS	hour
on	IN	on
Wednesday	NP	Wednesday
about	IN	about
450	CD	@card@
patients	NNS	patient
moved	VVD	move
out	RP	out
of	IN	of
the	DT	the
facility	NN	facility
but	CC	but
200	RB	@card@
more	RBR	more
remain	VV	remain
inside	IN	inside
both	DT	both
medical	JJ	medical
facilities	NNS	facility
have	VHP	have
been	VBN	be
under	IN	under
repeated	JJ	repeated
attacks	NNS	attack
by	IN	by
Israel	NP	Israel
Abu	NP	Abu
AUM	NP	AUM
is	VBZ	be
in	IN	in
Khan	NP	Khan
Yunis	NP	Yunis
forest	NN	forest
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
T	NN	T
just	RB	just
bring	VV	bring
us	PP	us
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
situation	NN	situation
with	IN	with
those	DT	those
two	CD	two
hospitals	NNS	hospital
yes	UH	yes
uh	UH	uh
both	DT	both
hospitals	NNS	hospital
are	VBP	be
witnessing	VVG	witness
a	DT	a
very	JJ	very
uh	UH	uh
serious	JJ	serious
and	CC	and
even	RB	even
critical	JJ	critical
situation	NN	situation
as	IN	as
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
are	VBP	be
still	RB	still
uh	UH	uh
in	IN	in
circling	VVG	circle
and	CC	and
even	RB	even
in	IN	in
both	DT	both
significant	JJ	significant
uh	UH	uh
control	NN	control
over	IN	over
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
main	JJ	main
to	TO	to
hospitals	NNS	hospital
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
Indonesian	JJ	Indonesian
hospital	NN	hospital
andat	NN	andat
hospital	NN	hospital
starting	VVG	start
first	JJ	first
with	IN	with
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
which	WDT	which
has	VHZ	have
been	VBN	be
informed	VVN	inform
by	IN	by
the	DT	the
occupation	NN	occupation
forces	NNS	force
for	IN	for
the	DT	the
second	JJ	second
time	NN	time
to	TO	to
evacuate	VV	evacuate
the	DT	the
buildings	NNS	building
from	IN	from
the	DT	the
patients	NNS	patient
medical	JJ	medical
workers	NNS	worker
and	CC	and
even	RB	even
from	IN	from
the	DT	the
displaced	VVN	displace
people	NNS	people
inside	IN	inside
uh	UH	uh
in	IN	in
order	NN	order
to	TO	to
be	VB	be
later	RBR	later
uh	UH	uh
uh	UH	uh
controlled	VVN	control
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
now	RB	now
the	DT	the
majority	NN	majority
of	IN	of
doctors	NNS	doctor
and	CC	and
uh	UH	uh
uh	UH	uh
displaced	VVN	displace
people	NNS	people
are	VBP	be
still	RB	still
inside	IN	inside
this	DT	this
medical	JJ	medical
complex	NN	complex
as	IN	as
they	PP	they
had	VHD	have
been	VBN	be
subjected	VVN	subject
previously	RB	previously
to	TO	to
separate	VV	separate
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
which	WDT	which
claimed	VVD	claim
the	DT	the
lives	NNS	life
of	IN	of
12	CD	@card@
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
number	NN	number
of	IN	of
medical	JJ	medical
workers	NNS	worker
have	VHP	have
been	VBN	be
also	RB	also
injured	VVN	injure
due	JJ	due
to	TO	to
these	DT	these
Relentless	JJ	relentless
attacks	NNS	attack
also	RB	also
they	PP	they
have	VHP	have
multiply	RB	multiply
been	VBN	be
subjected	VVN	subject
to	TO	to
Israeli	JJ	Israeli
fires	NNS	fire
by	IN	by
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
Isel	NP	Isel
soldiers	NNS	soldier
on	IN	on
the	DT	the
ground	NN	ground
now	IN	now
uh	UH	uh
this	DT	this
Hospital	NN	hospital
considered	VVN	consider
to	TO	to
be	VB	be
the	DT	the
main	JJ	main
Central	NP	Central
Hospital	NP	Hospital
that	WDT	that
is	VBZ	be
still	RB	still
uh	UH	uh
operating	VVG	operate
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
alongside	IN	alongside
with	IN	with
another	DT	another
two	CD	two
uh	UH	uh
Central	JJ	central
hospitals	NNS	hospital
and	CC	and
what	WP	what
is	VBZ	be
really	RB	really
strange	JJ	strange
this	DT	this
time	NN	time
is	VBZ	be
that	IN/that	that
the	DT	the
arrest	NN	arrest
of	IN	of
doctors	NNS	doctor
as	IN	as
Dr	NP	Dr
Muhammad	NP	Muhammad
Abu	NP	Abu
the	DT	the
director	NN	director
of	IN	of
a	DT	a
shifat	NN	shifat
medical	JJ	medical
complex	NN	complex
has	VHZ	have
been	VBN	be
arrested	VVN	arrest
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
and	CC	and
even	RB	even
today	NN	today
uh	UH	uh
earlier	RBR	earlier
two	CD	two
uh	UH	uh
Palestinian	JJ	Palestinian
bcts	NNS	bcts
have	VHP	have
been	VBN	be
also	RB	also
arrested	VVN	arrest
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
and	CC	and
uh	UH	uh
this	DT	this
gives	VVZ	give
a	DT	a
clear	JJ	clear
sign	NN	sign
that	IN/that	that
there	EX	there
is	VBZ	be
no	RB	no
any	DT	any
impunity	NN	impunity
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
neither	CC	neither
for	IN	for
medical	JJ	medical
workers	NNS	worker
civil	JJ	civil
defense	NN	defense
Crews	NP	Crews
and	CC	and
even	RB	even
journalist	NN	journalist
as	IN	as
the	DT	the
attacks	NNS	attack
had	VHD	have
reached	VVN	reach
all	DT	all
classes	NNS	class
in	IN	in
the	DT	the
Palestinian	NP	Palestinian
Community	NP	Community
meanwhile	RB	meanwhile
the	DT	the
sh	JJ	sh
Hospital	NP	Hospital
uh	UH	uh
has	VHZ	have
been	VBN	be
also	RB	also
under	IN	under
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
control	NN	control
for	IN	for
not	RB	not
more	JJR	more
than	IN	than
uh	UH	uh
one	CD	one
week	NN	week
and	CC	and
the	DT	the
situation	NN	situation
there	EX	there
is	VBZ	be
completely	RB	completely
dire	JJ	dire
as	IN	as
Israel	NP	Israel
is	VBZ	be
still	RB	still
even	RB	even
recommending	VVG	recommend
uh	UH	uh
patients	NNS	patient
and	CC	and
even	VV	even
uh	UH	uh
displaced	VVN	displace
people	NNS	people
to	TO	to
flee	VV	flee
to	TO	to
the	DT	the
south	NN	south
of	IN	of
the	DT	the
territory	NN	territory
as	IN	as
also	RB	also
the	DT	the
attacks	NNS	attack
on	IN	on
the	DT	the
south	NN	south
on	IN	on
the	DT	the
south	NN	south
did	VVD	do
not	RB	not
stop	VV	stop
during	IN	during
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
which	WDT	which
claimed	VVD	claim
the	DT	the
lives	NNS	life
of	IN	of
around	RB	around
200	CD	@card@
Palestinians	NNS	Palestinian
only	RB	only
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
and	CC	and
tet	NN	tet
what	WP	what
'	POS	'
s	NNS	s
the	DT	the
mood	NN	mood
there	RB	there
among	IN	among
people	NNS	people
knowing	VVG	know
that	IN/that	that
this	DT	this
uh	UH	uh
ceasefire	NN	ceasefire
has	VHZ	have
now	RB	now
been	VBN	be
delayed	VVN	delay
yes	UH	yes
uh	UH	uh
people	NNS	people
inside	IN	inside
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
really	RB	really
desperate	JJ	desperate
and	CC	and
they	PP	they
were	VBD	be
looking	VVG	look
for	IN	for
just	RB	just
to	TO	to
a	DT	a
window	NN	window
of	IN	of
hope	NN	hope
that	WDT	that
would	MD	would
uh	UH	uh
uh	UH	uh
relatively	RB	relatively
mitigate	VV	mitigate
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
living	VVG	live
under	IN	under
Israeli	NP	Israeli
inter	VVP	inter
spamming	VVG	spamming
for	IN	for
around	RB	around
47	CD	@card@
days	NNS	day
as	IN	as
uh	UH	uh
the	DT	the
uh	UH	uh
qat	NN	qat
and	CC	and
Egypt	NP	Egypt
had	VHD	have
largely	RB	largely
mediated	VVN	mediate
in	IN	in
order	NN	order
to	TO	to
reach	VV	reach
a	DT	a
SE	FW	se
fire	NN	fire
and	CC	and
to	TO	to
narrow	VV	narrow
Maps	NNS	map
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
they	PP	they
have	VHP	have
delayed	VVN	delay
the	DT	the
uh	UH	uh
the	DT	the
ceasefire	NN	ceasefire
till	IN	till
tomorrow	NN	tomorrow
in	IN	in
order	NN	order
to	TO	to
be	VB	be
healed	VVN	heal
due	RB	due
to	TO	to
some	DT	some
logistical	JJ	logistical
issues	NNS	issue
that	WDT	that
will	MD	will
be	VB	be
conducted	VVN	conduct
within	IN	within
the	DT	the
coming	VVG	come
hours	NNS	hour
as	IN	as
the	DT	the
uh	UH	uh
cut	NN	cut
reform	NN	reform
ministers	NNS	minister
said	VVD	say
that	IN/that	that
they	PP	they
are	VBP	be
ADV	NP	ADV
they	PP	they
are	VBP	be
reaching	VVG	reach
very	RB	very
Advanced	NP	Advanced
uh	UH	uh
uh	UH	uh
levels	NNS	level
in	IN	in
