<video_id>edwl4btHOgY</video_id>	JJ	<video_id>edwl4btHOgY</video_id>
<video_title>Al-Shifa	NN	<video_title>Al-Shifa
now	RB	now
almost	RB	almost
‘deserted’:	JJ	‘deserted’:
Hospital	NP	Hospital
director</video_title>	NN	director</video_title>
<thumbnail_path>data/en_AJ\Al-Shifa	NN	<thumbnail_path>data/en_AJ\Al-Shifa
now	RB	now
almost	RB	almost
‘deserted’	JJ	‘deserted’
Hospital	NP	Hospital
director.jpg</thumbnail_path>	NN	director.jpg</thumbnail_path>
<publish_date>20231118</publish_date>	NN	<publish_date>20231118</publish_date>
<doc>	NN	<doc>
I	PP	I
I	PP	I
want	VVP	want
to	TO	to
take	VV	take
you	PP	you
now	RB	now
to	TO	to
the	DT	the
voice	NN	voice
that	IN/that	that
we're	NN	we're
hearing	NN	hearing
on	IN	on
the	DT	the
phone	NN	phone
live	JJ	live
of	IN	of
Muhammad	NP	Muhammad
Abu	NP	Abu
we've	NN	we've
heard	VVD	hear
from	IN	from
him	PP	him
before	RB	before
here	RB	here
on	IN	on
Al	NP	Al
jazer	NN	jazer
he	PP	he
is	VBZ	be
the	DT	the
director	NN	director
of	IN	of
the	DT	the
alifa	NN	alifa
medical	JJ	medical
complex	NN	complex
which	WDT	which
as	RB	as
we've	NNS	we've
been	VBN	be
reporting	VVG	report
was	VBD	be
forced	VVN	force
to	TO	to
evacuate	VV	evacuate
this	DT	this
morning	NN	morning
let's	NNS	let's
listen	VVP	listen
in	IN	in
to	TO	to
what	WP	what
he	PP	he
has	VHZ	have
to	TO	to
say	VV	say
more	JJR	more
than	IN	than
dire	JJ	dire
the	DT	the
medical	JJ	medical
Crews	NP	Crews
cannot	MD	can
function	VV	function
without	IN	without
electricity	NN	electricity
oxygen	NN	oxygen
water	NN	water
or	CC	or
even	RB	even
food	NN	food
and	CC	and
what	WP	what
are	VBP	be
the	DT	the
last	JJ	last
proes	NNS	proes
you	PP	you
receive	VVP	receive
today	NN	today
the	DT	the
last	JJ	last
promise	NN	promise
we	PP	we
made	VVD	make
today	NN	today
that	IN/that	that
the	DT	the
newborn	JJ	newborn
babies	NNS	baby
will	MD	will
be	VB	be
taken	VVN	take
out	RP	out
of	IN	of
the	DT	the
incubators	NNS	incubator
and	CC	and
shifted	VVN	shift
uh	UH	uh
elsewhere	RB	elsewhere
in	IN	in
a	DT	a
step	NN	step
towards	IN	towards
transporting	VVG	transport
them	PP	them
into	IN	into
Egypt	NP	Egypt
then	RB	then
they	PP	they
will	MD	will
be	VB	be
followed	VVN	follow
by	IN	by
the	DT	the
patients	NNS	patient
who	WP	who
cannot	MD	can
move	VV	move
the	DT	the
amps	NNS	amp
and	CC	and
those	DT	those
with	IN	with
critical	JJ	critical
conditions	NNS	condition
as	RB	as
of	IN	of
now	RB	now
nothing	NN	nothing
has	VHZ	have
happened	VVN	happen
the	DT	the
situation	NN	situation
is	VBZ	be
really	RB	really
dire	JJ	dire
we	PP	we
do	VVP	do
not	RB	not
know	VV	know
of	IN	of
these	DT	these
promises	NNS	promise
will	MD	will
be	VB	be
fulfilled	VVN	fulfill
especially	RB	especially
that	IN/that	that
the	DT	the
all	PDT	all
the	DT	the
medical	JJ	medical
staff	NN	staff
has	VHZ	have
left	VVN	leave
only	RB	only
very	RB	very
few	JJ	few
including	VVG	include
myself	PP	myself
are	VBP	be
left	JJ	left
we	PP	we
are	VBP	be
out	RB	out
of	IN	of
service	VV	service
uh	UH	uh
weeks	NNS	week
ago	RB	ago
we	PP	we
are	VBP	be
without	IN	without
power	NN	power
weeks	NNS	week
ago	RB	ago
without	IN	without
water	NN	water
or	CC	or
food	NN	food
only	RB	only
those	DT	those
remaining	VVG	remain
in	IN	in
the	DT	the
hospital	NN	hospital
are	VBP	be
left	VVN	leave
to	TO	to
die	VV	die
there	EX	there
is	VBZ	be
no	DT	no
execuse	NN	execuse
for	IN	for
the	DT	the
Israelis	NPS	Israelis
to	TO	to
deny	VV	deny
them	PP	them
access	NN	access
or	CC	or
safe	JJ	safe
Passage	NP	Passage
the	DT	the
hospital	NN	hospital
is	VBZ	be
totally	RB	totally
deserted	VVN	desert
the	DT	the
remaining	VVG	remain
patients	NNS	patient
and	CC	and
victims	NNS	victim
are	VBP	be
lying	VVG	lie
in	IN	in
the	DT	the
corridor	NN	corridor
the	DT	the
situ	NN	situ
the	DT	the
hospital	NN	hospital
is	VBZ	be
surrounded	VVN	surround
by	IN	by
columns	NNS	column
of	IN	of
Tanks	NP	Tanks
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
are	VBP	be
inside	RB	inside
in	IN	in
on	IN	on
and	CC	and
on	IN	on
the	DT	the
roof	NN	roof
and	CC	and
about	RB	about
the	DT	the
hospital	NN	hospital
they	PP	they
are	VBP	be
in	IN	in
total	JJ	total
control	NN	control
even	RB	even
the	DT	the
few	JJ	few
remaining	VVG	remain
medical	JJ	medical
staff	NN	staff
cannot	MD	can
move	VV	move
freely	RB	freely
we	PP	we
cannot	MD	can
even	RB	even
do	VV	do
anything	NN	anything
without	IN	without
taking	VVG	take
permission	NN	permission
as	IN	as
I	PP	I
speak	VVP	speak
to	TO	to
you	PP	you
I	PP	I
am	VBP	be
surrounded	VVN	surround
by	IN	by
the	DT	the
Israel	NP	Israel
soldiers	NNS	soldier
we	PP	we
have	VHP	have
not	RB	not
been	VBN	be
