<video_id>zCKUMOO3vSg</video_id>	JJ	<video_id>zCKUMOO3vSg</video_id>
<video_title>All	NN	<video_title>All
bakeries	NNS	bakery
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
out	IN	out
of	IN	of
service:	JJ	service:
Officials</video_title>	NP	Officials</video_title>
<thumbnail_path>data/en_AJ\All	NN	<thumbnail_path>data/en_AJ\All
bakeries	NNS	bakery
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
out	IN	out
of	IN	of
service	NN	service
Officials.jpg</thumbnail_path>	NP	Officials.jpg</thumbnail_path>
<publish_date>20231107</publish_date>	NN	<publish_date>20231107</publish_date>
<doc>	NN	<doc>
more	JJR	more
trucks	NNS	truck
have	VHP	have
been	VBN	be
allowed	VVN	allow
through	IN	through
the	DT	the
rougher	JJR	rough
Crossing	NN	crossing
into	IN	into
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
the	DT	the
government	NN	government
in	IN	in
Gaza	NP	Gaza
says	VVZ	say
that	IN/that	that
the	DT	the
total	NN	total
allowed	VVN	allow
in	IN	in
during	IN	during
the	DT	the
last	JJ	last
17	CD	@card@
days	NNS	day
17	CD	@card@
days	NNS	day
that	DT	that
amounts	NNS	amount
to	TO	to
522	CD	@card@
that's	NNS	that's
equal	JJ	equal
to	TO	to
the	DT	the
number	NN	number
that	WDT	that
usually	RB	usually
enters	VVZ	enter
Gaza	NP	Gaza
in	IN	in
a	DT	a
single	JJ	single
day	NN	day
before	IN	before
hamas's	NN	hamas's
attacks	NNS	attack
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
the	DT	the
government	NN	government
has	VHZ	have
also	RB	also
announced	VVN	announce
that	IN/that	that
all	DT	all
bakeries	NNS	bakery
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
territory	NN	territory
have	VHP	have
also	RB	also
been	VBN	be
forced	VVN	force
to	TO	to
stop	VV	stop
operating	VVG	operate
well	RB	well
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
Bushra	NP	Bushra
khi	NNS	khi
she's	NNS	she's
the	DT	the
policy	NN	policy
lead	NN	lead
for	IN	for
Oxfam	NP	Oxfam
in	IN	in
the	DT	the
pal	NN	pal
inan	JJ	inan
territories	NNS	territory
in	IN	in
Israel	NP	Israel
she	PP	she
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
rala	NP	rala
Bush	NP	Bush
we	PP	we
just	RB	just
starting	VVG	start
with	IN	with
this	DT	this
food	NN	food
situation	NN	situation
and	CC	and
orx	NN	orx
famam	NN	famam
has	VHZ	have
said	VVN	say
that	IN/that	that
starvation	NN	starvation
is	VBZ	be
being	VBG	be
used	VVN	use
right	RB	right
now	RB	now
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
War	NP	War
now	RB	now
that	DT	that
we're	NN	we're
hearing	NN	hearing
that	IN/that	that
bakeries	NNS	bakery
in	IN	in
the	DT	the
north	NN	north
are	VBP	be
no	RB	no
longer	RBR	longer
operational	JJ	operational
where	WRB	where
are	VBP	be
people	NNS	people
getting	VVG	get
any	DT	any
sustenance	NN	sustenance
at	IN	at
the	DT	the
moment	NN	moment
um	NN	um
so	IN	so
people	NNS	people
in	IN	in
the	DT	the
north	NN	north
and	CC	and
in	IN	in
Gaza	NP	Gaza
City	NP	City
are	VBP	be
either	RB	either
queuing	VVG	queue
with	IN	with
um	NNS	um
to	TO	to
like	VV	like
people	NNS	people
are	VBP	be
are	VBP	be
baking	VVG	bake
bread	NN	bread
in	IN	in
their	PP$	their
own	JJ	own
homes	NNS	home
if	IN	if
they	PP	they
have	VHP	have
flower	VV	flower
uh	UH	uh
but	CC	but
we	PP	we
also	RB	also
know	VVP	know
that	IN/that	that
um	JJ	um
flower	NN	flower
supplies	NNS	supply
are	VBP	be
dwindling	VVG	dwindle
we	PP	we
also	RB	also
know	VVP	know
that	IN/that	that
Aid	NP	Aid
is	VBZ	be
not	RB	not
being	VBG	be
distributed	VVN	distribute
in	IN	in
Gaza	NP	Gaza
City	NP	City
or	CC	or
in	IN	in
the	DT	the
north	NN	north
so	RB	so
even	RB	even
though	IN	though
that	DT	that
Aid	NN	aid
so	RB	so
little	RB	little
not	RB	not
enough	RB	enough
only	RB	only
two	CD	two
it	PP	it
represents	VVZ	represent
only	RB	only
2%	CD	@card@
of	IN	of
food	NN	food
deliveries	NNS	delivery
that	WDT	that
would	MD	would
have	VH	have
been	VBN	be
carried	VVN	carry
out	RP	out
before	IN	before
7th	JJ	7th
of	IN	of
October	NP	October
um	NN	um
is	VBZ	be
not	RB	not
reaching	VVG	reach
um	JJ	um
affected	JJ	affected
communities	NNS	community
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
in	IN	in
the	DT	the
north	NN	north
and	CC	and
