welcome	JJ	welcome
to	TO	to
the	DT	the
newsour	NN	newsour
we	PP	we
begin	VVP	begin
in	IN	in
Gaza	NP	Gaza
where	WRB	where
at	IN	at
least	JJS	least
23	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
overnight	JJ	overnight
Israeli	JJ	Israeli
strikes	NNS	strike
several	JJ	several
areas	NNS	area
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
are	VBP	be
being	VBG	be
targeted	VVN	target
at	IN	at
least	JJS	least
four	CD	four
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Rafa	NP	Rafa
including	VVG	include
two	CD	two
children	NNS	child
scores	NNS	score
of	IN	of
the	DT	the
injured	JJ	injured
have	VHP	have
now	RB	now
been	VBN	be
taken	VVN	take
to	TO	to
hospital	NN	hospital
in	IN	in
carun	NN	carun
at	IN	at
least	JJS	least
13	CD	@card@
Palestinians	NNS	Palestinian
were	VBD	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
that	WDT	that
targeted	VVD	target
residential	JJ	residential
areas	NNS	area
around	IN	around
the	DT	the
al	NP	al
-	NN	-
NASA	NP	NASA
hospital	NN	hospital
and	CC	and
al	NP	al
-	NP	-
Amal	NP	Amal
area	NN	area
and	CC	and
a	DT	a
deal	NN	deal
has	VHZ	have
now	RB	now
been	VBN	be
broken	VVN	break
by	IN	by
katar	NP	katar
and	CC	and
France	NP	France
to	TO	to
allow	VV	allow
a	DT	a
limited	JJ	limited
supply	NN	supply
of	IN	of
medicine	NN	medicine
and	CC	and
other	JJ	other
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
now	RB	now
the	DT	the
deal	NN	deal
will	MD	will
see	VV	see
Palestinians	NNS	Palestinian
who	WP	who
are	VBP	be
facing	VVG	face
famine	NN	famine
likee	NN	likee
conditions	NNS	condition
receive	VVP	receive
some	DT	some
humanitarian	JJ	humanitarian
aid	NN	aid
while	IN	while
medication	NN	medication
will	MD	will
be	VB	be
sent	VVN	send
for	IN	for
45	CD	@card@
of	IN	of
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
we	PP	we
'	POS	'
ll	NNS	ll
get	VVP	get
more	JJR	more
on	IN	on
that	DT	that
Aid	NN	aid
with	IN	with
Stephanie	NP	Stephanie
DEA	NP	DEA
in	IN	in
a	DT	a
moment	NN	moment
who	WP	who
'	POS	'
s	NN	S
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
but	CC	but
first	JJ	first
let	NN	let
'	POS	'
s	NNS	s
cross	VVP	cross
over	RP	over
to	TO	to
hanni	NP	Hanni
Mahmud	NP	Mahmud
who	WP	who
'	POS	'
s	NN	S
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
and	CC	and
hany	NP	hany
it	PP	it
has	VHZ	have
to	TO	to
be	VB	be
said	VVN	say
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
no	DT	no
letup	NN	letup
in	IN	in
the	DT	the
daily	JJ	daily
bombardment	NN	bombardment
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	RB	so
just	RB	just
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
up	RB	up
to	TO	to
speed	VV	speed
on	IN	on
the	DT	the
overnight	JJ	overnight
raids	NNS	raid
and	CC	and
how	WRB	how
that	DT	that
'	''	'
s	NNS	s
impacted	VVD	impact
the	DT	the
search	NN	search
and	CC	and
rescue	NN	rescue
and	CC	and
Recovery	NN	recovery
operation	NN	operation
to	TO	to
a	DT	a
certain	JJ	certain
extent	NN	extent
yes	RB	yes
well	RB	well
the	DT	the
ongoing	JJ	ongoing
intense	JJ	intense
bombardment	NN	bombardment
just	RB	just
uh	UH	uh
making	VVG	make
it	PP	it
very	RB	very
difficult	JJ	difficult
for	IN	for
uh	UH	uh
a	DT	a
civil	JJ	civil
defensive	JJ	defensive
crew	NN	crew
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
conducting	VVG	conduct
their	PP$	their
work	NN	work
and	CC	and
search	NN	search
for	IN	for
more	JJR	more
people	NNS	people
trapped	VVN	trap
under	IN	under
the	DT	the
rubbles	NNS	rubble
overnight	RB	overnight
intense	JJ	intense
bombardment	NN	bombardment
here	RB	here
in	IN	in
rafah	NP	rafah
City	NP	City
again	RB	again
confirming	VVG	confirm
what	WP	what
people	NNS	people
have	VHP	have
said	VVN	say
in	IN	in
the	DT	the
past	NN	past
this	DT	this
place	NN	place
is	VBZ	be
not	RB	not
safe	JJ	safe
and	CC	and
increasingly	RB	increasingly
becoming	VVG	become
risky	JJ	risky
for	IN	for
the	DT	the
1	CD	@card@
.	SENT	.
9	CD	@card@
displaced	VVN	displace
Palestinians	NNS	Palestinian
been	VBN	be
squeezing	VVG	squeeze
this	DT	this
into	IN	into
this	DT	this
small	JJ	small
part	VV	part
uh	UH	uh
of	IN	of
the	DT	the
Gaza	NP	Gaza
street	NN	street
but	CC	but
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
two	CD	two
separate	JJ	separate
air	NN	air
strikes	NNS	strike
targeting	VVG	target
two	CD	two
residential	JJ	residential
homes	NNS	home
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
those	DT	those
reported	VVN	report
killed	VVN	kill
in	IN	in
the	DT	the
Nar	NP	Nar
hospital	NN	hospital
that	RB	that
'	POS	'
s	NN	S
in	IN	in
central	JJ	central
Rafa	NP	Rafa
where	WRB	where
a	DT	a
a	DT	a
children	NNS	child
and	CC	and
and	CC	and
women	NNS	woman
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
evacuating	VVG	evacuate
from	IN	from
one	CD	one
place	NN	place
to	TO	to
another	DT	another
in	IN	in
Khan	NP	Khan
Unis	NNS	uni
where	WRB	where
much	JJ	much
of	IN	of
the	DT	the
intense	JJ	intense
bombardment	NN	bombardment
have	VHP	have
taken	VVN	take
place	NN	place
resulting	VVG	result
in	IN	in
the	DT	the
death	NN	death
of	IN	of
more	JJR	more
than	IN	than
13	CD	@card@
people	NNS	people
in	IN	in
western	JJ	western
side	NN	side
of	IN	of
kanun	NN	kanun
is	VBZ	be
an	DT	an
area	NN	area
that	WDT	that
has	VHZ	have
been	VBN	be
largely	RB	largely
designated	VVN	designate
as	IN	as
safeer	NN	safeer
for	IN	for
internally	RB	internally
displaced	VVN	displace
Palestinians	NPS	Palestinians
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
has	VHZ	have
been	VBN	be
attacked	VVN	attack
repeatedly	RB	repeatedly
coming	VVG	come
under	IN	under
heavy	JJ	heavy
bombardment	NN	bombardment
since	IN	since
the	DT	the
beginning	VVG	begin
uh	UH	uh
of	IN	of
the	DT	the
war	NN	war
but	CC	but
more	RBR	more
intense	JJ	intense
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
ground	NN	ground
Invasion	NN	invasion
maybe	RB	maybe
the	DT	the
highlight	NN	highlight
of	IN	of
what	WP	what
happened	VVN	happen
is	VBZ	be
the	DT	the
fact	NN	fact
that	IN/that	that
under	IN	under
heavy	JJ	heavy
coverage	NN	coverage
of	IN	of
aerial	JJ	aerial
bombardment	NN	bombardment
Israeli	JJ	Israeli
tanks	NNS	tank
and	CC	and
armored	JJ	armored
vehicle	NN	vehicle
pushed	VVD	push
deeper	JJR	deep
into	IN	into
the	DT	the
vicinity	NN	vicinity
of	IN	of
Naser	NP	Naser
Hospital	NP	Hospital
uh	UH	uh
technically	RB	technically
in	IN	in
an	DT	an
area	NN	area
between	IN	between
uh	UH	uh
the	DT	the
Jordanian	JJ	Jordanian
field	NN	field
hospital	NN	hospital
and	CC	and
a	DT	a
couple	NN	couple
hundred	CD	hundred
meters	NNS	meter
away	RB	away
from	IN	from
ner	NN	ner
hospital	NN	hospital
that	RB	that
'	POS	'
s	NNS	s
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
area	NN	area
very	RB	very
crowded	VVN	crowd
area	NN	area
with	IN	with
uh	UH	uh
lots	NNS	lot
of	IN	of
residential	JJ	residential
uh	UH	uh
homes	NNS	home
but	CC	but
blocking	VVG	block
the	DT	the
road	NN	road
that	IN/that	that
leading	VVG	lead
to	TO	to
the	DT	the
main	JJ	main
road	NN	road
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
on	IN	on
their	PP$	their
way	NN	way
those	DT	those
tanks	NNS	tank
and	CC	and
armed	JJ	armed
vehicle	NN	vehicle
destroyed	VVD	destroy
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
infrastructure	NN	infrastructure
much	RB	much
of	IN	of
the	DT	the
residential	JJ	residential
home	NN	home
on	IN	on
the	DT	the
sides	VVZ	side
uh	UH	uh
of	IN	of
the	DT	the
main	JJ	main
roads	NNS	road
leading	VVG	lead
to	TO	to
the	DT	the
hospital	NN	hospital
where	WRB	where
snipers	NNS	sniper
took	VVD	take
position	NN	position
on	IN	on
the	DT	the
remaining	VVG	remain
high	JJ	high
-	NN	-
rise	NN	rise
building	NN	building
around	IN	around
the	DT	the
uh	UH	uh
the	DT	the
hospital	NN	hospital
and	CC	and
shooting	VVG	shoot
