<video_id>yybgH3B_ikE</video_id>	JJ	<video_id>yybgH3B_ikE</video_id>
<video_title>Anti-war	JJ	<video_title>Anti-war
Protests	NNS	protest
in	IN	in
US:	JJ	US:
Rallies	NNS	rally
held	VVN	hold
in	IN	in
New	NP	New
York	NP	York
to	TO	to
support	VV	support
detained	VVN	detain
students</video_title>	NN	students</video_title>
<thumbnail_path>data/en_AJ\Anti-war	NN	<thumbnail_path>data/en_AJ\Anti-war
Protests	NNS	protest
in	IN	in
US	NP	US
Rallies	NNS	rally
held	VVN	hold
in	IN	in
New	NP	New
York	NP	York
to	TO	to
support	VV	support
detained	VVN	detain
students.jpg</thumbnail_path>	NN	students.jpg</thumbnail_path>
<publish_date>20240502</publish_date>	NN	<publish_date>20240502</publish_date>
<doc>	NN	<doc>
they	PP	they
showed	VVD	show
up	RP	up
outside	IN	outside
Columbia	NP	Columbia
University	NP	University
to	TO	to
support	VV	support
the	DT	the
student	NN	student
protesters	NNS	protester
detained	VVN	detain
during	IN	during
the	DT	the
raid	NN	raid
on	IN	on
this	DT	this
campus	NN	campus
Tuesday	NP	Tuesday
evening	NN	evening
they	PP	they
say	VVP	say
students	NNS	student
need	VVP	need
to	TO	to
be	VB	be
heard	VVN	hear
not	RB	not
imprisoned	VVN	imprison
the	DT	the
students	NNS	student
are	VBP	be
understandably	RB	understandably
upset	VVN	upset
at	IN	at
what's	NNS	what's
happening	VVG	happen
in	IN	in
the	DT	the
world	NN	world
and	CC	and
they	PP	they
have	VHP	have
a	DT	a
right	NN	right
and	CC	and
they	PP	they
have	VHP	have
the	DT	the
duty	NN	duty
as	IN	as
moral	JJ	moral
individuals	NNS	individual
to	TO	to
protest	NN	protest
police	NNS	police
entered	VVD	enter
Hamilton	NP	Hamilton
Hall	NP	Hall
at	IN	at
the	DT	the
University	NP	University
campus	NN	campus
to	TO	to
remove	VV	remove
students	NNS	student
who	WP	who
had	VHD	have
barricaded	VVN	barricade
themselves	PP	themselves
inside	IN	inside
it's	NNS	it's
the	DT	the
second	JJ	second
time	NN	time
police	NNS	police
went	VVD	go
into	IN	into
the	DT	the
university	NN	university
in	IN	in
2	CD	@card@
weeks	NNS	week
at	IN	at
least	JJS	least
300	CD	@card@
people	NNS	people
were	VBD	be
detained	VVN	detain
in	IN	in
Colombia	NP	Colombia
and	CC	and
in	IN	in
the	DT	the
City	NP	City
University	NP	University
of	IN	of
New	NP	New
York	NP	York
but	CC	but
in	IN	in
spite	NN	spite
of	IN	of
the	DT	the
violence	NN	violence
students	NNS	student
have	VHP	have
returned	VVN	return
to	TO	to
the	DT	the
streets	NNS	street
this	DT	this
is	VBZ	be
what	WP	what
many	JJ	many
campuses	NNS	campus
not	RB	not
only	RB	only
in	IN	in
New	NP	New
York	NP	York
City	NP	City
but	CC	but
across	IN	across
the	DT	the
United	NP	United
States	NPS	States
look	VVP	look
like	IN	like
with	IN	with
a	DT	a
very	RB	very
strong	JJ	strong
police	NN	police
presence	NN	presence
but	CC	but
the	DT	the
students	NNS	student
that	IN/that	that
you	PP	you
can	MD	can
see	VV	see
here	RB	here
say	VV	say
that	IN/that	that
they	PP	they
won't	VVD	won't
stop	VV	stop
they	PP	they
say	VV	say
they're	NN	they're
the	DT	the
Next	NP	Next
Generation	NP	Generation
in	IN	in
this	DT	this
country	NN	country
they're	NN	they're
angry	JJ	angry
because	IN	because
of	IN	of
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
they're	NN	they're
angry	JJ	angry
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
foreign	JJ	foreign
policy	NN	policy
and	CC	and
its	PP$	its
support	NN	support
of	IN	of
Israel	NP	Israel
and	CC	and
that's	NNS	that's
why	WRB	why
they	PP	they
want	VVP	want
to	TO	to
make	VV	make
their	PP$	their
voices	NNS	voice
heard	VVD	hear
that	WDT	that
may	MD	may
be	VB	be
fine	JJ	fine
to	TO	to
other	JJ	other
people	NNS	people
but	CC	but
it's	NNS	it's
not	RB	not
to	TO	to
me	FW	me
New	NP	New
York	NP	York
city	NN	city
mayor	NN	mayor
Eric	NP	Eric
Adam	NP	Adam
said	VVD	say
the	DT	the
students	NNS	student
were	VBD	be
influenced	VVN	influence
by	IN	by
outside	JJ	outside
agitators	NNS	agitator
but	CC	but
those	DT	those
who	WP	who
broke	VVD	break
into	IN	into
the	DT	the
building	NN	building
did	VVD	do
include	VV	include
students	NNS	student
it	PP	it
was	VBD	be
led	VVN	lead
by	IN	by
individuals	NNS	individual
who	WP	who
are	VBP	be
not	RB	not
affiliated	VVN	affiliate
with	IN	with
the	DT	the
university	NN	university
they	PP	they
needed	VVD	need
the	DT	the
school	NN	school
needed	VVD	need
the	DT	the
nypd's	NNS	nypd's
assistance	NN	assistance
to	TO	to
clear	VV	clear
Hamilton	NP	Hamilton
Hall	NP	Hall
and	CC	and
the	DT	the
encampments	NNS	encampment
outside	IN	outside
reolution	NN	reolution
but	CC	but
this	DT	this
is	VBZ	be
something	NN	something
the	DT	the
students	NNS	student
and	CC	and
the	DT	the
faculty	NN	faculty
deny	VVP	deny
it	PP	it
was	VBD	be
students	NNS	student
it	PP	it
was	VBD	be
students	NNS	student
at	IN	at
this	DT	this
University	NP	University
undergraduate	NN	undergraduate
students	NNS	student
graduate	VVP	graduate
students	NNS	student
the	DT	the
outside	JJ	outside
agitators	NNS	agitator
in	IN	in
this	DT	this
case	NN	case
are	VBP	be
the	DT	the
republicans	NNS	republican
in	IN	in
Congress	NP	Congress
are	VBP	be
mayor	NN	mayor
Adams	NP	Adams
Senator	NP	Senator
Chuck	NP	Chuck
Schumer	NP	Schumer
they're	NN	they're
The	DT	the
Outsiders	NNS	outsider
trying	VVG	try
to	TO	to
tell	VV	tell
our	PP$	our
University	NN	university
how	WRB	how
to	TO	to
run	VV	run
its	PP$	its
Affairs	NPS	Affairs
we	PP	we
don't	VVD	don't
get	VV	get
it	PP	it
students	NNS	student
are	VBP	be
trying	VVG	try
not	RB	not
to	TO	to
lose	VV	lose
momentum	NN	momentum
in	IN	in
New	NP	New
York	NP	York
City	NP	City
in	IN	in
fordam	NP	fordam
University	NP	University
students	NNS	student
carried	VVD	carry
out	RP	out
a	DT	a
sit	NN	sit
in	IN	in
on	IN	on
the	DT	the
campus	NN	campus
and	CC	and
again	RB	again
they	PP	they
were	VBD	be
forced	VVN	force
out	RP	out
and	CC	and
arrested	VVN	arrest
by	IN	by
the	DT	the
police	NN	police
but	CC	but
the	DT	the
students	NNS	student
don't	NN	don't
seem	VVP	seem
to	TO	to
be	VB	be
afraid	JJ	afraid
they	PP	they
say	VVP	say
they're	NN	they're
fighting	VVG	fight
for	IN	for
a	DT	a
just	JJ	just
cause	NN	cause
and	CC	and
will	MD	will
continue	VV	continue
demanding	VVG	demand
for	IN	for
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
to	TO	to
stop	VV	stop
the	DT	the
alj	NP	alj
New	NP	New
York	NP	York
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
