let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Marwan	NP	Marwan
Bashar	NP	Bashar
now	IN	now
Marwan	NP	Marwan
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
what	WP	what
'	POS	'
s	NNS	s
come	VVP	come
out	RP	out
of	IN	of
The	DT	the
Summit	NP	Summit
in	IN	in
Riad	NP	Riad
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
the	DT	the
statement	NN	statement
is	VBZ	be
it	PP	it
strong	JJ	strong
enough	RB	enough
is	VBZ	be
a	DT	a
statement	NN	statement
enough	RB	enough
I	PP	I
think	VVP	think
the	DT	the
the	DT	the
statement	NN	statement
is	VBZ	be
is	VBZ	be
quite	RB	quite
strong	JJ	strong
and	CC	and
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
important	JJ	important
it	PP	it
'	''	'
s	NNS	s
quite	RB	quite
significant	JJ	significant
because	IN	because
it	PP	it
does	VVZ	do
Express	NP	Express
uh	UH	uh
the	DT	the
opinion	NN	opinion
and	CC	and
the	DT	the
will	NN	will
of	IN	of
57	CD	@card@
Arab	JJ	Arab
and	CC	and
Muslim	JJ	Muslim
majority	NN	majority
countries	NNS	country
there	EX	there
is	VBZ	be
absolutely	RB	absolutely
no	RB	no
no	DT	no
doubt	NN	doubt
that	IN/that	that
when	WRB	when
almost	RB	almost
onethird	NN	onethird
of	IN	of
the	DT	the
world	NN	world
States	NNS	state
speak	VVP	speak
with	IN	with
one	CD	one
voice	NN	voice
and	CC	and
speak	VV	speak
with	IN	with
one	CD	one
clear	JJ	clear
voice	NN	voice
that	DT	that
one	CD	one
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
acceptable	JJ	acceptable
that	IN/that	that
it	PP	it
is	VBZ	be
war	NN	war
crime	NN	crime
and	CC	and
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	NN	S
and	CC	and
America	NP	America
'	POS	'
s	JJ	s
Claim	NN	claim
about	IN	about
self	JJ	self
-	NN	-
defense	NN	defense
is	VBZ	be
not	RB	not
justifiable	JJ	justifiable
is	VBZ	be
not	RB	not
accepted	VVN	accept
and	CC	and
taking	VVG	take
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
steps	NNS	step
albe	VVP	albe
it	PP	it
rhetorical	JJ	rhetorical
and	CC	and
legal	JJ	legal
against	IN	against
Israel	NP	Israel
now	RB	now
in	IN	in
reality	NN	reality
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
countries	NNS	country
are	VBP	be
not	RB	not
in	IN	in
speaking	VVG	speak
terms	NNS	term
with	IN	with
one	CD	one
another	DT	another
some	DT	some
of	IN	of
these	DT	these
leaders	NNS	leader
don	NN	don
'	POS	'
t	NN	t
even	RB	even
talk	VV	talk
to	TO	to
one	CD	one
another	DT	another
some	DT	some
of	IN	of
these	DT	these
countries	NNS	country
are	VBP	be
actually	RB	actually
enemies	NNS	enemy
with	IN	with
one	CD	one
another	DT	another
don	NN	don
'	POS	'
t	NN	t
even	RB	even
have	VHP	have
diplomatic	JJ	diplomatic
relationships	NNS	relationship
with	IN	with
one	CD	one
another	DT	another
and	CC	and
yet	RB	yet
they	PP	they
'	POS	'
ve	NNS	ve
come	VVP	come
together	RB	together
for	IN	for
this	DT	this
it	PP	it
wasn	NP	wasn
'	POS	'
t	NN	t
supposed	VVN	suppose
to	TO	to
be	VB	be
a	DT	a
summit	NN	summit
with	IN	with
so	RB	so
many	JJ	many
countries	NNS	country
absolutely	RB	absolutely
so	IN	so
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
the	DT	the
this	NN	this
is	VBZ	be
not	RB	not
a	DT	a
European	JJ	European
Union	NP	Union
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
Muslim	NP	Muslim
Union	NP	Union
this	DT	this
is	VBZ	be
not	RB	not
an	DT	an
Arab	NP	Arab
Union	NP	Union
this	DT	this
is	VBZ	be
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
countries	NNS	country
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
completely	RB	completely
dependent	JJ	dependent
on	IN	on
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
their	PP$	their
survival	NN	survival
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
clients	NNS	client
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
enemies	NNS	enemy
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
some	DT	some
of	IN	of
them	PP	them
normalize	VVP	normalize
relationship	NN	relationship
with	IN	with
Israel	NP	Israel
so	IN	so
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
'	''	'
re	IN	re
all	DT	all
coming	VVG	come
together	RB	together
and	CC	and
speak	VV	speak
with	IN	with
one	CD	one
clear	JJ	clear
voice	NN	voice
I	PP	I
think	VVP	think
that	IN/that	that
'	POS	'
s	JJ	s
significant	JJ	significant
and	CC	and
it	PP	it
could	MD	could
have	VH	have
repercussions	NNS	repercussion
now	RB	now
of	IN	of
course	NN	course
expectations	NNS	expectation
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
social	JJ	social
media	NNS	medium
and	CC	and
what	WP	what
people	NNS	people
are	VBP	be
saying	VVG	say
everyone	NN	everyone
is	VBZ	be
frustrated	VVN	frustrate
because	IN	because
after	IN	after
all	PDT	all
the	DT	the
speeches	NNS	speech
and	CC	and
all	PDT	all
the	DT	the
communic	NN	Communic
in	IN	in
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
medicine	NN	medicine
food	NN	food
fuel	NN	fuel
is	VBZ	be
not	RB	not
reaching	VVG	reach
the	DT	the
people	NNS	people
in	IN	in
God	NP	God
Gaza	NP	Gaza
The	DT	the
Killing	VVG	kill
Fields	NP	Fields
in	IN	in
Gaza	NP	Gaza
continue	VVP	continue
the	DT	the
war	NN	war
crimes	NNS	crime
continue	VV	continue
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
Israel	NP	Israel
did	VVD	do
not	RB	not
translate	VV	translate
the	DT	the
final	JJ	final
communicate	VV	communicate
to	TO	to
Hebrew	NP	Hebrew
to	TO	to
understand	VV	understand
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
this	DT	this
could	MD	could
be	VB	be
a	DT	a
pressure	NN	pressure
on	IN	on
Western	JJ	Western
countries	NNS	country
especially	RB	especially
the	DT	the
United	NP	United
States	NPS	States
who	WP	who
without	IN	without
them	PP	them
I	PP	I
think	VVP	think
Israel	NP	Israel
would	MD	would
think	VV	think
twice	RB	twice
about	IN	about
continuing	VVG	continue
its	PP$	its
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
so	IN	so
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
important	JJ	important
strategically	RB	strategically
it	PP	it
'	POS	'
s	NN	S
not	RB	not
actionable	JJ	actionable
and	CC	and
that	WDT	that
'	POS	'
s	NNS	s
frustrating	VVG	frustrate
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
and	CC	and
yet	RB	yet
it	PP	it
is	VBZ	be
significant	JJ	significant
and	CC	and
you	PP	you
know	VVP	know
any	DT	any
time	NN	time
that	IN/that	that
there	EX	there
are	VBP	be
attacks	NNS	attack
in	IN	in
Gaza	NP	Gaza
during	IN	during
all	DT	all
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
Wars	NNS	war
on	IN	on
Gaza	NP	Gaza
you	PP	you
always	RB	always
hear	VVP	hear
people	NNS	people
say	VVP	say
but	CC	but
where	WRB	where
are	VBP	be
the	DT	the
Arab	JJ	Arab
countries	NNS	country
what	WP	what
are	VBP	be
they	PP	they
doing	VVG	do
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
what	WP	what
are	VBP	be
they	PP	they
doing	VVG	do
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
is	VBZ	be
there	RB	there
anything	NN	anything
that	IN/that	that
they	PP	they
can	MD	can
do	VV	do
right	RB	right
now	RB	now
in	IN	in
the	DT	the
immediate	JJ	immediate
term	NN	term
to	TO	to
stop	VV	stop
to	TO	to
get	VV	get
Israel	NP	Israel
to	TO	to
stop	VV	stop
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
well	RB	well
this	DT	this
this	DT	this
is	VBZ	be
a	DT	a
thing	NN	thing
right	NN	right
I	PP	I
mean	VVP	mean
so	RB	so
now	RB	now
uh	UH	uh
countries	NNS	country
that	WDT	that
are	VBP	be
bordering	VVG	border
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
for	IN	for
example	NN	example
take	VVP	take
Egypt	NP	Egypt
right	NN	right
Egypt	NP	Egypt
now	RB	now
could	MD	could
say	VV	say
that	IN/that	that
it	PP	it
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
resolution	NN	resolution
by	IN	by
fellow	JJ	fellow
Arab	JJ	Arab
and	CC	and
Muslim	JJ	Muslim
countries	NNS	country
57	CD	@card@
of	IN	of
them	PP	them
that	DT	that
say	VVP	say
that	IN/that	that
Egypt	NP	Egypt
has	VHZ	have
a	DT	a
right	NN	right
indeed	RB	indeed
I	PP	I
think	VVP	think
an	DT	an
obligation	NN	obligation
to	TO	to
help	VV	help
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
and	CC	and
to	TO	to
break	VV	break
the	DT	the
siege	NN	siege
of	IN	of
necessary	JJ	necessary
because	IN	because
it	PP	it
is	VBZ	be
part	NN	part
and	CC	and
partial	JJ	partial
to	TO	to
The	DT	the
Siege	NN	siege
in	IN	in
other	JJ	other
words	NNS	word
the	DT	the
final	JJ	final
communic	NN	Communic
could	MD	could
be	VB	be
materialized	VVN	materialize
by	IN	by
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
countries	NNS	country
who	WP	who
are	VBP	be
serious	JJ	serious
about	IN	about
um	NNS	um
putting	VVG	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
those	DT	those
countries	NNS	country
who	WP	who
are	VBP	be
normalized	VVN	normalize
relations	NNS	relation
could	MD	could
now	RB	now
say	VV	say
we	PP	we
going	VVG	go
to	TO	to
sever	VV	sever
relations	NNS	relation
with	IN	with
Israel	NP	Israel
because	IN	because
there	EX	there
is	VBZ	be
57	CD	@card@
countries	NNS	country
behind	IN	behind
us	PP	us
who	WP	who
all	RB	all
say	VVP	say
what	WP	what
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
is	VBZ	be
war	NN	war
crimes	NNS	crime
we	PP	we
cannot	MD	can
continue	VV	continue
to	TO	to
have	VH	have
diplomatic	JJ	diplomatic
relations	NNS	relation
now	RB	now
the	DT	the
problem	NN	problem
with	IN	with
the	DT	the
Arab	JJ	Arab
world	NN	world
and	CC	and
the	DT	the
problem	NN	problem
with	IN	with
the	DT	the
expectations	NNS	expectation
of	IN	of
the	DT	the
Arab	JJ	Arab
world	NN	world
is	VBZ	be
that	IN/that	that
they	PP	they
are	VBP	be
fanciful	JJ	fanciful
the	DT	the
Arab	JJ	Arab
world	NN	world
is	VBZ	be
not	RB	not
United	VVN	unite
and	CC	and
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
it	PP	it
is	VBZ	be
impotent	JJ	impotent
and	CC	and
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
it	PP	it
also	RB	also
is	VBZ	be
destroyed	VVN	destroy
by	IN	by
Civil	NP	Civil
Wars	NPS	Wars
those	DT	those
who	WP	who
are	VBP	be
capable	JJ	capable
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
take	VV	take
action	NN	action
those	DT	those
who	WP	who
are	VBP	be
not	RB	not
capable	JJ	capable
can	MD	can
say	VV	say
all	DT	all
they	PP	they
want	VVP	want
but	CC	but
they	PP	they
are	VBP	be
not	RB	not
effective	JJ	effective
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
so	IN	so
it	PP	it
is	VBZ	be
a	DT	a
poor	JJ	poor
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
say	VV	say
desperate	JJ	desperate
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
poor	JJ	poor
situation	NN	situation
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
once	RB	once
again	RB	again
because	RB	because
of	IN	of
how	WRB	how
poor	JJ	poor
the	DT	the
situation	NN	situation
is	VBZ	be
and	CC	and
because	RB	because
of	IN	of
how	WRB	how
divided	JJ	divided
are	VBP	be
the	DT	the
Arab	JJ	Arab
majority	NN	majority
and	CC	and
Muslim	JJ	Muslim
majority	NN	majority
countries	NNS	country
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
could	MD	could
all	RB	all
agree	VV	agree
on	IN	on
this	DT	this
one	CD	one
very	RB	very
particular	JJ	particular
commun	NN	Commun
I	PP	I
think	VVP	think
that	DT	that
'	''	'
s	NNS	s
important	JJ	important
it	PP	it
falls	VVZ	fall
short	JJ	short
in	IN	in
what	WP	what
is	VBZ	be
needed	VVN	need
but	CC	but
let	VVN	let
'	''	'
s	NNS	s
say	VVP	say
let	VV	let
see	VV	see
if	IN	if
it	PP	it
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
start	NN	start
you	PP	you
mentioned	VVD	mention
the	DT	the
neighboring	JJ	neighboring
countries	NNS	country
what	WP	what
they	PP	they
can	MD	can
what	WP	what
they	PP	they
can	MD	can
'	''	'
t	NN	t
do	VVP	do
Israel	NP	Israel
'	POS	'
s	JJ	s
defense	NN	defense
minister	NN	minister
said	VVD	say
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
had	VHD	have
a	DT	a
very	RB	very
strong	JJ	strong
warning	NN	warning
for	IN	for
Hezbollah	NP	Hezbollah
in	IN	in
Lebanon	NP	Lebanon
saying	VVG	say
that	IN/that	that
civilians	NNS	civilian
if	IN	if
Lebanon	NP	Lebanon
tries	VVZ	try
to	TO	to
join	VV	join
the	DT	the
war	NN	war
that	IN/that	that
the	DT	the
civilians	NNS	civilian
will	MD	will
pay	VV	pay
will	MD	will
be	VB	be
the	DT	the
first	JJ	first
to	TO	to
pay	VV	pay
the	DT	the
price	NN	price
war	NN	war
criminals	NNS	criminal
honestly	RB	honestly
I	PP	I
mean	VVP	mean
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
saying	VVG	say
that	IN/that	that
lightly	RB	lightly
and	CC	and
not	RB	not
giving	VVG	give
my	PP$	my
