let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Far	RB	far
kadan	JJ	kadan
she	PP	she
'	''	'
s	VVG	s
a	DT	a
Canadian	JJ	Canadian
Palestinian	NN	Palestinian
who	WP	who
has	VHZ	have
many	JJ	many
family	NN	family
members	NNS	member
and	CC	and
friends	NNS	friend
in	IN	in
Gaza	NP	Gaza
she	PP	she
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Ottawa	NP	Ottawa
in	IN	in
Canada	NP	Canada
uh	UH	uh
far	RB	far
so	RB	so
I	PP	I
understand	VVP	understand
you	PP	you
were	VBD	be
born	VVN	bear
in	IN	in
Gaza	NP	Gaza
you	PP	you
spent	VVD	spend
much	RB	much
of	IN	of
your	PP$	your
childhood	NN	childhood
there	RB	there
now	RB	now
you	PP	you
have	VHP	have
many	JJ	many
friends	NNS	friend
and	CC	and
family	NN	family
members	NNS	member
living	VVG	live
under	IN	under
this	DT	this
constant	JJ	constant
Israel	NP	Israel
bombing	NN	bombing
what	WP	what
'	POS	'
s	NN	S
it	PP	it
like	VVP	like
for	IN	for
you	PP	you
living	VVG	live
so	RB	so
far	RB	far
away	RB	away
in	IN	in
Canada	NP	Canada
watching	VVG	watch
all	DT	all
of	IN	of
this	DT	this
horror	NN	horror
unfold	VV	unfold
on	IN	on
television	NN	television
you	PP	you
'	''	'
re	IN	re
seeing	VVG	see
the	DT	the
violence	NN	violence
the	DT	the
blood	NN	blood
shed	VVD	shed
you	PP	you
must	MD	must
be	VB	be
feeling	VVG	feel
a	DT	a
deep	JJ	deep
sense	NN	sense
of	IN	of
helplessness	NN	helplessness
um	VVG	um
hi	UH	hi
Darren	NP	Darren
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
um	VVZ	um
I	PP	I
honestly	RB	honestly
oftentimes	NNS	oftentime
don	NN	don
'	POS	'
t	NN	t
find	VV	find
the	DT	the
words	NNS	word
to	TO	to
really	RB	really
articulate	VV	articulate
what	WP	what
it	PP	it
'	POS	'
s	NN	S
felt	VVD	feel
like	IN	like
um	NNS	um
for	IN	for
me	PP	me
and	CC	and
for	IN	for
so	RB	so
many	JJ	many
people	NNS	people
who	WP	who
align	VVP	align
themselves	PP	themselves
with	IN	with
uh	UH	uh
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
Palestine	NP	Palestine
uh	UH	uh
the	DT	the
dehumanization	NN	dehumanization
that	IN/that	that
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
witnessing	VVG	witness
from	IN	from
all	DT	all
you	PP	you
know	VVP	know
corners	NNS	corner
from	IN	from
from	IN	from
our	PP$	our
government	NN	government
our	PP$	our
elected	VVN	elect
officials	NNS	official
down	RB	down
to	TO	to
um	NN	um
the	DT	the
media	NNS	medium
groups	NNS	group
here	RB	here
in	IN	in
Canada	NP	Canada
and	CC	and
really	RB	really
across	IN	across
the	DT	the
world	NN	world
has	VHZ	have
been	VBN	be
uh	UH	uh
just	RB	just
just	RB	just
horrifying	VVG	horrify
in	IN	in
to	TO	to
witness	VV	witness
uh	UH	uh
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
fueling	VVG	fuel
and	CC	and
justifying	VVG	justify
the	DT	the
horrific	JJ	horrific
Slaughter	NP	Slaughter
and	CC	and
violent	JJ	violent
displacement	NN	displacement
of	IN	of
a	DT	a
people	NNS	people
that	WDT	that
have	VHP	have
been	VBN	be
besieged	VVN	besiege
in	IN	in
what	WP	what
'	POS	'
s	NNS	s
being	VBG	be
dubbed	VVN	dub
a	DT	a
death	NN	death
camp	NN	camp
within	IN	within
the	DT	the
uh	UH	uh
confines	NNS	confine
and	CC	and
borders	NNS	border
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
um	JJ	um
day	NN	day
in	IN	in
and	CC	and
day	NN	day
out	IN	out
we	PP	we
have	VHP	have
been	VBN	be
you	PP	you
know	VVP	know
struggling	VVG	struggle
to	TO	to
you	PP	you
know	VVP	know
find	VV	find
the	DT	the
words	NNS	word
for	IN	for
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
uh	UH	uh
trying	VVG	try
to	TO	to
keep	VV	keep
in	IN	in
touch	NN	touch
with	IN	with
our	PP$	our
loved	VVN	love
ones	NNS	one
from	IN	from
so	RB	so
far	RB	far
away	RB	away
not	RB	not
knowing	VVG	know
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
wake	VV	wake
up	RP	up
and	CC	and
hear	VV	hear
from	IN	from
them	PP	them
or	CC	or
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
hear	VV	hear
wake	NN	wake
up	RP	up
and	CC	and
hear	VV	hear
you	PP	you
know	VV	know
horrifying	VVG	horrify
news	NN	news
it	PP	it
'	POS	'
s	NN	S
um	VVG	um
it	PP	it
'	POS	'
s	NN	S
really	RB	really
quite	RB	quite
shameful	JJ	shameful
what	WP	what
we	PP	we
'	POS	'
re	NN	re
witnessing	VVG	witness
from	IN	from
so	RB	so
far	RB	far
away	RB	away
and	CC	and
far	RB	far
I	PP	I
understand	VVP	understand
you	PP	you
have	VHP	have
family	NN	family
members	NNS	member
in	IN	in
Gaza	NP	Gaza
who	WP	who
are	VBP	be
diabetic	JJ	diabetic
uh	UH	uh
they	PP	they
require	VVP	require
regular	JJ	regular
checkouts	NNS	checkout
but	CC	but
of	IN	of
course	NN	course
most	JJS	most
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
are	VBP	be
not	RB	not
working	VVG	work
due	JJ	due
to	TO	to
the	DT	the
bombing	VVG	bomb
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
damaged	VVN	damage
or	CC	or
lack	NN	lack
of	IN	of
water	NN	water
fuel	NN	fuel
electricity	NN	electricity
uh	UH	uh
and	CC	and
medical	JJ	medical
supplies	NNS	supply
how	WRB	how
are	VBP	be
they	PP	they
coping	VVG	cope
on	IN	on
the	DT	the
ground	NN	ground
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
from	IN	from
them	PP	them
they	PP	they
'	''	'
re	IN	re
they	PP	they
'	POS	'
re	NN	re
in	IN	in
the	DT	the
same	JJ	same
boat	NN	boat
as	IN	as
everyone	NN	everyone
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
there	EX	there
is	VBZ	be
no	DT	no
access	NN	access
to	TO	to
any	DT	any
medical	JJ	medical
facilities	NNS	facility
any	DT	any
support	NN	support
any	DT	any
medication	NN	medication
oftentimes	NNS	oftentime
they	PP	they
'	POS	'
re	NN	re
unable	JJ	unable
to	TO	to
really	RB	really
reach	VV	reach
any	DT	any
facilities	NNS	facility
where	WRB	where
they	PP	they
can	MD	can
get	VV	get
the	DT	the
care	NN	care
that	IN/that	that
they	PP	they
require	VVP	require
um	VVG	um
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
you	PP	you
'	''	'
re	IN	re
witnessing	VVG	witness
the	DT	the
same	JJ	same
statistics	NNS	statistic
that	WDT	that
are	VBP	be
coming	VVG	come
out	RP	out
from	IN	from
there	RB	there
and	CC	and
seeing	VVG	see
the	DT	the
same	JJ	same
footage	NN	footage
and	CC	and
images	NNS	image
of	IN	of
the	DT	the
you	PP	you
know	VVP	know
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NNS	Palestinian
that	WDT	that
have	VHP	have
been	VBN	be
uh	UH	uh
injured	VVN	injure
in	IN	in
the	DT	the
last	JJ	last
uh	UH	uh
you	PP	you
know	VVP	know
35	CD	@card@
Plus	NP	Plus
days	NNS	day
um	NN	um
everyone	NN	everyone
is	VBZ	be
in	IN	in
the	DT	the
same	JJ	same
boat	NN	boat
everyone	NN	everyone
is	VBZ	be
uh	UH	uh
rationing	VVG	ration
food	NN	food
everyone	NN	everyone
is	VBZ	be
trying	VVG	try
to	TO	to
to	TO	to
reconcile	VV	reconcile
whether	IN	whether
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
awake	RB	awake
the	DT	the
next	JJ	next
day	NN	day
if	IN	if
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
survive	VV	survive
the	DT	the
following	VVG	follow
week	NN	week
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
um	JJ	um
incredibly	RB	incredibly
difficult	JJ	difficult
and	CC	and
it	PP	it
we	PP	we
can	MD	can
see	VV	see
and	CC	and
we	PP	we
can	MD	can
sense	VV	sense
we	PP	we
can	MD	can
feel	VV	feel
the	DT	the
helplessness	NN	helplessness
that	RB	that
'	POS	'
s	RB	s
been	VBN	be
seeping	VVG	seep
into	IN	into
their	PP$	their
voices	NNS	voice
and	CC	and
every	DT	every
time	NN	time
that	IN/that	that
we	PP	we
try	VVP	try
to	TO	to
get	VV	get
in	IN	in
touch	NN	touch
with	IN	with
them	PP	them
and	CC	and
witnessing	VVG	witness
it	PP	it
from	IN	from
so	RB	so
far	RB	far
away	RB	away
has	VHZ	have
just	RB	just
been	VBN	be
absolutely	RB	absolutely
devastating	JJ	devastating
far	RB	far
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
uh	UH	uh
about	RB	about
the	DT	the
Palestinian	JJ	Palestinian
diaspora	NN	Diaspora
in	IN	in
Canada	NP	Canada
what	WP	what
'	POS	'
s	NNS	s
the	DT	the
mood	NN	mood
uh	UH	uh
among	IN	among
your	PP$	your
community	NN	community
there	RB	there
about	IN	about
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
Gaza	NP	Gaza
and	CC	and
also	RB	also
more	JJR	more
importantly	RB	importantly
Canada	NP	Canada
'	POS	'
s	JJ	s
position	NN	position
on	IN	on
the	DT	the
war	NN	war
um	VVD	um
I	PP	I
I	PP	I
I	PP	I
mean	VVP	mean
I	PP	I
can	MD	can
speak	VV	speak
for	IN	for
many	JJ	many
Canadians	NNS	Canadian
when	WRB	when
I	PP	I
say	VVP	say
that	IN/that	that
we	PP	we
are	VBP	be
all	RB	all
very	RB	very
ashamed	JJ	ashamed
and	CC	and
very	RB	very
disappointed	VVN	disappoint
in	IN	in
our	PP$	our
elected	JJ	elected
officials	NNS	official
week	NN	week
after	IN	after
week	NN	week
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Canadians	NNS	Canadian
taking	VVG	take
to	TO	to
the	DT	the
streets	NNS	street
protesting	VVG	protest
the	DT	the
inaction	NN	inaction
and	CC	and
the	DT	the
willful	JJ	willful
neglect	NN	neglect
of	IN	of
our	PP$	our
elected	JJ	elected
officials	NNS	official
have	VHP	have
been	VBN	be
regurgitating	VVG	regurgitate
the	DT	the
same	JJ	same
tired	JJ	tired
lines	NNS	line
and	CC	and
Sound	JJ	sound
Bites	NNS	bite
in	IN	in
defense	NN	defense
of	IN	of
Israel	NP	Israel
as	IN	as
it	PP	it
violates	VVZ	violate
international	JJ	international
law	NN	law
after	IN	after
international	JJ	international
law	NN	law
with	IN	with
continued	JJ	continued
impunity	NN	impunity
we	PP	we
have	VHP	have
signed	VVN	sign
petitions	NNS	petition
sent	VVD	send
letters	NNS	letter
to	TO	to
our	PP$	our
members	NNS	member
of	IN	of
parliament	NN	parliament
we	PP	we
have	VHP	have
you	PP	you
know	VVP	know
continuously	RB	continuously
ensure	VV	ensure
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
sharing	VVG	share
our	PP$	our
outrage	NN	outrage
with	IN	with
what	WP	what
we	PP	we
'	POS	'
re	NN	re
witnessing	VVG	witness
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
and	CC	and
for	IN	for
whatever	WDT	whatever
reason	NN	reason
we	PP	we
continue	VVP	continue
to	TO	to
be	VB	be
dismissed	VVN	dismiss
our	PP$	our
um	NN	um
you	PP	you
know	VVP	know
the	DT	the
mere	JJ	mere
language	NN	language
that	RB	that
'	POS	'
s	NNS	s
being	VBG	be
used	VVN	use
to	TO	to
dehumanize	VV	dehumanize
Palestinian	JJ	Palestinian
and	CC	and
media	NNS	medium
rhetoric	NN	rhetoric
has	VHZ	have
also	RB	also
been	VBN	be
adding	VVG	add
fuel	NN	fuel
to	TO	to
what	WP	what
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
Palestine	NP	Palestine
are	VBP	be
being	VBG	be
subjected	VVN	subject
to	TO	to
the	DT	the
justification	NN	justification
of	IN	of
of	IN	of
Israel	NP	Israel
'	POS	'
s	VVZ	s
uh	UH	uh
actions	NNS	action
farak	NN	farak
kadan	NN	kadan
many	JJ	many
thanks	NNS	thanks
for	IN	for
your	PP$	your
time	NN	time
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
