<video_id>w_weY6qeGe0</video_id>	JJ	<video_id>w_weY6qeGe0</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
3	CD	@card@
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Bureij	NP	Bureij
refugee	NN	refugee
camp</video_title>	NN	camp</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
3	CD	@card@
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Bureij	NP	Bureij
refugee	NN	refugee
camp.jpg</thumbnail_path>	NN	camp.jpg</thumbnail_path>
<publish_date>20240614</publish_date>	NN	<publish_date>20240614</publish_date>
<doc>	NN	<doc>
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
carried	VVN	carry
out	RP	out
a	DT	a
series	NN	series
of	IN	of
air	NN	air
strikes	NNS	strike
and	CC	and
raids	NNS	raid
across	IN	across
Gaza	NP	Gaza
as	IN	as
a	DT	a
number	NN	number
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
from	IN	from
its	PP$	its
War	NN	war
continues	VVZ	continue
to	TO	to
grow	VV	grow
at	IN	at
least	JJS	least
nine	CD	nine
Palestinians	NNS	Palestinian
were	VBD	be
killed	VVN	kill
after	IN	after
Israel	NP	Israel
targeted	VVD	target
a	DT	a
residential	JJ	residential
building	NN	building
in	IN	in
Gaza	NP	Gaza
City	NP	City
among	IN	among
the	DT	the
dead	NN	dead
were	VBD	be
three	CD	three
women	NNS	woman
and	CC	and
three	CD	three
children	NNS	child
three	CD	three
other	JJ	other
women	NNS	woman
and	CC	and
a	DT	a
child	NN	child
were	VBD	be
also	RB	also
killed	VVN	kill
in	IN	in
assaults	NNS	assault
targeting	VVG	target
homes	NNS	home
West	JJ	West
of	IN	of
the	DT	the
city	NN	city
and	CC	and
at	IN	at
least	JJS	least
five	CD	five
Palestinians	NNS	Palestinian
were	VBD	be
killed	VVN	kill
in	IN	in
al-shatti	NP	al-shatti
Camp	NP	Camp
in	IN	in
the	DT	the
alzahra	NN	alzahra
area	NN	area
on	IN	on
the	DT	the
outskirts	NNS	outskirt
of	IN	of
Gaza	NP	Gaza
City	NP	City
their	PP$	their
bodies	NNS	body
were	VBD	be
taken	VVN	take
to	TO	to
al-	NP	al-
AXA	NP	Axa
Hospital	NP	Hospital
in	IN	in
central	JJ	central
Gaza	NP	Gaza
already	RB	already
overwhelmed	VVD	overwhelm
with	IN	with
dead	JJ	dead
and	CC	and
injured	JJ	injured
Israel's	NP	Israel's
overnight	JJ	overnight
air	NN	air
assaults	NNS	assault
also	RB	also
targeted	VVN	target
a	DT	a
family	NN	family
at	IN	at
the	DT	the
B	NP	B
refugee	NN	refugee
camp	NN	camp
at	IN	at
least	JJS	least
one	CD	one
Palestinian	NN	Palestinian
was	VBD	be
killed	VVN	kill
and	CC	and
10	CD	@card@
others	NNS	other
injured	JJ	injured
let's	NN	let's
head	NN	head
to	TO	to
Central	NP	Central
Gaz	NP	Gaz
now	RB	now
and	CC	and
speak	VV	speak
to	TO	to
alzer's	JJ	alzer's
hany	NN	hany
mmud	NN	mmud
in	IN	in
De	NP	De
ala	NN	ala
Hy	NP	Hy
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
these	DT	these
latest	JJS	late
strikes	NNS	strike
yes	RB	yes
well	RB	well
as	IN	as
of	IN	of
early	JJ	early
hour	NN	hour
of	IN	of
this	DT	this
morning	NN	morning
the	DT	the
Israeli	JJ	Israeli
military	NN	military
with	IN	with
its	PP$	its
ongoing	JJ	ongoing
attacks	NNS	attack
almost	RB	almost
Relentless	JJ	relentless
air	NN	air
strikes	NNS	strike
and	CC	and
coupled	VVN	couple
with	IN	with
heavy	JJ	heavy
artillery	NN	artillery
Shilling	NP	Shilling
across	IN	across
the	DT	the
Gaza	NP	Gaza
trip	NN	trip
that	WDT	that
are	VBP	be
concentrated	VVN	concentrate
right	RB	right
now	RB	now
on	IN	on
the	DT	the
central	JJ	central
area	NN	area
as	IN	as
of	IN	of
late	JJ	late
hours	NNS	hour
of	IN	of
last	JJ	last
night	NN	night
the	DT	the
attack	NN	attack
on	IN	on
a	DT	a
residential	JJ	residential
home	NN	home
on	IN	on
Al	NP	Al
B	NP	B
refugee	NN	refugee
camp	NN	camp
the	DT	the
Al	NP	Al
B	NP	B
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
at	IN	at
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
this	DT	this
particular	JJ	particular
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
the	DT	the
uh	UH	uh
home	NN	home
of	IN	of
of	IN	of
a	DT	a
densely	RB	densely
populated	VVN	populate
and	CC	and
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
children	NNS	child
and	CC	and
grandchildren	NNS	grandchild
of	IN	of
already	RB	already
Palestinian	JJ	Palestinian
were	VBD	be
displaced	VVN	displace
and	CC	and
made	VVN	make
refugees	NNS	refugee
in	IN	in
1948	CD	@card@
but	CC	but
we're	JJ	we're
looking	VVG	look
at	IN	at
at	IN	at
least	JJS	least
three	CD	three
people	NNS	people
were	VBD	be
killed	VVN	kill
one	CD	one
child	NN	child
and	CC	and
two	CD	two
other	JJ	other
grown-ups	NNS	grown-up
in	IN	in
uh	UH	uh
who	WP	who
were	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
attacks	NNS	attack
and	CC	and
several	JJ	several
other	JJ	other
injuries	NNS	injury
who	WP	who
were	VBD	be
reported	VVN	report
at	IN	at
laka	NN	laka
hospital	NN	hospital
here	IN	here
it's	NNS	it's
important	JJ	important
also	RB	also
to	TO	to
point	VV	point
out	RP	out
that	IN/that	that
the	DT	the
area	NN	area
has	VHZ	have
been	VBN	be
under	IN	under
uh	UH	uh
heavy	JJ	heavy
artillery	NN	artillery
Shilling	NP	Shilling
and	CC	and
air	NN	air
attacks	NNS	attack
for	IN	for
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
and	CC	and
civil	JJ	civil
defense	NN	defense
members	NNS	member
and	CC	and
paramedics	NNS	paramedic
find	VVP	find
it	PP	it
very	RB	very
difficult	JJ	difficult
to	TO	to
remove	VV	remove
bodies	NNS	body
that	WDT	that
have	VHP	have
been	VBN	be
already	RB	already
pronounced	VVD	pronounce
uh	UH	uh
dead	JJ	dead
inside	IN	inside
these	DT	these
areas	NNS	area
just	RB	just
giving	VVG	give
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
artillery	NN	artillery
Shilling	NP	Shilling
in	IN	in
the	DT	the
area	NN	area
only	JJ	only
quarter	NN	quarter
number	NN	number
of	IN	of
the	DT	the
bodies	NNS	body
made	VVD	make
it	PP	it
to	TO	to
the	DT	the
hospital	NN	hospital
remaining	VVG	remain
bodies	NNS	body
are	VBP	be
still	RB	still
that	DT	that
are	VBP	be
after	IN	after
couple	NN	couple
weeks	NNS	week
they	PP	they
are	VBP	be
largely	RB	largely
deceased	VVN	decease
under	IN	under
pile	NN	pile
of	IN	of
rebels	NNS	rebel
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
central	JJ	central
uh	UH	uh
area	NN	area
to	TO	to
Gaza	NP	Gaza
City	NP	City
the	DT	the
isra	NN	isra
military	NN	military
continues	VVZ	continue
to	TO	to
pound	VV	pound
across	IN	across
the	DT	the
city	NN	city
with	IN	with
Relentless	JJ	relentless
air	NN	air
attacks	NNS	attack
including	VVG	include
the	DT	the
Eastern	JJ	eastern
neighborhoods	NNS	neighborhood
of	IN	of
Gaza	NP	Gaza
City	NP	City
that	WDT	that
includes	VVZ	include
a	DT	a
d	NN	d
neighborhood	NN	neighborhood
where	WRB	where
reports	NNS	report
of	IN	of
more	JJR	more
residential	JJ	residential
buildings	NNS	building
remaining	VVG	remain
public	JJ	public
facilities	NNS	facility
being	VBG	be
targeted	VVN	target
and	CC	and
destroyed	VVN	destroy
and	CC	and
to	TO	to
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
the	DT	the
city	NN	city
mainly	RB	mainly
a	DT	a
shoted	JJ	shoted
refugee	NN	refugee
camp	NN	camp
and	CC	and
this	DT	this
place	NN	place
is	VBZ	be
a	DT	a
notorious	JJ	notorious
site	NN	site
right	RB	right
now	RB	now
for	IN	for
many	JJ	many
of	IN	of
the	DT	the
Relentless	JJ	relentless
attacks	NNS	attack
carried	VVD	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
we	PP	we
talk	VVP	talk
about	RB	about
more	JJR	more
than	IN	than
60%	CD	@card@
of	IN	of
this	DT	this
refugee	NN	refugee
camp	NN	camp
has	VHZ	have
completely	RB	completely
destroyed	VVN	destroy
and	CC	and
turn	VV	turn
turned	VVN	turn
into	IN	into
pile	NN	pile
of	IN	of
rebels	NNS	rebel
but	CC	but
at	IN	at
close	NN	close
to	TO	to
three	CD	three
people	NNS	people
also	RB	also
were	VBD	be
killed	VVN	kill
and	CC	and
multiple	JJ	multiple
injuries	NNS	injury
were	VBD	be
reported	VVN	report
to	TO	to
Ali	NP	Ali
Baptist	NP	Baptist
hospital	NN	hospital
that's	NNS	that's
at	IN	at
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
City	NP	City
Al	NP	Al
Ali	NP	Ali
Baptist	NP	Baptist
Hospital	NP	Hospital
is	VBZ	be
quite	RB	quite
insufficient	JJ	insufficient
right	RB	right
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
any	DT	any
of	IN	of
the	DT	the
medical	JJ	medical
uh	UH	uh
services	NNS	service
that	IN/that	that
it	PP	it
provides	VVZ	provide
and	CC	and
and	CC	and
and	CC	and
give	VV	give
to	TO	to
to	RB	to
to	TO	to
patients	NNS	patient
in	IN	in
rafah	NP	rafah
City	NP	City
the	DT	the
Israeli	JJ	Israeli
military	NN	military
continues	VVZ	continue
to	TO	to
push	VV	push
deeper	JJR	deep
into	IN	into
a	DT	a
shabura	NN	shabura
refugee	NN	refugee
camp	NN	camp
where	WRB	where
it	PP	it
is	VBZ	be
stated	VVN	state
in	IN	in
uh	UH	uh
in	IN	in
one	CD	one
of	IN	of
the	DT	the
statements	NNS	statement
made	VVD	make
that	IN/that	that
this	DT	this
says	VVZ	say
shabura	NN	shabura
is	VBZ	be
the	DT	the
uh	UH	uh
the	DT	the
uh	UH	uh
hard	JJ	hard
uh	UH	uh
the	DT	the
heart	NN	heart
of	IN	of
Palestinian	JJ	Palestinian
fighting	VVG	fight
groups	NNS	group
and	CC	and
it's	NNS	it's
pushing	VVG	push
more	RBR	more
deeper	JJR	deep
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
order	NN	order
to	TO	to
eliminate	VV	eliminate
them	PP	them
but	CC	but
we	PP	we
uh	UH	uh
we	PP	we
have	VHP	have
confirmed	VVN	confirm
reports	NNS	report
of	IN	of
more	JJR	more
of	IN	of
the	DT	the
residential	JJ	residential
buildings	NNS	building
are	VBP	be
being	VBG	be
systematically	RB	systematically
demolished	VVN	demolish
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
this	DT	this
area	NN	area
been	VBN	be
completely	RB	completely
cleared	VVN	clear
of	IN	of
any	DT	any
of	IN	of
the	DT	the
buildings	NNS	building
the	DT	the
infrastructure	NN	infrastructure
and	CC	and
public	JJ	public
facilities	NNS	facility
not	RB	not
only	JJ	only
bombs	NNS	bomb
that	WDT	that
continue	VVP	continue
to	TO	to
kill	VV	kill
people	NNS	people
