<video_id>kWkVk-OW_vU</video_id>	JJ	<video_id>kWkVk-OW_vU</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
81	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
after	IN	after
Israel	NP	Israel
launched	VVD	launch
new	JJ	new
military	JJ	military
operation	NN	operation
in	IN	in
Khan	NP	Khan
Younis</video_title>	NP	Younis</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
81	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
after	IN	after
Israel	NP	Israel
launched	VVD	launch
new	JJ	new
military	JJ	military
operation	NN	operation
in	IN	in
Khan	NP	Khan
Younis.jpg</thumbnail_path>	NP	Younis.jpg</thumbnail_path>
<publish_date>20240723</publish_date>	NP	<publish_date>20240723</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
military	JJ	military
assault	NN	assault
on	IN	on
Khan	NP	Khan
Yunis	NP	Yunis
has	VHZ	have
killed	VVN	kill
at	IN	at
least	JJS	least
81	CD	@card@
Palestinians	NNS	Palestinian
and	CC	and
injured	VVN	injure
more	JJR	more
than	IN	than
250	CD	@card@
people	NNS	people
say	VVP	say
they	PP	they
were	VBD	be
given	VVN	give
no	DT	no
time	NN	time
to	TO	to
find	VV	find
safety	NN	safety
Israeli	JJ	Israeli
forces	NNS	force
started	VVD	start
to	TO	to
bomb	VV	bomb
the	DT	the
area	NN	area
just	RB	just
moments	NNS	moment
after	IN	after
they	PP	they
issued	VVD	issue
an	DT	an
evacuation	NN	evacuation
order	NN	order
on	IN	on
Monday	NP	Monday
Israel	NP	Israel
ordered	VVD	order
displace	VV	displace
Palestinians	NPS	Palestinians
to	TO	to
leave	VV	leave
what	WP	what
it	PP	it
had	VHD	have
previously	RB	previously
designated	VVN	designate
as	IN	as
a	DT	a
humanitarian	JJ	humanitarian
Zone	NP	Zone
well	RB	well
hint	VVP	hint
H	NP	H
is	VBZ	be
life	NN	life
for	IN	for
us	PP	us
now	RB	now
in	IN	in
De	NP	De
alala	NN	alala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
so	IN	so
this	DT	this
new	JJ	new
Israeli	JJ	Israeli
offensive	NN	offensive
in	IN	in
KH	NP	KH
Unice	NP	Unice
came	VVD	come
quickly	RB	quickly
uh	UH	uh
with	IN	with
very	RB	very
little	JJ	little
warning	NN	warning
what	WP	what
more	RBR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
well	RB	well
it	PP	it
was	VBD	be
a	DT	a
surprising	JJ	surprising
ground	NN	ground
in	IN	in
started	VVN	start
yesterday	NN	yesterday
Palestinians	NNS	Palestinian
did	VVD	do
not	RB	not
even	RB	even
have	VH	have
the	DT	the
time	NN	time
to	TO	to
evacuate	VV	evacuate
they	PP	they
were	VBD	be
only	RB	only
given	VVN	give
a	DT	a
couple	NN	couple
of	IN	of
minutes	NNS	minute
before	IN	before
the	DT	the
arery	JJ	arery
shelling	VVG	shell
started	VVD	start
shelling	VVG	shell
different	JJ	different
parts	NNS	part
of	IN	of
kenun	NN	kenun
but	CC	but
let	VV	let
me	PP	me
update	VV	update
you	PP	you
with	IN	with
the	DT	the
latest	JJS	late
numbers	NNS	number
since	IN	since
the	DT	the
24	CD	@card@
past	JJ	past
hours	NNS	hour
81	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
kenun	NP	kenun
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
hom	NN	hom
the	DT	the
people	NNS	people
who	WP	who
managed	VVD	manage
to	TO	to
evacuate	VV	evacuate
from	IN	from
the	DT	the
Eastern	JJ	eastern
parts	NNS	part
of	IN	of
kanun	NN	kanun
are	VBP	be
homeless	JJ	homeless
they	PP	they
literally	RB	literally
slept	VVD	sleep
on	IN	on
the	DT	the
streets	NNS	street
because	IN	because
they	PP	they
did	VVD	do
not	RB	not
know	VV	know
where	WRB	where
to	TO	to
go	VV	go
not	RB	not
only	RB	only
that	IN/that	that
some	DT	some
people	VV	people
uh	UH	uh
uh	UH	uh
were	VBD	be
calling	VVG	call
that	IN/that	that
they	PP	they
were	VBD	be
trapped	VVN	trap
in	IN	in
Benny	NP	Benny
soila	NP	Soila
they	PP	they
were	VBD	be
trapped	VVN	trap
amid	IN	amid
endless	JJ	endless
artillery	NN	artillery
shelling	VVG	shell
and	CC	and
also	RB	also
Israeli	JJ	Israeli
tanks	NNS	tank
and	CC	and
soldiers	NNS	soldier
and	CC	and
no	DT	no
one	CD	one
could	MD	could
reach	VV	reach
that	DT	that
area	NN	area
according	VVG	accord
to	TO	to
the	DT	the
civil	JJ	civil
defense	NN	defense
teams	NNS	team
and	CC	and
the	DT	the
paramedics	NN	paramedics
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
are	VBP	be
unable	JJ	unable
to	TO	to
reach	VV	reach
the	DT	the
areas	NNS	area
that	WDT	that
has	VHZ	have
have	VHP	have
been	VBN	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
especially	RB	especially
the	DT	the
Eastern	JJ	eastern
parts	NNS	part
of	IN	of
kenun	NP	kenun
Palestinians	NPS	Palestinians
are	VBP	be
horrified	VVN	horrify
they	PP	they
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
reach	VV	reach
anyone	NN	anyone
in	IN	in
that	DT	that
area	NN	area
and	CC	and
it	PP	it
the	DT	the
the	DT	the
the	DT	the
most	RBS	most
important	JJ	important
part	NN	part
is	VBZ	be
being	VBG	be
displaced	VVN	displace
more	JJR	more
than	IN	than
one	CD	one
time	NN	time
those	DT	those
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Eastern	JJ	eastern
parts	NNS	part
of	IN	of
kenun	NN	kenun
went	VVD	go
back	VV	back
uh	UH	uh
to	TO	to
their	PP$	their
homes	NNS	home
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
after	IN	after
a	DT	a
ground	NN	ground
Invasion	NN	invasion
that	WDT	that
took	VVD	take
more	JJR	more
than	IN	than
3	CD	@card@
months	NNS	month
and	CC	and
also	RB	also
people	NNS	people
who	WP	who
were	VBD	be
targeted	VVN	target
in	IN	in
the	DT	the
western	JJ	western
parts	NNS	part
of	IN	of
kanun	NN	kanun
went	VVD	go
to	TO	to
the	DT	the
Eastern	JJ	eastern
parts	NNS	part
of	IN	of
kanun	NN	kanun
so	IN	so
people	NNS	people
are	VBP	be
feeling	VVG	feel
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
playing	VVG	play
with	IN	with
them	PP	them
at	IN	at
chess	NN	chess
game	NN	game
moving	VVG	move
them	PP	them
from	IN	from
a	DT	a
place	NN	place
to	TO	to
another	DT	another
and	CC	and
not	RB	not
even	RB	even
giving	VVG	give
them	PP	them
time	NN	time
or	CC	or
space	VV	space
uh	UH	uh
to	TO	to
evacuate	VV	evacuate
according	VVG	accord
to	TO	to
Al	NP	Al
nasur	NN	nasur
hospital	NN	hospital
they	PP	they
received	VVD	receive
at	IN	at
least	JJS	least
150	CD	@card@
people	NNS	people
injured	JJ	injured
and	CC	and
they're	JJ	they're
running	VVG	run
out	RP	out
of	IN	of
blood	NN	blood
and	CC	and
they're	NN	they're
also	RB	also
running	VVG	run
out	RP	out
of	IN	of
medical	JJ	medical
supplies	NNS	supply
all	RB	all
right	RB	right
hint	VV	hint
Al	NP	Al
They	PP	they
Live	VVP	live
for	IN	for
us	PP	us
and	CC	and
alala	NP	Alala
in	IN	in
Central	NP	Central
Gaza	NP	Gaza
hint	NN	hint
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
