<video_id>wnqYCNWePUk</video_id>	JJ	<video_id>wnqYCNWePUk</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
nine	CD	nine
Palestinians	NNS	Palestinian
were	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
army	NN	army
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
on	IN	on
Thursday</video_title>	NP	Thursday</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
nine	CD	nine
Palestinians	NNS	Palestinian
were	VBD	be
killed	VVN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
army	NN	army
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
on	IN	on
Thursday.jpg</thumbnail_path>	NP	Thursday.jpg</thumbnail_path>
<publish_date>20231019</publish_date>	JJ	<publish_date>20231019</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
nine	CD	nine
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
raided	VVN	raid
multiple	JJ	multiple
locations	NNS	location
including	VVG	include
nor	CC	nor
shem's	NNS	shem's
refugee	NN	refugee
camp	NN	camp
in	IN	in
taram	NN	taram
at	IN	at
least	JJS	least
five	CD	five
Palestinians	NNS	Palestinian
died	VVN	die
during	IN	during
armed	JJ	armed
confrontations	NNS	confrontation
at	IN	at
least	JJS	least
73	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
1300	CD	@card@
injured	VVN	injure
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
or	CC	or
settlers	NNS	settler
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
only	RB	only
that	IN/that	that
ibraim	NN	ibraim
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
rala	NN	rala
so	RB	so
is	VBZ	be
The	DT	the
Siege	NN	siege
another	DT	another
Siege	NN	siege
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
turning	VVG	turn
bloody	JJ	bloody
now	RB	now
yes	RB	yes
and	CC	and
and	CC	and
you	PP	you
word	VVP	word
that	IN/that	that
Palestinians	NPS	Palestinians
haven't	NP	haven't
heard	VVD	hear
in	IN	in
years	NNS	year
a	DT	a
curfew	NN	curfew
at	IN	at
the	DT	the
N	NP	N
Shams	NP	Shams
refugee	NN	refugee
camp	NN	camp
where	WRB	where
Medics	NNS	medic
are	VBP	be
finding	VVG	find
it	PP	it
difficult	JJ	difficult
to	TO	to
reach	VV	reach
the	DT	the
wounded	JJ	wounded
and	CC	and
possibly	RB	possibly
the	DT	the
dead	NN	dead
so	IN	so
we're	NN	we're
hearing	NN	hearing
from	IN	from
locals	NNS	local
inside	IN	inside
the	DT	the
camp	NN	camp
that	IN/that	that
they're	NN	they're
unable	JJ	unable
to	TO	to
count	VV	count
the	DT	the
dead	NN	dead
so	RB	so
far	RB	far
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Ministry	NP	Ministry
has	VHZ	have
announced	VVN	announce
that	DT	that
five	CD	five
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
tarim	NN	tarim
area	NN	area
alone	RB	alone
after	IN	after
Israeli	JJ	Israeli
forces	NNS	force
raided	VVD	raid
the	DT	the
refugee	NN	refugee
camp	NN	camp
since	IN	since
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
Monday	NP	Monday
they've	NN	they've
been	VBN	be
turning	VVG	turn
homes	NNS	home
into	IN	into
military	JJ	military
posts	NNS	post
destroying	VVG	destroy
roads	NNS	road
there's	RB	there's
no	DT	no
electricity	NN	electricity
no	DT	no
water	NN	water
inside	IN	inside
the	DT	the
camp	NN	camp
so	IN	so
we're	NN	we're
talking	VVG	talk
about	RB	about
basically	RB	basically
a	DT	a
total	JJ	total
isolation	NN	isolation
of	IN	of
the	DT	the
camp	NN	camp
where	WRB	where
Palestinians	NPS	Palestinians
are	VBP	be
still	RB	still
trying	VVG	try
to	TO	to
get	VV	get
to	TO	to
their	PP$	their
dead	JJ	dead
and	CC	and
to	TO	to
their	PP$	their
wounded	JJ	wounded
so	IN	so
we	PP	we
are	VBP	be
expecting	VVG	expect
that	IN/that	that
numbers	NNS	number
to	TO	to
rise	VV	rise
as	IN	as
we	PP	we
speak	VVP	speak
now	RB	now
and	CC	and
as	IN	as
Palestinian	JJ	Palestinian
Medics	NNS	medic
are	VBP	be
trying	VVG	try
to	TO	to
get	VV	get
inside	IN	inside
the	DT	the
camp	NN	camp
and	CC	and
assess	VV	assess
the	DT	the
situation	NN	situation
let's	NNS	let's
not	RB	not
forget	VVP	forget
that	IN/that	that
this	DT	this
not	RB	not
isn't	JJ	isn't
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
raid	VVP	raid
the	DT	the
nem	NN	nem
refugee	NN	refugee
camp	NN	camp
because	IN	because
we've	NN	we've
seen	VVN	see
them	PP	them
do	VVP	do
so	RB	so
before	IN	before
we	PP	we
were	VBD	be
there	RB	there
just	RB	just
in	IN	in
late	JJ	late
September	NP	September
and	CC	and
we've	NN	we've
seen	VVN	see
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
bulldozing	VVG	bulldoze
also	RB	also
through	IN	through
roads	NNS	road
there	EX	there
are	VBP	be
dozens	NNS	dozen
of	IN	of
armed	JJ	armed
Palestinians	NPS	Palestinians
there	RB	there
in	IN	in
the	DT	the
camp	NN	camp
and	CC	and
we	PP	we
believe	VVP	believe
that	IN/that	that
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
trying	VVG	try
to	TO	to
Target	NP	Target
them	PP	them
but	CC	but
as	IN	as
we've	NN	we've
seen	VVN	see
from	IN	from
early	JJ	early
pictures	NNS	picture
from	IN	from
within	IN	within
the	DT	the
refugee	NN	refugee
camp	NN	camp
itself	PP	itself
some	DT	some
of	IN	of
those	DT	those
who	WP	who
were	VBD	be
killed	VVN	kill
were	VBD	be
not	RB	not
involved	VVN	involve
in	IN	in
the	DT	the
fighting	VVG	fight
a	DT	a
a	DT	a
a	DT	a
16-year-old	JJ	16-year-old
has	VHZ	have
been	VBN	be
shot	VVN	shoot
and	CC	and
when	WRB	when
his	PP$	his
father	NN	father
tried	VVD	try
to	TO	to
help	VV	help
him	PP	him
he	PP	he
was	VBD	be
shot	VVN	shoot
as	IN	as
well	RB	well
the	DT	the
father	NN	father
made	VVD	make
it	PP	it
but	CC	but
the	DT	the
son	NN	son
did	VVD	do
not	RB	not
so	IN	so
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
very	RB	very
tense	JJ	tense
situation	NN	situation
that	WDT	that
is	VBZ	be
unfolding	VVG	unfold
now	RB	now
in	IN	in
toim	NN	toim
and	CC	and
that	DT	that
talk	NN	talk
to	TO	to
us	PP	us
about	IN	about
how	WRB	how
the	DT	the
anger	NN	anger
the	DT	the
protests	NNS	protest
are	VBP	be
shaping	VVG	shape
up	RP	up
across	IN	across
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
Beyond	NP	Beyond
well	RB	well
let's	NNS	let's
not	RB	not
forget	VVP	forget
that	IN/that	that
Palestinians	NPS	Palestinians
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
need	VVP	need
Israeli	JJ	Israeli
military	JJ	military
permits	NNS	permit
that	WDT	that
are	VBP	be
almost	RB	almost
impossible	JJ	impossible
to	TO	to
get	VV	get
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
see	VV	see
their	PP$	their
fellow	JJ	fellow
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
they	PP	they
are	VBP	be
geographically	RB	geographically
separated	VVN	separate
and	CC	and
separated	VVN	separate
by	IN	by
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
fall	VVP	fall
under	IN	under
one	CD	one
military	JJ	military
occupation	NN	occupation
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
the	DT	the
amount	NN	amount
of	IN	of
frustration	NN	frustration
some	DT	some
people	NNS	people
have	VHP	have
families	NNS	family
in	IN	in
Gaza	NP	Gaza
and	CC	and
they	PP	they
cannot	MD	can
even	VV	even
uh	UH	uh
get	VV	get
a	DT	a
chance	NN	chance
to	TO	to
get	VV	get
to	TO	to
check	VV	check
on	IN	on
them	PP	them
to	TO	to
call	VV	call
them	PP	them
because	IN	because
of	IN	of
the	DT	the
problems	NNS	problem
and	CC	and
the	DT	the
communications	NNS	communication
issues	NNS	issue
that	WDT	that
are	VBP	be
uh	UH	uh
facing	VVG	face
Palestinians	NNS	Palestinian
there	RB	there
so	RB	so
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
anger	NN	anger
but	CC	but
also	RB	also
you	PP	you
talk	VVP	talk
about	IN	about
Palestinians	NNS	Palestinian
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
whose	WP$	whose
situation	NN	situation
is	VBZ	be
probably	RB	probably
a	DT	a
little	JJ	little
bit	NN	bit
better	JJR	good
because	IN	because
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
the	DT	the
death	NN	death
toll	NN	toll
yes	RB	yes
the	DT	the
death	NN	death
toll	NN	toll
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
is	VBZ	be
less	JJR	less
than	IN	than
that	DT	that
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
when	WRB	when
you	PP	you
talk	VVP	talk
about	IN	about
the	DT	the
Israeli	JJ	Israeli
measures	NNS	measure
they	PP	they
are	VBP	be
so	RB	so
similar	JJ	similar
you're	NN	you're
talking	VVG	talk
about	IN	about
Palestinians	NPS	Palestinians
who	WP	who
are	VBP	be
saying	VVG	say
that	IN/that	that
their	PP$	their
lands	NNS	land
are	VBP	be
being	VBG	be
taken	VVN	take
that	DT	that
they're	NN	they're
being	VBG	be
targeted	VVN	target
with	IN	with
an	DT	an
excessive	JJ	excessive
use	NN	use
of	IN	of
force	NN	force
by	IN	by
isi	NN	isi
forces	NNS	force
so	RB	so
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
similarities	NNS	similarity
between	IN	between
the	DT	the
way	NN	way
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
dealing	VVG	deal
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
their	PP$	their
different	JJ	different
geographical	JJ	geographical
locations	NNS	location
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
how	WRB	how
that	DT	that
makes	VVZ	make
Palestinians	NPS	Palestinians
feel	VVP	feel
and	CC	and
also	RB	also
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
Palestinians	NPS	Palestinians
would	MD	would
tell	VV	tell
you	PP	you
that	IN/that	that
the	DT	the
amount	NN	amount
of	IN	of
arrests	NNS	arrest
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
tripled	VVN	triple
the	DT	the
amount	NN	amount
of	IN	of
killings	NNS	killing
has	VHZ	have
increased	VVN	increase
73	CD	@card@
Palestinians	NNS	Palestinian
so	RB	so
far	RB	far
have	VH	have
been	VBN	be
killed	VVN	kill
just	RB	just
