<video_id>4MDvVScl8PY</video_id>	JJ	<video_id>4MDvVScl8PY</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
raids	NNS	raid
in	IN	in
the	DT	the
Occupied	JJ	occupied
West	NP	West
Bank</video_title>	NP	Bank</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
raids	NNS	raid
in	IN	in
the	DT	the
Occupied	JJ	occupied
West	NP	West
Bank.jpg</thumbnail_path>	NP	Bank.jpg</thumbnail_path>
<publish_date>20231119</publish_date>	NN	<publish_date>20231119</publish_date>
<doc>	NN	<doc>
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
at	IN	at
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
overnight	JJ	overnight
Israeli	JJ	Israeli
attacks	NNS	attack
gunfire	NN	gunfire
was	VBD	be
reported	VVN	report
in	IN	in
the	DT	the
kalanda	NN	kalanda
refugee	NN	refugee
camp	NN	camp
and	CC	and
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Janine	NP	Janine
Israeli	NP	Israeli
forces	NNS	force
use	VVP	use
bulldozers	NNS	bulldozer
to	TO	to
tear	VV	tear
up	RP	up
the	DT	the
roads	NNS	road
Rory	NP	Rory
Talons	NNS	talon
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Rory	NP	Rory
phison	NN	phison
on	IN	on
the	DT	the
details	NNS	detail
of	IN	of
these	DT	these
raids	NNS	raid
and	CC	and
tell	VV	tell
us	PP	us
what's	NNS	what's
still	RB	still
happening	VVG	happen
there	RB	there
well	RB	well
Janine	NP	Janine
seems	VVZ	seem
to	TO	to
be	VB	be
uh	UH	uh
the	DT	the
biggest	JJS	big
of	IN	of
these	DT	these
raids	NNS	raid
at	IN	at
the	DT	the
moment	NN	moment
I'll	NN	I'll
focus	NN	focus
on	IN	on
that	WDT	that
Janine	NP	Janine
is	VBZ	be
so	RB	so
often	RB	often
a	DT	a
flasho	NN	flasho
in	IN	in
violence	NN	violence
between	IN	between
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
and	CC	and
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
deadly	JJ	deadly
clashes	NNS	clash
there	EX	there
are	VBP	be
a	DT	a
pretty	RB	pretty
frequent	JJ	frequent
occurrence	NN	occurrence
it's	NNS	it's
where	WRB	where
our	PP$	our
colleague	NN	colleague
Shireen	NP	Shireen
abule	NN	abule
was	VBD	be
killed	VVN	kill
last	JJ	last
year	NN	year
uh	UH	uh
several	JJ	several
armed	JJ	armed
Palestinian	JJ	Palestinian
groups	NNS	group
have	VHP	have
a	DT	a
presence	NN	presence
there	RB	there
including	VVG	include
Hamas	NN	Hamas
including	VVG	include
Islamic	NP	Islamic
Jihad	NP	Jihad
including	VVG	include
the	DT	the
armed	JJ	armed
wing	NN	wing
of	IN	of
fata	NNS	fata
and	CC	and
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
often	RB	often
goes	VVZ	go
in	IN	in
in	IN	in
there	RB	there
and	CC	and
raids	VVZ	raid
a	DT	a
refugee	NN	refugee
camp	NN	camp
in	IN	in
the	DT	the
in	IN	in
the	DT	the
city	NN	city
they're	NN	they're
in	IN	in
there	RB	there
at	IN	at
the	DT	the
moment	NN	moment
the	DT	the
Israelis	NPS	Israelis
they	PP	they
have	VHP	have
been	VBN	be
there	RB	there
for	IN	for
about	RB	about
8	CD	@card@
hours	NNS	hour
since	IN	since
midnight	NN	midnight
local	JJ	local
time	NN	time
last	JJ	last
night	NN	night
they've	NN	they've
closed	VVD	close
off	RP	off
uh	UH	uh
entrance	NN	entrance
and	CC	and
exit	NN	exit
points	NNS	point
to	TO	to
the	DT	the
refugee	NN	refugee
camp	VV	camp
uh	UH	uh
they	PP	they
have	VHP	have
raided	VVN	raid
homes	NNS	home
they've	NN	they've
arrested	VVN	arrest
uh	UH	uh
at	IN	at
least	JJS	least
nine	CD	nine
people	NNS	people
five	CD	five
we	PP	we
understand	VVP	understand
from	IN	from
the	DT	the
same	JJ	same
family	NN	family
there	EX	there
has	VHZ	have
been	VBN	be
one	CD	one
confirmed	VVD	confirm
death	NN	death
uh	UH	uh
from	IN	from
uh	UH	uh
the	DT	the
red	JJ	red
crescent	NN	crescent
confirmed	VVN	confirm
by	IN	by
the	DT	the
red	JJ	red
crescent	NN	crescent
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
been	VBN	be
using	VVG	use
uh	UH	uh
loudspeakers	NNS	loudspeaker
it's	NNS	it's
station	NN	station
snipers	NNS	sniper
it's	NNS	it's
been	VBN	be
using	VVG	use
bulldozers	NNS	bulldozer
uh	UH	uh
it's	NNS	it's
been	VBN	be
using	VVG	use
drones	NNS	drone
and	CC	and
reports	NNS	report
of	IN	of
an	DT	an
attack	NN	attack
helicopter	NN	helicopter
in	IN	in
the	DT	the
sky	NN	sky
as	IN	as
well	RB	well
people	NNS	people
on	IN	on
the	DT	the
ground	NN	ground
there	EX	there
are	VBP	be
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
the	DT	the
biggest	JJS	big
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
in	IN	in
Janine	NP	Janine
since	IN	since
a	DT	a
huge	JJ	huge
one	CD	one
last	JJ	last
uh	UH	uh
or	CC	or
this	DT	this
July	NP	July
but	CC	but
there	EX	there
are	VBP	be
other	JJ	other
clashes	NNS	clash
going	VVG	go
on	IN	on
around	IN	around
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
as	IN	as
well	RB	well
the	DT	the
haa	NN	haa
Camp	NP	Camp
uh	UH	uh
that's	NN	that's
refugee	NN	refugee
camp	NN	camp
that's	NNS	that's
in	IN	in
Bethlehem	NP	Bethlehem
we	PP	we
understand	VVP	understand
that	IN/that	that
one	CD	one
person	NN	person
has	VHZ	have
been	VBN	be
killed	VVN	kill
there	RB	there
and	CC	and
and	CC	and
an	DT	an
ongoing	JJ	ongoing
raid	NN	raid
in	IN	in
the	DT	the
Bata	NP	Bata
refugee	NN	refugee
camp	NN	camp
in	IN	in
nablas	NNS	nablas
two	CD	two
people	NNS	people
injured	VVD	injure
there	EX	there
was	VBD	be
a	DT	a
a	DT	a
raid	NN	raid
there	RB	there
yesterday	NN	yesterday
which	WDT	which
killed	VVD	kill
five	CD	five
in	IN	in
a	DT	a
strike	NN	strike
on	IN	on
a	DT	a
fata	NN	fata
building	NN	building
and	CC	and
we	PP	we
understand	VVP	understand
that	IN/that	that
they're	NN	they're
hitting	VVG	hit
that	IN/that	that
building	VVG	build
again	RB	again
and	CC	and
as	RB	as
you	PP	you
mentioned	VVD	mention
kalander	NN	kalander
refugee	NN	refugee
camp	NN	camp
two	CD	two
people	NNS	people
uh	UH	uh
been	VBN	be
shot	VVN	shoot
there	RB	there
and	CC	and
transferred	VVN	transfer
to	TO	to
hospital	NN	hospital
so	IN	so
yes	UH	yes
we're	NN	we're
we're	NN	we're
focusing	VVG	focus
on	IN	on
Gaza	NP	Gaza
all	RB	all
the	DT	the
time	NN	time
at	IN	at
the	DT	the
moment	NN	moment
but	CC	but
of	IN	of
course	NN	course
this	DT	this
is	VBZ	be
a	DT	a
reminder	NN	reminder
that	IN/that	that
the	DT	the
West	NP	West
Bank	NP	Bank
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
is	VBZ	be
continuing	VVG	continue
to	TO	to
boil	VV	boil
indeed	RB	indeed
it	PP	it
is	VBZ	be
Roy	NP	Roy
talin	NP	talin
ra	VVZ	ra
the	DT	the
latest	JJS	late
there	RB	there
from	IN	from
occupied	JJ	occupied
EAS	NP	EAS
slim	JJ	slim
thanks	NNS	thanks
very	RB	very
much	JJ	much
Rory	NP	Rory
</doc>	NN	</doc>
