<video_id>EoHh_8nSA4w</video_id>	JJ	<video_id>EoHh_8nSA4w</video_id>
<video_title>Beginning	NN	<video_title>Beginning
of	IN	of
the	DT	the
end	NN	end
or	CC	or
the	DT	the
end	NN	end
of	IN	of
the	DT	the
beginning	NN	beginning
of	IN	of
Israel's	NP	Israel's
war	NN	war
in	IN	in
Gaza:	NP	Gaza:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Beginning	NN	<thumbnail_path>data/en_AJ\Beginning
of	IN	of
the	DT	the
end	NN	end
or	CC	or
the	DT	the
end	NN	end
of	IN	of
the	DT	the
beginning	NN	beginning
of	IN	of
Israel's	NP	Israel's
war	NN	war
in	IN	in
Gaza	NP	Gaza
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240407</publish_date>	NN	<publish_date>20240407</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
in	IN	in
Gaza	NP	Gaza
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
withdrawn	VVN	withdraw
most	JJS	most
of	IN	of
its	PP$	its
troops	NNS	troop
from	IN	from
the	DT	the
canun	JJ	canun
area	NN	area
in	IN	in
the	DT	the
South	NP	South
however	RB	however
one	CD	one
Brigade	NN	brigade
is	VBZ	be
to	TO	to
stay	VV	stay
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
devastation	NN	devastation
that	WDT	that
has	VHZ	have
been	VBN	be
left	VVN	leave
behind	IN	behind
it's	NNS	it's
not	RB	not
clear	JJ	clear
what	WP	what
is	VBZ	be
behind	IN	behind
this	DT	this
pullout	NN	pullout
now	RB	now
it	PP	it
comes	VVZ	come
6	CD	@card@
months	NNS	month
after	IN	after
Israel	NP	Israel
launched	VVD	launch
its	PP$	its
war	NN	war
on	IN	on
the	DT	the
strip	NN	strip
and	CC	and
what	WP	what
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
says	VVZ	say
is	VBZ	be
a	DT	a
plausible	JJ	plausible
case	NN	case
of	IN	of
genocide	NN	genocide
now	RB	now
the	DT	the
assault	NN	assault
began	VVD	begin
after	IN	after
Hamas	NP	Hamas
attacked	VVD	attack
Southern	NP	Southern
Israel	NP	Israel
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
killing	NN	killing
more	JJR	more
than	IN	than
1100	CD	@card@
people	NNS	people
and	CC	and
taking	VVG	take
over	IN	over
200	CD	@card@
captive	NN	captive
well	RB	well
since	IN	since
then	RB	then
Israel's	JJ	Israel's
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
has	VHZ	have
killed	VVN	kill
more	JJR	more
than	IN	than
33,000	CD	@card@
Palestinians	NNS	Palestinian
nearly	RB	nearly
half	RB	half
of	IN	of
them	PP	them
are	VBP	be
children	NNS	child
now	RB	now
most	RBS	most
of	IN	of
the	DT	the
population	NN	population
around	IN	around
1.7	CD	@card@
million	CD	million
people	NNS	people
has	VHZ	have
been	VBN	be
displaced	VVN	displace
now	RB	now
another	DT	another
round	NN	round
of	IN	of
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
is	VBZ	be
set	VVN	set
to	TO	to
resume	VV	resume
in	IN	in
Cairo	NP	Cairo
Israeli	NP	Israeli
and	CC	and
Hamas	NP	Hamas
delegations	NNS	delegation
are	VBP	be
expected	VVN	expect
to	TO	to
attend	VV	attend
well	RB	well
in	IN	in
a	DT	a
moment	NN	moment
we	PP	we
will	MD	will
speak	VV	speak
with	IN	with
TK	NP	TK
abum	NN	abum
who	WP	who
was	VBD	be
standing	VVG	stand
by	IN	by
in	IN	in
Rafer	NP	Rafer
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
but	CC	but
first	JJ	first
let's	NNS	let's
bring	VVP	bring
in	IN	in
Rory	NP	Rory
Chalin	NP	Chalin
who	WP	who
is	VBZ	be
an	DT	an
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
for	IN	for
us	PP	us
and	CC	and
first	JJ	first
of	IN	of
all	DT	all
Rory	NP	Rory
can	MD	can
we	PP	we
talk	VV	talk
about	IN	about
this	DT	this
troop	NN	troop
withdrawal	NN	withdrawal
from	IN	from
KH	NP	KH
unun	NP	unun
has	VHZ	have
Israel	NP	Israel
actually	RB	actually
explained	VVD	explain
what	WP	what
is	VBZ	be
behind	IN	behind
this	DT	this
decision	NN	decision
well	RB	well
on	IN	on
the	DT	the
day	NN	day
that	IN/that	that
this	DT	this
war	NN	war
reaches	VVZ	reach
the	DT	the
halfe	NP	halfe
mark	NN	mark
on	IN	on
the	DT	the
day	NN	day
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
announces	VVZ	announce
the	DT	the
deaths	NNS	death
of	IN	of
four	CD	four
more	JJR	more
Israeli	NN	Israeli
soldiers	VVZ	soldier
uh	UH	uh
killed	VVN	kill
fighting	VVG	fight
in	IN	in
KH	NP	KH
Yunis	NP	Yunis
the	DT	the
military	NN	military
also	RB	also
announces	VVZ	announce
the	DT	the
withdrawal	NN	withdrawal
of	IN	of
basically	RB	basically
all	DT	all
ground	NN	ground
troops	NNS	troop
in	IN	in
Gaza	NP	Gaza
apart	RB	apart
from	IN	from
one	CD	one
Brigade	NN	brigade
now	RB	now
an	DT	an
explanation	NN	explanation
for	IN	for
anyone	NN	anyone
who	WP	who
doesn't	VVD	doesn't
know	VV	know
about	IN	about
military	JJ	military
divisions	NNS	division
and	CC	and
brigades	NNS	brigade
and	CC	and
battalions	NNS	battalion
Etc	NN	etc
a	DT	a
brigade	NN	brigade
in	IN	in
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
is	VBZ	be
about	RB	about
2	CD	@card@
to	TO	to
5,000	CD	@card@
people	NNS	people
now	RB	now
this	DT	this
brigade	NN	brigade
is	VBZ	be
being	VBG	be
left	VVN	leave
in	IN	in
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
basically	RB	basically
splitting	VVG	split
uh	UH	uh
the	DT	the
strip	NN	strip
in	IN	in
two	CD	two
between	IN	between
North	NP	North
and	CC	and
South	NP	South
the	DT	the
Israeli	JJ	Israeli
Army	NP	Army
hasn't	NN	hasn't
said	VVD	say
exactly	RB	exactly
why	WRB	why
it's	NNS	it's
done	VVN	do
this	DT	this
but	CC	but
of	IN	of
course	NN	course
this	DT	this
is	VBZ	be
being	VBG	be
discussed	VVN	discuss
extensively	RB	extensively
in	IN	in
Israeli	JJ	Israeli
media	NNS	medium
and	CC	and
they're	NN	they're
using	VVG	use
uh	UH	uh
military	JJ	military
sources	NNS	source
and	CC	and
what	WP	what
they're	NN	they're
saying	VVG	say
is	VBZ	be
that	IN/that	that
the	DT	the
military	NN	military
basically	RB	basically
believes	VVZ	believe
that	IN/that	that
the	DT	the
fighting	NN	fighting
in	IN	in
KH	NP	KH
Unice	NP	Unice
that	IN/that	that
operation	NN	operation
has	VHZ	have
been	VBN	be
satisfactorily	RB	satisfactorily
uh	UH	uh
concluded	VVD	conclude
the	DT	the
uh	UH	uh
division	NN	division
that	WDT	that
