world	NN	world
leaders	NNS	leader
and	CC	and
heads	NNS	head
of	IN	of
Aid	NN	aid
groups	NNS	group
have	VHP	have
met	VVN	meet
in	IN	in
Paris	NP	Paris
to	TO	to
discuss	VV	discuss
getting	VVG	get
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
people	NNS	people
in	IN	in
Gaza	NP	Gaza
the	DT	the
talks	NNS	talk
aimed	VVN	aim
at	IN	at
mobilizing	VVG	mobilize
funding	NN	funding
and	CC	and
emergency	NN	emergency
assistance	NN	assistance
they	PP	they
'	POS	'
re	NN	re
also	RB	also
dealing	VVG	deal
with	IN	with
how	WRB	how
to	TO	to
set	VV	set
up	RP	up
supply	NN	supply
lines	NNS	line
for	IN	for
essential	JJ	essential
resources	NNS	resource
including	VVG	include
water	NN	water
fuel	NN	fuel
and	CC	and
electricity	NN	electricity
Caroline	NP	Caroline
janz	NP	Janz
is	VBZ	be
the	DT	the
Belgian	JJ	Belgian
minister	NN	minister
of	IN	of
development	NN	development
cooperation	NN	cooperation
in	IN	in
major	JJ	major
cities	NNS	city
you	PP	you
'	''	'
re	IN	re
joining	VVG	join
me	PP	me
live	VVP	live
from	IN	from
Brussels	NP	Brussels
Minister	NP	Minister
I	PP	I
have	VHP	have
a	DT	a
press	NN	press
statement	NN	statement
in	IN	in
my	PP$	my
hands	NNS	hand
that	WDT	that
says	VVZ	say
uh	UH	uh
Belgium	NN	Belgium
is	VBZ	be
also	RB	also
increasing	VVG	increase
its	PP$	its
a	DT	a
yes	NN	yes
we	PP	we
will	MD	will
um	RB	um
provide	VV	provide
us	PP	us
an	DT	an
additional	JJ	additional
Supply	NN	supply
of2	NN	of2
million	CD	million
EUR	NP	EUR
and	CC	and
that	WDT	that
brings	VVZ	bring
our	PP$	our
total	JJ	total
Aid	NN	aid
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
this	DT	this
year	NN	year
2023	CD	@card@
at	IN	at
22	CD	@card@
million	CD	million
Euros	NNS	Euros
so	IN	so
you	PP	you
'	POS	'
re	NN	re
calling	VVG	call
for	IN	for
a	DT	a
number	NN	number
of	IN	of
things	NNS	thing
again	RB	again
I	NP	I
'	POS	'
m	NN	m
reading	NN	reading
from	IN	from
the	DT	the
statement	NN	statement
here	RB	here
but	CC	but
you	PP	you
'	POS	'
re	NN	re
calling	VVG	call
for	IN	for
a	DT	a
number	NN	number
of	IN	of
things	NNS	thing
I	PP	I
'	POS	'
d	NN	d
like	VVP	like
to	TO	to
take	VV	take
them	PP	them
um	RB	um
one	CD	one
by	IN	by
one	CD	one
one	CD	one
is	VBZ	be
Belgium	NP	Belgium
is	VBZ	be
calling	VVG	call
