Britain	NP	Britain
is	VBZ	be
expected	VVN	expect
to	TO	to
warn	VV	warn
Israel	NP	Israel
later	RBR	later
on	IN	on
Wednesday	NP	Wednesday
that	IN/that	that
its	PP$	its
patience	NN	patience
is	VBZ	be
running	VVG	run
out	RP	out
over	IN	over
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
Israeli	NP	Israeli
War	NP	War
cabinet	NN	cabinet
minister	NN	minister
Benny	NP	Benny
gance	NN	gance
is	VBZ	be
visiting	VVG	visit
the	DT	the
UK	NP	UK
following	VVG	follow
diplomatic	JJ	diplomatic
meetings	NNS	meeting
in	IN	in
Washington	NP	Washington
this	DT	this
week	NN	week
that	IN/that	that
trip	NN	trip
was	VBD	be
reportedly	RB	reportedly
not	RB	not
sanctioned	VVN	sanction
by	IN	by
Israel	NP	Israel
'	POS	'
s	JJ	s
prime	JJ	prime
minister	NN	minister
UK	NP	UK
'	POS	'
s	JJ	s
foreign	JJ	foreign
secretary	NN	secretary
David	NP	David
Cameron	NP	Cameron
spoke	VVD	speak
of	IN	of
the	DT	the
Dreadful	JJ	dreadful
suffering	NN	suffering
in	IN	in
Gaza	NP	Gaza
on	IN	on
Tuesday	NP	Tuesday
and	CC	and
protests	NNS	protest
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
the	DT	the
Strip	NP	Strip
have	VHP	have
been	VBN	be
held	VVN	hold
regularly	RB	regularly
across	IN	across
the	DT	the
UK	NP	UK
let	NN	let
'	POS	'
s	NNS	s
speak	VVP	speak
now	RB	now
to	TO	to
our	PP$	our
correspondent	NN	correspondent
in	IN	in
London	NP	London
Rory	NP	Rory
Chalin	NP	Chalin
Rory	NP	Rory
buy	NN	buy
gance	NN	gance
we	PP	we
understand	VVP	understand
has	VHZ	have
arrived	VVN	arrive
in	IN	in
the	DT	the
UK	NP	UK
from	IN	from
the	DT	the
US	NP	US
how	NN	how
'	POS	'
s	VVG	s
he	PP	he
likely	JJ	likely
to	TO	to
be	VB	be
received	VVN	receive
by	IN	by
the	DT	the
foreign	JJ	foreign
secretary	NN	secretary
David	NP	David
Cameron	NP	Cameron
well	RB	well
Laur	NP	Laur
I	PP	I
think	VVP	think
like	IN	like
the	DT	the
reception	NN	reception
that	IN/that	that
Benny	NP	Benny
Gant	NP	Gant
received	VVD	receive
uh	UH	uh
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
he	PP	he
is	VBZ	be
going	VVG	go
to	TO	to
get	VV	get
a	DT	a
message	NN	message
of	IN	of
deep	JJ	deep
frustration	NN	frustration
uh	UH	uh
from	IN	from
David	NP	David
Cameron	NP	Cameron
when	WRB	when
he	PP	he
meets	VVZ	meet
him	PP	him
here	RB	here
at	IN	at
the	DT	the
foreign	JJ	foreign
Office	NN	office
later	RBR	later
in	IN	in
the	DT	the
day	NN	day
now	RB	now
David	NP	David
Cameron	NP	Cameron
has	VHZ	have
been	VBN	be
briefing	VVG	brief
about	IN	about
it	PP	it
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
he	PP	he
said	VVD	say
that	IN/that	that
he	PP	he
has	VHZ	have
warned	VVN	warn
a	DT	a
few	JJ	few
weeks	NNS	week
ago	RB	ago
about	IN	about
the	DT	the
danger	NN	danger
of	IN	of
famine	NN	famine
and	CC	and
disease	NN	disease
in	IN	in
Gaza	NP	Gaza
and	CC	and
he	PP	he
says	VVZ	say
we	PP	we
are	VBP	be
now	RB	now
at	IN	at
that	DT	that
point	NN	point
he	PP	he
says	VVZ	say
that	IN/that	that
patience	NN	patience
needs	VVZ	need
to	TO	to
run	VV	run
very	RB	very
thin	JJ	thin
and	CC	and
a	DT	a
whole	JJ	whole
series	NN	series
of	IN	of
warnings	NNS	warning
need	VVP	need
to	TO	to
be	VB	be
given	VVN	give
starting	VVG	start
uh	UH	uh
with	IN	with
the	DT	the
meeting	NN	meeting
that	IN/that	that
I	PP	I
am	VBP	be
going	VVG	go
to	TO	to
have	VH	have
with	IN	with
uh	UH	uh
Minister	NP	Minister
Gant	NP	Gant
he	PP	he
says	VVZ	say
that	IN/that	that
the	DT	the
amount	NN	amount
of	IN	of
Aid	NP	Aid
that	IN/that	that
Israel	NP	Israel
allowed	VVD	allow
into	IN	into
Gaza	NP	Gaza
in	IN	in
February	NP	February
was	VBD	be
about	RB	about
half	DT	half
as	RB	as
much	JJ	much
as	IN	as
it	PP	it
allowed	VVD	allow
in	RP	in
during	IN	during
during	IN	during
January	NP	January
so	RB	so
there	RB	there
'	''	'
s	NNS	s
deep	JJ	deep
concern	NN	concern
about	IN	about
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
there	RB	there
and	CC	and
another	DT	another
specific	JJ	specific
warning	NN	warning
for	IN	for
Israel	NP	Israel
for	IN	for
Benny	NP	Benny
Gant	NP	Gant
that	DT	that
'	''	'
s	VVG	s
uh	UH	uh
coming	VVG	come
from	IN	from
David	NP	David
Cameron	NP	Cameron
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
the	DT	the
occupying	JJ	occupying
power	NN	power
it	PP	it
is	VBZ	be
responsible	JJ	responsible
uh	UH	uh
and	CC	and
that	IN/that	that
it	PP	it
has	VHZ	have
and	CC	and
that	WDT	that
has	VHZ	have
consequences	NNS	consequence
including	VVG	include
he	PP	he
says	VVZ	say
in	IN	in
how	WRB	how
we	PP	we
look	VVP	look
at	IN	at
whether	IN	whether
Israel	NP	Israel
is	VBZ	be
compliant	JJ	compliant
with	IN	with
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
for	IN	for
Benny	NP	Benny
Gans	NP	Gans
to	TO	to
be	VB	be
thinking	VVG	think
about	RB	about
as	IN	as
he	PP	he
head	VVP	head
home	RB	home
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
but	CC	but
will	MD	will
any	DT	any
of	IN	of
it	PP	it
have	VHP	have
any	DT	any
impact	NN	impact
yeah	RB	yeah
well	RB	well
I	PP	I
mean	VVP	mean
there	EX	there
are	VBP	be
a	DT	a
few	JJ	few
things	NNS	thing
to	TO	to
say	VV	say
about	IN	about
that	DT	that
first	JJ	first
of	IN	of
all	DT	all
is	VBZ	be
that	DT	that
yes	NN	yes
though	IN	though
he	PP	he
goes	VVZ	go
back	RB	back
conveying	VVG	convey
this	DT	this
message	NN	message
of	IN	of
frustration	NN	frustration
uh	UH	uh
and	CC	and
uh	UH	uh
that	WDT	that
comes	VVZ	come
from	IN	from
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
and	CC	and
it	PP	it
comes	VVZ	come
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
David	NP	David
Cameron	NP	Cameron
saying	VVG	say
that	IN/that	that
patience	NN	patience
is	VBZ	be
wearing	VVG	wear
thin	RB	thin
The	DT	the
Logical	JJ	logical
conclusion	NN	conclusion
of	IN	of
that	WDT	that
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
still	RB	still
patience	NN	patience
you	PP	you
know	VVP	know
these	DT	these
already	RB	already
warm	JJ	warm
machine	NN	machine
does	VVZ	do
still	RB	still
have	VH	have
some	DT	some
rope	NN	rope
it	PP	it
still	RB	still
have	VHP	have
some	DT	some
leeway	NN	leeway
from	IN	from
its	PP$	its
allies	VVZ	ally
uh	UH	uh
in	IN	in
the	DT	the
west	NN	west
another	DT	another
thing	NN	thing
to	TO	to
look	VV	look
at	IN	at
is	VBZ	be
well	RB	well
who	WP	who
is	VBZ	be
Benny	NP	Benny
gance	NN	gance
anyway	RB	anyway
uh	UH	uh
he	PP	he
is	VBZ	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
war	NN	war
cabinet	NN	cabinet
yes	RB	yes
but	CC	but
he	PP	he
is	VBZ	be
also	RB	also
an	DT	an
opposition	NN	opposition
politician	NN	politician
a	DT	a
former	JJ	former
prime	JJ	prime
minister	NN	minister
this	DT	this
uh	UH	uh
trip	NN	trip
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
on	IN	on
um	NNS	um
I	PP	I
think	VVP	think
is	VBZ	be
viewed	VVN	view
by	IN	by
many	JJ	many
people	NNS	people
within	IN	within
the	DT	the
Israeli	JJ	Israeli
government	NN	government
as	IN	as
essentially	RB	essentially
a	DT	a
freelancing	VVG	freelance
Enterprise	NPS	Enterprise
uh	UH	uh
Netanyahu	NP	Netanyahu
is	VBZ	be
apparently	RB	apparently
no	DT	no
fan	NN	fan
of	IN	of
it	PP	it
and	CC	and
it	PP	it
was	VBD	be
reported	VVN	report
in	IN	in
the	DT	the
