let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
with	IN	with
Maran	NP	Maran
Bashar	NP	Bashar
Al	NP	Al
jazer	NN	jazer
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
London	NP	London
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
time	NN	time
today	NN	today
Maran	NP	Maran
so	IN	so
Biden	NP	Biden
'	POS	'
s	NN	S
comments	NNS	comment
come	VVN	come
to	TO	to
Jesus	NP	Jesus
remark	NN	remark
it	PP	it
appears	VVZ	appear
to	TO	to
indicate	VV	indicate
Biden	NP	Biden
'	POS	'
s	JJ	s
frustration	NN	frustration
with	IN	with
Israel	NP	Israel
but	CC	but
what	WP	what
is	VBZ	be
slightly	RB	slightly
more	RBR	more
confusing	JJ	confusing
is	VBZ	be
given	VVN	give
the	DT	the
enormous	JJ	enormous
leverage	NN	leverage
the	DT	the
US	NP	US
has	VHZ	have
over	IN	over
Israel	NP	Israel
why	WRB	why
the	DT	the
Israelis	NPS	Israelis
don	NN	don
'	POS	'
t	NN	t
seem	VVP	seem
to	TO	to
be	VB	be
listening	VVG	listen
unless	IN	unless
the	DT	the
US	NP	US
are	VBP	be
not	RB	not
actually	RB	actually
using	VVG	use
that	DT	that
leverage	NN	leverage
well	RB	well
yes	RB	yes
absolutely	RB	absolutely
I	PP	I
mean	VVP	mean
this	DT	this
whole	JJ	whole
thing	NN	thing
has	VHZ	have
becoming	VVG	become
so	RB	so
comical	JJ	comical
if	IN	if
it	PP	it
wasn	NN	wasn
'	POS	'
t	NN	t
all	RB	all
so	RB	so
tragic	JJ	tragic
in	IN	in
Gaza	NP	Gaza
but	CC	but
definitely	RB	definitely
the	DT	the
relationship	NN	relationship
between	IN	between
Biden	NP	Biden
and	CC	and
Netanyahu	NP	Netanyahu
is	VBZ	be
so	RB	so
absurd	JJ	absurd
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
American	JJ	American
president	NN	president
that	WDT	that
just	RB	just
committed	VVD	commit
more	JJR	more
than4	NN	than4
billion	NNS	billion
dollar	NN	dollar
to	TO	to
Israel	NP	Israel
in	IN	in
addition	NN	addition
to	TO	to
some	DT	some
$	$	$
40	CD	@card@
billion	NN	billion
in	IN	in
Aid	NN	aid
to	TO	to
a	DT	a
country	NN	country
that	WDT	that
is	VBZ	be
you	PP	you
know	VVP	know
rather	RB	rather
doing	VVG	do
well	RB	well
in	IN	in
German	JJ	German
but	CC	but
it	PP	it
'	POS	'
s	JJ	s
kind	NN	kind
of	IN	of
squeezed	VVN	squeeze
now	RB	now
there	RB	there
is	VBZ	be
at	IN	at
least	JJS	least
so	RB	so
much	RB	much
economic	JJ	economic
and	CC	and
financial	JJ	financial
leverage	NN	leverage
that	IN/that	that
Washington	NP	Washington
can	MD	can
use	VV	use
against	IN	against
Israel	NP	Israel
or	CC	or
with	IN	with
Israel	NP	Israel
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
using	VVG	use
and	CC	and
then	RB	then
there	EX	there
'	''	'
s	VVG	s
the	DT	the
arms	NNS	arm
America	NP	America
has	VHZ	have
basically	RB	basically
opened	VVN	open
its	PP$	its
storage	NN	storage
uh	UH	uh
for	IN	for
ammunition	NN	ammunition
to	TO	to
give	VV	give
to	TO	to
Israel	NP	Israel
83	CD	@card@
%	NN	%
of	IN	of
the	DT	the
bombs	NNS	bomb
of	IN	of
the	DT	the
ammunition	NN	ammunition
used	VVN	use
against	IN	against
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
to	TO	to
commit	VV	commit
that	DT	that
gen	NN	gen
side	NN	side
in	IN	in
Gaza	NP	Gaza
are	VBP	be
American	JJ	American
bombs	NNS	bomb
and	CC	and
ammunitions	NNS	ammunition
at	IN	at
least	JJS	least
according	VVG	accord
to	TO	to
one	CD	one
American	JJ	American
Congress	NP	Congress
woman	NN	woman
so	RB	so
there	RB	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
leverage	NN	leverage
it	PP	it
is	VBZ	be
so	RB	so
easy	JJ	easy
for	IN	for
the	DT	the
American	JJ	American
president	NN	president
if	IN	if
he	PP	he
is	VBZ	be
really	RB	really
serious	JJ	serious
about	IN	about
dictating	VVG	dictate
to	TO	to
Netanyahu	NP	Netanyahu
what	WDT	what
he	PP	he
must	MD	must
do	VV	do
at	IN	at
least	JJS	least
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
front	NN	front
I	PP	I
have	VHP	have
absolutely	RB	absolutely
no	RB	no
doubt	VVP	doubt
that	IN/that	that
he	PP	he
can	MD	can
do	VV	do
that	IN/that	that
without	IN	without
the	DT	the
song	NN	song
and	CC	and
dance	NN	dance
without	IN	without
the	DT	the
theatrics	NN	theatrics
that	IN/that	that
that	WDT	that
he	PP	he
'	POS	'
s	NNS	s
involved	VVN	involve
in	IN	in
without	IN	without
all	PDT	all
the	DT	the
politics	NNS	politics
and	CC	and
the	DT	the
and	CC	and
the	DT	the
public	JJ	public
relations	NNS	relation
Washington	NP	Washington
can	MD	can
and	CC	and
should	MD	should
must	MD	must
use	VV	use
its	PP$	its
leverage	NN	leverage
in	IN	in
order	NN	order
for	IN	for
Israel	NP	Israel
to	TO	to
allow	VV	allow
more	RBR	more
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
and	CC	and
to	TO	to
stop	VV	stop
the	DT	the
war	NN	war
well	RB	well
linking	VVG	link
to	TO	to
this	DT	this
whole	JJ	whole
Aid	NN	aid
situation	NN	situation
we	PP	we
now	RB	now
have	VHP	have
the	DT	the
US	NP	US
uh	UH	uh
talking	VVG	talk
about	IN	about
these	DT	these
attempts	NNS	attempt
to	TO	to
get	VV	get
Aid	NP	Aid
to	TO	to
Gaza	NP	Gaza
via	IN	via
some	DT	some
sort	NN	sort
of	IN	of
Maritime	NP	Maritime
route	VVP	route
it	PP	it
it	PP	it
'	POS	'
s	NN	S
is	VBZ	be
talking	VVG	talk
about	IN	about
building	VVG	build
a	DT	a
port	NN	port
which	WDT	which
could	MD	could
take	VV	take
two	CD	two
months	NNS	month
to	TO	to
build	VV	build
many	JJ	many
Aid	NN	aid
groups	NNS	group
have	VHP	have
criticized	VVN	criticize
this	DT	this
as	IN	as
not	RB	not
being	VBG	be
genuine	JJ	genuine
what	WP	what
'	POS	'
s	VVG	s
your	PP$	your
take	NN	take
on	IN	on
it	PP	it
well	VVP	well
there	EX	there
is	VBZ	be
a	DT	a
consensus	NN	consensus
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
genuine	JJ	genuine
and	CC	and
despite	IN	despite
that	WDT	that
there	EX	there
are	VBP	be
some	DT	some
Hamas	JJ	Hamas
spokesperson	NN	spokesperson
who	WP	who
are	VBP	be
welcoming	VVG	welcome
it	PP	it
you	PP	you
know	VVP	know
Hamas	NNS	Hamas
being	VBG	be
pragmatic	JJ	pragmatic
about	IN	about
the	DT	the
fact	NN	fact
if	IN	if
anyone	NN	anyone
wants	VVZ	want
to	TO	to
help	VV	help
you	PP	you
know	VV	know
let	VV	let
it	PP	it
be	VB	be
through	IN	through
sea	NN	sea
fine	NN	fine
let	VVD	let
it	PP	it
be	VB	be
through	IN	through
the	DT	the
sea	NN	sea
but	CC	but
if	IN	if
the	DT	the
Americans	NPS	Americans
are	VBP	be
really	RB	really
serious	JJ	serious
they	PP	they
can	MD	can
use	VV	use
the	DT	the
same	JJ	same
leverage	NN	leverage
in	IN	in
order	NN	order
to	TO	to
erect	VV	erect
a	DT	a
port	NN	port
in	IN	in
order	NN	order
to	TO	to
establish	VV	establish
a	DT	a
port	NN	port
by	IN	by
putting	VVG	put
that	DT	that
same	JJ	same
leverage	NN	leverage
on	IN	on
the	DT	the
Egyptian	JJ	Egyptian
government	NN	government
and	CC	and
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
allow	VV	allow
Aid	NN	aid
in	IN	in
from	IN	from
Egypt	NP	Egypt
and	CC	and
from	IN	from
Israel	NP	Israel
into	IN	into
Gaza	NP	Gaza
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
not	RB	not
rocket	VVP	rocket
science	NN	science
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
uh	UH	uh
lores	NNS	lore
already	RB	already
on	IN	on
the	DT	the
borders	NNS	border
all	RB	all
full	JJ	full
of	IN	of
whatever	WDT	whatever
is	VBZ	be
needed	VVN	need
in	IN	in
Gaza	NP	Gaza
but	CC	but
they	PP	they
just	RB	just
not	RB	not
allowed	VVN	allow
in	IN	in
so	RB	so
really	RB	really
it	PP	it
makes	VVZ	make
the	DT	the
question	NN	question
why	WRB	why
go	VVP	go
through	IN	through
350	CD	@card@
km	NN	km
in	IN	in
the	DT	the
sea	NN	sea
line	NN	line
from	IN	from
Cyprus	NP	Cyprus
when	WRB	when
you	PP	you
can	MD	can
just	RB	just
open	VV	open
the	DT	the
borders	NNS	border
and	CC	and
allow	VV	allow
the	DT	the
trucks	NNS	truck
in	IN	in
and	CC	and
why	WRB	why
continue	VVP	continue
to	TO	to
undermine	VV	undermine
Ona	NP	Ona
even	RB	even
to	TO	to
wage	VV	wage
a	DT	a
war	NN	war
on	IN	on
hona	NN	hona
by	IN	by
Israel	NP	Israel
supported	VVD	support
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
when	WRB	when
horaa	NN	horaa
is	VBZ	be
indispensable	JJ	indispensable
to	TO	to
get	VV	get
that	DT	that
Aid	NN	aid
distributed	VVN	distribute
to	TO	to
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
because	IN	because
you	PP	you
see	VVP	see
one	CD	one
thing	NN	thing
is	VBZ	be
to	TO	to
get	VV	get
the	DT	the
aid	NN	aid
to	TO	to
the	DT	the
port	NN	port
or	CC	or
to	TO	to
the	DT	the
Border	NP	Border
another	DT	another
thing	NN	thing
is	VBZ	be
to	TO	to
get	VV	get
it	PP	it
distributed	VVN	distribute
throughout	IN	throughout
Gaza	NP	Gaza
to	TO	to
to	TO	to
the	DT	the
people	NNS	people
who	WP	who
need	VVP	need
it	PP	it
most	RBS	most
and	CC	and
for	IN	for
that	IN/that	that
we	PP	we
need	MD	need
honor	VV	honor
and	CC	and
hence	RB	hence
honor	NN	honor
must	MD	must
now	RB	now
be	VB	be
honored	VVN	honor
supported	VVD	support
financed	VVN	finance
and	CC	and
totally	RB	totally
protected	VVN	protect
by	IN	by
the	DT	the
likes	NNS	like
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
instead	RB	instead
of	IN	of
being	VBG	be
sanctioned	VVN	sanction
and	CC	and
undermined	VVN	undermine
by	IN	by
Washington	NP	Washington
and	CC	and
a	DT	a
okay	JJ	okay
Maran	NP	Maran
Bashar	NP	Bashar
good	JJ	good
to	TO	to
get	VV	get
your	PP$	your
thoughts	NNS	thought
Al	NP	Al
jazer	NP	jazer
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
