<video_id>pXEKKti1Jnc</video_id>	JJ	<video_id>pXEKKti1Jnc</video_id>
<video_title>Biden:	NN	<video_title>Biden:
Urges	VVZ	urge
Israel,	NP	Israel,
Hamas	NP	Hamas
to	TO	to
take	VV	take
the	DT	the
deal	NN	deal
–	:	-
‘we	NP	‘we
can’t	NP	can’t
lose	VVP	lose
this	DT	this
moment’</video_title>	JJ	moment’</video_title>
<thumbnail_path>data/en_AJ\Biden	NN	<thumbnail_path>data/en_AJ\Biden
Urges	VVZ	urge
Israel,	NP	Israel,
Hamas	NP	Hamas
to	TO	to
take	VV	take
the	DT	the
deal	NN	deal
–	:	-
‘we	NP	‘we
can’t	NP	can’t
lose	VVP	lose
this	DT	this
moment’.jpg</thumbnail_path>	JJ	moment’.jpg</thumbnail_path>
<publish_date>20240531</publish_date>	NN	<publish_date>20240531</publish_date>
<doc>	NN	<doc>
for	IN	for
the	DT	the
details	NNS	detail
of	IN	of
this	DT	this
latest	JJS	late
ceasefire	NN	ceasefire
proposal	NN	proposal
kimbery	NN	kimbery
we	PP	we
heard	VVD	hear
a	DT	a
very	RB	very
solemn	JJ	solemn
President	NP	President
Biden	NP	Biden
there	RB	there
announcing	VVG	announce
this	DT	this
latest	JJS	late
ceasefire	NN	ceasefire
proposal	NN	proposal
that	IN/that	that
he	PP	he
said	VVD	say
was	VBD	be
announced	VVN	announce
by	IN	by
Israel	NP	Israel
proposed	VVN	propose
by	IN	by
Israel	NP	Israel
talk	VVP	talk
us	PP	us
through	IN	through
the	DT	the
details	NNS	detail
of	IN	of
it	PP	it
yeah	RB	yeah
the	DT	the
proposal	NN	proposal
uh	UH	uh
that	IN/that	that
he	PP	he
says	VVZ	say
I	PP	I
know	VV	know
some	DT	some
in	IN	in
Israel	NP	Israel
will	MD	will
not	RB	not
agree	VV	agree
with	IN	with
this	DT	this
plan	NN	plan
he's	NNS	he's
urged	VVD	urge
the	DT	the
Israeli	JJ	Israeli
leaders	NNS	leader
to	TO	to
stand	VV	stand
behind	IN	behind
this	DT	this
deal	NN	deal
I	PP	I
asked	VVD	ask
them	PP	them
to	TO	to
step	VV	step
back	RB	back
and	CC	and
think	VVP	think
about	RB	about
what	WP	what
happens	VVZ	happen
if	IN	if
we	PP	we
lose	VVP	lose
this	DT	this
moment	NN	moment
suggesting	VVG	suggest
that	IN/that	that
Israel	NP	Israel
will	MD	will
be	VB	be
isolated	VVN	isolate
if	IN	if
it	PP	it
does	VVZ	do
not	RB	not
go	VV	go
ahead	RB	ahead
with	IN	with
this	DT	this
proposal	NN	proposal
the	DT	the
deal	NN	deal
seems	VVZ	seem
to	TO	to
be	VB	be
broken	VVN	break
down	RB	down
into	IN	into
three	CD	three
different	JJ	different
phases	VVZ	phase
uh	UH	uh
and	CC	and
that	IN/that	that
it	PP	it
would	MD	would
be	VB	be
phased	VVN	phase
in	IN	in
over	IN	over
six	CD	six
weeks	NNS	week
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
it	PP	it
uh	UH	uh
would	MD	would
be	VB	be
to	TO	to
end	VV	end
the	DT	the
hostilities	NNS	hostility
would	MD	would
be	VB	be
a	DT	a
full	JJ	full
withdrawal	NN	withdrawal
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
the	DT	the
second	JJ	second
phase	NN	phase
would	MD	would
be	VB	be
critical	JJ	critical
in	IN	in
that	IN/that	that
it	PP	it
would	MD	would
be	VB	be
a	DT	a
release	NN	release
of	IN	of
the	DT	the
captives	NNS	captive
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
that	WDT	that
are	VBP	be
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
that	WDT	that
are	VBP	be
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
hundreds	NNS	hundred
of	IN	of
them	PP	them
that	IN/that	that
we	PP	we
know	VVP	know
are	VBP	be
being	VBG	be
held	VVN	hold
in	IN	in
captivity	NN	captivity
then	RB	then
the	DT	the
third	JJ	third
phase	NN	phase
would	MD	would
involve	VV	involve
the	DT	the
rebuilding	NN	rebuilding
of	IN	of
Gaza	NP	Gaza
this	DT	this
would	MD	would
be	VB	be
significant	JJ	significant
given	VVN	give
the	DT	the
widespread	JJ	widespread
damage	NN	damage
that	WDT	that
has	VHZ	have
occurred	VVN	occur
as	RB	as
well	RB	well
as	IN	as
600	CD	@card@
trucks	NNS	truck
of	IN	of
Aid	NN	aid
now	IN	now
uh	UH	uh
obviously	RB	obviously
there's	RB	there's
going	VVG	go
to	TO	to
be	VB	be
need	NN	need
for	IN	for
more	JJR	more
Aid	NN	aid
than	IN	than
that	IN/that	that
so	RB	so
I	PP	I
think	VVP	think
this	DT	this
was	VBD	be
a	DT	a
daily	JJ	daily
number	NN	number
cuz	NN	cuz
we	PP	we
know	VVP	know
the	DT	the
goal	NN	goal
right	NN	right
now	RB	now
has	VHZ	have
been	VBN	be
less	JJR	less
than	IN	than
half	PDT	half
that	DT	that
so	IN	so
the	DT	the
this	DT	this
is	VBZ	be
the	DT	the
United	NP	United
States	NPS	States
saying	VVG	say
that	IN/that	that
this	DT	this
needs	VVZ	need
to	TO	to
be	VB	be
increased	VVN	increase
significantly	RB	significantly
now	RB	now
what	WP	what
you're	NN	you're
hearing	NN	hearing
from	IN	from
