now	RB	now
let	VV	let
'	''	'
s	NNS	s
go	VVP	go
to	TO	to
our	PP$	our
exclusive	JJ	exclusive
interview	NN	interview
with	IN	with
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
he	PP	he
discussed	VVD	discuss
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
and	CC	and
the	DT	the
prospects	NNS	prospect
of	IN	of
a	DT	a
cease	VVP	cease
fire	NN	fire
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
alzer	NP	alzer
'	POS	'
s	NN	S
Jalal	NP	Jalal
Chara	NP	Chara
began	VVD	begin
by	IN	by
asking	VVG	ask
him	PP	him
about	IN	about
where	WRB	where
the	DT	the
negotiations	NNS	negotiation
currently	RB	currently
stand	VVP	stand
12	CD	@card@
days	NNS	day
ago	RB	ago
um	JJ	um
President	NP	President
Biden	NP	Biden
laid	VVD	lay
out	RP	out
this	DT	this
proposal	NN	proposal
and	CC	and
in	IN	in
that	DT	that
time	NN	time
almost	RB	almost
the	DT	the
entire	JJ	entire
world	NN	world
came	VVD	come
out	RP	out
in	IN	in
support	NN	support
of	IN	of
it	PP	it
uh	UH	uh
including	VVG	include
the	DT	the
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
but	CC	but
also	RB	also
the	DT	the
Arab	NP	Arab
League	NP	League
virtually	RB	virtually
every	DT	every
country	NN	country
in	IN	in
this	DT	this
region	NN	region
and	CC	and
well	RB	well
beyond	IN	beyond
um	JJ	um
Israel	NP	Israel
accepted	VVD	accept
the	DT	the
proposal	NN	proposal
Palestinian	JJ	Palestinian
Authority	NP	Authority
uh	UH	uh
accepted	VVD	accept
the	DT	the
proposal	NN	proposal
uh	UH	uh
Hamas	NN	Hamas
was	VBD	be
the	DT	the
one	CD	one
answer	NN	answer
we	PP	we
were	VBD	be
waiting	VVG	wait
for	IN	for
and	CC	and
the	DT	the
answer	NN	answer
that	IN/that	that
we	PP	we
got	VVD	get
last	JJ	last
night	NN	night
uh	UH	uh
that	WDT	that
was	VBD	be
submitted	VVN	submit
to	TO	to
um	JJ	um
cutter	NN	cutter
it	PP	it
was	VBD	be
submitted	VVN	submit
to	TO	to
Egypt	NP	Egypt
uh	UH	uh
and	CC	and
to	TO	to
us	PP	us
as	IN	as
the	DT	the
mediators	NNS	mediator
in	IN	in
this	DT	this
process	NN	process
unfortunately	RB	unfortunately
was	VBD	be
not	RB	not
the	DT	the
yes	NN	yes
that	IN/that	that
everyone	NN	everyone
else	RB	else
had	VHD	have
provided	VVN	provide
uh	UH	uh
it	PP	it
was	VBD	be
um	RB	um
looking	VVG	look
for	IN	for
more	JJR	more
changes	NNS	change
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
agreement	NN	agreement
including	VVG	include
uh	UH	uh
changes	NNS	change
on	IN	on
items	NNS	item
that	IN/that	that
Hamas	NP	Hamas
had	VHD	have
previously	RB	previously
accepted	VVN	accept
so	IN	so
the	DT	the
hard	JJ	hard
reality	NN	reality
is	VBZ	be
um	JJ	um
we	PP	we
could	MD	could
have	VH	have
a	DT	a
ceasefire	NN	ceasefire
we	PP	we
could	MD	could
have	VH	have
maybe	RB	maybe
had	VHD	have
a	DT	a
ceasefire	NN	ceasefire
12	CD	@card@
days	NNS	day
ago	RB	ago
uh	UH	uh
but	CC	but
we	PP	we
don	VVP	don
'	''	'
t	NN	t
in	IN	in
this	DT	this
moment	NN	moment
because	IN	because
Hamas	NP	Hamas
has	VHZ	have
not	RB	not
said	VVD	say
yes	UH	yes
we	PP	we
have	VHP	have
I	PP	I
think	VVP	think
some	DT	some
changes	NNS	change
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
looking	VVG	look
for	IN	for
that	WDT	that
are	VBP	be
workable	JJ	workable
that	IN/that	that
we	PP	we
can	MD	can
uh	UH	uh
try	NN	try
to	TO	to
uh	UH	uh
uh	UH	uh
close	VV	close
close	VV	close
the	DT	the
gap	NN	gap
on	IN	on
there	EX	there
are	VBP	be
others	NNS	other
that	WDT	that
are	VBP	be
not	RB	not
workable	JJ	workable
so	IN	so
we	PP	we
have	VHP	have
to	TO	to
see	VV	see
in	IN	in
the	DT	the
days	NNS	day
ahead	RB	ahead
uh	UH	uh
whether	IN	whether
we	PP	we
can	MD	can
actually	RB	actually
close	VV	close
the	DT	the
gaps	NNS	gap
I	PP	I
think	VVP	think
that	DT	that
um	JJ	um
uh	UH	uh
the	DT	the
gaps	NNS	gap
are	VBP	be
are	VBP	be
bridgeable	JJ	bridgeable
but	CC	but
just	RB	just
because	IN	because
they	PP	they
are	VBP	be
doesn	NN	doesn
'	POS	'
t	NN	t
mean	VVP	mean
they	PP	they
will	MD	will
be	VB	be
ultimately	RB	ultimately
Hamas	JJ	Hamas
has	VHZ	have
to	TO	to
decide	VV	decide
everyone	NN	everyone
else	RB	else
has	VHZ	have
decided	VVN	decide
Hamas	NN	Hamas
is	VBZ	be
not	RB	not
what	WP	what
is	VBZ	be
not	RB	not
workable	JJ	workable
for	IN	for
you	PP	you
and	CC	and
for	IN	for
the	DT	the
Israel	NP	Israel
well	RB	well
I	PP	I
can	MD	can
'	''	'
t	NN	t
get	VV	get
into	IN	into
the	DT	the
details	NNS	detail
you	PP	you
understand	VVP	understand
that	IN/that	that
given	VVN	give
the	DT	the
sensitivity	NN	sensitivity
of	IN	of
the	DT	the
negotiations	NNS	negotiation
um	VVG	um
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
the	DT	the
details	NNS	detail
but	CC	but
what	WP	what
I	PP	I
can	MD	can
say	VV	say
is	VBZ	be
this	DT	this
the	DT	the
um	JJ	um
proposal	NN	proposal
that	IN/that	that
President	NP	President
Biden	NP	Biden
laid	VVD	lay
out	RP	out
12	CD	@card@
days	NNS	day
ago	RB	ago
was	VBD	be
virtually	RB	virtually
identical	JJ	identical
to	TO	to
one	PP	one
that	IN/that	that
Hamas	NP	Hamas
had	VHD	have
accepted	VVN	accept
uh	UH	uh
and	CC	and
put	VV	put
forward	VV	forward
itself	PP	itself
on	IN	on
May	NP	May
the	DT	the
6th	JJ	6th
so	RB	so
there	RB	there
'	''	'
s	VVG	s
no	DT	no
reason	NN	reason
why	WRB	why
uh	UH	uh
this	DT	this
U	NP	U
agreement	NN	agreement
should	MD	should
not	RB	not
be	VB	be
reached	VVN	reach
the	DT	the
only	JJ	only
reason	NN	reason
would	MD	would
be	VB	be
Hamas	NNS	Hamas
continuing	VVG	continue
to	TO	to
try	VV	try
to	TO	to
change	VV	change
the	DT	the
terms	NNS	term
but	RB	but
here	RB	here
'	''	'
s	VVG	s
what	WP	what
'	POS	'
s	NNS	s
the	DT	the
reality	NN	reality
the	DT	the
reality	NN	reality
is	VBZ	be
as	RB	as
this	DT	this
negotiation	NN	negotiation
is	VBZ	be
going	VVG	go
on	IN	on
during	IN	during
the	DT	the
12	CD	@card@
days	NNS	day
that	IN/that	that
it	PP	it
took	VVD	take
himas	NNS	himas
to	TO	to
respond	VV	respond
the	DT	the
world	NN	world
wasn	NN	wasn
'	POS	'
t	NN	t
standing	NN	standing
still	RB	still
Gaza	NP	Gaza
wasn	NP	wasn
'	POS	'
t	NN	t
standing	VVG	stand
still	RB	still
people	NNS	people
were	VBD	be
suffering	VVG	suffer
every	DT	every
single	JJ	single
day	NN	day
uh	UH	uh
Palestinian	JJ	Palestinian
children	NNS	child
women	NNS	woman
and	CC	and
men	NNS	man
suffering	VVG	suffer
every	DT	every
single	JJ	single
day	NN	day
so	RB	so
from	IN	from
my	PP$	my
perspective	NN	perspective
from	IN	from
our	PP$	our
perspective	NN	perspective
it	PP	it
'	POS	'
s	JJ	s
time	NN	time
to	TO	to
stop	VV	stop
all	DT	all
of	IN	of
this	DT	this
haggling	VVG	haggle
and	CC	and
back	RB	back
and	CC	and
forth	RB	forth
and	CC	and
start	VV	start
a	DT	a
ceasefire	NN	ceasefire
Hamas	NN	Hamas
said	VVD	say
the	DT	the
priority	NN	priority
is	VBZ	be
to	TO	to
stop	VV	stop
uh	UH	uh
the	DT	the
war	NN	war
um	VVG	um
uh	UH	uh
what	WP	what
information	NN	information
did	VVD	do
you	PP	you
receive	VV	receive
from	IN	from
um	JJ	um
uh	UH	uh
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
during	IN	during
your	PP$	your
meeting	NN	meeting
with	IN	with
him	PP	him
few	JJ	few
days	NNS	day
ago	RB	ago
in	IN	in
Israel	NP	Israel
um	NNS	um
U	NP	U
concerning	VVG	concern
the	DT	the
the	DT	the
permanent	JJ	permanent
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
so	IN	so
what	WP	what
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
from	IN	from
my	PP$	my
conversations	NNS	conversation
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
Netanyahu	NP	Netanyahu
was	VBD	be
a	DT	a
reaffirmation	NN	reaffirmation
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
acceptance	NN	acceptance
of	IN	of
The	DT	the
