<video_id>q7QGdZjuItU</video_id>	JJ	<video_id>q7QGdZjuItU</video_id>
<video_title>Calling	NN	<video_title>Calling
for	IN	for
end	NN	end
of	IN	of
Gaza	NP	Gaza
war	NN	war
‘almost	JJ	‘almost
impossible’	NN	impossible’
for	IN	for
most	JJS	most
Israelis:	NP	Israelis:
Israeli	JJ	Israeli
analyst</video_title>	NN	analyst</video_title>
<thumbnail_path>data/en_AJ\Calling	NN	<thumbnail_path>data/en_AJ\Calling
for	IN	for
end	NN	end
of	IN	of
Gaza	NP	Gaza
war	NN	war
‘almost	JJ	‘almost
impossible’	NN	impossible’
for	IN	for
most	JJS	most
Israelis	NNS	Israeli
Israeli	JJ	Israeli
analyst.jpg</thumbnail_path>	NN	analyst.jpg</thumbnail_path>
<publish_date>20240907</publish_date>	NN	<publish_date>20240907</publish_date>
<doc>	JJ	<doc>
Alon	NP	Alon
pinkos	NNS	pinko
is	VBZ	be
a	DT	a
former	JJ	former
Israeli	JJ	Israeli
Diplomat	NN	diplomat
he	PP	he
was	VBD	be
Ambassador	NN	ambassador
and	CC	and
Consul	NN	consul
general	NN	general
of	IN	of
Israel	NP	Israel
in	IN	in
New	NP	New
York	NP	York
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
a	DT	a
very	RB	very
warm	JJ	warm
welcome	NN	welcome
to	TO	to
aler	NN	aler
so	IN	so
I'm	NP	I'm
not	RB	not
sure	RB	sure
if	IN	if
you	PP	you
heard	VVD	hear
what	WP	what
Mustafa	NP	Mustafa
bouti	NP	bouti
the	DT	the
uh	UH	uh
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
national	JJ	national
initiative	NN	initiative
had	VHD	have
to	TO	to
say	VV	say
there	RB	there
but	CC	but
under	IN	under
no	DT	no
Illusions	NNS	illusion
in	IN	in
his	PP$	his
mind	NN	mind
the	DT	the
ultimate	JJ	ultimate
goal	NN	goal
of	IN	of
Israel	NP	Israel
is	VBZ	be
to	TO	to
completely	RB	completely
occupy	VV	occupy
and	CC	and
Annex	NN	annex
of	IN	of
course	NN	course
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
do	VVP	do
Israelis	NPS	Israelis
share	NN	share
that	IN/that	that
view	NN	view
um	NNS	um
no	RB	no
no	RB	no
I	PP	I
you	PP	you
know	VVP	know
we	PP	we
could	MD	could
we	PP	we
could	MD	could
look	VV	look
at	IN	at
the	DT	the
border	NN	border
I	PP	I
heard	VVD	hear
what	WP	what
Mustafa	NP	Mustafa
bti	NP	bti
said	VVD	say
NE	RB	ne
and	CC	and
I	PP	I
and	CC	and
I	PP	I
happen	VVP	happen
to	TO	to
agree	VV	agree
with	IN	with
much	JJ	much
of	IN	of
what	WP	what
he	PP	he
had	VHD	have
said	VVN	say
but	CC	but
I	PP	I
don't	VVD	don't
think	VV	think
there's	RB	there's
any	DT	any
plan	NN	plan
to	TO	to
uh	UH	uh
um	NNS	um
to	TO	to
Annex	NP	Annex
uh	UH	uh
wide	JJ	wide
SWAT	NN	swat
of	IN	of
the	DT	the
uh	UH	uh
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
only	RB	only
because	IN	because
Israel	NP	Israel
is	VBZ	be
too	RB	too
afraid	JJ	afraid
to	TO	to
do	VV	do
so	RB	so
and	CC	and
has	VHZ	have
been	VBN	be
very	RB	very
reluctant	JJ	reluctant
to	TO	to
do	VV	do
so	RB	so
for	IN	for
many	JJ	many
many	JJ	many
years	NNS	year
that	RB	that
being	VBG	be
established	VVN	establish
um	RB	um
and	CC	and
while	IN	while
a	DT	a
military	JJ	military
operation	NN	operation
could	MD	could
be	VB	be
somehow	RB	somehow
I'm	NN	I'm
not	RB	not
familiar	JJ	familiar
with	IN	with
the	DT	the
exact	JJ	exact
details	NNS	detail
could	MD	could
be	VB	be
justified	VVN	justify
on	IN	on
grounds	NNS	ground
of	IN	of
uh	UH	uh
um	JJ	um
actionable	JJ	actionable
intelligence	NN	intelligence
in	IN	in
terms	NNS	term
of	IN	of
counterterrorism	NN	counterterrorism
the	DT	the
political	JJ	political
uh	UH	uh
um	NN	um
um	NNS	um
angle	VVP	angle
the	DT	the
political	JJ	political
aspect	NN	aspect
is	VBZ	be
far	RB	far
more	RBR	more
important	JJ	important
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
agree	VVP	agree
with	IN	with
Mr	NP	Mr
barouti	NNS	barouti
um	VVG	um
this	DT	this
is	VBZ	be
this	DT	this
government	NN	government
is	VBZ	be
intent	JJ	intent
on	IN	on
weakening	VVG	weaken
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
if	IN	if
you	PP	you
recall	VVP	recall
NE	RB	ne
just	RB	just
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
even	RB	even
though	IN	though
everyone	NN	everyone
stopped	VVD	stop
talking	VVG	talk
about	IN	about
it	PP	it
there	RB	there
was	VBD	be
there	EX	there
