alhamd	JJ	alhamd
Sal	NP	Sal
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
andhd	NN	andhd
that	RB	that
'	POS	'
s	NN	S
just	RB	just
to	TO	to
recap	VV	recap
we	PP	we
know	VV	know
that	WDT	that
strikes	VVZ	strike
more	RBR	more
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
are	VBP	be
going	VVG	go
on	IN	on
right	NN	right
across	IN	across
Gaza	NP	Gaza
take	VVP	take
us	PP	us
through	IN	through
the	DT	the
Carnage	NN	carnage
several	JJ	several
different	JJ	different
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
being	VBG	be
hit	VVN	hit
by	IN	by
Relentless	JJ	relentless
Israeli	JJ	Israeli
bombardment	NN	bombardment
at	IN	at
this	DT	this
hour	NN	hour
let	NN	let
'	POS	'
s	NNS	s
begin	VVP	begin
in	IN	in
the	DT	the
south	NN	south
in	IN	in
the	DT	the
territory	NN	territory
'	POS	'
s	NN	S
second	JJ	second
largest	JJS	large
city	NN	city
of	IN	of
on	IN	on
Unice	NP	Unice
where	WRB	where
at	IN	at
least	JJS	least
seven	CD	seven
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
there	RB	there
as	IN	as
the	DT	the
bombings	NNS	bombing
have	VHP	have
now	RB	now
reached	VVN	reach
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
analid	JJ	analid
hospital	NN	hospital
and	CC	and
medical	JJ	medical
complex	JJ	complex
Health	NP	Health
authorities	NNS	authority
are	VBP	be
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
injuries	NNS	injury
who	WP	who
are	VBP	be
arriving	VVG	arrive
at	IN	at
the	DT	the
medical	JJ	medical
facilities	NNS	facility
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
are	VBP	be
children	NNS	child
additionally	RB	additionally
in	IN	in
Rafa	NP	Rafa
in	IN	in
the	DT	the
South	NP	South
where	WRB	where
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
forced	VVN	force
to	TO	to
flee	VV	flee
to	TO	to
some	DT	some
of	IN	of
them	PP	them
multiple	JJ	multiple
times	NNS	time
they	PP	they
were	VBD	be
told	VVN	tell
that	IN/that	that
that	DT	that
was	VBD	be
a	DT	a
safe	JJ	safe
area	NN	area
by	IN	by
the	DT	the
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
despite	IN	despite
the	DT	the
Relentless	JJ	relentless
attacks	NNS	attack
that	WDT	that
have	VHP	have
been	VBN	be
going	VVG	go
on	IN	on
there	RB	there
since	IN	since
the	DT	the
announcement	NN	announcement
that	IN/that	that
it	PP	it
was	VBD	be
a	DT	a
quote	NN	quote
safe	JJ	safe
Zone	NP	Zone
continuous	JJ	continuous
Israeli	NP	Israeli
Air	NP	Air
Raids	NNS	raid
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
territory	NN	territory
as	IN	as
well	RB	well
several	JJ	several
deaths	NNS	death
reported	VVD	report
and	CC	and
a	DT	a
number	NN	number
of	IN	of
injured	VVN	injure
arriving	VVG	arrive
at	IN	at
Al	NP	Al
Kuai	NP	Kuai
Hospital	NP	Hospital
in	IN	in
Rafa	NP	Rafa
let	NN	let
'	POS	'
s	JJ	s
move	NN	move
to	TO	to
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
Gaza	NP	Gaza
now	RB	now
to	TO	to
the	DT	the
refugee	NN	refugee
camps	VVZ	camp
we	PP	we
'	''	'
re	IN	re
talking	VVG	talk
about	IN	about
Al	NP	Al
magazi	NP	magazi
Al	NP	Al
B	NP	B
among	IN	among
others	NNS	other
and	CC	and
remember	VVP	remember
that	IN/that	that
Al	NP	Al
magazi	NP	magazi
just	RB	just
more	JJR	more
than	IN	than
24	CD	@card@
hours	NNS	hour
ago	RB	ago
100	CD	@card@
Palestinians	NPS	Palestinians
were	VBD	be
killed	VVN	kill
at	IN	at
least	JJS	least
100	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
there	RB	there
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	VVZ	strike
last	JJ	last
night	NN	night
and	CC	and
a	DT	a
number	NN	number
of	IN	of
injuries	NNS	injury
there	RB	there
as	IN	as
the	DT	the
Relentless	JJ	relentless
bombardment	NN	bombardment
and	CC	and
artillery	NN	artillery
from	IN	from
the	DT	the
military	NN	military
continues	VVZ	continue
people	NNS	people
in	IN	in
Gaza	NP	Gaza
continuously	RB	continuously
tell	VV	tell
us	PP	us
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
place	NN	place
for	IN	for
them	PP	them
and	CC	and
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
says	VVZ	say
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
continue	VV	continue
this	DT	this
military	JJ	military
campaign	NN	campaign
via	IN	via
Land	NP	Land
Air	NP	Air
and	CC	and
sea	NN	sea
despite	IN	despite
the	DT	the
catastrophic	JJ	catastrophic
and	CC	and
dire	JJ	dire
humanitarian	JJ	humanitarian
situation	NN	situation
that	WDT	that
has	VHZ	have
unfolded	VVN	unfold
that	DT	that
has	VHZ	have
now	RB	now
killed	VVN	kill
more	JJR	more
than	IN	than
21	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
the	DT	the
injured	JJ	injured
are	VBP	be
nearing	VVG	near
55	CD	@card@
,	,	,
000	CD	@card@
and	CC	and
not	RB	not
to	TO	to
mention	VV	mention
the	DT	the
thousands	NNS	thousand
who	WP	who
are	VBP	be
still	RB	still
missing	VVG	miss
and	CC	and
fear	VVP	fear
Dead	NP	Dead
who	WP	who
are	VBP	be
trapped	VVN	trap
under	IN	under
the	DT	the
rubble	NN	rubble
Sammy	NP	Sammy
Alam	NP	Alam
stay	VV	stay
with	IN	with
us	PP	us
there	RB	there
for	IN	for
a	DT	a
second	JJ	second
uh	UH	uh
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
come	VV	come
back	RB	back
to	TO	to
you	PP	you
but	CC	but
uh	UH	uh
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
covering	VVG	cover
news	NN	news
for	IN	for
us	PP	us
out	IN	out
of	IN	of
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
too	RB	too
that	RB	that
'	''	'
s	NN	S
where	WRB	where
the	DT	the
Israel	NP	Israel
military	NN	military
is	VBZ	be
continuing	VVG	continue
its	PP$	its
nightly	JJ	nightly
raids	NNS	raid
let	VVD	let
'	''	'
s	NNS	s
just	RB	just
bring	VVP	bring
you	PP	you
some	DT	some
pictures	NNS	picture
in	IN	in
from	IN	from
taram	NN	taram
where	WRB	where
several	JJ	several
incursions	NNS	incursion
are	VBP	be
taking	VVG	take
place	NN	place
forces	NNS	force
surrounded	VVD	surround
the	DT	the
norm	NN	norm
refugee	NN	refugee
camp	NN	camp
sealing	VVG	seal
off	RP	off
all	DT	all
entrances	NNS	entrance
raids	NNS	raid
are	VBP	be
also	RB	also
taking	VVG	take
place	NN	place
in	IN	in
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
with	IN	with
reports	NNS	report
of	IN	of
arrests	NNS	arrest
so	IN	so
hamda	NN	hamda
also	RB	also
reports	VVZ	report
of	IN	of
wounded	JJ	wounded
people	NNS	people
waiting	VVG	wait
for	IN	for
ambulances	NNS	ambulance
in	IN	in
toam	NN	toam
are	VBP	be
they	PP	they
getting	VVG	get
through	IN	through
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
prevented	VVN	prevent
medical	JJ	medical
staff	NN	staff
and	CC	and
ambulances	NNS	ambulance
from	IN	from
reaching	VVG	reach
wounded	JJ	wounded
pal	NN	pal
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
nud	NP	nud
Shams	NP	Shams
refugee	NN	refugee
camp	NN	camp
in	IN	in
tarim	NN	tarim
there	EX	there
are	VBP	be
several	JJ	several
raids	NNS	raid
going	VVG	go
on	IN	on
across	IN	across
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
this	DT	this
evening	NN	evening
but	CC	but
let	VV	let
'	''	'
s	NNS	s
begin	VVP	begin
in	IN	in
nudm	NN	nudm
where	WRB	where
the	DT	the
largest	JJS	large
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
operations	NNS	operation
is	VBZ	be
still	RB	still
taking	VVG	take
place	NN	place
at	IN	at
this	DT	this
hour	NN	hour
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
completely	RB	completely
surrounded	VVN	surround
the	DT	the
refugee	NN	refugee
camp	NN	camp
as	IN	as
locals	NNS	local
say	VVP	say
internet	NN	Internet
and	CC	and
comms	NNS	comms
have	VHP	have
been	VBN	be
completely	RB	completely
stopped	VVN	stop
Israeli	JJ	Israeli
bulldozers	NNS	bulldozer
and	CC	and
other	JJ	other
military	JJ	military
vehicles	NNS	vehicle
seen	VVN	see
ripping	VVG	rip
up	RP	up
the	DT	the
streets	NNS	street
on	IN	on
their	PP$	their
way	NN	way
in	IN	in
into	IN	into
the	DT	the
refugee	NN	refugee
camp	NN	camp
surrounding	VVG	surround
the	DT	the
houses	NNS	house
and	CC	and
raiding	VVG	raid
the	DT	the
homes	NNS	home
of	IN	of
wanted	JJ	wanted
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
Fierce	JJ	fierce
clashes	NNS	clash
and	CC	and
sounds	NNS	sound
of	IN	of
explosions	NNS	explosion
still	RB	still
ongoing	JJ	ongoing
and	CC	and
several	JJ	several
arrests	NNS	arrest
reported	VVD	report
there	RB	there
we	PP	we
'	''	'
re	IN	re
following	VVG	follow
an	DT	an
additional	JJ	additional
raid	NN	raid
in	IN	in
the	DT	the
tarim	NN	tarim
refugee	NN	refugee
camp	NN	camp
but	CC	but
that	IN/that	that
'	POS	'
s	NN	S
not	RB	not
all	RB	all
there	EX	there
are	VBP	be
raids	NNS	raid
in	IN	in
Bethlehem	NP	Bethlehem
in	IN	in
the	DT	the
outskirts	NNS	outskirt
of	IN	of
ramala	NN	ramala
in	IN	in
hibron	NP	hibron
in	IN	in
tubas	NNS	tuba
just	RB	just
to	TO	to
name	VV	name
a	DT	a
few	JJ	few
in	IN	in
hibron	VVG	hibron
you	PP	you
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
at	IN	at
least	JJS	least
15	CD	@card@
arrests	NNS	arrest
in	IN	in
beim	NP	Beim
two	CD	two
arrest	NN	arrest
both	CC	both
of	IN	of
them	PP	them
women	NNS	woman
this	DT	this
is	VBZ	be
a	DT	a
continuation	NN	continuation
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
campaign	NN	campaign
to	TO	to
crack	VV	crack
down	RP	down
on	IN	on
Palestinian	JJ	Palestinian
armed	JJ	armed
resistance	NN	resistance
across	IN	across
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
these	DT	these
near	JJ	near
nightly	JJ	nightly
raids	NNS	raid
have	VHP	have
intensified	VVN	intensify
you	PP	you
'	POS	'
re	NN	re
looking	VVG	look
at	IN	at
several	JJ	several
thousand	CD	thousand
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
arrested	VVN	arrest
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
alone	RB	alone
and	CC	and
303	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
before	IN	before
October	NP	October
the	DT	the
7th	JJ	7th
it	PP	it
was	VBD	be
already	RB	already
the	DT	the
deadliest	JJS	deadly
year	NN	year
on	IN	on
record	NN	record
for	IN	for
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
had	VHD	have
511	CD	@card@
killed	VVN	kill
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
year	NN	year
Sammy	NP	Sammy
thank	VVP	thank
you	PP	you
so	IN	so
much	JJ	much
alhamd	NNS	alhamd
