L	NP	L
the	DT	the
UN	NP	UN
special	JJ	special
coordinator	NN	coordinator
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
peace	NN	peace
process	NN	process
he	PP	he
joins	VVZ	join
us	PP	us
here	RB	here
in	IN	in
dah	NN	dah
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
thank	VVP	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
is	VBZ	be
do	VV	do
you	PP	you
believe	VVP	believe
we	PP	we
are	VBP	be
close	JJ	close
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
so	IN	so
I	PP	I
know	VVP	know
we	PP	we
'	''	'
ve	RB	ve
been	VBN	be
meeting	VVG	meet
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
I	PP	I
cannot	MD	can
give	VV	give
you	PP	you
the	DT	the
timing	NN	timing
for	IN	for
that	WDT	that
but	CC	but
what	WP	what
I	PP	I
can	MD	can
say	VV	say
is	VBZ	be
that	DT	that
uh	UH	uh
I	PP	I
have	VHP	have
been	VBN	be
working	VVG	work
on	IN	on
this	DT	this
now	RB	now
since	IN	since
the	DT	the
immediate	JJ	immediate
aftermath	NN	aftermath
of	IN	of
the	DT	the
startup	NN	startup
I	PP	I
met	VVD	meet
with	IN	with
the	DT	the
uh	UH	uh
for	IN	for
minister	NN	minister
in	IN	in
Cairo	NP	Cairo
Wednesday	NP	Wednesday
in	IN	in
the	DT	the
first	JJ	first
week	NN	week
to	TO	to
have	VH	have
the	DT	the
assurances	NNS	assurance
of	IN	of
Egypt	NP	Egypt
'	POS	'
s	JJ	s
involvement	NN	involvement
in	IN	in
assuring	VVG	assure
humanitarian	JJ	humanitarian
access	NN	access
through	IN	through
Egypt	NP	Egypt
into	IN	into
the	DT	the
strip	NN	strip
what	WP	what
the	DT	the
Egyptians	NNS	Egyptian
have	VHP	have
done	VVN	do
is	VBZ	be
to	TO	to
provide	VV	provide
for	IN	for
that	DT	that
capacity	NN	capacity
and	CC	and
uh	UH	uh
now	RB	now
my	PP$	my
I	NP	I
'	POS	'
ve	NN	ve
sent	VVD	send
my	PP$	my
humanitarian	JJ	humanitarian
coordinator	NN	coordinator
there	RB	there
to	TO	to
follow	VV	follow
that	IN/that	that
up	RB	up
and	CC	and
uh	UH	uh
see	VV	see
