well	RB	well
let	VV	let
'	''	'
s	JJ	s
talk	NN	talk
about	IN	about
this	DT	this
now	RB	now
to	TO	to
Rana	NP	Rana
Zer	NP	Zer
who	WP	who
'	POS	'
s	NN	S
a	DT	a
clinical	JJ	clinical
nutritionist	NN	nutritionist
and	CC	and
is	VBZ	be
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Dar	NP	Dar
albala	NN	albala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
Brana	NP	Brana
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
on	IN	on
alaz	NN	alaz
as	IN	as
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
reporting	VVG	report
thousands	NNS	thousand
of	IN	of
Palestinian	JJ	Palestinian
children	NNS	child
have	VHP	have
been	VBN	be
diagnosed	VVN	diagnose
with	IN	with
malnutrition	NN	malnutrition
according	VVG	accord
to	TO	to
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
32	CD	@card@
of	IN	of
them	PP	them
have	VHP	have
died	VVN	die
from	IN	from
it	PP	it
so	RB	so
far	RB	far
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
is	VBZ	be
driving	VVG	drive
this	DT	this
sharp	JJ	sharp
escalation	NN	escalation
in	IN	in
malnutrition	NN	malnutrition
cases	NNS	case
in	IN	in
Gaza	NP	Gaza
good	JJ	good
morning	NN	morning
first	JJ	first
of	IN	of
all	DT	all
uh	UH	uh
and	CC	and
uh	UH	uh
um	JJ	um
it	PP	it
'	''	'
s	VVG	s
my	PP$	my
pleasure	NN	pleasure
to	TO	to
be	VB	be
here	RB	here
about	IN	about
the	DT	the
children	NNS	child
under	IN	under
to	TO	to
under	IN	under
two	CD	two
years	NNS	year
there	RB	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
reasons	NNS	reason
to	TO	to
have	VH	have
a	DT	a
starvation	NN	starvation
and	CC	and
Mal	JJ	Mal
nutrition	NN	nutrition
they	PP	they
feel	VVP	feel
thirsty	JJ	thirsty
and	CC	and
contaminated	JJ	contaminated
water	NN	water
also	RB	also
uh	UH	uh
there	EX	there
is	VBZ	be
no	DT	no
food	NN	food
security	NN	security
and	CC	and
uh	UH	uh
there	EX	there
is	VBZ	be
no	DT	no
humanitarian	JJ	humanitarian
AIDS	NP	AIDS
uh	UH	uh
a	DT	a
lot	NN	lot
of	IN	of
uh	UH	uh
diarrhea	NN	diarrhea
900	CD	@card@
90	CD	@card@
%	NN	%
of	IN	of
these	DT	these
childrens	NNS	childrens
suffered	VVN	suffer
from	IN	from
diarrhea	NN	diarrhea
and	CC	and
from	IN	from
H	NP	H
um	NN	um
HEPA	NP	Hepa
hepatitis	NP	hepatitis
and	CC	and
other	JJ	other
uh	UH	uh
diseases	NNS	disease
so	CC	so
uh	UH	uh
they	PP	they
have	VHP	have
uh	UH	uh
no	UH	no
food	NN	food
insecurity	NN	insecurity
and	CC	and
they	PP	they
have	VHP	have
unprocessed	JJ	unprocessed
all	PDT	all
this	DT	this
uh	UH	uh
food	NN	food
contaminated	JJ	contaminated
and	CC	and
processed	JJ	processed
food	NN	food
H	NN	H
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
when	WRB	when
we	PP	we
give	VVP	give
a	DT	a
choice	NN	choice
at	IN	at
the	DT	the
uh	UH	uh
children	NNS	child
how	WRB	how
to	TO	to
take	VV	take
a	DT	a
viset	NN	viset
vbl	NN	vbl
or	CC	or
eggs	NNS	egg
both	CC	both
of	IN	of
these	DT	these
are	VBP	be
not	RB	not
found	VVN	find
still	RB	still
now	RB	now
and	CC	and
they	PP	they
yeah	RB	yeah
yeah	RB	yeah
so	IN	so
food	NN	food
insecurity	NN	insecurity
you	PP	you
say	VVP	say
and	CC	and
also	RB	also
a	DT	a
lack	NN	lack
of	IN	of
of	IN	of
diet	NN	diet
diversity	NN	diversity
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
factors	NNS	factor
that	WDT	that
are	VBP	be
driving	VVG	drive
this	DT	this
increase	NN	increase
in	IN	in
uh	UH	uh
in	IN	in
malnutrition	NN	malnutrition
cases	NNS	case
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
ra	VV	ra
what	WP	what
an	DT	an
average	JJ	average
child	NN	child
in	IN	in
Gaza	NP	Gaza
today	NN	today
under	IN	under
the	DT	the
age	NN	age
of	IN	of
five	CD	five
eats	VVZ	eat
what	WP	what
sort	NN	sort
of	IN	of
food	NN	food
does	VVZ	do
he	PP	he
or	CC	or
she	PP	she
have	VHP	have
access	NN	access
to	TO	to
it	PP	it
'	POS	'
s	NN	S
8	CD	@card@
5	CD	@card@
%	NN	%
of	IN	of
these	DT	these
of	IN	of
all	DT	all
numbers	NNS	number
of	IN	of
these	DT	these
childrens	NNS	childrens
under	IN	under
than	IN	than
five	CD	five
suffered	VVD	suffer
from	IN	from
uh	UH	uh
food	NN	food
insecurity	NN	insecurity
and	CC	and
starvation	NN	starvation
so	RB	so
if	IN	if
we	PP	we
give	VVP	give
H	NN	H
for	IN	for
example	NN	example
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
kids	NNS	kid
only	RB	only
under	IN	under
five	CD	five
years	NNS	year
also	RB	also
it	PP	it
it	PP	it
destroy	VVP	destroy
their	PP$	their
health	NN	health
their	PP$	their
po	NN	po
also	RB	also
they	PP	they
uh	UH	uh
they	PP	they
suffering	VVG	suffer
from	IN	from
contamination	NN	contamination
hepatitis	NN	hepatitis
dermatitis	NN	dermatitis
and	CC	and
uh	UH	uh
uh	UH	uh
low	VV	low
uh	UH	uh
low	RB	low
weight	VV	weight
uh	UH	uh
also	RB	also
uh	UH	uh
they	PP	they
are	VBP	be
not	RB	not
good	JJ	good
to	TO	to
uh	UH	uh
grow	VV	grow
enough	JJ	enough
uh	UH	uh
in	IN	in
these	DT	these
times	NNS	time
it	PP	it
'	POS	'
s	NN	S
now	RB	now
the	DT	the
ninth	JJ	ninth
H	NN	H
not	RB	not
the	DT	the
ninth	JJ	ninth
month	NN	month
of	IN	of
uh	UH	uh
War	NP	War
it	PP	it
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
and	CC	and
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
largest	JJS	large
starvation	NN	starvation
manmade	JJ	manmade
so	IN	so
uh	UH	uh
we	PP	we
are	VBP	be
supporting	VVG	support
our	PP$	our
kids	NNS	kid
by	IN	by
teaching	VVG	teach
them	PP	them
also	RB	also
all	PDT	all
the	DT	the
time	NN	time
how	WRB	how
to	TO	to
take	VV	take
care	NN	care
of	IN	of
theirselves	NNS	theirselves
and	CC	and
of	IN	of
their	PP$	their
help	VV	help
what	WP	what
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
the	DT	the
long	JJ	long
-	NN	-
term	NN	term
consequences	NNS	consequence
of	IN	of
this	DT	this
on	IN	on
on	IN	on
children	NNS	child
uh	UH	uh
you	PP	you
talked	VVD	talk
about	RB	about
you	PP	you
know	VVP	know
the	DT	the
effect	NN	effect
it	PP	it
'	POS	'
s	NNS	s
having	VHG	have
now	RB	now
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
the	DT	the
pictures	NNS	picture
of	IN	of
of	IN	of
emaciated	VVN	emaciate
children	NNS	child
in	IN	in
Gaza	NP	Gaza
what	WP	what
impact	NN	impact
could	MD	could
this	RB	this
have	VH	have
on	IN	on
their	PP$	their
health	NN	health
in	IN	in
the	DT	the
future	JJ	future
okay	NN	okay
in	IN	in
the	DT	the
future	NN	future
if	IN	if
we	PP	we
have	VHP	have
a	DT	a
children	NNS	child
of	IN	of
if	IN	if
we	PP	we
have	VHP	have
a	DT	a
future	NN	future
if	IN	if
we	PP	we
already	RB	already
have	VHP	have
uh	UH	uh
more	JJR	more
time	NN	time
to	TO	to
live	VV	live
this	DT	this
incredable	JJ	incredable
War	NN	war
here	RB	here
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
destroyed	VVD	destroy
everything	NN	everything
destroyed	VVN	destroy
uh	UH	uh
the	DT	the
children	NNS	child
destroyed	VVD	destroy
pregnant	JJ	pregnant
woman	NN	woman
and	CC	and
destroyed	VVD	destroy
the	DT	the
new	JJ	new
Fe	NP	Fe
the	DT	the
new	JJ	new
uh	UH	uh
new	JJ	new
porns	NNS	porns
to	TO	to
start	VV	start
breastfeeding	VVG	breastfeed
woman	NN	woman
destroy	VV	destroy
all	PDT	all
our	PP$	our
publicity	NN	publicity
here	RB	here
so	CC	so
uh	UH	uh
in	IN	in
the	DT	the
future	NN	future
if	IN	if
we	PP	we
live	VVP	live
again	RB	again
uh	UH	uh
it	PP	it
will	MD	will
be	VB	be
day	NN	day
uh	UH	uh
with	IN	with
L	NP	L
long	JJ	long
and	CC	and
uh	UH	uh
wasting	VVG	waste
their	PP$	their
body	NN	body
wasting	VVG	waste
their	PP$	their
uh	UH	uh
Contra	NP	Contra
the	DT	the
the	DT	the
ability	NN	ability
to	TO	to
sell	VV	sell
aive	NN	aive
and	CC	and
the	DT	the
Salvation	NP	Salvation
will	MD	will
affect	VV	affect
their	PP$	their
vitamins	NNS	vitamin
