How	WRB	how
is	VBZ	be
this	DT	this
a	DT	a
belt	NN	belt
of	IN	of
fire	NN	fire
?	SENT	?
Take	VV	take
care	NN	care
[	SYM	[
Music	NP	Music
]	SYM	]
He	PP	he
is	VBZ	be
all	RB	all
bombed	VVN	bomb
in	IN	in
his	PP$	his
house	NN	house
because	IN	because
there	EX	there
is	VBZ	be
nothing	NN	nothing
.	SENT	.
This	DT	this
means	VVZ	mean
that	IN/that	that
he	PP	he
does	VVZ	do
not	RB	not
speak	VV	speak
or	CC	or
respond	VV	respond
and	CC	and
does	VVZ	do
not	RB	not
have	VH	have
any	DT	any
faction	NN	faction
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
in	IN	in
the	DT	the
bombing	NN	bombing
of	IN	of
the	DT	the
house	NN	house
,	,	,
I	PP	I
mean	VVP	mean
,	,	,
I	PP	I
do	VVP	do
not	RB	not
know	VV	know
what	WP	what
to	TO	to
do	VV	do
.	SENT	.
I	PP	I
cleared	VVD	clear
the	DT	the
house	NN	house
.	SENT	.
What	WP	what
are	VBP	be
we	PP	we
worth	JJ	worth
to	TO	to
God	NP	God
?	SENT	?
He	PP	he
wants	VVZ	want
us	PP	us
to	TO	to
overcome	VV	overcome
and	CC	and
suffer	VV	suffer
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
the	DT	the
Jews	NPS	Jews
oppressors	NNS	oppressor
[	SYM	[
Music	NP	Music
]	SYM	]
They	PP	they
are	VBP	be
the	DT	the
ones	NNS	one
who	WP	who
lacked	VVD	lack
the	DT	the
house	NN	house
because	IN	because
of	IN	of
the	DT	the
bombing	NN	bombing
on	IN	on
me	PP	me
so	RB	so
much	RB	much
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
he	PP	he
is	VBZ	be
still	RB	still
defeated	VVN	defeat
and	CC	and
does	VVZ	do
not	RB	not
speak	VV	speak
,	,	,
and	CC	and
it	PP	it
does	VVZ	do
not	RB	not
mean	VV	mean
that	IN/that	that
his	PP$	his
house	NN	house
was	VBD	be
bombed	VVN	bomb
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
he	PP	he
does	VVZ	do
not	RB	not
have	VH	have
enough	JJ	enough
money	NN	money
to	TO	to
rebuild	VV	rebuild
his	PP$	his
house	NN	house
and	CC	and
build	VV	build
a	DT	a
new	JJ	new
house	NN	house
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
his	PP$	his
house	NN	house
was	VBD	be
destroyed	VVN	destroy
and	CC	and
more	JJR	more
.	SENT	.
A	DT	a
destroyed	VVN	destroy
house	NN	house
in	IN	in
our	PP$	our
building	NN	building
.	SENT	.
I	PP	I
talk	VVP	talk
to	TO	to
you	PP	you
.	SENT	.
I	PP	I
talk	VVP	talk
to	TO	to
him	PP	him
.	SENT	.
I	PP	I
talk	VVP	talk
to	TO	to
him	PP	him
.	SENT	.
He	PP	he
tells	VVZ	tell
me	PP	me
,	,	,
O	NP	O
Lord	NP	Lord
,	,	,
end	VVP	end
the	DT	the
war	NN	war
.	SENT	.
Say	VV	say
,	,	,
O	NP	O
Lord	NP	Lord
,	,	,
long	JJ	long
Music	NN	music
]	SYM	]
[	SYM	[
Applause	NN	applause
]	SYM	]
Make	VV	make
to	TO	to
subscribe	VV	subscribe
to	TO	to
the	DT	the
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
