<video_id>_td4uypz0go</video_id>	JJ	<video_id>_td4uypz0go</video_id>
<video_title>Death	NN	<video_title>Death
toll	NN	toll
in	IN	in
Nuseirat,	NP	Nuseirat,
Maghazi	NP	Maghazi
refugee	NN	refugee
camps	NNS	camp
rises	VVZ	rise
to	TO	to
35</video_title>	JJ	35</video_title>
<thumbnail_path>data/en_AJ\Death	NN	<thumbnail_path>data/en_AJ\Death
toll	NN	toll
in	IN	in
Nuseirat,	NP	Nuseirat,
Maghazi	NP	Maghazi
refugee	NN	refugee
camps	NNS	camp
rises	VVZ	rise
to	TO	to
35.jpg</thumbnail_path>	JJ	35.jpg</thumbnail_path>
<publish_date>20231229</publish_date>	NN	<publish_date>20231229</publish_date>
<doc>	NN	<doc>
hany	NP	hany
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
so	IN	so
hany	NP	hany
just	RB	just
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
the	DT	the
latest	JJS	late
on	IN	on
these	DT	these
Israeli	JJ	Israeli
air	NN	air
strikes	VVZ	strike
yes	UH	yes
H	NN	H
we're	NN	we're
only	RB	only
seeing	VVG	see
more	JJR	more
death	NN	death
and	CC	and
destruction	NN	destruction
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
Israeli	JJ	Israeli
military	NN	military
just	RB	just
stepped	VVD	step
up	RP	up
it's	NNS	it's
a	DT	a
aial	JJ	aial
bombardment	NN	bombardment
and	CC	and
been	VBN	be
targeting	VVG	target
cities	NNS	city
towns	NNS	town
refugee	NN	refugee
camps	NNS	camp
across	IN	across
the	DT	the
G	NP	G
even	RB	even
the	DT	the
empti	NN	empti
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
as	RB	as
of	IN	of
overnight	JJ	overnight
and	CC	and
early	JJ	early
hours	NNS	hour
of	IN	of
this	DT	this
morning	NN	morning
uh	UH	uh
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
came	VVD	come
under	IN	under
heavy	JJ	heavy
aerial	JJ	aerial
bombardment	NN	bombardment
we're	NN	we're
talking	VVG	talk
about	IN	about
refugee	NN	refugee
camps	NNS	camp
Al	NP	Al
maazi	NNS	maazi
and	CC	and
more	JJR	more
residential	JJ	residential
homes	NNS	home
were	VBD	be
targeted	VVN	target
and	CC	and
destroyed	VVN	destroy
and	CC	and
more	JJR	more
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
those	DT	those
massive	JJ	massive
air	NN	air
strike	NN	strike
we're	NN	we're
talking	VVG	talk
about	IN	about
at	IN	at
least	JJS	least
35	CD	@card@
people	NNS	people
who	WP	who
were	VBD	be
killed	VVN	kill
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
them	PP	them
uh	UH	uh
are	VBP	be
women	NNS	woman
and	CC	and
and	CC	and
children	NNS	child
all	RB	all
of	IN	of
these	DT	these
people	NNS	people
including	VVG	include
the	DT	the
injuries	NNS	injury
were	VBD	be
rushed	VVN	rush
to	TO	to
Al	NP	Al
AA	NN	aa
Hospital	NP	Hospital
in	IN	in
Dar	NP	Dar
bah	NP	Bah
and	CC	and
already	RB	already
full	JJ	full
overwhelmed	JJ	overwhelmed
hospitals	NNS	hospital
with	IN	with
extreme	JJ	extreme
shortage	NN	shortage
of	IN	of
medical	JJ	medical
supplies	NNS	supply
and	CC	and
exhausted	VVN	exhaust
medical	JJ	medical
staff	NN	staff
to	TO	to
uh	UH	uh
to	TO	to
operate	VV	operate
in	IN	in
these	DT	these
unusually	RB	unusually
difficult	JJ	difficult
circumstances	NNS	circumstance
those	DT	those
who	WP	who
do	VVP	do
not	RB	not
those	DT	those
who	WP	who
sustain	VVP	sustain
the	DT	the
injuries	NNS	injury
are	VBP	be
