<video_id>wMfb2N_D6y0</video_id>	JJ	<video_id>wMfb2N_D6y0</video_id>
<video_title>Democratic	JJ	<video_title>Democratic
National	NP	National
Convention	NP	Convention
party	NN	party
prepares	VVZ	prepare
for	IN	for
protests	NNS	protest
over	IN	over
war	NN	war
on	IN	on
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Democratic	JJ	<thumbnail_path>data/en_AJ\Democratic
National	NP	National
Convention	NP	Convention
party	NN	party
prepares	VVZ	prepare
for	IN	for
protests	NNS	protest
over	IN	over
war	NN	war
on	IN	on
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240819</publish_date>	NN	<publish_date>20240819</publish_date>
<doc>	NN	<doc>
well	RB	well
John	NP	John
hendren	NP	Hendren
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
uh	UH	uh
Chicago	NP	Chicago
John	NP	John
you've	NN	you've
been	VBN	be
speaking	VVG	speak
to	TO	to
the	DT	the
protesters	NNS	protester
uh	UH	uh
earlier	RBR	earlier
quite	RB	quite
a	DT	a
few	JJ	few
of	IN	of
them	PP	them
actually	RB	actually
what	WP	what
are	VBP	be
they	PP	they
calling	VVG	call
for	IN	for
exactly	RB	exactly
well	RB	well
the	DT	the
first	JJ	first
protest	NN	protest
is	VBZ	be
over	RB	over
now	RB	now
you	PP	you
wouldn't	VVD	wouldn't
know	VV	know
it	PP	it
but	CC	but
those	DT	those
are	VBP	be
the	DT	the
remnants	NNS	remnant
of	IN	of
them	PP	them
there	RB	there
but	CC	but
just	RB	just
about	IN	about
a	DT	a
half	NN	half
an	DT	an
hour	NN	hour
ago	RB	ago
or	CC	or
so	RB	so
the	DT	the
protest	NN	protest
ended	VVN	end
after	IN	after
hundreds	NNS	hundred
and	CC	and
what	WP	what
looked	VVD	look
like	IN	like
probably	RB	probably
over	IN	over
a	DT	a
thousand	CD	thousand
demonstrators	NNS	demonstrator
marched	VVN	march
through	IN	through
the	DT	the
streets	NNS	street
of	IN	of
Chicago	NP	Chicago
and	CC	and
as	IN	as
I	PP	I
think	VVP	think
we're	NN	we're
going	VVG	go
to	TO	to
see	VV	see
often	RB	often
this	DT	this
week	NN	week
it	PP	it
was	VBD	be
a	DT	a
wide	JJ	wide
array	NN	array
of	IN	of
issues	NNS	issue
they	PP	they
were	VBD	be
calling	NN	calling
for	IN	for
uh	UH	uh
