<video_id>IQb_jQSWA0Q</video_id>	JJ	<video_id>IQb_jQSWA0Q</video_id>
<video_title>Displaced	JJ	<video_title>Displaced
Palestinians	NNS	Palestinian
in	IN	in
Gaza's	NP	Gaza's
overcrowded	VVD	overcrowd
schools	NNS	school
face	VV	face
unsafe	JJ	unsafe
conditions	NNS	condition
&	CC	&
ongoing	JJ	ongoing
attacks</video_title>	JJ	attacks</video_title>
<thumbnail_path>data/en_AJ\Displaced	JJ	<thumbnail_path>data/en_AJ\Displaced
Palestinians	NNS	Palestinian
in	IN	in
Gaza's	NP	Gaza's
overcrowded	VVD	overcrowd
schools	NNS	school
face	VV	face
unsafe	JJ	unsafe
conditions	NNS	condition
&	CC	&
ongoing	JJ	ongoing
attacks.jpg</thumbnail_path>	JJ	attacks.jpg</thumbnail_path>
<publish_date>20240715</publish_date>	NN	<publish_date>20240715</publish_date>
<doc>	JJ	<doc>
HRA	NP	HRA
schools	NNS	school
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
filled	VVN	fill
with	IN	with
displaced	VVN	displace
Palestinians	NNS	Palestinian
who	WP	who
hope	VVP	hope
that	IN/that	that
being	JJ	being
in	IN	in
a	DT	a
un	JJ	un
building	NN	building
will	MD	will
grant	VV	grant
them	PP	them
some	DT	some
protection	NN	protection
but	CC	but
they	PP	they
also	RB	also
know	VVP	know
that	IN/that	that
there's	RB	there's
nowhere	RB	nowhere
safe	JJ	safe
our	PP$	our
correspondent	NN	correspondent
hin	NN	hin
kodari	NNS	kodari
was	VBD	be
at	IN	at
a	DT	a
un	JJ	un
School	NN	school
in	IN	in
central	JJ	central
Gaza	NP	Gaza
where	WRB	where
families	NNS	family
are	VBP	be
living	VVG	live
in	IN	in
overcrowded	VVN	overcrowd
and	CC	and
unsanitary	JJ	unsanitary
conditions	NNS	condition
we're	NN	we're
currently	RB	currently
in	IN	in
the	DT	the
heart	NN	heart
of	IN	of
in	IN	in
one	CD	one
of	IN	of
the	DT	the
schools	NNS	school
where	WRB	where
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
from	IN	from
different	JJ	different
areas	NNS	area
from	IN	from
the	DT	the
north	NN	north
through	IN	through
the	DT	the
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
displaced	VVN	displace
here	RB	here
they're	JJ	they're
not	RB	not
only	RB	only
displaced	VVN	displace
in	IN	in
classrooms	NNS	classroom
but	CC	but
they	PP	they
also	RB	also
set	VVD	set
up	RP	up
their	PP$	their
own	JJ	own
tents	NNS	tent
life	NN	life
is	VBZ	be
hard	JJ	hard
we	PP	we
don't	VVD	don't
have	VH	have
soap	NN	soap
to	TO	to
go	VV	go
to	TO	to
the	DT	the
bathroom	NN	bathroom
we	PP	we
don't	VVD	don't
have	VH	have
water	NN	water
or	CC	or
shoes	NNS	shoe
we	PP	we
have	VHP	have
no	DT	no
space	NN	space
to	TO	to
sleep	VV	sleep
we	PP	we
don't	VVD	don't
even	RB	even
have	VH	have
mattresses	NNS	mattress
to	TO	to
sleep	VV	sleep
on	IN	on
in	IN	in
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
weeks	NNS	week
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
has	VHZ	have
been	VBN	be
targeting	VVG	target
many	JJ	many
un	NN	un
schools	NNS	school
and	CC	and
unaa	NN	unaa
shelters	NNS	shelter
those	DT	those
targets	NNS	target
where	WRB	where
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
were	VBD	be
left	VVN	leave
homeless	JJ	homeless
again	RB	again
there	EX	there
were	VBD	be
dozens	NNS	dozen
of	IN	of
Palestinian	JJ	Palestinian
kills	NNS	kill
and	CC	and
dozens	NNS	dozen
of	IN	of
other	JJ	other
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
injured	VVN	injure
where	WRB	where
can	MD	can
we	PP	we
go	VV	go
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
place	NN	place
left	VVN	leave
whether	IN	whether
it's	NNS	it's
in	IN	in
tents	NNS	tent
or	CC	or
schools	NNS	school
everywhere	RB	everywhere
is	VBZ	be
being	VBG	be
bombed	VVN	bomb
if	IN	if
they	PP	they
are	VBP	be
looking	VVG	look
for	IN	for
one	CD	one
person	NN	person
they'll	JJ	they'll
Massacre	NN	massacre
people	NNS	people
they	PP	they
do	VVP	do
it	PP	it
and	CC	and
justify	VV	justify
it	PP	it
by	IN	by
saying	VVG	say
it's	NNS	it's
because	IN	because
there	EX	there
was	VBD	be
a	DT	a
wanted	JJ	wanted
person	NN	person
in	IN	in
that	WDT	that
area	NN	area
this	DT	this
is	VBZ	be
a	DT	a
school	NN	school
where	WRB	where
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
families	NNS	family
have	VHP	have
been	VBN	be
this	DT	this
place	NN	place
they	PP	they
don't	VVD	don't
have	VH	have
any	DT	any
other	JJ	other
place	NN	place
to	TO	to
go	VV	go
to	TO	to
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
know	VVP	know
that	IN/that	that
this	DT	this
place	NN	place
is	VBZ	be
not	RB	not
safe	JJ	safe
they	PP	they
don't	VVD	don't
have	VH	have
any	DT	any
place	NN	place
to	TO	to
go	VV	go
to	TO	to
knowing	VVG	know
that	IN/that	that
there's	RB	there's
no	DT	no
safe	JJ	safe
place	NN	place
all	RB	all
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
This	NP	This
is	VBZ	be
alaz	VVG	alaz
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
