<video_id>R3OorV8DfPI</video_id>	JJ	<video_id>R3OorV8DfPI</video_id>
<video_title>Displaced	JJ	<video_title>Displaced
Palestinians	NNS	Palestinian
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
struggle	NN	struggle
for	IN	for
food	NN	food
and	CC	and
shelter</video_title>	JJ	shelter</video_title>
<thumbnail_path>data/en_AJ\Displaced	JJ	<thumbnail_path>data/en_AJ\Displaced
Palestinians	NNS	Palestinian
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
struggle	NN	struggle
for	IN	for
food	NN	food
and	CC	and
shelter.jpg</thumbnail_path>	JJ	shelter.jpg</thumbnail_path>
<publish_date>20231015</publish_date>	JJ	<publish_date>20231015</publish_date>
<doc>	NN	<doc>
Jamila	NP	Jamila
Abu	NP	Abu
Zuna	NP	Zuna
joins	VVZ	join
us	PP	us
now	RB	now
on	IN	on
the	DT	the
phone	NN	phone
from	IN	from
K	NP	K
yunes	NNS	yunes
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
Jamila	NP	Jamila
I	PP	I
understand	VVP	understand
you	PP	you
live	VVP	live
in	IN	in
Gaza	NP	Gaza
City	NP	City
but	CC	but
you've	NP	you've
had	VHD	have
to	TO	to
flee	VV	flee
with	IN	with
your	PP$	your
own	JJ	own
family	NN	family
and	CC	and
with	IN	with
so	RB	so
many	JJ	many
others	NNS	other
I'm	NN	I'm
glad	JJ	glad
that	IN/that	that
you're	NN	you're
safe	NN	safe
I	PP	I
understand	VVP	understand
you're	NN	you're
now	RB	now
in	IN	in
a	DT	a
shelter	NN	shelter
in	IN	in
the	DT	the
South	JJ	South
can	MD	can
you	PP	you
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
conditions	NNS	condition
are	VBP	be
like	JJ	like
yes	UH	yes
uh	UH	uh
today	NN	today
is	VBZ	be
the	DT	the
third	JJ	third
day	NN	day
uh	UH	uh
of	IN	of
staying	VVG	stay
at	IN	at
a	DT	a
un	JJ	un
shelter	NN	shelter
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
and	CC	and
Junes	NPS	June
uh	UH	uh
we	PP	we
now	RB	now
about	RB	about
20,000	CD	@card@
people	NNS	people
are	VBP	be
staying	VVG	stay
here	RB	here
and	CC	and
even	RB	even
more	RBR	more
are	VBP	be
coming	VVG	come
still	RB	still
coming	VVG	come
um	JJ	um
it's	NNS	it's
really	RB	really
it's	JJ	it's
after	IN	after
we	PP	we
have	VHP	have
been	VBN	be
forced	VVN	force
to	TO	to
flee	VV	flee
and	CC	and
evacuate	VV	evacuate
our	PP$	our
our	PP$	our
houses	NNS	house
our	PP$	our
homes	NNS	home
in	IN	in
Gaza	NP	Gaza
and	CC	and
we	PP	we
went	VVD	go
South	NP	South
not	RB	not
knowing	VVG	know
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
later	RBR	later
but	CC	but
as	IN	as
you	PP	you
said	VVD	say
earlier	RBR	earlier
uh	UH	uh
it's	NNS	it's
happening	VVG	happen
they're	NN	they're
launching	VVG	launch
a	DT	a
land	NN	land
attack	NN	attack
this	DT	this
is	VBZ	be
the	DT	the
next	JJ	next
phase	NN	phase
it's	NNS	it's
another	DT	another
1948	JJ	@card@
uh	UH	uh
uh	UH	uh
diaspora	NN	Diaspora
so	IN	so
it's	NNS	it's
happening	VVG	happen
again	RB	again
the	DT	the
world	NN	world
is	VBZ	be
seeing	VVG	see
this	DT	this
but	CC	but
still	RB	still
nothing	NN	nothing
is	VBZ	be
changing	VVG	change
my	PP$	my
situation	NN	situation
Sor	NP	Sor
I	NP	I
was	VBD	be
just	RB	just
wanting	VVG	want
to	TO	to
ask	VV	ask
you	PP	you
said	VVD	say
20,000	CD	@card@
people	NNS	people
are	VBP	be
Sheltering	VVG	shelter
there	RB	there
with	IN	with
you	PP	you
I	PP	I
mean	VVP	mean
that's	NNS	that's
a	DT	a
huge	JJ	huge
number	NN	number
can	MD	can
you	PP	you
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
what	WP	what
you're	NN	you're
seeing	VVG	see
there	RB	there
around	IN	around
you	PP	you
uh	UH	uh
it's	NN	it's
it's	NNS	it's
devastating	JJ	devastating
to	TO	to
to	TO	to
try	VV	try
to	TO	to
describe	VV	describe
actually	RB	actually
um	NN	um
we've	NN	we've
been	VBN	be
sleeping	VVG	sleep
on	IN	on
the	DT	the
floor	NN	floor
literally	RB	literally
uh	UH	uh
we	PP	we
have	VHP	have
no	DT	no
access	NN	access
to	TO	to
clean	VV	clean
water	NN	water
no	DT	no
electricity	NN	electricity
um	NNS	um
even	RB	even
no	RB	no
clean	VV	clean
bathrooms	NNS	bathroom
for	IN	for
uh	UH	uh
even	RB	even
food	NN	food
is	VBZ	be
is	VBZ	be
very	RB	very
limited	VVN	limit
all	PDT	all
the	DT	the
supplies	NNS	supply
are	VBP	be
limited	VVN	limit
uh	UH	uh
all	RB	all
and	CC	and
we	PP	we
have	VHP	have
to	TO	to
mention	VV	mention
that	IN/that	that
most	JJS	most
of	IN	of
the	DT	the
people	NNS	people
here	RB	here
of	IN	of
theate	JJ	theate
people	NNS	people
are	VBP	be
uh	UH	uh
infants	NNS	infant
children	NNS	child
and	CC	and
elderly	JJ	elderly
people	NNS	people
who	WP	who
need	VVP	need
urgent	JJ	urgent
assistance	NN	assistance
medical	JJ	medical
assistance	NN	assistance
Jam	NN	jam
we've	NN	we've
also	RB	also
been	VBN	be
hearing	VVG	hear
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
strikes	NNS	strike
on	IN	on
people	NNS	people
as	IN	as
they've	NNS	they've
been	VBN	be
fleeing	VVG	flee
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
what	WP	what
do	VVP	do
you	PP	you
know	VVP	know
about	RB	about
that	IN/that	that
it's	NNS	it's
true	VV	true
uh	UH	uh
yesterday	RB	yesterday
one	CD	one
of	IN	of
the	DT	the
families	NNS	family
who	WP	who
evacuated	VVN	evacuate
uh	UH	uh
who	WP	who
came	VVD	come
to	TO	to
the	DT	the
shelter	NN	shelter
we	PP	we
were	VBD	be
in	IN	in
they're	NN	they're
saying	VVG	say
that	DT	that
uh	UH	uh
they	PP	they
evacuated	VVN	evacuate
the	DT	the
last	JJ	last
minute	NN	minute
and	CC	and
other	JJ	other
people	NNS	people
who	WP	who
were	VBD	be
fleeing	VVG	flee
uh	UH	uh
after	IN	after
them	PP	them
were	VBD	be
were	VBD	be
completely	RB	completely
um	RB	um
bombarded	VVN	bombard
while	IN	while
they	PP	they
were	VBD	be
on	IN	on
the	DT	the
way	NN	way
so	IN	so
it's	NNS	it's
not	RB	not
safe	JJ	safe
they	PP	they
say	VVP	say
they're	JJ	they're
making	NN	making
SE	FW	se
ceas	NNS	ceas
Fires	NNS	fire
for	IN	for
people	NNS	people
to	TO	to
to	TO	to
um	NNS	um
to	TO	to
give	VV	give
people	NNS	people
chance	NN	chance
to	TO	to
flee	VV	flee
their	PP$	their
home	NN	home
to	TO	to
the	DT	the
South	JJ	South
but	CC	but
still	RB	still
there	RB	there
no	DT	no
safety	NN	safety
Jam	NN	jam
abuna	NN	abuna
there	RB	there
Jamila	NP	Jamila
please	RB	please
do	VVP	do
stay	VV	stay
safe	JJ	safe
with	IN	with
your	PP$	your
family	NN	family
thank	VV	thank
you	PP	you
for	IN	for
sharing	VVG	share
that	DT	that
report	NN	report
with	IN	with
us	PP	us
we'll	RB	we'll
be	VB	be
staying	VVG	stay
in	IN	in
touch	NN	touch
with	IN	with
you	PP	you
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
thank	VVP	thank
you	PP	you
jam	VV	jam
</doc>	NN	</doc>
