<video_id>vK1adXaPT9w</video_id>	JJ	<video_id>vK1adXaPT9w</video_id>
<video_title>Entire	NN	<video_title>Entire
family	NN	family
killed	VVN	kill
in	IN	in
Rafah</video_title>	NP	Rafah</video_title>
<thumbnail_path>data/en_AJ\Entire	NN	<thumbnail_path>data/en_AJ\Entire
family	NN	family
killed	VVN	kill
in	IN	in
Rafah.jpg</thumbnail_path>	NP	Rafah.jpg</thumbnail_path>
<publish_date>20240105</publish_date>	JJ	<publish_date>20240105</publish_date>
<doc>	NN	<doc>
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
heavily	RB	heavily
targeting	VVG	target
Central	NP	Central
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
at	IN	at
least	JJS	least
16	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
including	VVG	include
nine	CD	nine
children	NNS	child
as	IN	as
Israeli	JJ	Israeli
forces	NNS	force
hit	VVD	hit
Al	NP	Al
maasi	NP	maasi
on	IN	on
Thursday	NP	Thursday
it's	NNS	it's
a	DT	a
tiny	JJ	tiny
strip	NN	strip
of	IN	of
land	NN	land
in	IN	in
the	DT	the
west	NN	west
of	IN	of
Gaza	NP	Gaza
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
repeatedly	RB	repeatedly
said	VVN	say
would	MD	would
be	VB	be
a	DT	a
safe	JJ	safe
Zone	NP	Zone
more	JJR	more
than	IN	than
22,400	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
Hamas	NP	Hamas
Le	NP	Le
attack	NN	attack
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
an	DT	an
mahmud's	NNS	mahmud's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
we're	NN	we're
seeing	VVG	see
more	JJR	more
air	NN	air
strikes	NNS	strike
as	IN	as
you've	NNS	you've
been	VBN	be
reporting	VVG	report
for	IN	for
weeks	NNS	week
now	RB	now
but	CC	but
including	VVG	include
areas	NNS	area
that	IN/that	that
the	DT	the
is	VBZ	be
IES	NNS	IES
had	VHD	have
claimed	VVN	claim
were	VBD	be
safe	JJ	safe
yes	RB	yes
well	RB	well
the	DT	the
entire	JJ	entire
uh	UH	uh
city	NN	city
of	IN	of
Rafa	NP	Rafa
was	VBD	be
designated	VVN	designate
as	IN	as
a	DT	a
safe	JJ	safe
area	NN	area
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
that's	NN	that's
the	DT	the
first	JJ	first
time	NN	time
evacuation	NN	evacuation
orders	NNS	order
began	VVD	begin
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
City	NP	City
where	WRB	where
people	NNS	people
were	VBD	be
sharply	RB	sharply
ordered	VVN	order
to	TO	to
move	VV	move
to	TO	to
the	DT	the
southern	JJ	southern
part	VV	part
uh	UH	uh
mainly	RB	mainly
to	TO	to
rafah	NP	rafah
City	NP	City
here	RB	here
because	IN	because
it	PP	it
is	VBZ	be
a	DT	a
safe	JJ	safe
here	RB	here
but	CC	but
so	RB	so
