<video_id>l2_lBfHKzI0</video_id>	JJ	<video_id>l2_lBfHKzI0</video_id>
<video_title>European	JJ	<video_title>European
leaders	NNS	leader
are	VBP	be
expected	VVN	expect
to	TO	to
call	VV	call
for	IN	for
'humanitarian	JJ	'humanitarian
corridors	NNS	corridor
and	CC	and
pauses'	NNS	pauses'
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\European	JJ	<thumbnail_path>data/en_AJ\European
leaders	NNS	leader
are	VBP	be
expected	VVN	expect
to	TO	to
call	VV	call
for	IN	for
'humanitarian	JJ	'humanitarian
corridors	NNS	corridor
and	CC	and
pauses'	NNS	pauses'
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231026</publish_date>	JJ	<publish_date>20231026</publish_date>
<doc>	NN	<doc>
while	IN	while
diplomatic	JJ	diplomatic
efforts	NNS	effort
are	VBP	be
continuing	VVG	continue
around	RP	around
the	DT	the
world	NN	world
European	JJ	European
leaders	NNS	leader
are	VBP	be
meeting	VVG	meet
in	IN	in
Brussels	NP	Brussels
they're	NN	they're
expected	VVN	expect
to	TO	to
call	VV	call
for	IN	for
the	DT	the
establishment	NN	establishment
of	IN	of
humanitarian	JJ	humanitarian
corridors	NNS	corridor
and	CC	and
pauses	NNS	pause
in	IN	in
the	DT	the
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
well	NN	well
let's	NNS	let's
speak	VVP	speak
to	TO	to
step	VV	step
vasson	NN	vasson
she's	NNS	she's
live	VVP	live
for	IN	for
us	PP	us
now	RB	now
from	IN	from
Brussels	NP	Brussels
step	NN	step
humanitarian	JJ	humanitarian
corridors	NNS	corridor
and	CC	and
pauses	NNS	pause
but	CC	but
no	DT	no
mention	NN	mention
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
no	DT	no
mention	NN	mention
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
at	IN	at
all	RB	all
and	CC	and
also	RB	also
no	DT	no
condemnation	NN	condemnation
over	IN	over
the	DT	the
thousands	NNS	thousand
of	IN	of
civilian	JJ	civilian
death	NN	death
in	IN	in
Gaza	NP	Gaza
after	IN	after
Israeli	JJ	Israeli
bombardments	NNS	bombardment
so	IN	so
what's	NNS	what's
happening	VVG	happen
here	RB	here
is	VBZ	be
that	IN/that	that
the	DT	the
EU	NP	EU
leaders	NNS	leader
are	VBP	be
very	RB	very
much	RB	much
divided	VVN	divide
on	IN	on
how	WRB	how
to	TO	to
respond	VV	respond
they	PP	they
were	VBD	be
very	RB	very
quick	JJ	quick
to	TO	to
condemn	VV	condemn
hamas's	NN	hamas's
attacks	NNS	attack
on	IN	on
October	NP	October
7	CD	@card@
but	CC	but
now	RB	now
they've	NNS	they've
been	VBN	be
struggling	VVG	struggle
to	TO	to
find	VV	find
even	RB	even
the	DT	the
right	JJ	right
words	NNS	word
to	TO	to
put	VV	put
in	IN	in
their	PP$	their
final	JJ	final
communic	NN	Communic
which	WDT	which
they	PP	they
want	VVP	want
to	TO	to
release	VV	release
later	JJR	late
today	NN	today
they	PP	they
have	VHP	have
been	VBN	be
uh	UH	uh
fighting	VVG	fight
over	IN	over
humanitarian	JJ	humanitarian
pause	NN	pause
or	CC	or
humanitarian	JJ	humanitarian
paes	NNS	paes
and	CC	and
now	RB	now
they	PP	they
have	VHP	have
decided	VVN	decide
on	IN	on
the	DT	the
latter	NN	latter
because	IN	because
according	VVG	accord
to	TO	to
to	TO	to
Germany	NP	Germany
and	CC	and
Germany	NP	Germany
plays	VVZ	play
a	DT	a
very	RB	very
important	JJ	important
role	NN	role
here	RB	here
because	IN	because
of	IN	of
its	PP$	its
history	NN	history
and	CC	and
also	RB	also
the	DT	the
Holocaust	NN	holocaust
its	PP$	its
position	NN	position
towards	IN	towards
Israel	NP	Israel
is	VBZ	be
unconditional	JJ	unconditional
support	NN	support
and	CC	and
they	PP	they
are	VBP	be
very	RB	very
much	RB	much
pushing	VVG	push
for	IN	for
this	DT	this
humanitarian	JJ	humanitarian
pauses	NNS	pause
instead	RB	instead
of	IN	of
pause	NN	pause
because	IN	because
that	WDT	that
would	MD	would
be	VB	be
too	RB	too
much	JJ	much
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
uh	UH	uh
sounding	VVG	sound
like	IN	like
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
that	WDT	that
would	MD	would
hamper	VV	hamper
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
so	IN	so
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
it's	JJ	it's
a	DT	a
very	RB	very
watered	VVN	water
down	RP	down
version	NN	version
our	PP$	our
humanitarian	JJ	humanitarian
fores	NNS	fore
corridors	NNS	corridor
which	WDT	which
basically	RB	basically
means	VVZ	mean
that	IN/that	that
humanitarian	JJ	humanitarian
Aid	NN	aid
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
reach	VV	reach
people	NNS	people
in	IN	in
Gaza	NP	Gaza
in	IN	in
between	IN	between
LS	NP	LS
in	IN	in
the	DT	the
bombardments	NNS	bombardment
it's	NN	it's
something	NN	something
like	IN	like
that	WDT	that
and	CC	and
there's	RB	there's
still	VV	still
uh	UH	uh
debating	VVG	debate
it	PP	it
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
day	NN	day
but	CC	but
this	DT	this
is	VBZ	be
of	IN	of
of	IN	of
course	NN	course
very	RB	very
painful	JJ	painful
for	IN	for
the	DT	the
European	JJ	European
Union	NN	union
which	WDT	which
is	VBZ	be
started	VVN	start
as	IN	as
a	DT	a
peace	NN	peace
process	NN	process
they're	NN	they're
not	RB	not
talking	VVG	talk
about	IN	about
peace	NN	peace
they're	NN	they're
not	RB	not
talking	VVG	talk
about	IN	about
ceasefire	NN	ceasefire
uh	UH	uh
they're	NN	they're
very	RB	very
much	RB	much
only	RB	only
talking	VVG	talk
about	IN	about
a	DT	a
very	RB	very
small	JJ	small
measure	NN	measure
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
be	VB	be
implemented	VVN	implement
Steph	NP	Steph
I	PP	I
understand	VVP	understand
that	IN/that	that
Ukraine	NP	Ukraine
was	VBD	be
also	RB	also
supposed	VVN	suppose
to	TO	to
be	VB	be
on	IN	on
the	DT	the
agenda	NN	agenda
today	NN	today
but	CC	but
it	PP	it
it	PP	it
seems	VVZ	seem
to	TO	to
be	VB	be
very	RB	very
much	RB	much
overshadowed	VVN	overshadow
by	IN	by
all	PDT	all
the	DT	the
events	NNS	event
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
yeah	RB	yeah
what	WP	what
the	DT	the
leaders	NNS	leader
here	RB	here
really	RB	really
try	VV	try
to	TO	to
do	VV	do
now	RB	now
is	VBZ	be
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
Ukraine	NP	Ukraine
gets	VVZ	get
all	PDT	all
the	DT	the
attention	NN	attention
it	PP	it
deserves	VVZ	deserve
they	PP	they
want	VVP	want
to	TO	to
stress	VV	stress
that	IN/that	that
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
not	RB	not
overshadowing	VVG	overshadow
this	DT	this
whole	JJ	whole
Summit	NP	Summit
uh	UH	uh
president	NN	president
sansky	NN	sansky
will	MD	will
speak	VV	speak
later	RBR	later
via	IN	via
Zoom	NN	zoom
but	CC	but
of	IN	of
course	NN	course
the	DT	the
reality	NN	reality
is	VBZ	be
it	PP	it
is	VBZ	be
overshadowing	VVG	overshadow
it's	NNS	it's
only	RB	only
about	IN	about
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
the	DT	the
response	NN	response
that	IN/that	that
Europe	NP	Europe
has	VHZ	have
and	CC	and
it's	NNS	it's
been	VBN	be
criticized	VVN	criticize
heavily	RB	heavily
for	IN	for
this	DT	this
response	NN	response
and	CC	and
it	PP	it
was	VBD	be
interesting	JJ	interesting
what	WP	what
charl	NN	charl
Michelle	NP	Michelle
uh	UH	uh
the	DT	the
president	NN	president
of	IN	of
the	DT	the
European	NP	European
Council	NP	Council
had	VHD	have
to	TO	to
say	VV	say
when	WRB	when
he	PP	he
entered	VVD	enter
uh	UH	uh
the	DT	the
the	DT	the
summit	NN	summit
he	PP	he
said	VVD	say
uh	UH	uh
we	PP	we
are	VBP	be
not	RB	not
uh	UH	uh
having	VHG	have
doubled	VVN	double
standards	NNS	standard
here	RB	here
