<video_id>bgstNecbyVg</video_id>	JJ	<video_id>bgstNecbyVg</video_id>
<video_title>Families	NNS	<video_title>Families
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
are	VBP	be
‘incredibly	RB	‘incredibly
angry’</video_title>	JJ	angry’</video_title>
<thumbnail_path>data/en_AJ\Families	NNS	<thumbnail_path>data/en_AJ\Families
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
are	VBP	be
‘incredibly	RB	‘incredibly
angry’.jpg</thumbnail_path>	JJ	angry’.jpg</thumbnail_path>
<publish_date>20231207</publish_date>	NN	<publish_date>20231207</publish_date>
<doc>	NN	<doc>
now	RB	now
un	VVZ	un
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gues	NNS	gues
has	VHZ	have
used	VVN	use
his	PP$	his
most	RBS	most
powerful	JJ	powerful
diplomatic	JJ	diplomatic
tool	NN	tool
known	VVN	know
as	IN	as
article	NN	article
99	CD	@card@
to	TO	to
try	VV	try
and	CC	and
stop	VV	stop
Israel's	NNS	Israel's
killing	VVG	kill
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
he's	NNS	he's
directing	VVG	direct
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
discuss	VV	discuss
the	DT	the
quote	NN	quote
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
and	CC	and
is	VBZ	be
calling	VVG	call
for	IN	for
an	DT	an
urgencies	NNS	urgency
fire	NN	fire
it	PP	it
is	VBZ	be
a	DT	a
very	RB	very
powerful	JJ	powerful
move	NN	move
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
Secretary	NP	Secretary
General	NP	General
and	CC	and
we	PP	we
hope	VVP	hope
that	IN/that	that
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
will	MD	will
be	VB	be
moved	VVN	move
by	IN	by
it	PP	it
and	CC	and
we	PP	we
hope	VVP	hope
the	DT	the
International	NP	International
Community	NP	Community
will	MD	will
be	VB	be
moved	VVN	move
by	IN	by
it	PP	it
to	TO	to
uh	UH	uh
to	TO	to
push	VV	push
and	CC	and
put	VV	put
in	IN	in
place	NN	place
a	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
in	IN	in
response	NN	response
Israel	NP	Israel
accused	VVD	accuse
the	DT	the
UN	NP	UN
chief	NN	chief
of	IN	of
bias	NN	bias
against	IN	against
Israel	NP	Israel
saying	VVG	say
a	DT	a
ceasefire	NN	ceasefire
would	MD	would
only	RB	only
embolden	VV	embolden
Hamas	NP	Hamas
a	DT	a
comment	NN	comment
now	RB	now
on	IN	on
un	NN	un
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gutter's	NP	gutter's
Kafkaesque	NP	Kafkaesque
step	NN	step
to	TO	to
invoke	VV	invoke
article	NN	article
99	CD	@card@
of	IN	of
the	DT	the
UN	NP	UN
Charter	NP	Charter
the	DT	the
Hamas	NP	Hamas
October	NP	October
7th	JJ	7th
Massacre	NN	massacre
was	VBD	be
a	DT	a
threat	NN	threat
to	TO	to
International	NP	International
Peace	NP	Peace
and	CC	and
security	NN	security
calls	NNS	call
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
that	WDT	that
would	MD	would
leave	VV	leave
our	PP$	our
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
Hamas	JJ	Hamas
Terror	NN	terror
regime	NN	regime
in	IN	in
power	NN	power
are	VBP	be
also	RB	also
a	DT	a
threat	NN	threat
to	TO	to
International	NP	International
Peace	NP	Peace
and	CC	and
