She	PP	she
eats	VVZ	eat
and	CC	and
feeds	VVZ	feed
her	PP$	her
young	JJ	young
children	NNS	child
.	SENT	.
My	PP$	my
uncle	NN	uncle
comes	VVZ	come
to	TO	to
the	DT	the
border	NN	border
and	CC	and
to	TO	to
death	NN	death
in	IN	in
order	NN	order
to	TO	to
eat	VV	eat
and	CC	and
feed	VV	feed
her	PP$	her
family	NN	family
.	SENT	.
Women	NNS	woman
,	,	,
man	NN	man
in	IN	in
this	DT	this
country	NN	country
.	SENT	.
This	DT	this
is	VBZ	be
behind	IN	behind
the	DT	the
Jews	NPS	Jews
.	SENT	.
I	PP	I
have	VHP	have
done	VVN	do
a	DT	a
job	NN	job
.	SENT	.
Man	UH	man
,	,	,
I	PP	I
swear	VVP	swear
to	TO	to
God	NP	God
,	,	,
I	PP	I
will	MD	will
leave	VV	leave
women	NNS	woman
alone	RB	alone
.	SENT	.
Come	VVN	come
out	RP	out
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
forbidden	VVN	forbid
.	SENT	.
Why	WRB	why
do	VVP	do
you	PP	you
come	VVP	come
here	RB	here
like	VV	like
this	DT	this
?	SENT	?
What	WP	what
'	POS	'
s	NNS	s
wrong	JJ	wrong
with	IN	with
the	DT	the
Jews	NPS	Jews
?	SENT	?
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NNS	s
more	RBR	more
dangerous	JJ	dangerous
or	CC	or
dangerous	JJ	dangerous
.	SENT	.
He	PP	he
'	POS	'
s	NNS	s
a	DT	a
fool	NN	fool
,	,	,
he	PP	he
ruined	VVD	ruin
the	DT	the
world	NN	world
,	,	,
you	PP	you
man	VVP	man
.	SENT	.
A	DT	a
piece	NN	piece
of	IN	of
flour	NN	flour
has	VHZ	have
become	VVN	become
800	CD	@card@
shekels	NNS	shekel
in	IN	in
this	DT	this
country	NN	country
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
old	JJ	old
yet	RB	yet
.	SENT	.
Man	UH	man
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
north	RB	north
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	ll
find	VVP	find
Zakin	NP	Zakin
before	IN	before
the	DT	the
Jakar	NP	Jakar
line	NN	line
.	SENT	.
We	PP	we
want	VVP	want
to	TO	to
go	VV	go
get	VV	get
some	DT	some
vegetables	NNS	vegetable
so	IN	so
we	PP	we
can	MD	can
eat	VV	eat
.	SENT	.
Watch	VV	watch
us	PP	us
and	CC	and
feed	VV	feed
at	IN	at
school	NN	school
.	SENT	.
What	WP	what
should	MD	should
we	PP	we
do	VV	do
?	SENT	?
One	CD	one
with	IN	with
two	CD	two
people	NNS	people
'	POS	'
s	NN	S
thoughts	NNS	thought
as	IN	as
they	PP	they
are	VBP	be
and	CC	and
