<video_id>JAEQFko4w2w</video_id>	NP	<video_id>JAEQFko4w2w</video_id>
<video_title>First	NP	<video_title>First
Person:	NP	Person:
War	NP	War
through	IN	through
a	DT	a
child's	NN	child's
eyes</video_title>	NN	eyes</video_title>
<thumbnail_path>data/en_AJ\First	NP	<thumbnail_path>data/en_AJ\First
Person	NP	Person
War	NP	War
through	IN	through
a	DT	a
child's	NNS	child's
eyes.jpg</thumbnail_path>	NN	eyes.jpg</thumbnail_path>
<publish_date>20231016</publish_date>	NN	<publish_date>20231016</publish_date>
<doc>	NN	<doc>
my	PP$	my
name's	NNS	name's
I	PP	I
have	VHP	have
a	DT	a
British	JJ	British
passport	NN	passport
I	PP	I
used	VVD	use
to	TO	to
be	VB	be
living	VVG	live
in	IN	in
Britain	NP	Britain
but	CC	but
I've	NP	I've
been	VBN	be
in	IN	in
G	NP	G
for	IN	for
a	DT	a
year	NN	year
now	RB	now
and	CC	and
W	NP	W
it	PP	it
has	VHZ	have
been	VBN	be
a	DT	a
very	RB	very
very	RB	very
interesting	JJ	interesting
year	NN	year
I'm	NN	I'm
here	RB	here
in	IN	in
the	DT	the
park	NN	park
in	IN	in
in	IN	in
the	DT	the
city	NN	city
Hamad	NP	Hamad
in	IN	in
Gaza	NP	Gaza
the	DT	the
kids	NNS	kid
playing	VVG	play
in	IN	in
the	DT	the
park	NN	park
with	IN	with
the	DT	the
bombs	NNS	bomb
going	VVG	go
off	RP	off
there	RB	there
planes	NNS	plane
above	IN	above
K	NP	K
bomb	NN	bomb
at	IN	at
any	DT	any
moment	NN	moment
it's	NNS	it's
unsafe	JJ	unsafe
it's	NN	it's
it's	NNS	it's
not	RB	not
fair	JJ	fair
it's	NNS	it's
just	RB	just
I	PP	I
feel	VVP	feel
bad	JJ	bad
for	IN	for
the	DT	the
kids	NNS	kid
the	DT	the
it's	NN	it's
not	RB	not
the	DT	the
kid's	NNS	kid's
fault	VVP	fault
that	IN/that	that
this	DT	this
will	MD	will
happen	VV	happen
it's	NNS	it's
no	DT	no
one's	NN	one's
fault	NN	fault
it's	NNS	it's
not	RB	not
fair	JJ	fair
that	IN/that	that
this	DT	this
is	VBZ	be
happening	VVG	happen
it	PP	it
shouldn't	NN	shouldn't
be	VB	be
happening	VVG	happen
I	NP	I
I've	NP	I've
came	VVD	come
to	TO	to
this	DT	this
city	NN	city
here	RB	here
because	IN	because
my	PP$	my
house	NN	house
is	VBZ	be
too	RB	too
dangerous	JJ	dangerous
to	TO	to
live	VV	live
in	IN	in
because	IN	because
rocket	NN	rocket
I've	NN	I've
been	VBN	be
seeing	VVG	see
Rockets	NNS	rocket
going	VVG	go
through	IN	through
the	DT	the
sky	NN	sky
I've	NN	I've
been	VBN	be
getting	VVG	get
calls	NNS	call
to	TO	to
leave	VV	leave
my	PP$	my
home	NN	home
and	CC	and
and	CC	and
go	VV	go
to	TO	to
the	DT	the
and	CC	and
go	VVP	go
to	TO	to
on	IN	on
the	DT	the
hospitals	NNS	hospital
it	PP	it
really	RB	really
has	VHZ	have
been	VBN	be
very	RB	very
