<video_id>H_wrcYr-WF4</video_id>	JJ	<video_id>H_wrcYr-WF4</video_id>
<video_title>Fleeing	NN	<video_title>Fleeing
on	IN	on
designated	VVN	designate
safe	JJ	safe
road,	NP	road,
Gaza	NP	Gaza
residents	NNS	resident
come	VVN	come
under	IN	under
fire</video_title>	JJ	fire</video_title>
<thumbnail_path>data/en_AJ\Fleeing	NN	<thumbnail_path>data/en_AJ\Fleeing
on	IN	on
designated	VVN	designate
safe	JJ	safe
road,	NP	road,
Gaza	NP	Gaza
residents	NNS	resident
come	VVN	come
under	IN	under
fire.jpg</thumbnail_path>	JJ	fire.jpg</thumbnail_path>
<publish_date>20231110</publish_date>	JJ	<publish_date>20231110</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
with	IN	with
breaking	VVG	break
news	NN	news
there's	RB	there's
just	RB	just
been	VBN	be
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
roads	NNS	road
leading	VVG	lead
towards	IN	towards
Southern	NP	Southern
Gaza	NP	Gaza
several	JJ	several
people	NNS	people
have	VHP	have
been	VBN	be
rushed	VVN	rush
to	TO	to
hospital	NN	hospital
alaz	NP	alaz
Han	NP	Han
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
from	IN	from
Han	NP	Han
Yunis	NP	Yunis
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
just	RB	just
receiving	VVG	receive
uh	UH	uh
these	DT	these
pictures	NNS	picture
Hani	NP	Hani
what	WP	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
what	WP	what
happened	VVD	happen
yes	RB	yes
well	RB	well
this	DT	this
is	VBZ	be
exactly	RB	exactly
what	WP	what
was	VBD	be
happening	VVG	happen
in	IN	in
the	DT	the
past	JJ	past
half	NN	half
an	DT	an
hour	NN	hour
or	CC	or
so	RB	so
as	IN	as
Palestinians	NPS	Palestinians
from	IN	from
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
taking	VVG	take
salahadin	NN	salahadin
road	NN	road
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
Gaza	NP	Gaza
and	CC	and
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
we're	NN	we're
targeted	VVN	target
by	IN	by
Israeli	JJ	Israeli
tank	NN	tank
shell	VV	shell
the	DT	the
the	DT	the
brutality	NN	brutality
of	IN	of
what	WP	what
we	PP	we
just	RB	just
saw	VVD	see
on	IN	on
live	JJ	live
pictures	NNS	picture
on	IN	on
TV	NN	TV
is	VBZ	be
unmat	JJ	unmat
these	DT	these
are	VBP	be
the	DT	the
people	NNS	people
the	DT	the
very	JJ	very
people	NNS	people
who	WP	who
were	VBD	be
told	VVN	tell
to	TO	to
evacuate	VV	evacuate
and	CC	and
to	TO	to
take	VV	take
salahadin	NN	salahadin
road	NN	road
because	IN	because
it's	NNS	it's
a	DT	a
safe	JJ	safe
corridor	NN	corridor
found	VVD	find
them	PP	them
themselves	PP	themselves
under	IN	under
heavy	JJ	heavy
artillery	NN	artillery
shelling	VVG	shell
and	CC	and
tanks	NNS	tank
shells	NNS	shell
several	JJ	several
of	IN	of
these	DT	these
people	NNS	people
were	VBD	be
seriously	RB	seriously
injured	VVN	injure
with	IN	with
multiple	JJ	multiple
number	NN	number
of	IN	of
people	NNS	people
were	VBD	be
killed	VVN	kill
were	VBD	be
rushed	VVN	rush
to	TO	to
sh	JJ	sh
Hospital	NN	hospital
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Dar	NP	Dar
the	DT	the
closest	JJS	close
hospital	NN	hospital
to	TO	to
salahadin	NN	salahadin
Road	NP	Road
and	CC	and
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
areas	NNS	area
uh	UH	uh
in	IN	in
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
This	DT	this
is	VBZ	be
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
concerned	VVN	concern
about	IN	about
all	DT	all
day	NN	day
long	RB	long
and	CC	and
all	RB	all
the	DT	the
past	JJ	past
days	NNS	day
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
people	NNS	people
inside	IN	inside
Gaza	NP	Gaza
and	CC	and
the	DT	the
noran	NN	noran
have	VHP	have
been	VBN	be
worried	VVN	worry
about	RB	about
and	CC	and
afraid	JJ	afraid
of	IN	of
that	WDT	that
there	EX	there
are	VBP	be
no	DT	no
terms	NNS	term
to	TO	to
what	WP	what
Israelis	NNS	Israeli
are	VBP	be
telling	VVG	tell
them	PP	them
what	WP	what
the	DT	the
military	JJ	military
what	WP	what
the	DT	the
IDF	NP	IDF
is	VBZ	be
telling	VVG	tell
it's	NNS	it's
all	RB	all
lies	VVZ	lie
the	DT	the
IDF	NP	IDF
is	VBZ	be
lying	VVG	lie
to	TO	to
people	NNS	people
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
lying	VVG	lie
to	TO	to
people	NNS	people
when	WRB	when
they	PP	they
tell	VVP	tell
them	PP	them
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
safe	JJ	safe
Corridor	NP	Corridor
when	WRB	when
it	PP	it
forced	VVD	force
them	PP	them
under	IN	under
heavy	JJ	heavy
bombardment	NN	bombardment
to	TO	to
go	VV	go
to	TO	to
salahadin	NN	salahadin
road	NN	road
because	IN	because
they	PP	they
want	VVP	want
them	PP	them
to	TO	to
evacuate	VV	evacuate
because	IN	because
it's	NNS	it's
safe	JJ	safe
when	WRB	when
it's	NNS	it's
not	RB	not
safe	JJ	safe
at	IN	at
all	DT	all
that's	NN	that's
exactly	RB	exactly
what's	NNS	what's
going	VVG	go
on	IN	on
these	DT	these
are	VBP	be
the	DT	the
4-Hour	JJ	4-Hour
h	NN	h
that	IN/that	that
we	PP	we
that	IN/that	that
they	PP	they
talked	VVD	talk
about	RB	about
that	IN/that	that
people	NNS	people
could	MD	could
between	IN	between
in	IN	in
those	DT	those
hours	NNS	hour
could	MD	could
take	VV	take
these	DT	these
roads	NNS	road
and	CC	and
run	VV	run
to	TO	to
safety	NN	safety
but	CC	but
they're	NN	they're
not	RB	not
safe	JJ	safe
this	DT	this
is	VBZ	be
exactly	RB	exactly
the	DT	the
feeling	NN	feeling
of	IN	of
everyone	NN	everyone
everyone	NN	everyone
is	VBZ	be
frustrated	VVN	frustrate
angry	JJ	angry
at	IN	at
what	WP	what
happened	VVD	happen
uh	UH	uh
and	CC	and
it	PP	it
just	RB	just
there's	RB	there's
no	DT	no
trust	NN	trust
whatsoever	JJ	whatsoever
people	NNS	people
are	VBP	be
killed	VVN	kill
indiscriminately	RB	indiscriminately
they're	RB	they're
killed	VVN	kill
intentionally	RB	intentionally
uh	UH	uh
it	PP	it
just	RB	just
it's	NNS	it's
beyond	IN	beyond
imagination	NN	imagination
what	WP	what
happens	VVZ	happen
to	TO	to
people	NNS	people
it	PP	it
will	MD	will
definitely	RB	definitely
H	NN	H
this	DT	this
Carriage	NN	carriage
the	DT	the
many	JJ	many
thousand	CD	thousand
who	WP	who
are	VBP	be
stilling	VVG	still
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
to	TO	to
leave	VV	leave
because	IN	because
this	DT	this
is	VBZ	be
what	WP	what
will	MD	will
happen	VV	happen
to	TO	to
them	PP	them
on	IN	on
the	DT	the
road	NN	road
a	DT	a
road	NN	road
that	WDT	that
was	VBD	be
designated	VVN	designate
as	IN	as
safe	JJ	safe
for	IN	for
them	PP	them
and	CC	and
before	IN	before
they	PP	they
get	VVP	get
to	TO	to
the	DT	the
the	DT	the
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
Central	NP	Central
Area	NP	Area
before	IN	before
they	PP	they
get	VVP	get
to	TO	to
the	DT	the
safe	JJ	safe
area	NN	area
they	PP	they
are	VBP	be
targeted	VVN	target
by	IN	by
those	DT	those
tanks	NNS	tank
shell	NN	shell
it's	NNS	it's
like	IN	like
what	WP	what
in	IN	in
the	DT	the
words	NNS	word
of	IN	of
of	IN	of
a	DT	a
a	DT	a
Jewish	JJ	Jewish
political	JJ	political
science	NN	science
scientist	NN	scientist
who	WP	who
said	VVD	say
Israel	NP	Israel
is	VBZ	be
at	IN	at
war	NN	war
with	IN	with
Palestinian	JJ	Palestinian
civilian	JJ	civilian
children	NNS	child
and	CC	and
women	NNS	woman
not	RB	not
with	IN	with
anyone	NN	anyone
else	RB	else
and	CC	and
that's	NNS	that's
exactly	RB	exactly
a	DT	a
proof	NN	proof
of	IN	of
what	WP	what
happened	VVD	happen
honey	VV	honey
uh	UH	uh
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
through	IN	through
again	RB	again
what	WP	what
we	PP	we
know	VVP	know
again	RB	again
this	DT	this
has	VHZ	have
just	RB	just
happened	VVN	happen
it's	NP	it's
14	CD	@card@
GMT	NN	GMT
it's	NN	it's
that	WDT	that
means	VVZ	mean
it's	NNS	it's
4	CD	@card@
p.m.	NN	p.m.
where	WRB	where
you	PP	you
are	VBP	be
in	IN	in
Gaza	NP	Gaza
we've	NP	we've
just	RB	just
got	VVD	get
these	DT	these
pictures	NNS	picture
that	IN/that	that
our	PP$	our
viewers	NNS	viewer
are	VBP	be
seeing	VVG	see
in	IN	in
the	DT	the
center	NN	center
of	IN	of
their	PP$	their
screen	NN	screen
that	WDT	that
is	VBZ	be
um	JJ	um
what	WP	what
we're	NNS	we're
seeing	VVG	see
are	VBP	be
Gins	NP	Gins
who	WP	who
were	VBD	be
hit	VVN	hit
as	IN	as
they	PP	they
were	VBD	be
trying	VVG	try
to	TO	to
leave	VV	leave
the	DT	the
north	NN	north
try	VV	try
and	CC	and
put	VV	put
the	DT	the
geography	NN	geography
in	IN	in
place	NN	place
for	IN	for
us	PP	us
where	WRB	where
were	VBD	be
they	PP	they
what	WP	what
route	NN	route
did	VVD	do
they	PP	they
take	VV	take
and	CC	and
where	WRB	where
were	VBD	be
they	PP	they
trying	VVG	try
to	TO	to
go	VV	go
just	RB	just
the	DT	the
basics	NNS	basic
and	CC	and
if	IN	if
you've	NN	you've
already	RB	already
said	VVD	say
it	PP	it
just	RB	just
that's	JJ	that's
fine	NN	fine
you	PP	you
can	MD	can
repeat	VV	repeat
it	PP	it
this	DT	this
is	VBZ	be
all	DT	all
just	RB	just
happening	VVG	happen
right	RB	right
okay	JJ	okay
okay	RB	okay
well	RB	well
these	DT	these
were	VBD	be
people	NNS	people
mainly	RB	mainly
concentrated	VVN	concentrate
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
what	WP	what
basic	JJ	basic
if	IN	if
we	PP	we
look	VVP	look
at	IN	at
just	RB	just
technicality	NN	technicality
of	IN	of
what	WP	what
happened	VVD	happen
these	DT	these
people	NNS	people
had	VHD	have
to	TO	to
walk	VV	walk
about	RB	about
combine	VV	combine
about	RB	about
25	CD	@card@
to	TO	to
30	CD	@card@
kilm	NN	kilm
coming	VVG	come
from	IN	from
Deep	NP	Deep
Center	NP	Center
of	IN	of
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
Salah	NP	Salah
Road	NP	Road
and	CC	and
walk	VV	walk
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
uh	UH	uh
the	DT	the
military	JJ	military
checkpoint	NN	checkpoint
that	DT	that
been	VBN	be
set	VVN	set
up	RP	up
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
uh	UH	uh
with	IN	with
no	DT	no
belongings	NNS	belonging
whatsoever	JJ	whatsoever
people	NNS	people
had	VHD	have
to	TO	to
drop	VV	drop
everything	NN	everything
on	IN	on
the	DT	the
road	NN	road
and	CC	and
just	RB	just
walk	VV	walk
with	IN	with
their	PP$	their
hands	NNS	hand
above	IN	above
their	PP$	their
head	NN	head
and	CC	and
with	IN	with
their	PP$	their
ID	NN	id
so	IN	so
people	NNS	people
as	IN	as
window	NN	window
was	VBD	be
open	RB	open
this	DT	this
morning	NN	morning
from	IN	from
10:	CD	@card@
to	TO	to
2:	CD	@card@
or	CC	or
3:00	CD	@card@
p.m.	RB	p.m.
I	PP	I
believe	VV	believe
uh	UH	uh
we're	NN	we're
told	VVD	tell
leave	VV	leave
the	DT	the
area	NN	area
because	IN	because
it's	NNS	it's
safe	JJ	safe
to	TO	to
go	VV	go
to	TO	to
the	DT	the
South	NP	South
they	PP	they
lived	VVD	live
under	IN	under
heavy	JJ	heavy
bombardment	NN	bombardment
we'	NP	we'
seen	VVN	see
people	NNS	people
in	IN	in
the	DT	the
in	IN	in
rantis	NP	rantis
hospital	NN	hospital
shifa	NN	shifa
hospital	NN	hospital
were	VBD	be
targeted	VVN	target
repeatedly	RB	repeatedly
as	RB	as
of	IN	of
this	DT	this
morning	NN	morning
and	CC	and
and	CC	and
and	CC	and
and	CC	and
late	JJ	late
hour	NN	hour
of	IN	of
last	JJ	last
night	NN	night
uh	UH	uh
they	PP	they
had	VHD	have
to	TO	to
leave	VV	leave
run	NN	run
for	IN	for
their	PP$	their
life	NN	life
as	IN	as
they	PP	they
were	VBD	be
either	DT	either
way	NN	way
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
get	VV	get
killed	VVN	kill
But	CC	but
the	DT	the
irony	NN	irony
of	IN	of
this	DT	this
just	RB	just
they	PP	they
found	VVD	find
themselves	PP	themselves
Target	NP	Target
on	IN	on
the	DT	the
road	NN	road
that	WDT	that
would	MD	would
supposedly	RB	supposedly
be	VB	be
safe	JJ	safe
for	IN	for
them	PP	them
and	CC	and
that's	NNS	that's
what	WP	what
makes	VVZ	make
this	DT	this
whole	JJ	whole
thing	NN	thing
more	RBR	more
tragic	JJ	tragic
and	CC	and
more	RBR	more
frustrating	JJ	frustrating
it's	NN	it's
it's	NNS	it's
definitely	RB	definitely
