well	RB	well
the	DT	the
UN	NP	UN
says	VVZ	say
it	PP	it
'	''	'
s	RB	s
been	VBN	be
forced	VVN	force
to	TO	to
close	VV	close
all	PDT	all
its	PP$	its
14	CD	@card@
food	NN	food
distribution	NN	distribution
centers	NNS	center
affecting	VVG	affect
half	PDT	half
a	DT	a
million	CD	million
Palestinians	NPS	Palestinians
let	VVP	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Tamara	NP	Tamara
alfi	NNS	alfi
she	PP	she
'	POS	'
s	NNS	s
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
she	PP	she
'	POS	'
s	NN	S
in	IN	in
close	JJ	close
contact	NN	contact
with	IN	with
her	PP$	her
colleagues	NNS	colleague
in	IN	in
Gaza	NP	Gaza
but	CC	but
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
um	JJ	um
tomorrow	NN	tomorrow
let	NN	let
'	POS	'
s	NNS	s
talk	VVP	talk
first	JJ	first
about	IN	about
the	DT	the
latest	JJS	late
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
what	WP	what
are	VBP	be
your	PP$	your
teams	NNS	team
telling	VVG	tell
you	PP	you
about	IN	about
how	WRB	how
people	NNS	people
are	VBP	be
coping	VVG	cope
under	IN	under
this	DT	this
Israeli	JJ	Israeli
bombardment	NN	bombardment
my	PP$	my
colleagues	NNS	colleague
are	VBP	be
telling	VVG	tell
me	PP	me
that	IN/that	that
air	NN	air
strikes	NNS	strike
and	CC	and
heavy	JJ	heavy
bombing	NN	bombing
continued	VVD	continue
overnight	RB	overnight
in	IN	in
Gaza	NP	Gaza
um	NNS	um
affecting	VVG	affect
um	NNS	um
or	CC	or
or	CC	or
causing	VVG	cause
large	JJ	large
displacements	NNS	displacement
of	IN	of
the	DT	the
residents	NNS	resident
of	IN	of
Gaza	NP	Gaza
who	WP	who
are	VBP	be
leaving	VVG	leave
their	PP$	their
homes	NNS	home
uh	UH	uh
in	IN	in
search	NN	search
of	IN	of
safer	JJR	safe
places	NNS	place
these	DT	these
safer	JJR	safe
places	NNS	place
