General	NP	General
Yakov	NP	Yakov
Amador	NP	Amador
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
me	PP	me
on	IN	on
up	RB	up
front	RB	front
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
inviting	VVG	invite
me	PP	me
uh	UH	uh
after	IN	after
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
Israel	NP	Israel
launched	VVD	launch
a	DT	a
devastating	JJ	devastating
counter	NN	counter
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
it	PP	it
caused	VVD	cause
unprecedented	JJ	unprecedented
levels	NNS	level
of	IN	of
Destruction	NN	destruction
and	CC	and
of	IN	of
course	NN	course
civilian	JJ	civilian
deaths	NNS	death
now	RB	now
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
concerns	NNS	concern
from	IN	from
the	DT	the
International	NP	International
Community	NP	Community
from	IN	from
Human	NP	Human
Rights	NPS	Rights
organizations	NNS	organization
and	CC	and
indeed	RB	indeed
from	IN	from
other	JJ	other
nations	NNS	nation
has	VHZ	have
been	VBN	be
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
not	RB	not
followed	VVN	follow
the	DT	the
rules	NNS	rule
of	IN	of
War	NP	War
particularly	RB	particularly
this	DT	this
question	NN	question
of	IN	of
proportionality	NN	proportionality
right	NN	right
now	IN	now
uh	UH	uh
for	IN	for
every	DT	every
uh	UH	uh
Hamas	NN	Hamas
Soldier	NN	soldier
killed	VVD	kill
there	EX	there
have	VHP	have
been	VBN	be
at	IN	at
least	JJS	least
two	CD	two
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
killed	VVD	kill
does	NNS	doe
that	WDT	that
seem	VVP	seem
like	IN	like
an	DT	an
acceptable	JJ	acceptable
ratio	NN	ratio
no	RB	no
it	PP	it
'	POS	'
s	NN	S
not	RB	not
acceptable	JJ	acceptable
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
think	VVP	think
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
making	VVG	make
a	DT	a
um	JJ	um
crimes	NNS	crime
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
by	IN	by
fighting	NN	fighting
within	IN	within
uh	UH	uh
civilian	JJ	civilian
population	NN	population
something	NN	something
that	IN/that	that
not	RB	not
not	RB	not
allowed	VVN	allow
by	IN	by
the	DT	the
international	JJ	international
law	NN	law
the	DT	the
fact	NN	fact
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
using	VVG	use
human	JJ	human
shield	NN	shield
women	NNS	woman
children	NNS	child
and	CC	and
old	JJ	old
people	NNS	people
to	TO	to
defend	VV	defend
itself	PP	itself
by	IN	by
fighting	VVG	fight
from	IN	from
their	PP$	their
houses	NNS	house
and	CC	and
from	IN	from
their	PP$	their
streets	NNS	street
and	CC	and
don	NN	don
'	POS	'
t	NN	t
let	VVD	let
these	DT	these
people	NNS	people
to	TO	to
go	VV	go
out	RP	out
of	IN	of
the	DT	the
area	NN	area
of	IN	of
the	DT	the
battlefield	NN	battlefield
no	DT	no
question	NN	question
that	IN/that	that
it	PP	it
is	VBZ	be
a	DT	a
a	DT	a
crime	NN	crime
against	IN	against
humanity	NN	humanity
and	CC	and
Hamas	NN	Hamas
should	MD	should
be	VB	be
punished	VVN	punish
and	CC	and
even	RB	even
more	JJR	more
than	IN	than
that	IN/that	that
we	PP	we
gave	VVD	give
the	DT	the
population	NN	population
time	VV	time
uh	UH	uh
to	TO	to
leave	VV	leave
the	DT	the
area	NN	area
and	CC	and
we	PP	we
designated	VVD	designate
safe	JJ	safe
heavens	NNS	heaven
and	CC	and
Hamas	NNS	Hamas
block	VVP	block
the	DT	the
way	NN	way
to	TO	to
those	DT	those
safe	JJ	safe
Heavens	NNS	heaven
so	RB	so
by	IN	by
that	DT	that
push	NN	push
the	DT	the
civilians	NNS	civilian
into	IN	into
the	DT	the
battlefield	NN	battlefield
so	IN	so
you	PP	you
'	POS	'
re	NN	re
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	JJ	s
killing	NN	killing
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
is	VBZ	be
a	DT	a
war	NN	war
crime	NN	crime
committed	VVN	commit
by	IN	by
Hamas	NP	Hamas
and	CC	and
not	RB	not
by	IN	by
Israel	NP	Israel
I	PP	I
mean	VVP	mean
you	PP	you
'	''	'
re	IN	re
you	PP	you
'	POS	'
re	NN	re
basing	VVG	base
that	DT	that
argument	NN	argument
if	IN	if
I	PP	I
understand	VVP	understand
you	PP	you
correctly	RB	correctly
on	IN	on
the	DT	the
idea	NN	idea
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
using	VVG	use
human	JJ	human
Shields	NP	Shields
now	RB	now
first	JJ	first
that	WDT	that
has	VHZ	have
not	RB	not
been	VBN	be
proven	VVN	prove
by	IN	by
any	DT	any
human	JJ	human
rights	NNS	right
organization	NN	organization
in	IN	in
fact	NN	fact
even	RB	even
if	IN	if
what	WP	what
you	PP	you
'	POS	'
re	NN	re
saying	NN	saying
is	VBZ	be
true	JJ	true
that	IN/that	that
doesn	NP	doesn
'	POS	'
t	NN	t
absorb	VV	absorb
you	PP	you
of	IN	of
your	PP$	your
responsibility	NN	responsibility
to	TO	to
avoid	VV	avoid
killing	VVG	kill
civilian	JJ	civilian
targets	NNS	target
you	PP	you
can	MD	can
'	''	'
t	NN	t
just	RB	just
say	VVP	say
Well	RB	well
they	PP	they
'	POS	'
re	NN	re
hiding	NN	hiding
among	IN	among
civilians	NNS	civilian
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
kill	VV	kill
civilians	NNS	civilian
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
just	RB	just
say	VVP	say
well	RB	well
it	PP	it
'	POS	'
s	NN	S
hamas	NN	hamas
'	POS	'
s	NN	S
fault	NN	fault
okay	VV	okay
uh	UH	uh
first	RB	first
of	IN	of
all	DT	all
uh	UH	uh
as	IN	as
you	PP	you
know	VVP	know
and	CC	and
everyone	NN	everyone
can	NN	can
can	MD	can
see	VV	see
we	PP	we
found	VVD	find
the	DT	the
Hamas	JJ	Hamas
operational	JJ	operational
centers	NNS	center
and	CC	and
the	DT	the
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
so	RB	so
if	IN	if
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
human	JJ	human
shield	NN	shield
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
what	WP	what
human	JJ	human
shield	NN	shield
is	VBZ	be
we	PP	we
have	VHP	have
pictures	NNS	picture
of	IN	of
Hamas	NN	Hamas
that	WDT	that
has	VHZ	have
not	RB	not
been	VBN	be
that	DT	that
has	VHZ	have
not	RB	not
that	DT	that
hasn	NN	hasn
'	POS	'
t	NN	t
been	VBN	be
proven	VVN	prove
sir	NN	sir
no	DT	no
I	NP	I
I	NP	I
don	NN	don
'	POS	'
t	NN	t
I	NP	I
I	CD	@card@
my	PP$	my
friends	NNS	friend
well	RB	well
it	PP	it
so	RB	so
I	PP	I
don	VV	don
'	''	'
t	NN	t
need	VVP	need
your	PP$	your
approvement	NN	approvement
um	NNS	um
wait	VVP	wait
wait	VV	wait
you	PP	you
haven	NN	haven
'	POS	'
t	NN	t
offered	VVD	offer
the	DT	the
world	NN	world
you	PP	you
you	PP	you
haven	NN	haven
'	POS	'
t	NN	t
offered	VVD	offer
the	DT	the
world	NN	world
any	DT	any
proof	NN	proof
I	PP	I
want	VVP	want
you	PP	you
to	TO	to
finish	VV	finish
your	PP$	your
answer	NN	answer
but	CC	but
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
be	VB	be
clear	JJ	clear
for	IN	for
the	DT	the
audience	NN	audience
'	POS	'
s	NNS	s
benefit	VVP	benefit
that	IN/that	that
under	IN	under
international	JJ	international
law	NN	law
uh	UH	uh
to	TO	to
to	RB	to
to	TO	to
change	VV	change
the	DT	the
status	NN	status
of	IN	of
a	DT	a
hospital	NN	hospital
to	TO	to
a	DT	a
to	TO	to
a	DT	a
military	JJ	military
Target	NP	Target
the	DT	the
burden	NN	burden
of	IN	of
proof	NN	proof
is	VBZ	be
on	IN	on
Israel	NP	Israel
to	TO	to
demonstrate	VV	demonstrate
that	IN/that	that
it	PP	it
is	VBZ	be
a	DT	a
Hamas	JJ	Hamas
command	NN	command
CER	NN	CER
it	PP	it
'	POS	'
s	NN	S
not	RB	not
enough	RB	enough
to	TO	to
say	VV	say
there	RB	there
'	''	'
s	VVG	s
a	DT	a
Hamas	JJ	Hamas
fighter	NN	fighter
there	IN	here
it	PP	it
'	POS	'
s	NN	S
not	RB	not
enough	RB	enough
to	TO	to
say	VV	say
there	RB	there
'	''	'
s	VVG	s
a	DT	a
few	JJ	few
members	NNS	member
of	IN	of
homas	NNS	homa
to	TO	to
change	VV	change
the	DT	the
status	NN	status
you	PP	you
got	VVD	get
to	TO	to
prove	VV	prove
that	IN/that	that
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
just	RB	just
say	VVP	say
take	VV	take
my	PP$	my
word	NN	word
for	IN	for
it	PP	it
I	PP	I
just	RB	just
for	IN	for
clarity	NN	clarity
sake	NN	sake
where	WRB	where
'	POS	'
s	NNS	s
the	DT	the
evidence	NN	evidence
who	WP	who
'	POS	'
s	NN	S
who	WP	who
who	WP	who
'	POS	'
s	VVG	s
who	WP	who
'	POS	'
s	NN	S
who	WP	who
has	VHZ	have
who	WP	who
has	VHZ	have
proven	VVN	prove
this	DT	this
please	VVP	please
let	VV	let
me	PP	me
answer	VV	answer
the	DT	the
answer	NN	answer
we	PP	we
found	VVD	find
under	IN	under
the	DT	the
hospitals	NNS	hospital
Center	NN	center
of	IN	of
command	NN	command
of	IN	of
of	IN	of
Hamas	NP	Hamas
and	CC	and
if	IN	if
you	PP	you
want	VVP	want
pictures	NNS	picture
you	PP	you
can	MD	can
ask	VV	ask
the	DT	the
spokesman	NN	spokesman
of	IN	of
the	DT	the
IDE	NN	ide
we	PP	we
sent	VVD	send
you	PP	you
many	JJ	many
of	IN	of
them	PP	them
we	PP	we
found	VVD	find
weapon	NN	weapon
systems	NNS	system
under	IN	under
the	DT	the
hospital	NN	hospital
and	CC	and
we	PP	we
know	VVP	know
for	IN	for
sure	JJ	sure
that	IN/that	that
at	IN	at
least	JJS	least
one	CD	one
hospit	NN	hospit
was	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
hospital	NN	hospital
by	IN	by
Hamas	JJ	Hamas
um	JJ	um
people	NNS	people
the	DT	the
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
only	JJ	only
Hospital	NN	hospital
under	IN	under
which	WDT	which
there	EX	there
are	VBP	be
Commander	NP	Commander
commands	NNS	command
and	CC	and
control	NN	control
headquarters	NN	headquarters
of	IN	of
Hamas	NP	Hamas
we	PP	we
have	VHP	have
pictures	NNS	picture
of	IN	of
Hamas	JJ	Hamas
people	NNS	people
going	VVG	go
with	IN	with
children	NNS	child
around	IN	around
them	PP	them
so	IN	so
we	PP	we
can	MD	can
we	PP	we
cannot	MD	can
kill	VV	kill
them	PP	them
if	IN	if
you	PP	you
want	VVP	want
the	DT	the
picture	NN	picture
I	PP	I
will	MD	will
send	VV	send
you	PP	you
and	CC	and
the	DT	the
fact	NN	fact
and	CC	and
please	VV	please
and	CC	and
the	DT	the
fact	NN	fact
you	PP	you
don	VVP	don
'	''	'
t	NN	t
don	NN	don
'	POS	'
t	NN	t
I	NP	I
I	NP	I
I	NP	I
'	POS	'
m	NN	m
not	RB	not
I	PP	I
know	VVP	know
that	IN/that	that
you	PP	you
will	MD	will
not	RB	not
show	VV	show
it	PP	it
know	VV	know
your	PP$	your
your	PP$	your
network	NN	network
you	PP	you
will	MD	will
not	RB	not
show	VV	show
it	PP	it
anyhow	RB	anyhow
um	JJ	um
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
we	PP	we
are	VBP	be
killing	VVG	kill
civilians	NNS	civilian
what	WP	what
is	VBZ	be
the	DT	the
alternative	NN	alternative
that	IN/that	that
we	PP	we
will	MD	will
not	RB	not
kill	VV	kill
any	DT	any
civilian	JJ	civilian
and	CC	and
we	PP	we
cannot	MD	can
fight	VV	fight
Hamas	NP	Hamas
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
is	VBZ	be
fighting	VVG	fight
from	IN	from
behind	IN	behind
the	DT	the
the	DT	the
civilians	NNS	civilian
so	IN	so
the	DT	the
alternative	NN	alternative
not	RB	not
to	TO	to
kill	VV	kill
civilians	NNS	civilian
meaning	VVG	mean
the	DT	the
meaning	NN	meaning
the	DT	the
Practical	JJ	practical
meaning	NN	meaning
of	IN	of
it	PP	it
is	VBZ	be
not	RB	not
to	TO	to
to	TO	to
kill	VV	kill
Hamas	VVG	Hamas
it	PP	it
to	TO	to
