claim	NN	claim
that	IN/that	that
non	JJ	non
students	NNS	student
outside	IN	outside
agitators	NNS	agitator
are	VBP	be
working	VVG	work
with	IN	with
the	DT	the
students	NNS	student
in	IN	in
the	DT	the
building	NN	building
and	CC	and
that	DT	that
is	VBZ	be
why	WRB	why
they	PP	they
called	VVD	call
in	IN	in
the	DT	the
police	NN	police
the	DT	the
police	NN	police
department	NN	department
and	CC	and
the	DT	the
mayor	NN	mayor
of	IN	of
New	NP	New
York	NP	York
Eric	NP	Eric
Adams	NP	Adams
held	VVD	hold
a	DT	a
press	NN	press
conference	NN	conference
earlier	JJR	early
today	NN	today
where	WRB	where
they	PP	they
talked	VVD	talk
about	IN	about
this	DT	this
as	IN	as
well	UH	well
uh	UH	uh
they	PP	they
said	VVD	say
that	IN/that	that
they	PP	they
believed	VVD	believe
that	IN/that	that
people	NNS	people
involved	VVN	involve
were	VBD	be
not	RB	not
students	NNS	student
and	CC	and
could	MD	could
be	VB	be
Danger	NP	Danger
to	TO	to
the	DT	the
people	NNS	people
in	IN	in
on	IN	on
campus	NN	campus
and	CC	and
because	IN	because
they	PP	they
are	VBP	be
not	RB	not
uh	UH	uh
affiliated	VVN	affiliate
with	IN	with
the	DT	the
campus	NN	campus
are	VBP	be
breaking	VVG	break
the	DT	the
law	NN	law
and	CC	and
they	PP	they
listed	VVD	list
numerous	JJ	numerous
charges	NNS	charge
that	IN/that	that
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
uh	UH	uh
attempt	NN	attempt
to	TO	to
charge	VV	charge
them	PP	them
with	IN	with
if	IN	if
they	PP	they
were	VBD	be
there	RB	there
they	PP	they
appealed	VVD	appeal
to	TO	to
the	DT	the
parents	NNS	parent
of	IN	of
the	DT	the
students	NNS	student
actually	RB	actually
asking	VVG	ask
them	PP	them
to	TO	to
call	VV	call
their	PP$	their
students	NNS	student
and	CC	and
talk	VV	talk
to	TO	to
the	DT	the
students	NNS	student
who	WP	who
are	VBP	be
on	IN	on
the	DT	the
campus	NN	campus
warning	VVG	warn
that	IN/that	that
they	PP	they
could	MD	could
be	VB	be
criminally	RB	criminally
charged	VVD	charge
uh	UH	uh
no	UH	no
longer	RBR	longer
just	RB	just
with	IN	with
trespassing	NN	trespassing
but	CC	but
with	IN	with
uh	UH	uh
breaking	VVG	break
and	CC	and
entering	VVG	enter
and	CC	and
other	JJ	other
charges	NNS	charge
like	VVP	like
that	IN/that	that
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
say	VVP	say
they	PP	they
wanted	VVD	want
to	TO	to
get	VV	get
the	DT	the
students	NNS	student
out	RP	out
of	IN	of
the	DT	the
way	NN	way
but	CC	but
when	WRB	when
you	PP	you
talk	VVP	talk
to	TO	to
people	NNS	people
on	IN	on
the	DT	the
sidelines	NNS	sideline
here	RB	here
that	WDT	that
ran	VVD	run
into	IN	into
some	DT	some
teachers	NNS	teacher
who	WP	who
were	VBD	be
huddled	VVN	huddle
around	IN	around
a	DT	a
radio	NN	radio
listening	VVG	listen
to	TO	to
a	DT	a
live	JJ	live
broadcast	NN	broadcast
from	IN	from
students	NNS	student
inside	IN	inside
the	DT	the
campus	NN	campus
and	CC	and
the	DT	the
teachers	NNS	teacher
the	DT	the
professors	NNS	professor
were	VBD	be
horrified	VVN	horrify
that	IN/that	that
the	DT	the
students	NNS	student
uh	UH	uh
that	IN/that	that
the	DT	the
that	IN/that	that
the	DT	the
administration	NN	administration
had	VHD	have
called	VVN	call
the	DT	the
police	NN	police
in	IN	in
they	PP	they
are	VBP	be
not	RB	not
buying	VVG	buy
that	IN/that	that
they	PP	they
say	VVP	say
these	DT	these
are	VBP	be
our	PP$	our
students	NNS	student
those	DT	those
are	VBP	be
the	DT	the
students	NNS	student
they	PP	they
'	POS	'
re	NN	re
going	NN	going
after	IN	after
uh	UH	uh
so	RB	so
they	PP	they
were	VBD	be
very	RB	very
concerned	VVN	concern
and	CC	and
came	VVD	come
out	RP	out
specifically	RB	specifically
to	TO	to
Bear	NP	Bear
witness	NN	witness
to	TO	to
What	WP	what
'	POS	'
s	NNS	s
Happening	VVG	happen
Here	RB	here
along	RB	along
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
uh	UH	uh
young	JJ	young
people	NNS	people
that	IN/that	that
we	PP	we
see	VVP	see
here	RB	here
um	JJ	um
but	CC	but
also	RB	also
it	PP	it
'	POS	'
s	NN	S
interesting	VVG	interest
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
are	VBP	be
really	RB	really
afraid	JJ	afraid
to	TO	to
talk	VV	talk
to	TO	to
us	PP	us
you	PP	you
notice	VVP	notice
a	DT	a
lot	NN	lot
of	IN	of
young	JJ	young
people	NNS	people
and	CC	and
the	DT	the
demonstrators	NNS	demonstrator
are	VBP	be
wearing	VVG	wear
masks	NNS	mask
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
how	WRB	how
many	JJ	many
are	VBP	be
students	NNS	student
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
student	NN	student
housing	NN	housing
around	IN	around
here	RB	here
and	CC	and
even	RB	even
people	NNS	people
who	WP	who
go	VVP	go
to	TO	to
school	NN	school
at	IN	at
Columbia	NP	Columbia
aren	NP	Aren
'	POS	'
t	NN	t
being	VBG	be
allowed	VVN	allow
back	RB	back
on	IN	on
the	DT	the
campus	NN	campus
right	RB	right
now	RB	now
because	IN	because
of	IN	of
