<video_id>6A08wriec-w</video_id>	JJ	<video_id>6A08wriec-w</video_id>
<video_title>Funeral	JJ	<video_title>Funeral
services	NNS	service
for	IN	for
Hamas	JJ	Hamas
political	JJ	political
leader	NN	leader
Ismail	NP	Ismail
Haniyeh	NP	Haniyeh
begins	VVZ	begin
in	IN	in
Tehran</video_title>	NP	Tehran</video_title>
<thumbnail_path>data/en_AJ\Funeral	JJ	<thumbnail_path>data/en_AJ\Funeral
services	NNS	service
for	IN	for
Hamas	JJ	Hamas
political	JJ	political
leader	NN	leader
Ismail	NP	Ismail
Haniyeh	NP	Haniyeh
begins	VVZ	begin
in	IN	in
Tehran.jpg</thumbnail_path>	NP	Tehran.jpg</thumbnail_path>
<publish_date>20240801</publish_date>	NN	<publish_date>20240801</publish_date>
<doc>	NN	<doc>
well	RB	well
the	DT	the
funeral	NN	funeral
for	IN	for
hamas's	NNS	hamas's
political	JJ	political
leader	NN	leader
isma	NN	isma
hania	NN	hania
has	VHZ	have
just	RB	just
begun	VVN	begin
in	IN	in
Iran's	NP	Iran's
Capital	NP	Capital
Teran	NP	Teran
the	DT	the
supreme	JJ	supreme
leader	NN	leader
Ayatollah	NP	Ayatollah
Ali	NP	Ali
H	NP	H
will	MD	will
lead	VV	lead
prayers	NNS	prayer
for	IN	for
the	DT	the
assassinated	VVN	assassinate
Hamas	NN	Hamas
leader	NN	leader
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Teran	NP	Teran
ania's	NNS	ania's
body	NN	body
would	MD	would
then	RB	then
be	VB	be
transferred	VVN	transfer
to	TO	to
katar's	NP	katar's
Capital	NP	Capital
Doha	NP	Doha
on	IN	on
Thursday	NP	Thursday
afternoon	NN	afternoon
ahead	RB	ahead
of	IN	of
his	PP$	his
burial	NN	burial
on	IN	on
Friday	NP	Friday
well	RB	well
Al	NP	Al
jaer	NP	jaer
correspondent	NN	correspondent
Rael	NP	Rael
SAR	NP	SAR
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
in	IN	in
the	DT	the
studio	NN	studio
Rael	NP	Rael
so	IN	so
the	DT	the
services	NNS	service
have	VHP	have
already	RB	already
started	VVN	start
for	IN	for
is	VBZ	be
hania	NN	hania
in	IN	in
the	DT	the
Iranian	NP	Iranian
Capital	NP	Capital
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
we	PP	we
can	MD	can
expect	VV	expect
today	NN	today
in	IN	in
tran	NN	tran
yeah	RB	yeah
the	DT	the
services	NNS	service
just	RB	just
for	IN	for
the	DT	the
prayer	NN	prayer
services	NNS	service
now	RB	now
are	VBP	be
taking	VVG	take
place	NN	place
in	IN	in
the	DT	the
University	NN	university
of	IN	of
tan	VV	tan
uh	UH	uh
which	WDT	which
is	VBZ	be
a	DT	a
symbolic	JJ	symbolic
place	NN	place
whenever	WRB	whenever
a	DT	a
high	JJ	high
level	NN	level
killing	NN	killing
or	CC	or
assassination	NN	assassination
happens	VVZ	happen
or	CC	or
any	DT	any
dignitary	NN	dignitary
that	WDT	that
passes	VVZ	pass
away	RB	away
in	IN	in
Iran	NP	Iran
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
the	DT	the
funeral	NN	funeral
the	DT	the
the	DT	the
first	JJ	first
uh	UH	uh
part	NN	part
of	IN	of
the	DT	the
funeral	NN	funeral
will	MD	will
be	VB	be
taken	VVN	take
in	IN	in
the	DT	the
University	NP	University
of	IN	of
tan	NN	tan
the	DT	the
most	RBS	most
recent	JJ	recent
one	CD	one
was	VBD	be
the	DT	the
the	DT	the
the	DT	the
the	DT	the
Iranian	JJ	Iranian
Le	NP	Le
president	NN	president
Ibrahim	NP	Ibrahim
REI	NP	Rei
after	IN	after
he	PP	he
died	VVD	die
in	IN	in
a	DT	a
helicopter	NN	helicopter
crash	NN	crash
in	IN	in
May	NP	May
and	CC	and
now	RB	now
uh	UH	uh
when	WRB	when
that	DT	that
happens	VVZ	happen
in	IN	in
the	DT	the
University	NP	University
of	IN	of
tan	NN	tan
usually	RB	usually
the	DT	the
Iranian	JJ	Iranian
supreme	JJ	supreme
leader	NN	leader
alian	NN	alian
lead	VV	lead
the	DT	the
prayer	NN	prayer
and	CC	and
before	IN	before
the	DT	the
prayer	NN	prayer
he	PP	he
will	MD	will
he's	NN	he's
expected	VVN	expect
to	TO	to
deliver	VV	deliver
quite	PDT	quite
a	DT	a
brief	JJ	brief
speech	NN	speech
as	IN	as
well	RB	well
that's	NNS	that's
going	VVG	go
to	TO	to
be	VB	be
quite	RB	quite
remarkable	JJ	remarkable
and	CC	and
we're	JJ	we're
going	VVG	go
to	TO	to
watch	VV	watch
and	CC	and
listen	VV	listen
what	WP	what
he	PP	he
says	VVZ	say
and	CC	and
later	RBR	later
uh	UH	uh
hania's	NP	hania's
Budd	NP	Budd
today	NN	today
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
taken	VVN	take
to	TO	to
the	DT	the
aadi	NN	aadi
square	NN	square
the	DT	the
freom	NN	freom
Freedom	NP	Freedom
Square	NP	Square
which	WDT	which
is	VBZ	be
another	DT	another
iconic	JJ	iconic
place	NN	place
in	IN	in
tan	NN	tan
usually	RB	usually
hosting	VVG	host
the	DT	the
mass	JJ	mass
Gatherings	NNS	gathering
and	CC	and
we	PP	we
expecting	VVG	expect
thousands	NNS	thousand
of	IN	of
people	NNS	people
to	TO	to
attend	VV	attend
that	DT	that
parade	NN	parade
so	IN	so
his	PP$	his
coffin	NN	coffin
will	MD	will
be	VB	be
uh	UH	uh
will	MD	will
be	VB	be
shown	VVN	show
to	TO	to
people	NNS	people
and	CC	and
there's	NNS	there's
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
long	JJ	long
parade	NN	parade
so	IN	so
people	NNS	people
are	VBP	be
going	VVG	go
to	TO	to
come	VV	come
and	CC	and
pay	VV	pay
their	PP$	their
respects	VVZ	respect
we	PP	we
we	PP	we
most	RBS	most
likely	RB	likely
are	VBP	be
going	VVG	go
to	TO	to
see	VV	see
here	RB	here
chantings	NNS	chantings
and	CC	and
also	RB	also
the	DT	the
calls	NNS	call
for	IN	for
a	DT	a
Revenge	NN	revenge
because	IN	because
many	JJ	many
of	IN	of
Iranians	NNS	Iranian
are	VBP	be
feeling	VVG	feel
that	IN/that	that
their	PP$	their
sovereignty	NN	sovereignty
their	PP$	their
dignity	NN	dignity
has	VHZ	have
been	VBN	be
violated	VVN	violate
Gravely	NP	Gravely
yeah	RB	yeah
and	CC	and
and	CC	and
we	PP	we
saw	VVD	see
yesterday	NN	yesterday
racial	JJ	racial
uh	UH	uh
government	NN	government
protesters	NNS	protester
come	VVP	come
out	RP	out
on	IN	on
the	DT	the
streets	NNS	street
uh	UH	uh
of	IN	of
Teran	NP	Teran
condemning	VVG	condemn
the	DT	the
attack	NN	attack
and	CC	and
the	DT	the
Assassin	NN	assassin
of	IN	of
is	VBZ	be
what's	NN	what's
the	DT	the
public	JJ	public
mood	NN	mood
inan	NNS	inan
since	IN	since
the	DT	the
attack	NN	attack
so	IN	so
it	PP	it
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
the	DT	the
public	JJ	public
mood	NN	mood
inan	NNS	inan
or	CC	or
across	IN	across
the	DT	the
whole	JJ	whole
country	NN	country
it	PP	it
is	VBZ	be
quite	RB	quite
divided	VVN	divide
it's	NNS	it's
a	DT	a
difficult	JJ	difficult
position	NN	position
for	IN	for
many	JJ	many
of	IN	of
Iranians	NNS	Iranian
on	IN	on
one	CD	one
hand	NN	hand
they	PP	they
have	VHP	have
seen	VVN	see
constant	JJ	constant
assassinations	NNS	assassination
or	CC	or
assassination	NN	assassination
attempts	NNS	attempt
many	JJ	many
of	IN	of
the	DT	the
the	DT	the
the	DT	the
Iranian	JJ	Iranian
important	JJ	important
figures	NNS	figure
have	VHP	have
been	VBN	be
killed	VVN	kill
assassinated	VVN	assassinate
particularly	RB	particularly
by	IN	by
Israel	NP	Israel
most	RBS	most
notably	RB	notably
their	PP$	their
nuclear	JJ	nuclear
scientists	NNS	scientist
uh	UH	uh
and	CC	and
one	CD	one
of	IN	of
them	PP	them
the	DT	the
biggest	JJS	big
brain	NN	brain
behind	IN	behind
the	DT	the
Iran	NP	Iran
nuclear	JJ	nuclear
program	NN	program
F	NN	F
so	IN	so
each	DT	each
time	NN	time
that	WDT	that
happens	VVZ	happen
you	PP	you
will	MD	will
see	VV	see
that	IN/that	that
Iranians	NNS	Iranian
are	VBP	be
asking	VVG	ask
their	PP$	their
government	NN	government
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
stop	VV	stop
such	JJ	such
attacks	NNS	attack
and	CC	and
they	PP	they
believe	VVP	believe
that	IN/that	that
the	DT	the
the	DT	the
the	DT	the
the	DT	the
government	NN	government
on	IN	on
IR	NP	IR
of	IN	of
Iran	NP	Iran
should	MD	should
respond	VV	respond
quite	RB	quite
strongly	RB	strongly
that	IN/that	that
Israel	NP	Israel
will	MD	will
not	RB	not
think	VV	think
to	TO	to
do	VV	do
that	IN/that	that
again	RB	again
however	RB	however
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
there	EX	there
are	VBP	be
grave	JJ	grave
concerns	NNS	concern
as	RB	as
well	RB	well
from	IN	from
the	DT	the
public	NN	public
they	PP	they
know	VVP	know
that	IN/that	that
in	IN	in
case	NN	case
of	IN	of
a	DT	a
a	DT	a
retaliation	NN	retaliation
uh	UH	uh
a	DT	a
massive	JJ	massive
retaliation	NN	retaliation
it	PP	it
could	MD	could
easily	RB	easily
lead	VV	lead
to	TO	to
a	DT	a
regional	JJ	regional
war	NN	war
and	CC	and
a	DT	a
regional	JJ	regional
war	NN	war
with	IN	with
Israel	NP	Israel
for	IN	for
many	JJ	many
Iranians	NNS	Iranian
means	VVZ	mean
a	DT	a
direct	JJ	direct
confrontation	NN	confrontation
with	IN	with
USA	NP	USA
a	DT	a
direct	JJ	direct
confrontation	NN	confrontation
with	IN	with
USA	NP	USA
means	VVZ	mean
Al	NP	Al
almost	RB	almost
like	IN	like
a	DT	a
detrimental	JJ	detrimental
case	NN	case
a	DT	a
deadly	JJ	deadly
case	NN	case
for	IN	for
majority	NN	majority
of	IN	of
Iranians	NNS	Iranian
so	IN	so
you	PP	you
will	MD	will
see	VV	see
that	IN/that	that
there	EX	there
are	VBP	be
secur	NN	secur
in	IN	in
between	IN	between
the	DT	the
dignity	NN	dignity
their	PP$	their
dignity	NN	dignity
keeping	VVG	keep
their	PP$	their
dignity	NN	dignity
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
keeping	VVG	keep
themselves	PP	themselves
safe	JJ	safe
so	IN	so
they're	NN	they're
worried	VVN	worry
as	IN	as
well	RB	well
absolutely	RB	absolutely
and	CC	and
just	RB	just
a	DT	a
final	JJ	final
thought	NN	thought
to	TO	to
your	PP$	your
raceel	NN	raceel
you've	NN	you've
been	VBN	be
telling	VVG	tell
us	PP	us
this	DT	this
morning	NN	morning
that	IN/that	that
the	DT	the
body	NN	body
of	IN	of
