<video_id>2BiEqO5sat0</video_id>	NN	<video_id>2BiEqO5sat0</video_id>
<video_title>Gantz’s	NNS	<video_title>Gantz’s
call	VVP	call
for	IN	for
‘restraint’	NN	‘restraint’
is	VBZ	be
a	DT	a
warning	NN	warning
to	TO	to
Israeli	JJ	Israeli
far	JJ	far
right</video_title>	NN	right</video_title>
<thumbnail_path>data/en_AJ\Gantz’s	NNS	<thumbnail_path>data/en_AJ\Gantz’s
call	VVP	call
for	IN	for
‘restraint’	NN	‘restraint’
is	VBZ	be
a	DT	a
warning	NN	warning
to	TO	to
Israeli	JJ	Israeli
far	JJ	far
right.jpg</thumbnail_path>	NN	right.jpg</thumbnail_path>
<publish_date>20240504</publish_date>	NN	<publish_date>20240504</publish_date>
<doc>	NN	<doc>
Jam	NN	jam
jum	NN	jum
is	VBZ	be
there	EX	there
uh	UH	uh
so	RB	so
protests	VVZ	protest
you're	NN	you're
right	NN	right
in	IN	in
the	DT	the
thick	JJ	thick
of	IN	of
the	DT	the
protests	VVZ	protest
uh	UH	uh
Muhammad	NP	Muhammad
these	DT	these
are	VBP	be
the	DT	the
weekly	JJ	weekly
protests	NNS	protest
that	WDT	that
we've	VVP	we've
seen	VVN	see
they're	NN	they're
both	CC	both
anti-government	JJ	anti-government
protests	NNS	protest
and	CC	and
they're	NN	they're
also	RB	also
of	IN	of
course	NN	course
protests	NNS	protest
in	IN	in
support	NN	support
of	IN	of
um	NNS	um
securing	VVG	secure
the	DT	the
release	NN	release
of	IN	of
the	DT	the
captives	NNS	captive
that	WDT	that
means	VVZ	mean
that	IN/that	that
the	DT	the
crowds	NNS	crowd
behind	IN	behind
you	PP	you
they	PP	they
very	RB	very
much	RB	much
want	VVP	want
to	TO	to
see	VV	see
a	DT	a
ceasefire	NN	ceasefire
that's	NNS	that's
right	JJ	right
s	NN	S
thousands	NNS	thousand
of	IN	of
protesters	NNS	protester
have	VHP	have
converged	VVN	converge
here	RB	here
in	IN	in
K	NP	K
Square	NP	Square
which	WDT	which
is	VBZ	be
the	DT	the
epicenter	NN	epicenter
of	IN	of
the	DT	the
protest	NN	protest
movement	NN	movement
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
this	DT	this
happens	VVZ	happen
every	DT	every
week	NN	week
Saturday	NP	Saturday
night	NN	night
happening	VVG	happen
again	RB	again
tonight	RB	tonight
