[	SYM	[
Music	NP	Music
]	SYM	]
Oh	UH	oh
,	,	,
I	PP	I
wish	VVP	wish
so	RB	so
much	JJ	much
that	IN/that	that
I	PP	I
could	MD	could
fly	VV	fly
back	RB	back
to	TO	to
the	DT	the
city	NN	city
I	PP	I
used	VVD	use
to	TO	to
live	VV	live
in	IN	in
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Mohamed	NP	Mohamed
Ahmed	NP	Ahmed
Shamaa	NP	Shamaa
,	,	,
a	DT	a
refugee	NN	refugee
from	IN	from
the	DT	the
north	NN	north
.	SENT	.
He	PP	he
is	VBZ	be
12	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
I	PP	I
was	VBD	be
displaced	VVN	displace
from	IN	from
the	DT	the
Litwan	NP	Litwan
roundabout	NN	roundabout
from	IN	from
the	DT	the
north	NN	north
.	SENT	.
We	PP	we
went	VVD	go
to	TO	to
schools	NNS	school
on	IN	on
the	DT	the
beach	NN	beach
.	SENT	.
All	RB	all
I	PP	I
found	VVD	find
was	VBD	be
the	DT	the
tank	NN	tank
arriving	VVG	arrive
at	IN	at
the	DT	the
school	NN	school
gate	NN	gate
and	CC	and
the	DT	the
body	NN	body
parts	NNS	part
thrown	VVN	throw
away	RB	away
.	SENT	.
At	IN	at
the	DT	the
door	NN	door
,	,	,
we	PP	we
slept	VVD	sleep
one	CD	one
day	NN	day
in	IN	in
a	DT	a
school	NN	school
called	VVD	call
the	DT	the
Gaza	NP	Gaza
School	NP	School
and	CC	and
College	NP	College
.	SENT	.
We	PP	we
found	VVD	find
it	PP	it
there	RB	there
.	SENT	.
We	PP	we
sat	VVD	sit
there	RB	there
the	DT	the
day	NN	day
we	PP	we
tied	VVD	tie
up	RP	up
our	PP$	our
things	NNS	thing
and	CC	and
went	VVD	go
to	TO	to
the	DT	the
south	NN	south
.	SENT	.
The	DT	the
first	JJ	first
time	NN	time
we	PP	we
came	VVD	come
to	TO	to
the	DT	the
area	NN	area
,	,	,
we	PP	we
sat	VVD	sit
in	IN	in
a	DT	a
tent	NN	tent
and	CC	and
gathered	VVD	gather
to	TO	to
get	VV	get
to	TO	to
them	PP	them
from	IN	from
the	DT	the
street	NN	street
,	,	,
from	IN	from
the	DT	the
mountains	NNS	mountain
that	WDT	that
had	VHD	have
fallen	VVN	fall
,	,	,
and	CC	and
we	PP	we
bought	VVD	buy
barbecue	NN	barbecue
sticks	NNS	stick
.	SENT	.
We	PP	we
bought	VVD	buy
reels	NNS	reel
of	IN	of
two	CD	two
lines	NNS	line
.	SENT	.
The	DT	the
first	JJ	first
time	NN	time
I	PP	I
flew	VVD	fly
in	IN	in
the	DT	the
area	NN	area
,	,	,
it	PP	it
happened	VVD	happen
.	SENT	.
Everyone	NN	everyone
comes	VVZ	come
to	TO	to
fly	VV	fly
and	CC	and
settle	VV	settle
with	IN	with
him	PP	him
.	SENT	.
She	PP	she
flew	VVD	fly
.	SENT	.
I	PP	I
was	VBD	be
happy	JJ	happy
when	WRB	when
she	PP	she
came	VVD	come
when	WRB	when
he	PP	he
flew	VVD	fly
.	SENT	.
Not	RB	not
when	WRB	when
I	PP	I
do	VVP	do
it	PP	it
.	SENT	.
Why	WRB	why
not	RB	not
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
high	NN	high
.	SENT	.
We	PP	we
play	VVP	play
on	IN	on
it	PP	it
and	CC	and
the	DT	the
phones	NNS	phone
have	VHP	have
to	TO	to
be	VB	be
