<video_id>pIB3PWbhTsA</video_id>	JJ	<video_id>pIB3PWbhTsA</video_id>
<video_title>Gaza	NN	<video_title>Gaza
hospitals	NNS	hospital
not	RB	not
functioning	VVG	function
due	JJ	due
to	TO	to
damaged	JJ	damaged
equipment</video_title>	JJ	equipment</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
hospitals	NNS	hospital
not	RB	not
functioning	VVG	function
due	JJ	due
to	TO	to
damaged	JJ	damaged
equipment.jpg</thumbnail_path>	JJ	equipment.jpg</thumbnail_path>
<publish_date>20240627</publish_date>	NN	<publish_date>20240627</publish_date>
<doc>	NN	<doc>
due	JJ	due
to	TO	to
the	DT	the
ongoing	JJ	ongoing
War	NN	war
for	IN	for
the	DT	the
past	JJ	past
8	CD	@card@
months	NNS	month
the	DT	the
status	NN	status
of	IN	of
medical	JJ	medical
equipment	NN	equipment
and	CC	and
machines	NNS	machine
in	IN	in
Gaza	NP	Gaza
hospitals	NNS	hospital
has	VHZ	have
been	VBN	be
quite	RB	quite
dire	JJ	dire
and	CC	and
catastrophic	JJ	catastrophic
and	CC	and
here	RB	here
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
key	JJ	key
points	NNS	point
of	IN	of
the	DT	the
situation	NN	situation
that	IN/that	that
shortage	NN	shortage
of	IN	of
medical	JJ	medical
supplies	NNS	supply
the	DT	the
lack	NN	lack
of	IN	of
advanc	NN	advanc
of	IN	of
medical	JJ	medical
equipment	NN	equipment
the	DT	the
electricity	NN	electricity
and	CC	and
shortage	NN	shortage
of	IN	of
a	DT	a
fuel	NN	fuel
is	VBZ	be
among	IN	among
the	DT	the
many	JJ	many
problems	NNS	problem
that	WDT	that
are	VBP	be
causing	VVG	cause
this	DT	this
Health	NP	Health
Care	NP	Care
System	NP	System
across	IN	across
the	DT	the
strip	NN	strip
to	TO	to
be	VB	be
overwhelmed	VVN	overwhelm
and	CC	and
close	VV	close
to	TO	to
be	VB	be
very	RB	very
crippled	VVN	cripple
everywhere	RB	everywhere
go	VV	go
this	DT	this
particular	JJ	particular
Hospital	NN	hospital
many	JJ	many
of	IN	of
the	DT	the
machines	NNS	machine
and	CC	and
Equipment	NP	Equipment
are	VBP	be
broken	VVN	break
are	VBP	be
not	RB	not
operational	JJ	operational
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
we're	NN	we're
seeing	VVG	see
right	RB	right
now	RB	now
here	RB	here
in	IN	in
the	DT	the
hospital	NN	hospital
a	DT	a
medical	JJ	medical
engineer	NN	engineer
from	IN	from
one	CD	one
of	IN	of
the	DT	the
medical	JJ	medical
missions	NNS	mission
volunteering	VVG	volunteer
at	IN	at
alaka	NN	alaka
hospital	NN	hospital
working	VVG	work
on	IN	on
fixing	VVG	fix
some	DT	some
of	IN	of
these	DT	these
machines	NNS	machine
so	IN	so
they're	NN	they're
back	RB	back
on	IN	on
track	NN	track
helping	VVG	help
the	DT	the
medical	JJ	medical
staff	NN	staff
and	CC	and
the	DT	the
hospital	NN	hospital
to	TO	to
Opera	NP	Opera
and	CC	and
sustain	VV	sustain
khed	JJ	khed
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
what's	NNS	what's
going	VVG	go
on	IN	on
