<video_id>rSGy7ftOooI</video_id>	JJ	<video_id>rSGy7ftOooI</video_id>
<video_title>Gaza	NN	<video_title>Gaza
mill	NN	mill
shuts	VVZ	shut
down	RB	down
due	JJ	due
to	TO	to
scarcity	NN	scarcity
of	IN	of
grains	NNS	grain
and	CC	and
fuel,	JJ	fuel,
leaving	VVG	leave
citizens	NNS	citizen
hungry	JJ	hungry
and	CC	and
hopeless</video_title>	JJ	hopeless</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
mill	NN	mill
shuts	VVZ	shut
down	RB	down
due	JJ	due
to	TO	to
scarcity	NN	scarcity
of	IN	of
grains	NNS	grain
and	CC	and
fuel,	JJ	fuel,
leaving	VVG	leave
citizens	NNS	citizen
hungry	JJ	hungry
and	CC	and
hopeless.jpg</thumbnail_path>	JJ	hopeless.jpg</thumbnail_path>
<publish_date>20240218</publish_date>	JJ	<publish_date>20240218</publish_date>
<doc>	NN	<doc>
we	PP	we
are	VBP	be
now	RB	now
inside	RB	inside
one	CD	one
of	IN	of
the	DT	the
central	JJ	central
Mills	NP	Mills
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Citizen	NP	Citizen
use	VVP	use
this	DT	this
SM	NN	Sm
to	TO	to
grind	VV	grind
futter	NN	futter
barley	NN	barley
and	CC	and
corn	NN	corn
the	DT	the
mill	NN	mill
has	VHZ	have
stopped	VVN	stop
working	VVG	work
because	IN	because
all	DT	all
types	NNS	type
of	IN	of
grain	NN	grain
have	VHP	have
run	VVN	run
out	RP	out
of	IN	of
markets	NNS	market
in	IN	in
North	NP	North
Gaza	NP	Gaza
and	CC	and
the	DT	the
mill	NN	mill
has	VHZ	have
run	VVN	run
out	RP	out
of	IN	of
fuel	NN	fuel
as	IN	as
well	RB	well
which	WDT	which
has	VHZ	have
added	VVN	add
to	TO	to
the	DT	the
suffering	NN	suffering
of	IN	of
these	DT	these
people	NNS	people
there	EX	there
is	VBZ	be
no	DT	no
wheat	NN	wheat
the	DT	the
price	NN	price
of	IN	of
one	CD	one
bag	NN	bag
of	IN	of
wheat	NN	wheat
today	NN	today
has	VHZ	have
reached	VVN	reach
more	JJR	more
than	IN	than
3,000	CD	@card@
shekels	NNS	shekel
or	CC	or
more	JJR	more
than	IN	than
$1,000	NN	$1,000
a	DT	a
bag	NN	bag
of	IN	of
barley	NN	barley
is	VBZ	be
becoming	VVG	become
very	RB	very
difficult	JJ	difficult
to	TO	to
find	VV	find
a	DT	a
bag	NN	bag
of	IN	of
corn	NN	corn
cost	NN	cost
more	JJR	more
than	IN	than
700	CD	@card@
shekels	NNS	shekel
the	DT	the
diesel	NN	diesel
also	RB	also
does	VVZ	do
not	RB	not
exist	VV	exist
at	IN	at
all	DT	all
and	CC	and
its	PP$	its
price	NN	price
is	VBZ	be
more	JJR	more
than	IN	than
600	CD	@card@
shekels	NNS	shekel
if	IN	if
it	PP	it
exists	VVZ	exist
this	DT	this
means	VVZ	mean
that	IN/that	that
if	IN	if
you	PP	you
find	VVP	find
the	DT	the
grains	NNS	grain
you	PP	you
will	MD	will
not	RB	not
find	VV	find
diesel	NN	diesel
I	PP	I
swear	VVP	swear
to	TO	to
God	NP	God
that	IN/that	that
I	PP	I
have	VHP	have
searched	VVN	search
everywhere	RB	everywhere
in	IN	in
the	DT	the
markets	NNS	market
and	CC	and
I	PP	I
didn't	VVD	didn't
find	VV	find
anything	NN	anything
to	TO	to
grind	VV	grind
we	PP	we
adults	NNS	adult
can	MD	can
be	VB	be
patient	JJ	patient
and	CC	and
one	CD	one
or	CC	or
two	CD	two
dates	NNS	date
will	MD	will
be	VB	be
enough	JJ	enough
for	IN	for
us	PP	us
but	CC	but
what	WP	what
about	IN	about
children	NNS	child
they're	NN	they're
hungry	JJ	hungry
and	CC	and
we	PP	we
have	VHP	have
nothing	NN	nothing
to	TO	to
offer	VV	offer
them	PP	them
money	NN	money
has	VHZ	have
no	DT	no
value	NN	value
today	NN	today
it	PP	it
can't	VVD	can't
help	VV	help
you	PP	you
find	VV	find
grain	NN	grain
as	IN	as
of	IN	of
6:00	CD	@card@
in	IN	in
the	DT	the
morning	NN	morning
I've	NN	I've
been	VBN	be
searching	VVG	search
for	IN	for
food	NN	food
for	IN	for
the	DT	the
children	NNS	child
without	IN	without
success	NN	success
we	PP	we
only	RB	only
hear	VVP	hear
about	RB	about
humanitarian	JJ	humanitarian
aid	NN	aid
but	CC	but
we	PP	we
haven't	VVD	haven't
received	VVN	receive
anything	NN	anything
the	DT	the
war	NN	war
has	VHZ	have
not	RB	not
killed	VVN	kill
us	PP	us
yet	RB	yet
but	CC	but
it	PP	it
seems	VVZ	seem
that	IN/that	that
we	PP	we
will	MD	will
die	VV	die
of	IN	of
hunger	NN	hunger
we	PP	we
can't	VVD	can't
find	VV	find
food	NN	food
this	DT	this
is	VBZ	be
my	PP$	my
injured	JJ	injured
brother	NN	brother
there	EX	there
is	VBZ	be
no	DT	no
Transportation	NN	transportation
available	JJ	available
to	TO	to
take	VV	take
him	PP	him
to	TO	to
where	WRB	where
he	PP	he
needs	VVZ	need
to	TO	to
be	VB	be
treated	VVN	treat
there	EX	there
are	VBP	be
no	DT	no
roads	NNS	road
there	EX	there
is	VBZ	be
no	DT	no
fuel	NN	fuel
there	EX	there
is	VBZ	be
no	DT	no
flow	NN	flow
1	CD	@card@
kilo	NN	kilo
of	IN	of
flour	NN	flour
reached	VVD	reach
75	CD	@card@
shekels	NNS	shekel
1	CD	@card@
kilo	NN	kilo
of	IN	of
rice	NN	rice
used	VVN	use
to	TO	to
cost	VV	cost
two	CD	two
shekels	NNS	shekel
but	CC	but
today	NN	today
it	PP	it
costs	VVZ	cost
35	CD	@card@
we	PP	we
don't	VVD	don't
have	VH	have
money	NN	money
so	IN	so
what	WP	what
can	MD	can
we	PP	we
do	VVP	do
we	PP	we
need	VVP	need
to	TO	to
feed	VV	feed
our	PP$	our
children	NNS	child
this	DT	this
is	VBZ	be
the	DT	the
situation	NN	situation
here	RB	here
in	IN	in
North	NP	North
Gaza	NP	Gaza
The	DT	the
Siege	NN	siege
is	VBZ	be
tightening	VVG	tighten
on	IN	on
the	DT	the
people	NNS	people
due	JJ	due
to	TO	to
Israel's	NP	Israel's
refusal	NN	refusal
to	TO	to
