<video_id>m5cv7nXMFSs</video_id>	JJ	<video_id>m5cv7nXMFSs</video_id>
<video_title>Gaza	NN	<video_title>Gaza
refugee	NN	refugee
camp	NN	camp
hit	VVN	hit
for	IN	for
second	JJ	second
time	NN	time
day	NN	day
after	IN	after
Israeli	JJ	Israeli
attack	NN	attack
killed	VVD	kill
dozens</video_title>	JJ	dozens</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
refugee	NN	refugee
camp	NN	camp
hit	VVN	hit
for	IN	for
second	JJ	second
time	NN	time
day	NN	day
after	IN	after
Israeli	JJ	Israeli
attack	NN	attack
killed	VVD	kill
dozens.jpg</thumbnail_path>	JJ	dozens.jpg</thumbnail_path>
<publish_date>20231101</publish_date>	JJ	<publish_date>20231101</publish_date>
<doc>	NN	<doc>
all	DT	all
right	JJ	right
I'm	NN	I'm
we	PP	we
must	MD	must
now	RB	now
go	VV	go
to	TO	to
jabalia	NN	jabalia
some	DT	some
breaking	JJ	breaking
news	NN	news
where	WRB	where
there's	RB	there's
been	VBN	be
another	DT	another
strike	NN	strike
another	DT	another
bombing	NN	bombing
there	RB	there
we're	NN	we're
looking	VVG	look
at	IN	at
the	DT	the
latest	JJS	late
pictures	NNS	picture
this	DT	this
is	VBZ	be
a	DT	a
refugee	NN	refugee
camp	NN	camp
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
in	IN	in
Gaza	NP	Gaza
that	WDT	that
was	VBD	be
already	RB	already
hit	VVN	hit
yesterday	NN	yesterday
that	WDT	that
led	VVD	lead
to	TO	to
a	DT	a
massive	JJ	massive
loss	NN	loss
of	IN	of
life	NN	life
and	CC	and
now	RB	now
we're	NN	we're
seeing	VVG	see
the	DT	the
latest	JJS	late
pictures	NNS	picture
coming	VVG	come
out	IN	out
showing	VVG	show
the	DT	the
aftermath	NN	aftermath
of	IN	of
what	WP	what
we	PP	we
understand	VVP	understand
to	TO	to
be	VB	be
another	DT	another
strike	NN	strike
on	IN	on
this	DT	this
refugee	NN	refugee
camp	NN	camp
after	IN	after
as	IN	as
I	PP	I
said	VVD	say
a	DT	a
massive	JJ	massive
loss	NN	loss
of	IN	of
life	NN	life
that	WDT	that
was	VBD	be
inflicted	VVN	inflict
well	RB	well
within	IN	within
24	CD	@card@
hours	NNS	hour
all	DT	all
right	NN	right
let	VVD	let
me	PP	me
see	VVP	see
if	IN	if
I	PP	I
can	MD	can
uh	UH	uh
bring	VV	bring
in	IN	in
our	PP$	our
guest	NN	guest
back	RB	back
into	IN	into
the	DT	the
discussion	NN	discussion
sorry	RB	sorry
I	PP	I
had	VHD	have
to	TO	to
bail	VV	bail
out	RP	out
of	IN	of
our	PP$	our
interview	VV	interview
uh	UH	uh
because	IN	because
we've	NN	we've
got	VVD	get
some	DT	some
breaking	VVG	break
news	NN	news
here	RB	here
about	IN	about
another	DT	another
strike	NN	strike
on	IN	on
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
and	CC	and
as	IN	as
you're	NN	you're
probably	RB	probably
aware	JJ	aware
this	DT	this
is	VBZ	be
the	DT	the
second	JJ	second
strike	NN	strike
in	IN	in
24	CD	@card@
hours	NNS	hour
we	PP	we
had	VHD	have
reports	NNS	report
of	IN	of
a	DT	a
massive	JJ	massive
loss	NN	loss
of	IN	of
Palestinian	JJ	Palestinian
civilian	JJ	civilian
life	NN	life
as	RB	as
well	RB	well
as	IN	as
according	VVG	accord
to	TO	to
Hamas	VV	Hamas
the	DT	the
loss	NN	loss
of	IN	of
some	DT	some
of	IN	of
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
their	PP$	their
lives	NNS	life
in	IN	in
this	DT	this
bombing	NN	bombing
looking	VVG	look
at	IN	at
situations	NNS	situation
like	IN	like
this	DT	this
how	NN	how
is	VBZ	be
this	DT	this
going	VVG	go
to	TO	to
impact	VV	impact
the	DT	the
claim	NN	claim
the	DT	the
the	DT	the
legal	JJ	legal
basis	NN	basis
of	IN	of
a	DT	a
claim	NN	claim
that	IN/that	that
these	DT	these
operations	NNS	operation
are	VBP	be
simply	RB	simply
in	IN	in
self-defense	NN	self-defense
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
harder	JJR	hard
to	TO	to
make	VV	make
that	DT	that
case	NN	case
it	PP	it
will	MD	will
be	VB	be
harder	JJR	hard
but	CC	but
Israel	NP	Israel
can	MD	can
make	VV	make
it	PP	it
and	CC	and
it	PP	it
will	MD	will
depend	VV	depend
on	IN	on
the	DT	the
circumstances	NNS	circumstance
of	IN	of
the	DT	the
particular	JJ	particular
strike	NN	strike
I	PP	I
don't	VVD	don't
think	VV	think
that	IN/that	that
a	DT	a
court	NN	court
is	VBZ	be
likely	JJ	likely
to	TO	to
hold	VV	hold
it	PP	it
proportionate	VV	proportionate
uh	UH	uh
if	IN	if
one	CD	one
uh	UH	uh
alleged	JJ	alleged
terrorist	JJ	terrorist
leader	NN	leader
is	VBZ	be
killed	VVN	kill
uh	UH	uh
and	CC	and
50	CD	@card@
innocent	JJ	innocent
people	NNS	people
are	VBP	be
killed	VVN	kill
I	PP	I
don't	NN	don't
think	VVP	think
a	DT	a
philosopher	NN	philosopher
or	CC	or
a	DT	a
lawyer	NN	lawyer
would	MD	would
say	VV	say
that	IN/that	that
that	DT	that
was	VBD	be
proportionate	JJ	proportionate
but	CC	but
you	PP	you
would	MD	would
have	VH	have
to	TO	to
look	VV	look
at	IN	at
all	PDT	all
the	DT	the
evidence	NN	evidence
and	CC	and
no	DT	no
doubt	NN	doubt
Israel	NP	Israel
would	MD	would
say	VV	say
oh	UH	oh
he	PP	he
could	MD	could
have	VH	have
gone	VVN	go
on	RP	on
and	CC	and
killed	VVD	kill
hundreds	NNS	hundred
more	RBR	more
the	DT	the
court	NN	court
would	MD	would
also	RB	also
look	VV	look
at	IN	at
whether	IN	whether
it	PP	it
had	VHD	have
the	DT	the
alternative	JJ	alternative
it's	NN	it's
entitled	VVN	entitle
I'm	NP	I'm
terribly	RB	terribly
sorry	RB	sorry
again	RB	again
I	PP	I
I	PP	I
have	VHP	have
to	TO	to
cor	NN	cor
up	RP	up
to	TO	to
my	PP$	my
my	PP$	my
sincerest	JJS	sincere
apologies	NNS	apology
but	CC	but
we've	NN	we've
got	VVD	get
to	TO	to
go	VV	go
back	RB	back
to	TO	to
this	DT	this
breaking	VVG	break
news	NN	news
situation	NN	situation
now	RB	now
we're	NN	we're
getting	VVG	get
more	JJR	more
details	NNS	detail
coming	VVG	come
in	IN	in
and	CC	and
I	PP	I
believe	VVP	believe
we	PP	we
can	MD	can
go	VV	go
to	TO	to
alzer's	JJ	alzer's
correspondent	NN	correspondent
he's	NNS	he's
of	IN	of
course	NN	course
a	DT	a
correspondent	NN	correspondent
of	IN	of
Al	NP	Al
jaaz	NP	jaaz
Arabic	NP	Arabic
where	WRB	where
we	PP	we
can	MD	can
listen	VV	listen
in	IN	in
we've	NN	we've
got	VVD	get
translation	NN	translation
condensed	VVD	condense
together	RB	together
in	IN	in
a	DT	a
very	RB	very
small	JJ	small
area	NN	area
and	CC	and
above	IN	above
all	PDT	all
the	DT	the
concrete	NN	concrete
is	VBZ	be
not	RB	not
that	IN/that	that
strong	RB	strong
some	DT	some
of	IN	of
these	DT	these
buildings	NNS	building
are	VBP	be
made	VVN	make
up	RP	up
of	IN	of
many	JJ	many
stories	NNS	story
once	RB	once
shelled	VVD	shell
by	IN	by
the	DT	the
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
not	RB	not
only	RB	only
a	DT	a
single	JJ	single
building	NN	building
but	CC	but
the	DT	the
entire	JJ	entire
quarter	NN	quarter
is	VBZ	be
reduced	VVN	reduce
to	TO	to
debris	NN	debris
as	IN	as
you	PP	you
can	MD	can
see	VV	see
residents	NNS	resident
are	VBP	be
running	VVG	run
for	IN	for
their	PP$	their
lives	NNS	life
others	NNS	other
are	VBP	be
using	VVG	use
bare	JJ	bare
hands	NNS	hand
in	IN	in
an	DT	an
attempt	NN	attempt
to	TO	to
rescue	VV	rescue
their	PP$	their
relatives	NNS	relative
and	CC	and
families	NNS	family
who	WP	who
are	VBP	be
still	RB	still
trapped	VVN	trap
under	IN	under
the	DT	the
rubble	NN	rubble
as	IN	as
you	PP	you
can	MD	can
see	VV	see
the	DT	the
streets	NNS	street
are	VBP	be
narrow	JJ	narrow
and	CC	and
it	PP	it
is	VBZ	be
very	RB	very
difficult	JJ	difficult
for	IN	for
ambulance	NN	ambulance
to	TO	to
access	NN	access
and	CC	and
many	JJ	many
of	IN	of
the	DT	the
residents	NNS	resident
also	RB	also
prefer	VVP	prefer
to	TO	to
stay	VV	stay
home	NN	home
and	CC	and
refused	VVD	refuse
the	DT	the
forceable	JJ	forceable
transfer	NN	transfer
by	IN	by
the	DT	the
Israelis	NPS	Israelis
entire	JJ	entire
buildings	NNS	building
are	VBP	be
not	RB	not
fit	VVN	fit
for	IN	for
housing	NN	housing
let	VVD	let
alone	RB	alone
that	IN/that	that
many	JJ	many
of	IN	of
those	DT	those
those	DT	those
who	WP	who
had	VHD	have
lost	VVN	lose
their	PP$	their
homes	NNS	home
in	IN	in
the	DT	the
past	JJ	past
air	NN	air
strikes	NNS	strike
have	VHP	have
taken	VVN	take
shelter	NN	shelter
with	IN	with
their	PP$	their
families	NNS	family
or	CC	or
neighbors	NNS	neighbor
as	IN	as
a	DT	a
result	NN	result
if	IN	if
another	DT	another
building	NN	building
is	VBZ	be
targeted	VVN	target
the	DT	the
number	NN	number
of	IN	of
victims	NNS	victim
is	VBZ	be
likely	JJ	likely
to	TO	to
double	VV	double
the	DT	the
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
have	VHP	have
stricken	VVN	strike
minutes	NNS	minute
ago	RB	ago
and	CC	and
are	VBP	be
expected	VVN	expect
to	TO	to
continue	VV	continue
in	IN	in
the	DT	the
coming	VVG	come
is	VBZ	be
uh	UH	uh
has	VHZ	have
targeted	VVN	target
this	DT	this
area	NN	area
with	IN	with
a	DT	a
barrage	NN	barrage
of	IN	of
missiles	NNS	missile
wave	NN	wave
after	IN	after
another	DT	another
as	RB	as
stated	VVN	state
earlier	RBR	earlier
the	DT	the
war	NN	war
planes	NNS	plane
are	VBP	be
carrying	VVG	carry
out	RP	out
intense	JJ	intense
wave	NN	wave
of	IN	of
shelling	VVG	shell
using	VVG	use
multiple	JJ	multiple
missiles	NNS	missile
not	RB	not
a	DT	a
single	JJ	single
or	CC	or
one	CD	one
or	CC	or
two	CD	two
and	CC	and
it	PP	it
seems	VVZ	seem
that	IN/that	that
these	DT	these
missiles	NNS	missile
are	VBP	be
of	IN	of
different	JJ	different
sizes	NNS	size
and	CC	and
weights	NNS	weight
they	PP	they
are	VBP	be
heavy	JJ	heavy
missiles	NNS	missile
Beyond	IN	beyond
one	CD	one
or	CC	or
two	CD	two
tons	NNS	ton
each	DT	each
these	DT	these
types	NNS	type
of	IN	of
missiles	NNS	missile
cause	VVP	cause
deep	JJ	deep
craters	NNS	crater
and	CC	and
they	PP	they
massive	JJ	massive
large	JJ	large
scale	NN	scale
destruction	NN	destruction
as	IN	as
you	PP	you
can	MD	can
see	VV	see
entire	JJ	entire
buildings	NNS	building
are	VBP	be
leveled	VVN	level
to	TO	to
the	DT	the
ground	NN	ground
and	CC	and
deep	JJ	deep
craters	NNS	crater
are	VBP	be
coed	JJ	coed
in	IN	in
the	DT	the
ground	NN	ground
people	NNS	people
are	VBP	be
using	VVG	use
their	PP$	their
bare	JJ	bare
hands	NNS	hand
to	TO	to
rescue	VV	rescue
their	PP$	their
relatives	NNS	relative
and	CC	and
families	NNS	family
who	WP	who
are	VBP	be
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
and	CC	and
above	IN	above
all	PDT	all
no	DT	no
one	CD	one
could	MD	could
ever	RB	ever
imagine	VV	imagine
that	IN/that	that
this	DT	this
deep	JJ	deep
crater	NN	crater
was	VBD	be
once	RB	once
a	DT	a
densely	RB	densely
populated	VVN	populate
Residential	JJ	residential
Building	NN	building
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
are	VBP	be
using	VVG	use
these	DT	these
types	NNS	type
of	IN	of
lethal	JJ	lethal
weapons	NNS	weapon
these	DT	these
types	NNS	type
of	IN	of
heavy	JJ	heavy
missiles	NNS	missile
even	RB	even
targeting	VVG	target
small	JJ	small
buildings	NNS	building
residential	JJ	residential
buildings	NNS	building
and	CC	and
that's	NNS	that's
why	WRB	why
the	DT	the
aftermath	NN	aftermath
is	VBZ	be
huge	JJ	huge
and	CC	and
the	DT	the
number	NN	number
of	IN	of
fatalities	NNS	fatality
and	CC	and
victims	NNS	victim
is	VBZ	be
extremely	RB	extremely
large	JJ	large
even	RB	even
multi	NN	multi
sto	NN	sto
strongly	RB	strongly
built	VVN	build
buildings	NNS	building
are	VBP	be
reduced	VVN	reduce
to	TO	to
ruins	NNS	ruin
a	DT	a
pile	NN	pile
of	IN	of
