<video_id>_7obt0vDi30</video_id>	JJ	<video_id>_7obt0vDi30</video_id>
<video_title>Gaza	NN	<video_title>Gaza
rescue	NN	rescue
efforts	NNS	effort
may	MD	may
stop	VV	stop
due	JJ	due
to	TO	to
lack	NN	lack
of	IN	of
fuel,	NP	fuel,
heavy	JJ	heavy
equipment</video_title>	NN	equipment</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
rescue	NN	rescue
efforts	NNS	effort
may	MD	may
stop	VV	stop
due	JJ	due
to	TO	to
lack	NN	lack
of	IN	of
fuel,	NP	fuel,
heavy	JJ	heavy
equipment.jpg</thumbnail_path>	NN	equipment.jpg</thumbnail_path>
<publish_date>20240514</publish_date>	NN	<publish_date>20240514</publish_date>
<doc>	NN	<doc>
and	CC	and
we'll	NN	we'll
take	VVP	take
you	PP	you
straight	JJ	straight
back	RB	back
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
where	WRB	where
the	DT	the
Civil	NP	Civil
Defense	NP	Defense
Agency	NP	Agency
is	VBZ	be
giving	VVG	give
a	DT	a
an	DT	an
update	NN	update
on	IN	on
recent	JJ	recent
events	NNS	event
let's	NNS	let's
listen	VVP	listen
in	IN	in
in	IN	in
a	DT	a
row	NN	row
today	NN	today
we	PP	we
are	VBP	be
entering	VVG	enter
into	IN	into
the	DT	the
eighth	JJ	eighth
month	NN	month
of	IN	of
this	DT	this
genocide	NN	genocide
War	NN	war
the	DT	the
civil	JJ	civil
defense	NN	defense
team's	NN	team's
efforts	NNS	effort
humanitarian	JJ	humanitarian
efforts	NNS	effort
all	RB	all
across	IN	across
the	DT	the
provinces	NNS	province
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
have	VHP	have
not	RB	not
been	VBN	be
halted	VVN	halt
throughout	IN	throughout
this	DT	this
genocide	NN	genocide
War	NN	war
we	PP	we
have	VHP	have
performed	VVN	perform
37	CD	@card@
,500	CD	@card@
missions	NNS	mission
which	WDT	which
is	VBZ	be
equivalent	JJ	equivalent
to	TO	to
24	CD	@card@
years	NNS	year
of	IN	of
hard	JJ	hard
work	NN	work
before	IN	before
the	DT	the
war	NN	war
as	IN	as
a	DT	a
result	NN	result
our	PP$	our
heavy	JJ	heavy
equipment	NN	equipment
and	CC	and
Machinery	NP	Machinery
have	VHP	have
worn	VVN	wear
out	RP	out
and	CC	and
although	IN	although
we	PP	we
are	VBP	be
being	VBG	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
as	IN	as
we	PP	we
lost	VVD	lose
39	CD	@card@
civil	JJ	civil
defense	NN	defense
members	NNS	member
till	IN	till
this	DT	this
hour	NN	hour
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
torpedo	VV	torpedo
all	PDT	all
the	DT	the
humanitarian	JJ	humanitarian
efforts	NNS	effort
all	RB	all
across	IN	across
Gaza	NP	Gaza
Strip	NP	Strip
although	IN	although
the	DT	the
international	JJ	international
law	NN	law
provides	VVZ	provide
certain	JJ	certain
protections	NNS	protection
to	TO	to
the	DT	the
civil	JJ	civil
defense	NN	defense
teams	NNS	team
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
violate	VV	violate
this	DT	this
law	NN	law
perpetrating	VVG	perpetrate
killing	NN	killing
among	IN	among
our	PP$	our
members	NNS	member
destroying	VVG	destroy
our	PP$	our
heavy	JJ	heavy
equipment	NN	equipment
preventing	VVG	prevent
us	PP	us
from	IN	from
recovering	VVG	recover
the	DT	the
dead	JJ	dead
bodies	NNS	body
even	RB	even
those	DT	those
survivors	NNS	survivor
trapped	VVN	trap
under	IN	under
the	DT	the
debris	NN	debris
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
Target	NP	Target
and	CC	and
destroy	VV	destroy
the	DT	the
heavy	JJ	heavy
equipment	NN	equipment
that	WDT	that
help	VVP	help
us	PP	us
recover	VV	recover
the	DT	the
victims	NNS	victim
and	CC	and
above	IN	above
all	DT	all
we	PP	we
are	VBP	be
facing	VVG	face
sharp	JJ	sharp
shortage	NN	shortage
of	IN	of
fuel	NN	fuel
whereby	WRB	whereby
we	PP	we
will	MD	will
come	VV	come
to	TO	to
a	DT	a
total	JJ	total
hold	NN	hold
whereby	WRB	whereby
thousands	NNS	thousand
of	IN	of
lives	NNS	life
will	MD	will
be	VB	be
lost	VVN	lose
especially	RB	especially
we	PP	we
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
recover	VV	recover
dead	JJ	dead
bodies	NNS	body
or	CC	or
survivors	NNS	survivor
from	IN	from
under	IN	under
the	DT	the
debris	NN	debris
and	CC	and
as	IN	as
we	PP	we
speak	VVP	speak
hundreds	NNS	hundred
of	IN	of
victims	NNS	victim
remain	VVP	remain
buried	VVN	bury
under	IN	under
the	DT	the
rubbles	NNS	rubble
and	CC	and
our	PP$	our
teams	NNS	team
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
recover	VV	recover
them	PP	them
and	CC	and
these	DT	these
numbers	NNS	number
are	VBP	be
continuing	VVG	continue
to	TO	to
rise	VV	rise
the	DT	the
lack	NN	lack
of	IN	of
fuel	NN	fuel
exaggerates	VVZ	exaggerate
our	PP$	our
problem	NN	problem
therefore	RB	therefore
we	PP	we
condemn	VV	condemn
the	DT	the
purposal	NN	purposal
targeting	VVG	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
