<video_id>0-EzBGnuFgs</video_id>	JJ	<video_id>0-EzBGnuFgs</video_id>
<video_title>Gaza	NN	<video_title>Gaza
surgeon	NN	surgeon
recounts	VVZ	recount
the	DT	the
horrors	NNS	horror
witnessed	VVN	witness
during	IN	during
his	PP$	his
recent	JJ	recent
mission	NN	mission
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Gaza	NP	<thumbnail_path>data/en_AJ\Gaza
surgeon	NN	surgeon
recounts	VVZ	recount
the	DT	the
horrors	NNS	horror
witnessed	VVN	witness
during	IN	during
his	PP$	his
recent	JJ	recent
mission	NN	mission
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240212</publish_date>	JJ	<publish_date>20240212</publish_date>
<doc>	NN	<doc>
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
Ahmed	NP	Ahmed
SED	NN	SED
he's	NNS	he's
a	DT	a
surgeon	NN	surgeon
who's	NNS	who's
just	RB	just
returned	VVN	return
from	IN	from
Gaza	NP	Gaza
where	WRB	where
he	PP	he
spent	VVD	spend
two	CD	two
weeks	NNS	week
working	VVG	work
with	IN	with
the	DT	the
humanitarian	JJ	humanitarian
organization	NN	organization
RMA	NP	RMA
worldwide	JJ	worldwide
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
London	NP	London
doctor	NN	doctor
thank	VVP	thank
you	PP	you
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
I	PP	I
understand	VVP	understand
you've	NN	you've
just	RB	just
come	VVN	come
back	RB	back
from	IN	from
the	DT	the
strip	NN	strip
you	PP	you
were	VBD	be
there	RB	there
as	IN	as
part	NN	part
of	IN	of
a	DT	a
delegation	NN	delegation
of	IN	of
Medical	NP	Medical
Specialists	NNS	specialist
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
you	PP	you
were	VBD	be
doing	VVG	do
so	CC	so
uh	UH	uh
it's	NNS	it's
a	DT	a
pretty	RB	pretty
shocking	JJ	shocking
the	DT	the
last	JJ	last
two	CD	two
weeks	NNS	week
have	VHP	have
been	VBN	be
extremely	RB	extremely
uh	UH	uh
shocking	JJ	shocking
to	TO	to
me	PP	me
and	CC	and
my	PP$	my
colleagues	NNS	colleague
we	PP	we
went	VVD	go
there	RB	there
as	IN	as
aoup	NN	aoup
group	NN	group
of	IN	of
of	IN	of
surgeons	NNS	surgeon
and	CC	and
in	IN	in
to	TO	to
help	VV	help
out	RP	out
uh	UH	uh
with	IN	with
the	DT	the
casualities	NNS	casualities
uh	UH	uh
we	PP	we
were	VBD	be
based	VVN	base
in	IN	in
the	DT	the
European	JJ	European
uh	UH	uh
General	NP	General
Hospital	NP	Hospital
and	CC	and
uh	UH	uh
it's	NNS	it's
been	VBN	be
very	RB	very
very	RB	very
difficult	JJ	difficult
for	IN	for
all	DT	all
of	IN	of
us	PP	us
to	TO	to
be	VB	be
honest	JJ	honest
uh	UH	uh
seeing	VVG	see
all	PDT	all
these	DT	these
casualities	NNS	casualities
and	CC	and
come	VV	come
in	IN	in
after	IN	after
uh	UH	uh
the	DT	the
destruction	NN	destruction
of	IN	of
all	PDT	all
the	DT	the
bigger	JJR	big
hospitals	NNS	hospital
this	DT	this
is	VBZ	be
a	DT	a
relatively	RB	relatively
small	JJ	small
Hospital	NP	Hospital
240	CD	@card@
bedded	VVD	bed
obviously	RB	obviously
overwhelmed	VVN	overwhelm
with	IN	with
with	IN	with
the	DT	the
amount	NN	amount
of	IN	of
casualities	NNS	casualities
coming	VVG	come
in	IN	in
with	IN	with
the	DT	the
number	NN	number
of	IN	of
hostages	NNS	hostage
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
hostages	NNS	hostage
all	RB	all
over	IN	over
the	DT	the
place	VV	place
uh	UH	uh
and	CC	and
all	PDT	all
these	DT	these
things	NNS	thing
