well	RB	well
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
Muhammad	NP	Muhammad
salha	NN	salha
who	WP	who
'	POS	'
s	NN	S
the	DT	the
acting	VVG	act
director	NN	director
for	IN	for
the	DT	the
AL	NP	al
AA	NN	aa
Hospital	NP	Hospital
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
by	IN	by
phone	NN	phone
from	IN	from
there	EX	there
uh	UH	uh
Mr	NP	Mr
Salah	NP	Salah
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
on	IN	on
Al	NP	Al
jaer	NP	jaer
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
current	JJ	current
situation	NN	situation
inside	IN	inside
Al	NP	Al
AA	NN	aa
how	WRB	how
many	JJ	many
doctors	NNS	doctor
and	CC	and
patients	NNS	patient
are	VBP	be
still	RB	still
present	JJ	present
in	IN	in
the	DT	the
facility	NN	facility
yes	UH	yes
uh	UH	uh
we	PP	we
are	VBP	be
now	RB	now
the	DT	the
fifth	JJ	fifth
day	NN	day
of	IN	of
sieg	NN	sieg
of	IN	of
ala	NN	ala
Hospital	NP	Hospital
uh	UH	uh
yesterday	NN	yesterday
Wednesday	NP	Wednesday
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
is	VBZ	be
um	RB	um
forced	VVN	force
evacuation	NN	evacuation
the	DT	the
our	PP$	our
staff	NN	staff
and	CC	and
the	DT	the
patient	JJ	patient
companies	NNS	company
with	IN	with
with	IN	with
the	DT	the
to	TO	to
evacuate	VV	evacuate
the	DT	the
W	NP	W
the	DT	the
Western	NP	Western
Gaza	NP	Gaza
to	TO	to
the	DT	the
Western	NP	Western
Gaza	NP	Gaza
City	NP	City
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
14	CD	@card@
of	IN	of
of	IN	of
medical	JJ	medical
stuff	NN	stuff
we	PP	we
are	VBP	be
stay	NN	stay
with	IN	with
with	IN	with
our	PP$	our
patient	NN	patient
here	RB	here
in	IN	in
the	DT	the
H	NN	H
and	CC	and
we	PP	we
are	VBP	be
not	RB	not
evacuated	VVN	evacuate
because	IN	because
I	PP	I
am	VBP	be
refused	VVN	refuse
to	TO	to
evacuate	VV	evacuate
the	DT	the
hospital	NN	hospital
from	IN	from
from	IN	from
patient	NN	patient
even	RB	even
they	PP	they
have	VHP	have
to	TO	to
send	VV	send
to	TO	to
us	PP	us
an	DT	an
ambulances	NNS	ambulance
because	IN	because
the	DT	the
situation	NN	situation
of	IN	of
our	PP$	our
patient	NN	patient
is	VBZ	be
the	DT	the
hard	JJ	hard
situation	NN	situation
they	PP	they
can	MD	can
'	''	'
t	NN	t
walk	VVP	walk
to	TO	to
go	VV	go
to	TO	to
West	NP	West
gazda	NP	Gazda
and	CC	and
uh	UH	uh
we	PP	we
stay	VVP	stay
with	IN	with
now	RB	now
we	PP	we
have	VHP	have
11	CD	@card@
of	IN	of
patient	NN	patient
and	CC	and
another	DT	another
uh	UH	uh
uh	UH	uh
two	CD	two
uh	UH	uh
uh	UH	uh
patient	JJ	patient
company	NN	company
because	IN	because
there	EX	there
is	VBZ	be
two	CD	two
girls	NNS	girl
uh	UH	uh
and	CC	and
our	PP$	our
Poli	NP	Poli
is	VBZ	be
to	TO	to
stay	VV	stay
a	DT	a
caregiver	NN	caregiver
with	IN	with
this	DT	this
girl	NN	girl
so	RB	so
now	RB	now
in	IN	in
total	NN	total
we	PP	we
are	VBP	be
27	CD	@card@
person	NN	person
under	IN	under
the	DT	the
seed	NN	seed
in	IN	in
Thea	NP	Thea
hospital	NN	hospital
till	IN	till
now	RB	now
okay	JJ	okay
so	IN	so
27	CD	@card@
people	NNS	people
still	RB	still
inside	IN	inside
the	DT	the
hospital	NN	hospital
uh	UH	uh
including	VVG	include
patients	NNS	patient
and	CC	and
saaf	NN	saaf
as	IN	as
you	PP	you
were	VBD	be
talking	VVG	talk
to	TO	to
us	PP	us
Mr	NP	Mr
Salah	NP	Salah
we	PP	we
could	MD	could
hear	VV	hear
some	DT	some
loud	JJ	loud
noise	NN	noise
in	IN	in
the	DT	the
background	NN	background
what	WP	what
sounded	VVD	sound
like	IN	like
gunshots	NNS	gunshot
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
if	IN	if
there	EX	there
is	VBZ	be
still	RB	still
fighting	VVG	fight
inside	IN	inside
or	CC	or
in	IN	in
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
hospital	NN	hospital
they	PP	they
are	VBP	be
they	PP	they
are	VBP	be
shooting	VVG	shoot
a	DT	a
lot	NN	lot
and	CC	and
bombing	NN	bombing
in	IN	in
surrounding	VVG	surround
the	DT	the
the	DT	the
the	DT	the
hospital	NN	hospital
they	PP	they
are	VBP	be
not	RB	not
now	RB	now
shooting	VVG	shoot
in	IN	in
the	DT	the
hospital	NN	hospital
before	IN	before
two	CD	two
days	NNS	day
they	PP	they
are	VBP	be
shooting	VVG	shoot
in	IN	in
the	DT	the
hospital	NN	hospital
but	CC	but
now	RB	now
they	PP	they
are	VBP	be
shooting	VVG	shoot
and	CC	and
pumping	VVG	pump
surrounding	VVG	surround
the	DT	the
the	DT	the
hospital	NN	hospital
there	EX	there
is	VBZ	be
a	DT	a
sniper	NN	sniper
on	IN	on
the	DT	the
in	IN	in
the	DT	the
buildings	NNS	building
and	CC	and
they	PP	they
are	VBP	be
walking	VVG	walk
in	IN	in
the	DT	the
um	JJ	um
outdoor	JJ	outdoor
area	NN	area
of	IN	of
of	IN	of
our	PP$	our
Hospital	NN	hospital
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
of	IN	of
soldiers	NNS	soldier
there	RB	there
so	RB	so
we	PP	we
are	VBP	be
um	JJ	um
inside	IN	inside
the	DT	the
hospital	NN	hospital
yesterday	NN	yesterday
they	PP	they
are	VBP	be
entered	VVN	enter
the	DT	the
entered	VVD	enter
the	DT	the
hospital	NN	hospital
and	CC	and
broken	VVN	break
the	DT	the
the	DT	the
doors	NNS	door
that	WDT	that
closed	VVD	close
or	CC	or
and	CC	and
also	RB	also
any	DT	any
anything	NN	anything
Clos	NP	Clos
is	VBZ	be
destroyed	VVN	destroy
it	PP	it
and	CC	and
and	CC	and
they	PP	they
have	VHP	have
a	DT	a
they	PP	they
have	VHP	have
also	RB	also
dogs	VVZ	dog
with	IN	with
them	PP	them
check	VVP	check
every	DT	every
single	JJ	single
centimeter	NN	centimeter
in	IN	in
uh	UH	uh
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
uh	UH	uh
they	PP	they
left	VVD	leave
the	DT	the
hospital	NN	hospital
um	NN	um
at	IN	at
9	CD	@card@
from	IN	from
3M	NN	3M
till	IN	till
uh	UH	uh
uh	UH	uh
900	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
with	IN	with
our	PP$	our
patients	NNS	patient
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
emergency	NN	emergency
department	NN	department
in	IN	in
the	DT	the
ground	NN	ground
we	PP	we
evacuate	VVP	evacuate
all	PDT	all
the	DT	the
patient	NN	patient
from	IN	from
the	DT	the
fourth	JJ	fourth
and	CC	and
the	DT	the
third	JJ	third
floor	NN	floor
to	TO	to
uh	UH	uh
to	TO	to
the	DT	the
emergency	NN	emergency
department	NN	department
Department	NP	Department
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
ground	NN	ground
floor	NN	floor
because	IN	because
they	PP	they
are	VBP	be
targeting	VVG	target
in	IN	in
the	DT	the
second	JJ	second
day	NN	day
of	IN	of
uh	UH	uh
The	DT	the
Siege	NN	siege
they	PP	they
are	VBP	be
targeting	VVG	target
the	DT	the
fifth	JJ	fifth
floor	NN	floor
with	IN	with
a	DT	a
pump	NN	pump
and	CC	and
U	NP	U
destroyed	VVD	destroy
the	DT	the
water	NN	water
tanks	NNS	tank
and	CC	and
there	EX	there
'	''	'
s	VVG	s
the	DT	the
dangerous	JJ	dangerous
to	TO	to
stay	VV	stay
in	IN	in
in	IN	in
the	DT	the
third	JJ	third
and	CC	and
the	DT	the
fourth	JJ	fourth
floor	NN	floor
so	IN	so
we	PP	we
evacuate	VVP	evacuate
our	PP$	our
patient	NN	patient
down	RB	down
okay	JJ	okay
so	IN	so
you	PP	you
'	POS	'
re	NN	re
currently	RB	currently
on	IN	on
the	DT	the
ground	NN	ground
floor	NN	floor
level	NN	level
of	IN	of
the	DT	the
hospital	NN	hospital
with	IN	with
the	DT	the
patients	NNS	patient
and	CC	and
staff	NN	staff
that	WDT	that
have	VHP	have
remained	VVN	remain
inside	RB	inside
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
conditions	NNS	condition
that	IN/that	that
you	PP	you
