<video_id>tCHDZ7fJNvw</video_id>	JJ	<video_id>tCHDZ7fJNvw</video_id>
<video_title>Gaza’s	NNS	<video_title>Gaza’s
kidney	NN	kidney
patients	NNS	patient
face	VVP	face
a	DT	a
dialysis	NN	dialysis
crisis	NN	crisis
at	IN	at
jam-packed	JJ	jam-packed
hospitals</video_title>	JJ	hospitals</video_title>
<thumbnail_path>data/en_AJ\Gaza’s	NN	<thumbnail_path>data/en_AJ\Gaza’s
kidney	NN	kidney
patients	NNS	patient
face	VVP	face
a	DT	a
dialysis	NN	dialysis
crisis	NN	crisis
at	IN	at
jam-packed	JJ	jam-packed
hospitals.jpg</thumbnail_path>	JJ	hospitals.jpg</thumbnail_path>
<publish_date>20240209</publish_date>	NN	<publish_date>20240209</publish_date>
<doc>	NN	<doc>
the	DT	the
only	JJ	only
two	CD	two
hospitals	NNS	hospital
that	WDT	that
receive	VVP	receive
and	CC	and
treat	VVP	treat
kidney	NN	kidney
dialysis	NN	dialysis
patients	NNS	patient
due	JJ	due
to	TO	to
the	DT	the
continuous	JJ	continuous
displacement	NN	displacement
for	IN	for
uh	UH	uh
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
two	CD	two
operating	VVG	operate
hospitals	NNS	hospital
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
Palestinians	NPS	Palestinians
in	IN	in
this	DT	this
Hospital	NP	Hospital
are	VBP	be
are	NN	are
are	VBP	be
400	JJ	@card@
they	PP	they
are	VBP	be
receiving	VVG	receive
the	DT	the
dialysis	NN	dialysis
treatment	NN	treatment
for	IN	for
um	NNS	um
on	IN	on
23	CD	@card@
machines	NNS	machine
only	RB	only
400	CD	@card@
patients	NNS	patient
are	VBP	be
in	IN	in
this	DT	this
Hospital	NN	hospital
among	IN	among
them	PP	them
are	VBP	be
12	CD	@card@
children	NNS	child
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
there	RB	there
are	VBP	be
1,100	CD	@card@
children	NNS	child
uh	UH	uh
1,100	CD	@card@
Palestinian	JJ	Palestinian
uh	UH	uh
uh	UH	uh
patients	NNS	patient
of	IN	of
kidney	NN	kidney
dialysis	NN	dialysis
among	IN	among
them	PP	them
are	VBP	be
38	JJ	@card@
uh	UH	uh
children	NNS	child
in	IN	in
this	DT	this
Hospital	NP	Hospital
400	CD	@card@
uh	UH	uh
patients	NNS	patient
and	CC	and
12	CD	@card@
children	NNS	child
are	VBP	be
receiving	VVG	receive
treatment	NN	treatment
in	IN	in
this	DT	this
hospital	NN	hospital
for	IN	for
hours	NNS	hour
per	IN	per
week	NN	week
only	RB	only
where	WRB	where
they	PP	they
used	VVD	use
to	TO	to
receive	VV	receive
their	PP$	their
dialysis	NN	dialysis
payment	NN	payment
uh	UH	uh
their	PP$	their
dialysis	NN	dialysis
treatment	NN	treatment
for	IN	for
from	IN	from
8	CD	@card@
to	TO	to
12	CD	@card@
hours	NNS	hour
per	IN	per
week	NN	week
now	RB	now
they	PP	they
are	VBP	be
only	RB	only
receiving	VVG	receive
two	CD	two
sessions	NNS	session
for	IN	for
for	IN	for
two	CD	two
hours	NNS	hour
where	WRB	where
they	PP	they
believe	VVP	believe
that	IN/that	that
it	PP	it
is	VBZ	be
not	RB	not
enough	RB	enough
two	CD	two
out	IN	out
out	RB	out
of	IN	of
six	CD	six
hospitals	NNS	hospital
are	VBP	be
currently	RB	currently
receiving	VVG	receive
kidney	NN	kidney
dialysis	NN	dialysis
patients	NNS	patient
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
patients	NNS	patient
are	VBP	be
heartbroken	JJ	heartbroken
there	RB	there
there	RB	there
there	EX	there
was	VBD	be
a	DT	a
