<video_id>QtsOCnAowl0</video_id>	JJ	<video_id>QtsOCnAowl0</video_id>
<video_title>Gaza’s	NNS	<video_title>Gaza’s
sole	JJ	sole
power	NN	power
plant	NN	plant
now	RB	now
out	RB	out
of	IN	of
service:	JJ	service:
Energy	NP	Energy
Authority</video_title>	NP	Authority</video_title>
<thumbnail_path>data/en_AJ\Gaza’s	NP	<thumbnail_path>data/en_AJ\Gaza’s
sole	JJ	sole
power	NN	power
plant	NN	plant
now	RB	now
out	RB	out
of	IN	of
service	NN	service
Energy	NP	Energy
Authority.jpg</thumbnail_path>	NP	Authority.jpg</thumbnail_path>
<publish_date>20231011</publish_date>	JJ	<publish_date>20231011</publish_date>
<doc>	NN	<doc>
yumna	NNS	yumna
say	VVP	say
joins	VVZ	join
us	PP	us
on	IN	on
the	DT	the
phone	NN	phone
from	IN	from
inside	JJ	inside
Gaza	NP	Gaza
yumna	NN	yumna
the	DT	the
latest	JJS	late
line	NN	line
that's	NNS	that's
just	RB	just
dropping	VVG	drop
as	IN	as
we	PP	we
go	VVP	go
to	TO	to
air	VV	air
is	VBZ	be
electricity	NN	electricity
has	VHZ	have
now	RB	now
been	VBN	be
cut	NN	cut
can	MD	can
you	PP	you
confirm	VV	confirm
that	IN/that	that
yes	NN	yes
Sammy	NP	Sammy
exactly	RB	exactly
an	DT	an
hour	NN	hour
ago	RB	ago
at	IN	at
2	CD	@card@
pm	NN	pm
local	JJ	local
time	NN	time
it	PP	it
was	VBD	be
the	DT	the
last	JJ	last
warning	NN	warning
that	IN/that	that
electricity	NN	electricity
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
completely	RB	completely
cut	VVN	cut
off	IN	off
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
because	IN	because
of	IN	of
running	VVG	run
of	IN	of
the	DT	the
last	JJ	last
amount	NN	amount
of	IN	of
fuel	NN	fuel
and	CC	and
now	RB	now
they	PP	they
have	VHP	have
stated	VVN	state
that	IN/that	that
it	PP	it
is	VBZ	be
completely	RB	completely
completely	RB	completely
cut	VV	cut
off	RP	off
in	IN	in
all	DT	all
areas	NNS	area
what	WP	what
does	VVZ	do
that	RB	that
mean	VV	mean
for	IN	for
for	IN	for
life	NN	life
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
well	RB	well
without	IN	without
electricity	NN	electricity
it	PP	it
means	VVZ	mean
that	IN/that	that
there's	RB	there's
no	DT	no
water	NN	water
it	PP	it
means	VVZ	mean
that	IN/that	that
complete	JJ	complete
darkness	NN	darkness
through	IN	through
the	DT	the
night	NN	night
it	PP	it
means	VVZ	mean
that	IN/that	that
hospitals	NNS	hospital
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
only	RB	only
operating	VVG	operate
with	IN	with
their	PP$	their
emergency	NN	emergency
generators	NNS	generator
which	WDT	which
can	MD	can
only	RB	only
last	VV	last
from	IN	from
two	CD	two
to	TO	to
4	CD	@card@
days	NNS	day
maximum	JJ	maximum
it	PP	it
means	VVZ	mean
that	IN/that	that
most	JJS	most
of	IN	of
the	DT	the
light	NN	light
in	IN	in
Gaza	NP	Gaza
depending	VVG	depend
on	IN	on
electricity	NN	electricity
has	VHZ	have
shut	VVN	shut
down	RP	down
and	CC	and
I	PP	I
mean	VVP	mean
just	RB	just
thinking	VVG	think
through	IN	through
this	DT	this
basic	JJ	basic
things	NNS	thing
if	IN	if
you're	NN	you're
in	IN	in
as	IN	as
many	JJ	many
residents	NNS	resident
live	VVP	live
in	IN	in
multistory	NN	multistory
rise	NN	rise
apartments	NNS	apartment
you	PP	you
want	VVP	want
to	TO	to
switch	VV	switch
on	IN	on
the	DT	the
water	NN	water
tap	VV	tap
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
hard	JJ	hard
to	TO	to
get	VV	get
water	NN	water
if	IN	if
your	PP$	your
P	NN	P
electric	JJ	electric
pumps	NNS	pump
are	VBP	be
not	RB	not
working	VVG	work
if	IN	if
you	PP	you
want	VVP	want
to	TO	to
switch	VV	switch
an	DT	an
oven	NN	oven
on	IN	on
assuming	VVG	assume
you	PP	you
have	VHP	have
something	NN	something
to	TO	to
cook	VV	cook
all	DT	all
of	IN	of
that	WDT	that
goes	VVZ	go
out	RP	out
the	DT	the
window	NN	window
now	RB	now
right	NN	right
that	WDT	that
has	VHZ	have
already	RB	already
been	VBN	be
out	RP	out
of	IN	of
the	DT	the
window	NN	window
about	IN	about
three	CD	three
days	NNS	day
ago	RB	ago
already	RB	already
since	IN	since
we're	NN	we're
only	RB	only
we	PP	we
were	VBD	be
only	JJ	only
uh	UH	uh
witnessing	VVG	witness
uh	UH	uh
uh	UH	uh
4	CD	@card@
hours	NNS	hour
of	IN	of
electricity	NN	electricity
and	CC	and
then	RB	then
two	CD	two
hours	NNS	hour
of	IN	of
electricity	NN	electricity
no	DT	no
elevators	NNS	elevator
working	VVG	work
in	IN	in
any	DT	any
of	IN	of
the	DT	the
towers	NNS	tower
or	CC	or
buildings	NNS	building
people	NNS	people
only	RB	only
use	VVP	use
the	DT	the
chairs	NNS	chair
um	VVZ	um
uh	UH	uh
no	RB	no
water	NN	water
is	VBZ	be
being	VBG	be
generated	VVN	generate
people	NNS	people
are	VBP	be
uh	UH	uh
uh	UH	uh
filling	VVG	fill
uh	UH	uh
uh	UH	uh
tanks	NNS	tank
and	CC	and
whatever	WDT	whatever
they	PP	they
can	MD	can
fill	VV	fill
uh	UH	uh
to	TO	to
take	VV	take
to	TO	to
their	PP$	their
homes	NNS	home
we're	NN	we're
going	VVG	go
back	RB	back
to	TO	to
centuries	NNS	century
before	IN	before
uh	UH	uh
any	DT	any
kind	NN	kind
of	IN	of
uh	UH	uh
any	DT	any
kind	NN	kind
of	IN	of
uh	UH	uh
you	PP	you
know	VVP	know
sophisticated	JJ	sophisticated
technology	NN	technology
let's	NNS	let's
say	VVP	say
we're	NN	we're
going	VVG	go
back	JJ	back
centuries	NNS	century
filling	VVG	fill
uh	UH	uh
water	NN	water
water	NN	water
in	IN	in
in	RB	in
in	IN	in
in	IN	in
buckets	NNS	bucket
and	CC	and
taking	VVG	take
them	PP	them
to	TO	to
our	PP$	our
homes	NNS	home
so	RB	so
that	IN/that	that
we	PP	we
can	MD	can
have	VH	have
some	DT	some
water	NN	water
in	IN	in
our	PP$	our
homes	NNS	home
this	DT	this
is	VBZ	be
exactly	RB	exactly
how	WRB	how
it	PP	it
is	VBZ	be
but	RB	but
now	RB	now
uh	UH	uh
it's	NNS	it's
even	RB	even
going	VVG	go
it's	NNS	it's
even	RB	even
being	VBG	be
worse	JJR	bad
because	IN	because
even	RB	even
when	WRB	when
we	PP	we
had	VHD	have
an	DT	an
hour	NN	hour
or	CC	or
something	NN	something
of	IN	of
electricity	NN	electricity
where	WRB	where
we	PP	we
could	MD	could
charge	VV	charge
our	PP$	our
phones	NNS	phone
where	WRB	where
we	PP	we
could	MD	could
uh	UH	uh
watch	VV	watch
TV	NN	TV
uh	UH	uh
check	VV	check
the	DT	the
news	NN	news
out	IN	out
where	WRB	where
we	PP	we
could	MD	could
generate	VV	generate
water	NN	water
for	IN	for
a	DT	a
little	JJ	little
bit	NN	bit
it	PP	it
a	DT	a
store	NN	store
home	NN	home
all	PDT	all
that	DT	that
is	VBZ	be
being	VBG	be
disrupted	VVN	disrupt
now	RB	now
the	DT	the
scenes	NNS	scene
that	IN/that	that
you're	NN	you're
describing	VVG	describe
it	PP	it
sounds	VVZ	sound
like	IN	like
when	WRB	when
you	PP	you
read	VVP	read
about	IN	about
medieval	JJ	medieval
sieges	NNS	siege
I	PP	I
mean	VVP	mean
to	TO	to
what	WP	what
extent	NN	extent
do	VVP	do
people	NNS	people
have	VHP	have
access	NN	access
to	TO	to
their	PP$	their
own	JJ	own
electrical	JJ	electrical
generators	NNS	generator
and	CC	and
if	IN	if
they	PP	they
do	VVP	do
do	VV	do
they	PP	they
have	VHP	have
fuel	NN	fuel
to	TO	to
run	VV	run
them	PP	them
backup	JJ	backup
generators	NNS	generator
and	CC	and
so	RB	so
on	IN	on
now	RB	now
it's	NN	it's
not	RB	not
generators	NNS	generator
or	CC	or
backup	JJ	backup
generators	NNS	generator
that	WDT	that
are	VBP	be
working	VVG	work
these	DT	these
have	VHP	have
been	VBN	be
used	VVN	use
uh	UH	uh
extensively	RB	extensively
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
when	WRB	when
we	PP	we
only	RB	only
had	VHD	have
four	CD	four
hours	NNS	hour
of	IN	of
electricity	NN	electricity
these	DT	these
generators	NNS	generator
working	VVG	work
in	IN	in
the	DT	the
streets	NNS	street
and	CC	and
backup	JJ	backup
generators	NNS	generator
were	VBD	be
the	DT	the
ones	NNS	one
that	WDT	that
were	VBD	be
uh	UH	uh
providing	VVG	provide
another	DT	another
two	CD	two
to	TO	to
to	IN	to
to	TO	to
four	CD	four
hours	NNS	hour
in	IN	in
in	IN	in
in	IN	in
best	JJS	good
times	NNS	time
or	CC	or
in	IN	in
in	IN	in
different	JJ	different
locations	NNS	location
of	IN	of
electricity	NN	electricity
but	CC	but
now	RB	now
those	DT	those
people	NNS	people
who	WP	who
only	RB	only
have	VHP	have
solar	JJ	solar
panels	NNS	panel
in	IN	in
Gaza	NP	Gaza
are	VBP	be
the	DT	the
ones	NNS	one
who	WP	who
will	MD	will
be	VB	be
able	JJ	able
