Let	NP	Let
'	POS	'
s	VVZ	s
uh	UH	uh
discuss	VV	discuss
now	RB	now
all	PDT	all
these	DT	these
developments	NNS	development
with	IN	with
Hassan	NP	Hassan
barari	NP	barari
professor	NN	professor
of	IN	of
international	JJ	international
Affairs	NNS	affair
at	IN	at
qat	NN	qat
University	NP	University
here	RB	here
in	IN	in
Doha	NP	Doha
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
again	RB	again
uh	UH	uh
Hassan	NP	Hassan
on	IN	on
aler	NN	aler
let	NN	let
'	POS	'
s	JJ	s
start	NN	start
with	IN	with
this	DT	this
pressure	NN	pressure
coming	VVG	come
from	IN	from
all	DT	all
sides	NNS	side
on	IN	on
on	IN	on
Israel	NP	Israel
to	TO	to
increase	VV	increase
Aid	NP	Aid
into	IN	into
Gaza	NP	Gaza
for	IN	for
accountability	NN	accountability
of	IN	of
the	DT	the
killing	NN	killing
of	IN	of
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
staffers	NNS	staffer
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
this	DT	this
letter	NN	letter
from	IN	from
congressional	JJ	congressional
Democrats	NPS	Democrats
uh	UH	uh
who	WP	who
are	VBP	be
calling	NN	calling
for	IN	for
uh	UH	uh
a	DT	a
suspension	NN	suspension
of	IN	of
Aid	NP	Aid
uh	UH	uh
of	IN	of
military	JJ	military
aid	NN	aid
transfer	NN	transfer
to	TO	to
Israel	NP	Israel
also	RB	also
in	IN	in
the	DT	the
UK	NP	UK
growing	VVG	grow
calls	NNS	call
for	IN	for
uh	UH	uh
the	DT	the
suspension	NN	suspension
of	IN	of
arm	NN	arm
sales	NNS	sale
to	TO	to
Israel	NP	Israel
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
pressure	NN	pressure
is	VBZ	be
genuine	JJ	genuine
and	CC	and
and	CC	and
will	MD	will
these	DT	these
Western	JJ	Western
countries	NNS	country
actually	RB	actually
change	VVP	change
their	PP$	their
policy	NN	policy
towards	IN	towards
Israel	NP	Israel
if	IN	if
uh	UH	uh
Israel	NP	Israel
doesn	NP	doesn
'	POS	'
t	NN	t
change	NN	change
the	DT	the
conduct	NN	conduct
its	PP$	its
conduct	NN	conduct
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
oh	UH	oh
well	UH	well
thanks	NNS	thanks
F	NN	F
I	PP	I
think	VVP	think
it	PP	it
is	VBZ	be
genuine	JJ	genuine
pressure	NN	pressure
these	DT	these
days	NNS	day
and	CC	and
given	VVN	give
what	WP	what
