<video_id>9lu3aX7PFZI</video_id>	JJ	<video_id>9lu3aX7PFZI</video_id>
<video_title>Guterres	NNS	<video_title>Guterres
says	VVZ	say
it	PP	it
is	VBZ	be
false	JJ	false
to	TO	to
say	VV	say
he	PP	he
was	VBD	be
'justifying	VVG	'justifying
acts	NNS	act
of	IN	of
terror	NN	terror
by	IN	by
Hamas'</video_title>	NP	Hamas'</video_title>
<thumbnail_path>data/en_AJ\Guterres	NP	<thumbnail_path>data/en_AJ\Guterres
says	VVZ	say
it	PP	it
is	VBZ	be
false	JJ	false
to	TO	to
say	VV	say
he	PP	he
was	VBD	be
'justifying	VVG	'justifying
acts	NNS	act
of	IN	of
terror	NN	terror
by	IN	by
Hamas'.jpg</thumbnail_path>	NP	Hamas'.jpg</thumbnail_path>
<publish_date>20231025</publish_date>	JJ	<publish_date>20231025</publish_date>
<doc>	NN	<doc>
a	DT	a
war	NN	war
of	IN	of
words	NNS	word
between	IN	between
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
Israel	NP	Israel
is	VBZ	be
escalating	VVG	escalate
with	IN	with
the	DT	the
Israeli	JJ	Israeli
Ambassador	NN	ambassador
calling	VVG	call
for	IN	for
the	DT	the
resignation	NN	resignation
of	IN	of
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gueras	NNS	gueras
after	IN	after
a	DT	a
speech	NN	speech
on	IN	on
Tuesday	NP	Tuesday
gueras	NNS	gueras
spoke	VVD	speak
to	TO	to
the	DT	the
media	NNS	medium
earlier	RBR	earlier
saying	VVG	say
that	IN/that	that
he	PP	he
wished	VVD	wish
to	TO	to
set	VV	set
the	DT	the
record	NN	record
straight	RB	straight
and	CC	and
he	PP	he
criticized	VVD	criticize
those	NNS	those
that	IN/that	that
who	WP	who
claimed	VVD	claim
he	PP	he
had	VHD	have
Justified	VVN	justify
attacks	NNS	attack
by	IN	by
Hamas	NN	Hamas
I	PP	I
am	VBP	be
shocked	VVN	shock
by	IN	by
the	DT	the
misrepresentations	NNS	misrepresentation
by	IN	by
some	DT	some
of	IN	of
my	PP$	my
statement	NN	statement
yesterday	NN	yesterday
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
as	RB	as
if	IN	if
as	RB	as
if	IN	if
I	PP	I
was	VBD	be
justifying	VVG	justify
acts	NNS	act
of	IN	of
Terror	NN	terror
