<video_id>JJooIPjQaiQ</video_id>	JJ	<video_id>JJooIPjQaiQ</video_id>
<video_title>Hamas	NN	<video_title>Hamas
names	NNS	name
Yahya	NP	Yahya
Sinwar	NP	Sinwar
as	IN	as
chief	JJ	chief
following	VVG	follow
Ismail	NP	Ismail
Haniyeh	NP	Haniyeh
killing</video_title>	NN	killing</video_title>
<thumbnail_path>data/en_AJ\Hamas	NN	<thumbnail_path>data/en_AJ\Hamas
names	VVZ	name
Yahya	NP	Yahya
Sinwar	NP	Sinwar
as	IN	as
chief	JJ	chief
following	VVG	follow
Ismail	NP	Ismail
Haniyeh	NP	Haniyeh
killing.jpg</thumbnail_path>	JJ	killing.jpg</thumbnail_path>
<publish_date>20240806</publish_date>	NN	<publish_date>20240806</publish_date>
<doc>	NN	<doc>
breaking	VVG	break
news	NN	news
now	RB	now
because	IN	because
Hamas	NP	Hamas
has	VHZ	have
named	VVN	name
its	PP$	its
Gaza	NP	Gaza
leader	NN	leader
Yaya	NP	Yaya
sinoa	NN	sinoa
as	IN	as
chief	JJ	chief
of	IN	of
the	DT	the
group	NN	group
following	VVG	follow
isma	NN	isma
hania's	NNS	hania's
assassination	NN	assassination
in	IN	in
tan	NN	tan
on	IN	on
July	NP	July
the	DT	the
31st	JJ	31st
isma	NN	isma
hania	NN	hania
of	IN	of
course	NN	course
being	VBG	be
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
political	JJ	political
wing	NN	wing
of	IN	of
Hamas	JJ	Hamas
uh	UH	uh
Yaya	NP	Yaya
Sina	NP	Sina
has	VHZ	have
been	VBN	be
the	DT	the
group's	NN	group's
leader	NN	leader
in	IN	in
Gaza	NP	Gaza
since	IN	since
2017	CD	@card@
let's	NNS	let's
speak	VV	speak
to	TO	to
nor	CC	nor
OD	NN	od
who's	NNS	who's
in	IN	in
ralo	NN	ralo
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
um	NN	um
Noah	NP	Noah
is	VBZ	be
Han	NP	Han
obviously	RB	obviously
his	PP$	his
death	NN	death
was	VBD	be
a	DT	a
huge	JJ	huge
blow	NN	blow
for	IN	for
Hamas	NP	Hamas
had	VHD	have
been	VBN	be
involved	VVN	involve
in	IN	in
political	JJ	political
uh	UH	uh
negotiations	NNS	negotiation
to	TO	to
bring	VV	bring
about	RB	about
an	DT	an
end	VV	end
uh	UH	uh
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
is	VBZ	be
now	RB	now
that	IN/that	that
his	PP$	his
replacement	NN	replacement
has	VHZ	have
been	VBN	be
named	VVN	name
Yaya	NP	Yaya
sinma	NN	sinma
what	WP	what
does	VVZ	do
this	DT	this
mean	NN	mean
for	IN	for
Hamas	NP	Hamas
what	WP	what
does	VVZ	do
this	DT	this
mean	NN	mean
for	IN	for
hopes	NNS	hope
of	IN	of
Peace	NP	Peace
tell	VVP	tell
us	PP	us
more	RBR	more
well	RB	well
yir	NN	yir
let's	NNS	let's
talk	VVP	talk
first	JJ	first
about	IN	about
the	DT	the
man	NN	man
this	DT	this
is	VBZ	be
a	DT	a
62y	JJ	62y
old	JJ	old
man	NN	man
someone	NN	someone
who	WP	who
was	VBD	be
imprisoned	VVN	imprison
for	IN	for
a	DT	a
um	NNS	um
he	PP	he
was	VBD	be
sentenced	VVN	sentence
to	TO	to
four	CD	four
consecutive	JJ	consecutive
life	NN	life
sentences	NNS	sentence
he	PP	he
was	VBD	be
released	VVN	release
from	IN	from
Israeli	JJ	Israeli
prison	NN	prison
in	IN	in
2011	CD	@card@
and	CC	and
he	PP	he
has	VHZ	have
skyrocketed	VVN	skyrocket
to	TO	to
a	DT	a
an	DT	an
influential	JJ	influential
position	NN	position
in	IN	in
Hamas	NNS	Hamas
leading	VVG	lead
it	PP	it
in	IN	in
Gaza	NP	Gaza
the	DT	the
choice	NN	choice
of	IN	of
Hamas	NP	Hamas
to	TO	to
name	VV	name
him	PP	him
the	DT	the
