<video_id>ySQ4OTN8xYk</video_id>	NN	<video_id>ySQ4OTN8xYk</video_id>
<video_title>Hamas	NNS	<video_title>Hamas
said	VVD	say
no	DT	no
more	JJR	more
captives	NNS	captive
will	MD	will
be	VB	be
released	VVN	release
until	IN	until
the	DT	the
war	NN	war
ends</video_title>	NN	ends</video_title>
<thumbnail_path>data/en_AJ\Hamas	NNS	<thumbnail_path>data/en_AJ\Hamas
said	VVD	say
no	DT	no
more	JJR	more
captives	NNS	captive
will	MD	will
be	VB	be
released	VVN	release
until	IN	until
the	DT	the
war	NN	war
ends.jpg</thumbnail_path>	NN	ends.jpg</thumbnail_path>
<publish_date>20231203</publish_date>	NN	<publish_date>20231203</publish_date>
<doc>	NN	<doc>
we're	NN	we're
joined	VVD	join
Now	RB	now
by	IN	by
th	NN	th
kmu	NN	kmu
an	DT	an
assistant	JJ	assistant
professor	NN	professor
of	IN	of
public	JJ	public
policy	NN	policy
with	IN	with
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
of	IN	of
Graduate	NP	Graduate
Studies	NPS	Studies
and	CC	and
also	RB	also
a	DT	a
specialist	NN	specialist
on	IN	on
conflict	NN	conflict
resolution	NN	resolution
and	CC	and
international	JJ	international
Aid	NN	aid
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
Mr	NP	Mr
kmu	NP	kmu
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
the	DT	the
latest	JJS	late
comments	NNS	comment
by	IN	by
Hamas	NNS	Hamas
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
no	DT	no
more	JJR	more
release	NN	release
of	IN	of
captives	NNS	captive
until	IN	until
the	DT	the
end	NN	end
of	IN	of
the	DT	the
war	NN	war
just	RB	just
how	WRB	how
damaging	VVG	damage
is	VBZ	be
it	PP	it
to	TO	to
the	DT	the
whole	JJ	whole
process	NN	process
to	TO	to
revive	VV	revive
a	DT	a
ceasefire	NN	ceasefire
it's	NNS	it's
Elizabeth	NP	Elizabeth
it's	NNS	it's
very	RB	very
damaging	VVG	damage
but	CC	but
it's	NNS	it's
not	RB	not
surprising	JJ	surprising
I	PP	I
mean	VVP	mean
giving	VVG	give
that	IN/that	that
the	DT	the
Americans	NPS	Americans
have	VHP	have
uh	UH	uh
they	PP	they
have	VHP	have
given	VVN	give
the	DT	the
Israelis	NPS	Israelis
the	DT	the
green	JJ	green
light	NN	light
to	TO	to
continue	VV	continue
with	IN	with
this	DT	this
military	JJ	military
operation	NN	operation
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
emboldened	VVN	embolden
they're	NN	they're
encouraged	VVN	encourage
to	TO	to
go	VV	go
all	PDT	all
the	DT	the
way	NN	way
till	IN	till
the	DT	the
end	NN	end
and	CC	and
um	NN	um
it's	NNS	it's
not	RB	not
a	DT	a
secret	NN	secret
that	IN/that	that
the	DT	the
goal	NN	goal
they	PP	they
have	VHP	have
stated	VVN	state
from	IN	from
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
is	VBZ	be
toppling	VVG	topple
down	RP	down
Hamas	NNS	Hamas
I	PP	I
think	VVP	think
it's	NNS	it's
not	RB	not
a	DT	a
realistic	JJ	realistic
goal	NN	goal
and	CC	and
I'm	NN	I'm
not	RB	not
sure	JJ	sure
until	IN	until
now	RB	now
what's	NNS	what's
the	DT	the
end	NN	end
result	NN	result
for	IN	for
Israel	NP	Israel
how	WRB	how
Israel	NP	Israel
is	VBZ	be
going	VVG	go
to	TO	to
achieve	VV	achieve
this	DT	this
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
because	IN	because
for	IN	for
me	PP	me
there	EX	there
is	VBZ	be
only	RB	only
one	CD	one
scenario	NN	scenario
uh	UH	uh
that	IN/that	that
I	PP	I
can	MD	can
imagine	VV	imagine
or	CC	or
Envision	VV	envision
if	IN	if
Israel	NP	Israel
wants	VVZ	want
to	TO	to
go	VV	go
all	PDT	all
this	DT	this
way	NN	way
which	WDT	which
is	VBZ	be
you	PP	you
mean	VVP	mean
all	PDT	all
the	DT	the
way	NN	way
in	IN	in
destroying	VVG	destroy
Hamas	JJ	Hamas
destroying	VVG	destroy
Hamas	NN	Hamas
it	PP	it
means	VVZ	mean
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
reoccupy	VV	reoccupy
the	DT	the
entire	JJ	entire
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
I	PP	I
fear	VVP	fear
again	RB	again
that	IN/that	that
the	DT	the
transfer	NN	transfer
scenario	NN	scenario
is	VBZ	be
still	RB	still
there	RB	there
on	IN	on
the	DT	the
table	NN	table
I	PP	I
know	VVP	know
everyone	NN	everyone
talks	VVZ	talk
the	DT	the
talks	NNS	talk
the	DT	the
Americans	NPS	Americans
say	VVP	say
no	RB	no
for	IN	for
transfer	VV	transfer
the	DT	the
Europeans	NPS	Europeans
say	VVP	say
so	RB	so
Arab	JJ	Arab
governments	NNS	government
but	CC	but
really	RB	really
what	WP	what
you	PP	you
see	VVP	see
now	RB	now
is	VBZ	be
pushing	VVG	push
all	PDT	all
these	DT	these
people	NNS	people
into	IN	into
the	DT	the
South	NP	South
into	IN	into
this	DT	this
small	JJ	small
Corner	NP	Corner
small	JJ	small
area	NN	area
ofas	NNS	ofas
inun	NN	inun
that's	NNS	that's
a	DT	a
recipe	NN	recipe
for	IN	for
a	DT	a
disaster	NN	disaster
this	DT	this
is	VBZ	be
a	DT	a
ticking	VVG	tick
bomb	NN	bomb
they're	NN	they're
getting	VVG	get
closer	RBR	closer
to	TO	to
the	DT	the
Egyptian	JJ	Egyptian
border	NN	border
you'll	NN	you'll
have	VHP	have
millions	NNS	million
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
uh	UH	uh
uh	UH	uh
cornered	VVN	corner
there	RB	there
in	IN	in
this	DT	this
narrow	JJ	narrow
corner	NN	corner
of	IN	of
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
if	IN	if
if	IN	if
the	DT	the
campaign	NN	campaign
stays	VVZ	stay
uh	UH	uh
on	IN	on
the	DT	the
same	JJ	same
Pace	NP	Pace
it's	NNS	it's
going	VVG	go
