<video_id>6fMd5JpL_Hs</video_id>	JJ	<video_id>6fMd5JpL_Hs</video_id>
<video_title>Hamas	NN	<video_title>Hamas
says	VVZ	say
it’s	NNS	it’s
ready	JJ	ready
to	TO	to
achieve	VV	achieve
permanent	JJ	permanent
ceasefire	NN	ceasefire
‘in	NN	‘in
stages’</video_title>	NN	stages’</video_title>
<thumbnail_path>data/en_AJ\Hamas	NN	<thumbnail_path>data/en_AJ\Hamas
says	VVZ	say
it’s	NNS	it’s
ready	JJ	ready
to	TO	to
achieve	VV	achieve
permanent	JJ	permanent
ceasefire	NN	ceasefire
‘in	NN	‘in
stages’.jpg</thumbnail_path>	NN	stages’.jpg</thumbnail_path>
<publish_date>20240130</publish_date>	NN	<publish_date>20240130</publish_date>
<doc>	JJ	<doc>
Muhammad	NP	Muhammad
nazal	NN	nazal
joins	VVZ	join
us	PP	us
now	RB	now
sir	NN	sir
you're	NN	you're
a	DT	a
member	NN	member
of	IN	of
hamas's	NNS	hamas's
political	JJ	political
Bureau	NP	Bureau
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
offer	NN	offer
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
received	VVN	receive
H	NN	H
actually	RB	actually
today	NN	today
Hamas	NNS	Hamas
have	VHP	have
received	VVN	receive
a	DT	a
proposal	NN	proposal
paper	NN	paper
issued	VVN	issue
by	IN	by
Paris	NP	Paris
conference	NN	conference
uh	UH	uh
we	PP	we
told	VVD	tell
the	DT	the
mediators	NNS	mediator
that	IN/that	that
Hamas	NP	Hamas
will	MD	will
study	VV	study
the	DT	the
proposal	NN	proposal
in	IN	in
our	PP$	our
political	JJ	political
Bureau	NP	Bureau
Which	WDT	which
con	RB	con
consists	VVZ	consist
uh	UH	uh
from	IN	from
leadership	NN	leadership
inside	NN	inside
and	CC	and
outside	JJ	outside
uh	UH	uh
Palestinian	JJ	Palestinian
territories	NNS	territory
and	CC	and
we	PP	we
will	MD	will
discuss	VV	discuss
this	DT	this
paper	NN	paper
after	IN	after
our	PP$	our
discussions	NNS	discussion
with	IN	with
Egyptians	NNS	Egyptian
and	CC	and
Karis	NP	Karis
in	IN	in
Cairo	NP	Cairo
because	IN	because
we	PP	we
will	MD	will
travel	VV	travel
as	RB	as
soon	RB	soon
as	RB	as
possible	JJ	possible
after	IN	after
we	PP	we
end	VVP	end
our	PP$	our
discussions	NNS	discussion
inside	IN	inside
political	JJ	political
of	IN	of
okay	JJ	okay
are	VBP	be
you	PP	you
at	IN	at
this	DT	this
stage	NN	stage
able	JJ	able
to	TO	to
outline	VV	outline
for	IN	for
us	PP	us
uh	UH	uh
the	DT	the
the	DT	the
broad	JJ	broad
framework	NN	framework
of	IN	of
this	DT	this
proposal	NN	proposal
actually	RB	actually
it	PP	it
talks	VVZ	talk
about	IN	about
uh	UH	uh
ceasefire	NN	ceasefire
but	CC	but
we	PP	we
told	VVD	tell
mediators	NNS	mediator
that	IN/that	that
permanent	JJ	permanent
ceasefire	NN	ceasefire
is	VBZ	be
our	PP$	our
goal	NN	goal
we	PP	we
can't	VVD	can't
accept	VV	accept
er	NNS	er
a	DT	a
ceasefire	NN	ceasefire
pose	NN	pose
for	IN	for
humanitarian	JJ	humanitarian
reasons	NNS	reason
we	PP	we
want	VVP	want
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
H	NN	H
secondly	RB	secondly
we	PP	we
want	VVP	want
withdraw	VV	withdraw
Israeli	JJ	Israeli
withdrawal	NN	withdrawal
if	IN	if
from	IN	from
Gaza	NP	Gaza
Strip	NP	Strip
without	IN	without
Israeli	JJ	Israeli
withdrawal	NN	withdrawal
we	PP	we
can't	VVD	can't
also	RB	also
accept	VV	accept
this	DT	this
a	DT	a
new	JJ	new
deal	NN	deal
or	CC	or
a	DT	a
new	JJ	new
proposal	NN	proposal
thirdly	RB	thirdly
we	PP	we
want	VVP	want
to	TO	to
allow	VV	allow
the	DT	the
humanitarian	JJ	humanitarian
aids	NNS	aid
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
Strip	NP	Strip
because	IN	because
our	PP$	our
people	NNS	people
they	PP	they
are	VBP	be
suffering	VVG	suffer
from	IN	from
starving	VVG	starve
they	PP	they
are	VBP	be
suffering	VVG	suffer
from	IN	from
the	DT	the
shortage	NN	shortage
of	IN	of
petrols	NNS	petrol
of	IN	of
water	NN	water
of	IN	of
electricity	NN	electricity
so	IN	so
these	DT	these
mean	JJ	mean
things	NNS	thing
what	WP	what
we	PP	we
want	VVP	want
from	IN	from
uh	UH	uh
the	DT	the
mediators	NNS	mediator
to	TO	to
do	VV	do
it	PP	it
otherwise	RB	otherwise
we	PP	we
can't	VVD	can't
accept	VV	accept
this	DT	this
proposal	NN	proposal
now	RB	now
the	DT	the
Qatari	JJ	Qatari
prime	JJ	prime
minister	NN	minister
who	WP	who
who's	NNS	who's
been	VBN	be
in	IN	in
Washington	NP	Washington
uh	UH	uh
has	VHZ	have
talked	VVN	talk
about	IN	about
the	DT	the
possibility	NN	possibility
of	IN	of
of	IN	of
a	DT	a
phased	VVN	phase
truce	NN	truce
and	CC	and
that	IN/that	that
this	DT	this
is	VBZ	be
what	WP	what
would	MD	would
be	VB	be
put	VVN	put
to	TO	to
Qatar	NP	Qatar
so	RB	so
presumably	RB	presumably
this	DT	this
might	MD	might
be	VB	be
what	WP	what
you've	NN	you've
received	VVD	receive
a	DT	a
phase	NN	phase
truce	NN	truce
meaning	VVG	mean
that	IN/that	that
this	DT	this
would	MD	would
go	VV	go
in	IN	in
stages	NNS	stage
and	CC	and
it	PP	it
would	MD	would
start	VV	start
with	IN	with
Hamas	NNS	Hamas
releasing	VVG	release
women	NNS	woman
and	CC	and
children	NNS	child
uh	UH	uh
in	IN	in
exchange	NN	exchange
for	IN	for
increased	VVN	increase
humanitarian	JJ	humanitarian
Aid	NN	aid
is	VBZ	be
that	DT	that
something	NN	something
that	IN/that	that
Hamas	NP	Hamas
might	MD	might
be	VB	be
willing	JJ	willing
to	TO	to
consider	VV	consider
you	PP	you
know	VV	know
we	PP	we
don't	JJ	don't
uh	UH	uh
reject	VV	reject
any	DT	any
kind	NN	kind
of	IN	of
uh	UH	uh
stages	VVZ	stage
uh	UH	uh
but	RB	but
we	PP	we
want	VVP	want
H	NN	H
from	IN	from
both	DT	both
sides	NNS	side
to	TO	to
