<video_id>u-7ariCdTJc</video_id>	JJ	<video_id>u-7ariCdTJc</video_id>
<video_title>Holding	NN	<video_title>Holding
captives	NNS	captive
a	DT	a
‘major	NN	‘major
responsibility’	NN	responsibility’
for	IN	for
Hamas</video_title>	NP	Hamas</video_title>
<thumbnail_path>data/en_AJ\Holding	NN	<thumbnail_path>data/en_AJ\Holding
captives	NNS	captive
a	DT	a
‘major	NN	‘major
responsibility’	NN	responsibility’
for	IN	for
Hamas.jpg</thumbnail_path>	NP	Hamas.jpg</thumbnail_path>
<publish_date>20231125</publish_date>	JJ	<publish_date>20231125</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
bring	VVP	bring
in	IN	in
Omar	NP	Omar
Shure	NP	Shure
uh	UH	uh
you're	NN	you're
a	DT	a
professor	NN	professor
of	IN	of
security	NN	security
and	CC	and
Military	JJ	military
studies	NNS	study
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NP	Studies
om	VVD	om
uh	UH	uh
as	IN	as
we	PP	we
look	VVP	look
back	RB	back
at	IN	at
day	NN	day
one	CD	one
of	IN	of
this	DT	this
ceasefire	NN	ceasefire
and	CC	and
this	DT	this
prisoner	NN	prisoner
swap	NN	swap
agreement	NN	agreement
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
what	WP	what
lessons	NNS	lesson
do	VVP	do
you	PP	you
draw	VV	draw
from	IN	from
that	DT	that
well	RB	well
it's	JJ	it's
very	RB	very
difficult	JJ	difficult
to	TO	to
draw	VV	draw
lessons	NNS	lesson
so	RB	so
far	RB	far
but	CC	but
yeah	RB	yeah
very	RB	very
early	JJ	early
in	IN	in
this	DT	this
process	NN	process
very	RB	very
early	RB	early
but	CC	but
but	RB	but
there's	RB	there's
good	JJ	good
news	NN	news
it	PP	it
did	VVD	do
not	RB	not
collapse	VV	collapse
so	RB	so
far	RB	far
because	IN	because
you	PP	you
saw	VVD	see
the	DT	the
details	NNS	detail
yesterday	RB	yesterday
there	EX	there
was	VBD	be
so	RB	so
uh	UH	uh
multi-dimensions	NNS	multi-dimensions
going	VVG	go
on	IN	on
from	IN	from
the	DT	the
Poli	NP	Poli
iCal	JJ	iCal
to	TO	to
the	DT	the
communications	NNS	communication
to	TO	to
the	DT	the
logistics	NNS	logistic
to	TO	to
the	DT	the
the	DT	the
military	JJ	military
side	NN	side
to	TO	to
the	DT	the
repositioning	VVG	reposition
so	IN	so
there	EX	there
was	VBD	be
so	RB	so
many	JJ	many
details	NNS	detail
and	CC	and
there	EX	there
are	VBP	be
we're	RB	we're
doing	VVG	do
this	DT	this
by	IN	by
uh	UH	uh
the	DT	the
Diplomatic	JJ	diplomatic
efforts	NNS	effort
of	IN	of
