<video_id>EEnM20Y5nYs</video_id>	JJ	<video_id>EEnM20Y5nYs</video_id>
<video_title>Hospital	JJ	<video_title>Hospital
strike:	NN	strike:
Thousands	NNS	thousand
are	VBP	be
rallying	VVG	rally
in	IN	in
Ramallah	NP	Ramallah
after	IN	after
the	DT	the
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
al-Ahli	NP	al-Ahli
hospital</video_title>	JJ	hospital</video_title>
<thumbnail_path>data/en_AJ\Hospital	JJ	<thumbnail_path>data/en_AJ\Hospital
strike	NN	strike
Thousands	NNS	thousand
are	VBP	be
rallying	VVG	rally
in	IN	in
Ramallah	NP	Ramallah
after	IN	after
the	DT	the
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
al-Ahli	NP	al-Ahli
hospital.jpg</thumbnail_path>	NN	hospital.jpg</thumbnail_path>
<publish_date>20231017</publish_date>	NN	<publish_date>20231017</publish_date>
<doc>	JJ	<doc>
Gaza	NP	Gaza
rights	NNS	right
back	RB	back
we're	VVP	we're
going	VVG	go
to	TO	to
head	VV	head
to	TO	to
rala	NN	rala
now	RB	now
where	WRB	where
Imran	NP	Imran
Khan	NP	Khan
joins	VVZ	join
us	PP	us
uh	UH	uh
pardon	VV	pardon
me	PP	me
Imran	NP	Imran
is	VBZ	be
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
we're	NN	we're
seeing	VVG	see
pictures	NNS	picture
of	IN	of
protests	NNS	protest
in	IN	in
rala	NP	rala
Imran	NP	Imran
can	MD	can
you	PP	you
talk	VV	talk
us	PP	us
through	IN	through
what's	NNS	what's
happening	VVG	happen
there	RB	there
well	RB	well
there	EX	there
are	VBP	be
a	DT	a
huge	JJ	huge
number	NN	number
of	IN	of
people	NNS	people
out	IN	out
on	IN	on
the	DT	the
streets	NNS	street
this	DT	this
is	VBZ	be
by	IN	by
far	RB	far
the	DT	the
biggest	JJS	big
protest	NN	protest
that	DT	that
uh	UH	uh
we've	NN	we've
seen	VVN	see
in	IN	in
rala	NN	rala
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
when	WRB	when
all	DT	all
of	IN	of
this	DT	this
began	VVD	begin
now	RB	now
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
people	NNS	people
have	VHP	have
been	VBN	be
out	RB	out
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
rala	NN	rala
showing	VVG	show
their	PP$	their
support	NN	support
for	IN	for
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
those	DT	those
protests	NNS	protest
were	VBD	be
small	JJ	small
but	CC	but
they	PP	they
were	VBD	be
frequent	JJ	frequent
they	PP	they
were	VBD	be
happening	VVG	happen
three	CD	three
or	CC	or
four	CD	four
times	NNS	time
a	DT	a
day	NN	day
but	CC	but
nowhere	RB	nowhere
near	IN	near
this	DT	this
kind	NN	kind
of	IN	of
number	NN	number
clearly	RB	clearly
something	NN	something
has	VHZ	have
sparked	VVN	spark
them	PP	them
to	TO	to
come	VV	come
out	RP	out
on	IN	on
the	DT	the
streets	NNS	street
whether	IN	whether
it's	NNS	it's
the	DT	the
hospital	NN	hospital
bombing	VVG	bomb
the	DT	the
two	CD	two
incidents	NNS	incident
actually	RB	actually
took	VVD	take
place	NN	place
around	IN	around
the	DT	the
same	JJ	same
time	VV	time
uh	UH	uh
certainly	RB	certainly
that	DT	that
would	MD	would
have	VH	have
spurred	VVN	spur
the	DT	the
protesters	NNS	protester
to	TO	to
keep	VV	keep
on	IN	on
the	DT	the
streets	NNS	street
they've	NN	they've
now	RB	now
moved	VVD	move
from	IN	from
uh	UH	uh
the	DT	the
main	JJ	main
Square	NP	Square
in	IN	in
rala	NN	rala
and	CC	and
they're	NN	they're
now	IN	now
uh	UH	uh
walking	VVG	walk
around	RP	around
the	DT	the
streets	NNS	street
of	IN	of
rala	NN	rala
that's	NNS	that's
something	NN	something
that	IN/that	that
we	PP	we
do	VVP	do
see	VV	see
them	PP	them
do	VV	do
a	DT	a
lot	NN	lot
this	DT	this
is	VBZ	be
not	RB	not
about	IN	about
being	VBG	be
in	IN	in
one	CD	one
place	NN	place
this	DT	this
is	VBZ	be
about	RB	about
showing	VVG	show
the	DT	the
entire	JJ	entire
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
that	WDT	that
uh	UH	uh
there	EX	there
is	VBZ	be
support	NN	support
there	RB	there
for	IN	for
uh	UH	uh
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
now	RB	now
whilst	IN	whilst
all	DT	all
of	IN	of
this	DT	this
was	VBD	be
happening	VVG	happen
Emily	NP	Emily
we	PP	we
heard	VVD	hear
that	IN/that	that
President	NP	President
Mahmud	NP	Mahmud
Abbas	NP	Abbas
is	VBZ	be
refusing	VVG	refuse
to	TO	to
meet	VV	meet
with	IN	with
Joe	NP	Joe
Biden	NP	Biden
Joe	NP	Joe
Biden	NP	Biden
US	NP	US
president	NN	president
is	VBZ	be
actually	RB	actually
in	IN	in
uh	UH	uh
Israel	NP	Israel
um	NNS	um
on	IN	on
Wednesday	NP	Wednesday
he's	NNS	he's
going	VVG	go
to	TO	to
go	VV	go
to	TO	to
Jordan	NP	Jordan
he	PP	he
in	IN	in
Jordan	NP	Jordan
he'll	NNS	he'll
be	VB	be
meeting	VVG	meet
with	IN	with
the	DT	the
Egyptian	JJ	Egyptian
leader	NN	leader
CCE	NP	CCE
and	CC	and
with	IN	with
the	DT	the
King	NP	King
Abdullah	NP	Abdullah
of	IN	of
Jordan	NP	Jordan
in	IN	in
that	DT	that
meeting	NN	meeting
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
president	NN	president
mahud	NN	mahud
abas	NNS	aba
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
