<video_id>1NUzHFvxgBQ</video_id>	JJ	<video_id>1NUzHFvxgBQ</video_id>
<video_title>Hundreds	NNS	<video_title>Hundreds
killed	VVN	kill
in	IN	in
the	DT	the
past	JJ	past
few	JJ	few
days:	JJ	days:
Gaza	NP	Gaza
media	NNS	medium
representative</video_title>	NN	representative</video_title>
<thumbnail_path>data/en_AJ\Hundreds	NNS	<thumbnail_path>data/en_AJ\Hundreds
killed	VVN	kill
in	IN	in
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
Gaza	NP	Gaza
media	NNS	medium
representative.jpg</thumbnail_path>	NN	representative.jpg</thumbnail_path>
<publish_date>20231029</publish_date>	NN	<publish_date>20231029</publish_date>
<doc>	NN	<doc>
as	IN	as
we	PP	we
know	VVP	know
hospitals	NNS	hospital
across	IN	across
guards	NNS	guard
are	VBP	be
under	IN	under
intense	JJ	intense
pressure	NN	pressure
this	DT	this
is	VBZ	be
the	DT	the
director	NN	director
speaking	NN	speaking
live	VVP	live
now	RB	now
at	IN	at
the	DT	the
shiffer	NN	shiffer
hospital	NN	hospital
let's	NNS	let's
listen	VVP	listen
in	IN	in
during	IN	during
particularly	RB	particularly
during	IN	during
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
where	WRB	where
no	DT	no
communication	NN	communication
and	CC	and
no	DT	no
internet	NN	Internet
they	PP	they
have	VHP	have
demolished	VVN	demolish
more	JJR	more
than	IN	than
32,000	CD	@card@
unit	NN	unit
the	DT	the
occupation	NN	occupation
has	VHZ	have
always	RB	always
been	VBN	be
targeting	VVG	target
the	DT	the
civilians	NNS	civilian
the	DT	the
residential	JJ	residential
areas	NNS	area
and	CC	and
different	JJ	different
social	JJ	social
categories	NNS	category
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
Medical	JJ	medical
Teams	NNS	team
more	JJR	more
than	IN	than
116	CD	@card@
medical	JJ	medical
staff	NN	staff
have	VHP	have
lost	VVN	lose
their	PP$	their
lives	NNS	life
the	DT	the
civil	JJ	civil
defense	NN	defense
units	NNS	unit
have	VHP	have
lost	VVN	lose
18	CD	@card@
of	IN	of
their	PP$	their
men	NNS	man
the	DT	the
journalist	NN	journalist
who	WP	who
cover	VVP	cover
the	DT	the
war	NN	war
have	VHP	have
been	VBN	be
also	RB	also
targeted	VVN	target
35	CD	@card@
journalists	NNS	journalist
have	VHP	have
lost	VVN	lose
their	PP$	their
lives	NNS	life
this	DT	this
means	NN	means
that	IN/that	that
the	DT	the
occupation	NN	occupation
is	VBZ	be
doing	VVG	do
everything	NN	everything
is	VBZ	be
targeting	VVG	target
everyone	NN	everyone
is	VBZ	be
bombarding	VVG	bombard
all	PDT	all
the	DT	the
community	NN	community
with	IN	with
without	IN	without
exceptions	NNS	exception
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
has	VHZ	have
targeted	VVN	target
880	CD	@card@
government	NN	government
building	NN	building
and	CC	and
other	JJ	other
social	JJ	social
organization	NN	organization
the	DT	the
occupation	NN	occupation
has	VHZ	have
destroyed	VVN	destroy
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
war	NN	war
47	CD	@card@
mosques	NNS	mosque
in	IN	in
addition	NN	addition
to	TO	to
other	JJ	other
damages	NNS	damage
in	IN	in
churches	NNS	church
one	CD	one
of	IN	of
them	PP	them
one	CD	one
of	IN	of
the	DT	the
churches	NNS	church
was	VBD	be
targeted	VVN	target
directly	RB	directly
the	DT	the
occupation	NN	occupation
has	VHZ	have
caused	VVN	cause
damages	NNS	damage
for	IN	for
two	CD	two
08	CD	@card@
208	CD	@card@
schools	NNS	school
and	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
out	RB	out
of	IN	of
service	NN	service
for	IN	for
the	DT	the
